cdc_id,customer_id,effective_ts,operation,new_customer_segment,new_risk_tier,new_payment_terms,change_reason,_bronze_loaded_at_utc,_source_file
CCDC000001,CUST000143,2026-03-07 15:56:41,UPDATE,Retail,Medium,NET60,customer_growth,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000002,CUST000176,2026-05-09 16:53:20,UPDATE,Small Business,Medium,NET60,credit_review,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000003,CUST000119,2026-04-16 18:16:02,UPDATE,Wholesale,High,NET45,credit_review,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000004,CUST000070,2026-04-06 19:05:39,UPDATE,Mid Market,Low,NET30,customer_growth,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000005,CUST000209,2026-01-26 00:49:13,UPDATE,Small Business,Medium,Prepaid,credit_review,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000006,CUST000306,2026-04-01 01:39:55,UPDATE,Small Business,Medium,NET30,credit_review,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000007,CUST000424,2026-01-28 13:41:44,UPDATE,Enterprise,High,NET30,risk_event,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000008,CUST000148,2026-05-24 19:52:40,UPDATE,Small Business,Medium,Prepaid,risk_event,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000009,CUST000215,2026-05-27 08:08:31,UPDATE,Mid Market,Low,NET60,customer_growth,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000010,CUST000100,2026-05-01 18:19:48,UPDATE,Small Business,Medium,NET45,customer_growth,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000011,CUST000309,2026-03-04 11:59:39,UPDATE,Wholesale,High,NET60,risk_event,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000012,CUST000237,2026-01-31 16:07:47,UPDATE,Mid Market,High,NET45,customer_growth,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000013,CUST000196,2026-02-06 19:49:31,UPDATE,Wholesale,Medium,Prepaid,risk_event,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000014,CUST000101,2026-02-22 16:39:06,UPDATE,Mid Market,Medium,NET60,credit_review,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000015,CUST000448,2026-05-31 00:10:07,UPDATE,Mid Market,Low,NET45,risk_event,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000016,CUST000077,2026-04-04 16:38:40,UPDATE,Small Business,Medium,NET30,customer_growth,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000017,CUST000211,2026-05-06 19:45:00,UPDATE,Small Business,High,Prepaid,annual_review,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000018,CUST000121,2026-02-04 11:14:50,UPDATE,Mid Market,High,NET60,credit_review,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000019,CUST000330,2026-05-19 11:34:46,UPDATE,Mid Market,Medium,NET60,credit_review,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000020,CUST000006,2026-05-16 05:31:16,UPDATE,Enterprise,High,NET60,risk_event,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000021,CUST000372,2026-04-21 14:58:27,UPDATE,Enterprise,Low,NET45,annual_review,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000022,CUST000005,2026-04-28 21:48:15,UPDATE,Mid Market,High,NET30,annual_review,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000023,CUST000353,2026-01-25 05:51:42,UPDATE,Mid Market,Medium,NET60,annual_review,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000024,CUST000228,2026-01-22 17:36:46,UPDATE,Retail,Low,NET60,customer_growth,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000025,CUST000423,2026-05-04 00:53:39,UPDATE,Mid Market,Medium,NET60,annual_review,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000026,CUST000438,2026-05-22 13:16:25,UPDATE,Small Business,High,NET45,credit_review,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000027,CUST000127,2026-02-08 20:24:51,UPDATE,Small Business,Medium,NET45,credit_review,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000028,CUST000284,2026-03-25 13:08:59,UPDATE,Enterprise,Medium,NET45,annual_review,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000029,CUST000416,2026-02-20 01:36:01,UPDATE,Retail,Medium,NET60,customer_growth,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000030,CUST000072,2026-03-13 22:25:46,UPDATE,Wholesale,Low,NET60,credit_review,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000031,CUST000395,2026-03-23 18:06:20,UPDATE,Wholesale,High,Prepaid,risk_event,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000032,CUST000250,2026-01-29 00:48:08,UPDATE,Retail,High,NET60,credit_review,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000033,CUST000018,2026-01-24 17:30:00,UPDATE,Enterprise,High,NET30,annual_review,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000034,CUST000327,2026-04-18 13:31:44,UPDATE,Enterprise,Low,NET60,annual_review,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000035,CUST000407,2026-01-22 23:55:12,UPDATE,Small Business,High,Prepaid,annual_review,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
CCDC000036,CUST000158,2026-01-29 17:57:06,UPDATE,Enterprise,Medium,NET45,annual_review,2026-06-20T05:01:24.714639+00:00,data/raw/cdc/customer_cdc.csv
