payment_id,invoice_id,payment_date,payment_amount,payment_method,payment_status,_bronze_loaded_at_utc,_source_file
PAY00000001,INV00000001,04/09/2026,17066.36,Wire,posted ,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000003,INV00000003,03/24/2026,15666.01,Credit Card,Posted,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000004,INV00000004,03/07/2026,7084.52,ach ,Reversed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000005,INV00000005,04/10/2026,37134.95,Check,Failed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000006,INV00000006,04/28/2026,9539.12,ACH,Reversed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000008,INV00000008,2026-04-25,29513.28,Check,Failed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000010,INV00000010,03/20/2026,33677.73,ach ,Failed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000011,INV00000011,2026-04-04,6821.34,Credit Card,Failed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000012,INV00000012,01/31/2026,2399.29,Credit Card,Posted,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000013,INV00000013,03/03/2026,27828.10,ach ,Failed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000014,INV00000014,2026-05-07,40700.12,Wire,Failed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000015,INV00000015,2026-06-08,2751.28,Credit Card,Failed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000016,INV00000016,2026-06-18,34847.07,Check,Reversed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000017,INV00000017,03/19/2026,3910.78,Credit Card,Pending,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000018,INV00000018,2026-03-31,27191.11,Credit Card,posted ,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000019,INV00000019,2026-06-22,20339.88,ach ,posted ,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000020,INV00000020,2026-04-05,26306.15,ach ,Posted,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000021,INV00000021,07/02/2026,21001.43,Check,Reversed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000026,INV00000026,06/30/2026,32757.26,ACH,Pending,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000027,INV00000027,2026-03-28,33439.47,Wire,Posted,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000028,INV00000028,05/04/2026,8589.87,Check,Posted,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000029,INV00000029,05/15/2026,14261.60,ACH,Reversed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000034,INV00000034,04/24/2026,7792.03,Credit Card,Reversed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000035,INV00000035,2026-06-12,18143.73,ACH,Reversed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000036,INV00000036,2026-01-14,4442.38,ach ,posted ,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000037,INV00000037,2026-04-09,22101.46,ach ,Posted,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000038,INV00000038,2026-02-16,16511.61,ach ,Pending,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000040,INV00000040,2026-05-29,41526.58,Wire,Pending,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000041,INV00000041,2026-01-31,13810.40,Credit Card,Failed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000042,INV00000042,2026-03-04,15434.83,Credit Card,Reversed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000043,INV00000043,2026-04-09,9239.61,Wire,Failed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000044,INV00000044,05/12/2026,38973.00,ACH,Posted,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000045,INV00000045,03/17/2026,103.78,Credit Card,Pending,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000046,INV00000046,2026-07-04,12867.19,Credit Card,Pending,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000047,INV00000047,04/20/2026,33693.00,Credit Card,Reversed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000048,INV00000048,2026-05-30,3241.97,ACH,Reversed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000049,INV00000049,2026-05-31,21790.46,ach ,Failed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000051,INV00000051,04/09/2026,7167.30,Check,Reversed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000052,INV00000052,04/01/2026,5383.88,Wire,Pending,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000053,INV00000053,01/27/2026,8570.49,Wire,Failed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000054,INV00000054,06/25/2026,11272.74,Credit Card,Failed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000058,INV00000058,01/17/2026,19018.22,ach ,Reversed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000059,INV00000059,2026-03-06,26809.53,Check,posted ,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000061,INV00000061,2026-06-10,17544.99,Credit Card,Pending,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000062,INV00000062,07/25/2026,16803.15,ACH,posted ,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000063,INV00000063,02/02/2026,11305.19,Wire,posted ,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000064,INV00000064,06/17/2026,3947.90,ach ,Pending,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000065,INV00000065,07/17/2026,23958.04,Credit Card,Posted,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000067,INV00000067,2026-05-27,13714.01,Wire,posted ,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000068,INV00000068,2026-04-02,40252.25,ACH,Pending,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000069,INV00000069,2026-03-18,13692.24,ACH,Posted,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000070,INV00000070,05/07/2026,1741.99,Credit Card,posted ,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000073,INV00000073,2026-04-16,21029.25,Wire,Failed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000075,INV00000075,2026-05-23,8742.41,Wire,Reversed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000076,INV00000076,2026-04-23,9169.52,Credit Card,Pending,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000077,INV00000077,2026-07-25,35158.22,Check,Reversed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000078,INV00000078,2026-05-08,30169.43,Credit Card,Posted,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000079,INV00000079,2026-05-05,2998.68,Check,Posted,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000080,INV00000080,2026-04-10,20172.12,Wire,Posted,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000081,INV00000081,2026-04-09,38154.19,Check,Posted,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000082,INV00000082,05/18/2026,11313.76,ACH,Reversed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000083,INV00000083,06/29/2026,17237.37,ach ,Posted,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000084,INV00000084,06/05/2026,13824.75,Wire,Reversed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000086,INV00000086,03/09/2026,2287.60,Credit Card,Pending,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000087,INV00000087,07/17/2026,31579.48,Check,Posted,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000089,INV00000089,02/22/2026,40522.45,Check,Reversed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000090,INV00000090,03/30/2026,21586.92,Wire,Pending,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000091,INV00000091,07/21/2026,2899.26,ACH,posted ,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000093,INV00000093,02/08/2026,16196.59,Check,Pending,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000095,INV00000095,03/08/2026,19250.91,Wire,Pending,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000097,INV00000097,2026-06-24,24436.34,Wire,posted ,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000099,INV00000099,2026-04-01,40401.68,ach ,Pending,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000101,INV00000101,2026-06-11,15374.77,Wire,Posted,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000103,INV00000103,2026-06-26,26620.67,Wire,posted ,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000104,INV00000104,2026-02-22,7618.30,ach ,Pending,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000105,INV00000105,04/28/2026,23596.40,Credit Card,Reversed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000107,INV00000107,2026-05-08,3514.69,ACH,Reversed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000108,INV00000108,04/20/2026,12861.47,Credit Card,posted ,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000109,INV00000109,2026-05-29,15914.35,Credit Card,Pending,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000110,INV00000110,2026-05-03,7620.14,Credit Card,posted ,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000111,INV00000111,2026-05-05,36263.28,ACH,posted ,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000112,INV00000112,2026-03-16,7022.52,ACH,posted ,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000113,INV00000113,05/24/2026,3952.15,Check,Reversed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000115,INV00000115,07/26/2026,11865.62,Credit Card,posted ,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000116,INV00000116,2026-05-13,5300.28,ACH,Failed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
PAY00000117,INV00000117,05/14/2026,27954.30,ACH,Failed,2026-06-20T05:01:24.689241+00:00,data/raw/transactions/payments.csv
