return_id,order_id,order_line_id,product_id,return_date,return_reason,return_qty,refund_amount,return_status,_bronze_loaded_at_utc,_source_file
RET00000001,SO00001598,SOL0000004842,SKU0000493,2026-04-18,Late Delivery,1,396.69,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000002,SO00002099,SOL0000006306,SKU0000312,2026-03-04,Wrong Item,3,468.96,Requested,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000003,SO00000236,SOL0000000713,SKU0000346,2026-05-20,Damaged,bad,195.31,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000004,SO00000317,SOL0000000940,SKU0000280,2026-05-24,Damaged,1,596.79,Rejected,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000005,SO00002306,SOL0000006925,SKU0000090,2026-03-25,Quality Issue,5,433.63,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000006,SO00001936,SOL0000005838,SKU0000467,2026-07-20,Late Delivery,2,363.38,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000007,SO00000453,SOL0000001385,SKU0000345,2026-02-14,Wrong Item,bad,135.31,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000008,SO00000320,SOL0000000948,SKU0000210,2026-04-09,Damaged,2,373.55,Received,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000009,SO00002010,SOL0000006049,SKU0000147,2026-03-31,Damaged,3,166.33,Rejected,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000010,SO00001756,SOL0000005296,SKU0000022,2026-02-20,Quality Issue,5,174.20,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000011,SO00001818,SOL0000005487,SKU0000127,2026-04-12,Wrong Item,1,114.04,Rejected,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000012,SO00000737,SOL0000002258,SKU0000368,2026-02-09,Late Delivery,bad,507.73,Received,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000013,SO00002230,SOL0000006693,SKU0000642,2026-06-27,Damaged,1,360.98,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
