order_line_id,order_id,line_number,product_id,ordered_qty,unit_price,discount_pct,line_status,_bronze_loaded_at_utc,_source_file
SOL0000000001,SO00000001,1,SKU0000598,15,99.61,25,Backordered,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000002,SO00000001,2,SKU0000591,1,94.97,5,open ,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000003,SO00000001,3,SKU0000289,25,424.52,2.5,Backordered,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000004,SO00000001,4,SKU0000410,3,76.12,25,Open,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000005,SO00000002,1,SKU0000349,3,156.81,15,open ,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000006,SO00000002,2,SKU0000139,15,184.16,bad,Backordered,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000007,SO00000002,3,SKU0000579,1,566.29,bad,Cancelled,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000008,SO00000003,1,SKU0000274,25,211.78,0,Shipped,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000009,SO00000003,2,SKU0000190,3,360.82,,Backordered,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000010,SO00000004,1,SKU0000240,1,558.94,2.5,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000011,SO00000004,2,SKU0000153,,31.03,bad,Shipped,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000012,SO00000004,3,SKU0000081,50,509.80,bad,open ,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000013,SO00000005,1,SKU0000634,2,407.52,bad,Shipped,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000014,SO00000005,2,SKU0000085,10,380.93,25,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000015,SO00000005,3,SKU0000054,50,64.94,10,Backordered,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000016,SO00000005,4,SKU0000578,,30.71,2.5,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000017,SO00000005,5,SKU0000335,5,115.92,,Shipped,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
