event_id,shipment_id,event_ts,event_type,event_location,event_notes,_bronze_loaded_at_utc,_source_file
SE0000000001,SHP00000001,2026-04-13 21:03:00,Arrived Hub,Denver Hub,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000002,SHP00000001,2026-04-14 02:03:00,Exception,Phoenix DC,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000003,SHP00000001,2026-04-15 13:03:00,Picked,Atlanta DC,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000004,SHP00000001,2026-04-15 03:03:00,Packed,Seattle Crossdock,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000005,SHP00000002,2026-04-08 05:26:00,Packed,Guadalajara DC,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000006,SHP00000002,2026-04-08 15:26:00,Exception,Seattle Crossdock,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000007,SHP00000002,2026-04-10 15:26:00,Picked,Atlanta DC,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000008,SHP00000002,2026-04-10 02:26:00,Delivered,Vancouver Crossdock,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000009,SHP00000002,2026-04-11 13:26:00,Departed Warehouse,Guadalajara Fulfillment,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000010,SHP00000002,2026-04-10 22:26:00,Out for Delivery,Boston Crossdock,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000011,SHP00000003,2026-02-22 19:07:00,Arrived Hub,Atlanta DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000012,SHP00000003,2026-02-23 04:07:00,Exception,Guadalajara Crossdock,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000013,SHP00000003,2026-02-24 05:07:00,Picked,Denver Crossdock,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000014,SHP00000003,2026-02-23 13:07:00,Delivered,Miami Fulfillment,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000015,SHP00000004,2026-05-12 11:26:00,Exception,Miami DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000016,SHP00000004,2026-05-13 10:26:00,Departed Warehouse,Guadalajara DC,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000017,SHP00000004,2026-05-13 09:26:00,Packed,Boston Crossdock,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
