adjustment_id,warehouse_id,product_id,adjustment_ts,adjustment_qty,adjustment_reason,approved_by,adjustment_date,requires_review
ADJ00000001,WH0001,SKU0000050,2026-04-09 18:32:00,-50.0,Damage,mgr_2,2026-04-09,True
ADJ00000002,WH0012,SKU0000025,,-25.0,Shrinkage,mgr_1,,True
ADJ00000004,WH0016,SKU0000256,2026-05-08 14:59:00,-50.0,Shrinkage,controller,2026-05-08,True
ADJ00000005,WH0020,SKU0000243,,-25.0,Cycle Count,ops_lead,,True
ADJ00000007,WH0005,SKU0000023,2026-03-03 07:45:00,50.0,Found Inventory,mgr_1,2026-03-03,True
ADJ00000014,WH0001,SKU0000511,,-25.0,Shrinkage,mgr_1,,True
ADJ00000016,WH0024,SKU0000114,,-50.0,Damage,ops_lead,,True
ADJ00000017,WH0015,SKU0000637,2026-05-31 12:21:00,-25.0,Shrinkage,controller,2026-05-31,True
ADJ00000020,WH0020,SKU0000141,,25.0,Found Inventory,unapproved,,True
ADJ00000023,WH0020,SKU0000093,2026-01-25 20:11:00,25.0,System Correction,unapproved,2026-01-25,True
ADJ00000024,WH0008,SKU0000179,,-50.0,Shrinkage,mgr_1,,True
ADJ00000025,WH0019,SKU0000461,,-25.0,Found Inventory,ops_lead,,True
ADJ00000028,WH0009,SKU0000424,2026-01-19 18:50:00,-25.0,Shrinkage,controller,2026-01-19,True
ADJ00000030,WH0010,SKU0000508,2026-04-25 22:44:00,25.0,Shrinkage,unapproved,2026-04-25,True
ADJ00000033,WH0011,SKU0000620,2026-02-12 12:37:00,-50.0,Found Inventory,mgr_2,2026-02-12,True
ADJ00000034,WH0014,SKU0000001,2026-02-07 20:46:00,25.0,Cycle Count,mgr_2,2026-02-07,True
ADJ00000035,WH0023,SKU0000663,,-25.0,Cycle Count,unapproved,,True
ADJ00000037,WH0021,SKU0000121,,50.0,System Correction,ops_lead,,True
ADJ00000038,WH0001,SKU0000219,2026-04-24 20:20:00,-25.0,System Correction,unapproved,2026-04-24,True
ADJ00000040,WH0024,SKU0000372,2026-05-05 03:58:00,25.0,Shrinkage,unapproved,2026-05-05,True
ADJ00000049,WH0014,SKU0000093,2026-04-02 21:32:00,50.0,System Correction,ops_lead,2026-04-02,True
ADJ00000050,WH0024,SKU0000563,2026-01-31 23:05:00,25.0,Damage,ops_lead,2026-01-31,True
ADJ00000052,WH0016,SKU0000541,2026-01-25 13:06:00,50.0,Cycle Count,ops_lead,2026-01-25,True
ADJ00000054,WH0018,SKU0000488,2026-02-03 08:35:00,-25.0,System Correction,mgr_2,2026-02-03,True
ADJ00000060,WH0015,SKU0000159,2026-01-04 13:13:00,-50.0,Shrinkage,controller,2026-01-04,True
ADJ00000061,WH0021,SKU0000039,,50.0,Shrinkage,controller,,True
ADJ00000062,WH0019,SKU0000553,,50.0,Shrinkage,mgr_2,,True
ADJ00000064,WH0011,SKU0000023,2026-01-01 18:05:00,-50.0,System Correction,controller,2026-01-01,True
ADJ00000065,WH0001,SKU0000639,2026-01-07 09:22:00,-25.0,System Correction,mgr_1,2026-01-07,True
ADJ00000066,WH0010,SKU0000243,2026-01-24 12:09:00,25.0,System Correction,mgr_1,2026-01-24,True
ADJ00000067,WH0020,SKU0000148,,50.0,Shrinkage,mgr_1,,True
ADJ00000068,WH0024,SKU0000587,2026-03-12 21:46:00,-25.0,Damage,ops_lead,2026-03-12,True
ADJ00000076,WH0013,SKU0000645,,-25.0,Cycle Count,mgr_2,,True
ADJ00000079,WH0005,SKU0000516,,-50.0,Shrinkage,unapproved,,True
ADJ00000082,WH0003,SKU0000308,2026-05-06 03:48:00,50.0,System Correction,ops_lead,2026-05-06,True
ADJ00000084,WH0019,SKU0000464,2026-01-13 13:27:00,50.0,System Correction,unapproved,2026-01-13,True
ADJ00000085,WH0009,SKU0000354,,-50.0,Damage,mgr_1,,True
ADJ00000086,WH0015,SKU0000135,,25.0,Shrinkage,mgr_2,,True
ADJ00000088,WH0012,SKU0000153,,-25.0,Cycle Count,mgr_1,,True
ADJ00000089,WH0006,SKU0000354,2026-02-28 10:57:00,50.0,Damage,ops_lead,2026-02-28,True
ADJ00000090,WH0005,SKU0000113,2026-02-08 20:23:00,50.0,System Correction,ops_lead,2026-02-08,True
ADJ00000091,WH0013,SKU0000229,2026-02-05 08:06:00,50.0,Shrinkage,mgr_2,2026-02-05,True
ADJ00000099,WH0010,SKU0000341,,50.0,Found Inventory,ops_lead,,True
ADJ00000100,WH0019,SKU0000360,2026-01-06 21:46:00,-50.0,Damage,controller,2026-01-06,True
ADJ00000101,WH0017,SKU0000488,2026-05-02 03:39:00,25.0,Damage,controller,2026-05-02,True
ADJ00000103,WH0010,SKU0000099,,-50.0,Found Inventory,controller,,True
ADJ00000105,WH0009,SKU0000662,,-25.0,Cycle Count,ops_lead,,True
ADJ00000106,WH0010,SKU0000236,2026-01-15 23:58:00,-25.0,Damage,controller,2026-01-15,True
ADJ00000108,WH0020,SKU0000241,2026-01-02 11:58:00,-25.0,Shrinkage,mgr_1,2026-01-02,True
ADJ00000110,WH0024,SKU0000065,2026-01-13 11:50:00,-25.0,Found Inventory,mgr_2,2026-01-13,True
ADJ00000111,WH0017,SKU0000133,2026-01-19 09:51:00,-50.0,Damage,ops_lead,2026-01-19,True
