receipt_line_id,receipt_id,po_line_id,product_id,received_qty,rejected_qty,damage_reason,valid_received_qty,po_id,warehouse_id,receipt_date,receipt_status,inspection_status,ordered_qty,unit_cost,fill_rate,rejected_rate
RCL0000000004,RCV00000003,POL0000001058,SKU0000246,25.0,0.0,,True,PO00000414,WH0009,2026-04-11,Rejected,Passed,50.0,22.56,0.5,0.0
RCL0000000016,RCV00000008,POL0000000703,SKU0000124,75.0,0.0,Incorrect item,True,PO00000275,WH0018,,Received,Passed,100.0,44.0,0.75,0.0
RCL0000000017,RCV00000009,POL0000001781,SKU0000644,375.0,0.0,Damaged packaging,True,PO00000704,WH0004,,Received,Passed,500.0,85.52,0.75,0.0
RCL0000000020,RCV00000010,POL0000001295,SKU0000434,500.0,2.0,Incorrect item,True,PO00000509,WH0019,2026-02-12,Received,Pending,1000.0,34.39,0.5,0.004
RCL0000000022,RCV00000011,POL0000001234,SKU0000386,375.0,0.0,Damaged packaging,True,PO00000486,WH0005,2026-03-06,Rejected,Passed,500.0,285.34,0.75,0.0
RCL0000000031,RCV00000014,POL0000000950,SKU0000348,25.0,0.0,Temperature breach,True,PO00000374,WH0021,,Rejected,Pending,50.0,277.03,0.5,0.0
RCL0000000039,RCV00000020,POL0000001872,SKU0000635,75.0,1.0,Damaged packaging,True,PO00000743,WH0018,,Received,Pending,100.0,64.74,0.75,0.013333333333333334
RCL0000000045,RCV00000022,POL0000001434,SKU0000399,25.0,0.0,Temperature breach,True,PO00000567,WH0019,2026-03-01,Received,Passed,50.0,29.14,0.5,0.0
RCL0000000046,RCV00000023,POL0000001082,SKU0000415,500.0,5.0,Damaged packaging,True,PO00000426,WH0022,,Rejected,Pending,1000.0,220.81,0.5,0.01
RCL0000000049,RCV00000025,POL0000000015,SKU0000330,375.0,0.0,Temperature breach,True,PO00000006,WH0002,2026-01-11,Rejected,Passed,500.0,238.69,0.75,0.0
RCL0000000052,RCV00000026,POL0000001873,SKU0000107,375.0,5.0,,True,PO00000744,WH0016,2026-01-04,Received,Failed,500.0,183.41,0.75,0.013333333333333334
RCL0000000054,RCV00000027,POL0000000560,SKU0000572,25.0,0.0,,True,PO00000224,WH0021,2025-12-27,Partial,Passed,50.0,284.13,0.5,0.0
RCL0000000060,RCV00000031,POL0000001377,SKU0000020,375.0,1.0,,True,PO00000541,WH0016,2026-03-14,Rejected,Passed,500.0,92.34,0.75,0.0026666666666666666
RCL0000000067,RCV00000034,POL0000001178,SKU0000650,375.0,1.0,Incorrect item,True,PO00000464,WH0005,,Partial,Passed,500.0,14.28,0.75,0.0026666666666666666
RCL0000000069,RCV00000036,POL0000001510,SKU0000395,50.0,2.0,Incorrect item,True,PO00000592,WH0012,,Partial,Passed,100.0,239.1,0.5,0.04
RCL0000000074,RCV00000039,POL0000001730,SKU0000292,250.0,0.0,Incorrect item,True,PO00000682,WH0011,2026-02-24,Partial,Passed,500.0,65.65,0.5,0.0
RCL0000000083,RCV00000044,POL0000000389,SKU0000420,500.0,1.0,Incorrect item,True,PO00000154,WH0025,,Rejected,Failed,1000.0,158.76,0.5,0.002
RCL0000000085,RCV00000046,POL0000000521,SKU0000222,75.0,5.0,,True,PO00000207,WH0024,,Received,Passed,100.0,5.74,0.75,0.06666666666666667
RCL0000000086,RCV00000046,POL0000000522,SKU0000146,125.0,0.0,,True,PO00000207,WH0024,,Received,Passed,250.0,223.17,0.5,0.0
RCL0000000093,RCV00000048,POL0000000794,SKU0000366,250.0,0.0,Incorrect item,True,PO00000311,WH0003,2026-05-05,Received,Passed,500.0,91.53,0.5,0.0
RCL0000000095,RCV00000050,POL0000001635,SKU0000649,375.0,0.0,Incorrect item,True,PO00000645,WH0001,2026-02-22,Received,Passed,500.0,127.15,0.75,0.0
RCL0000000098,RCV00000051,POL0000000146,SKU0000032,250.0,0.0,Incorrect item,True,PO00000053,WH0025,2026-04-22,Partial,Passed,500.0,111.82,0.5,0.0
RCL0000000100,RCV00000053,POL0000000290,SKU0000407,75.0,1.0,Damaged packaging,True,PO00000114,WH0024,,Rejected,Failed,100.0,8.52,0.75,0.013333333333333334
RCL0000000102,RCV00000055,POL0000000383,SKU0000361,500.0,1.0,,True,PO00000151,WH0022,2026-04-19,Received,Failed,1000.0,46.82,0.5,0.002
RCL0000000103,RCV00000055,POL0000000382,SKU0000688,187.0,0.0,Incorrect item,True,PO00000151,WH0022,2026-04-19,Received,Failed,250.0,8.45,0.748,0.0
RCL0000000110,RCV00000059,POL0000001538,SKU0000080,125.0,5.0,Temperature breach,True,PO00000604,WH0012,2026-04-08,Received,Passed,250.0,270.52,0.5,0.04
RCL0000000113,RCV00000062,POL0000000439,SKU0000571,500.0,2.0,,True,PO00000172,WH0003,,Received,Pending,1000.0,48.78,0.5,0.004
