po_line_id,po_id,line_number,product_id,ordered_qty,unit_cost,line_status,valid_quantity,valid_unit_cost,supplier_id,warehouse_id,po_date,expected_receipt_date,currency,po_status,po_line_amount,rate_date,usd_rate,po_line_amount_usd
POL0000000001,PO00000001,1,SKU0000213,1000.0,92.2,Partial,True,True,SUP00079,WH0010,2026-01-13,2026-02-06,USD,Partially Received,92200.0,2026-01-13,1.0,92200.0
POL0000000002,PO00000001,2,SKU0000301,250.0,199.35,Received,True,True,SUP00079,WH0010,2026-01-13,2026-02-06,USD,Partially Received,49837.5,2026-01-13,1.0,49837.5
POL0000000005,PO00000002,3,SKU0000219,500.0,116.78,Received,True,True,SUP00025,WH0002,,2026-01-26,USD,Approved,58390.0,,1.0,58390.0
POL0000000006,PO00000002,4,SKU0000682,500.0,63.61,Open,True,True,SUP00025,WH0002,,2026-01-26,USD,Approved,31805.0,,1.0,31805.0
POL0000000007,PO00000003,1,SKU0000537,250.0,81.91,Partial,True,True,SUP00093,WH0010,2026-04-15,2026-05-12,CAD,Approved,20477.5,2026-04-15,0.739796,15149.17259
POL0000000009,PO00000003,3,SKU0000046,50.0,3.14,Open,True,True,SUP00093,WH0010,2026-04-15,2026-05-12,CAD,Approved,157.0,2026-04-15,0.739796,116.147972
POL0000000010,PO00000004,1,SKU0000159,50.0,49.49,Open,True,True,SUP00100,WH0010,2026-03-23,2026-05-04,MXN,Cancelled,2474.5,2026-03-23,0.05748,142.23426
POL0000000011,PO00000004,2,SKU0000028,250.0,209.57,Open,True,True,SUP00100,WH0010,2026-03-23,2026-05-04,MXN,Cancelled,52392.5,2026-03-23,0.05748,3011.5209
POL0000000012,PO00000005,1,SKU0000071,50.0,92.75,Open,True,True,SUP00072,WH0010,2025-12-28,2026-01-07,MXN,Created,4637.5,2025-12-28,0.05844,271.0155
POL0000000013,PO00000005,2,SKU0000321,500.0,128.78,Partial,True,True,SUP00072,WH0010,2025-12-28,2026-01-07,MXN,Created,64390.0,2025-12-28,0.05844,3762.9516
POL0000000014,PO00000005,3,SKU0000151,1000.0,236.85,Partial,True,True,SUP00072,WH0010,2025-12-28,2026-01-07,MXN,Created,236850.0,2025-12-28,0.05844,13841.514
POL0000000015,PO00000006,1,SKU0000330,500.0,238.69,Open,True,True,SUP00066,WH0002,,2026-01-10,USD,Approved,119345.0,,1.0,119345.0
POL0000000016,PO00000007,1,SKU0000004,100.0,11.66,Partial,True,True,SUP00112,WH0025,,2025-12-28,EUR,Received,1166.0,,1.0,1166.0
POL0000000017,PO00000007,2,SKU0000501,50.0,233.5,Open,True,True,SUP00112,WH0025,,2025-12-28,EUR,Received,11675.0,,1.0,11675.0
POL0000000018,PO00000008,1,SKU0000373,50.0,233.11,Received,True,True,SUP00102,WH0003,2026-02-03,2026-03-05,USD,Approved,11655.5,2026-02-03,1.0,11655.5
POL0000000019,PO00000008,2,SKU0000574,50.0,237.19,Open,True,True,SUP00102,WH0003,2026-02-03,2026-03-05,USD,Approved,11859.5,2026-02-03,1.0,11859.5
POL0000000020,PO00000009,1,SKU0000392,50.0,57.28,Cancelled,True,True,SUP00062,WH0001,2025-12-30,2026-01-27,CAD,Partially Received,2864.0,2025-12-30,0.744022,2130.879008
POL0000000022,PO00000010,2,SKU0000097,250.0,95.66,Cancelled,True,True,SUP00010,WH0014,2026-04-20,2026-05-11,USD,Received,23915.0,2026-04-20,1.0,23915.0
