receipt_line_id,receipt_id,po_line_id,product_id,received_qty,rejected_qty,damage_reason,valid_received_qty,po_id,warehouse_id,receipt_date,receipt_status,inspection_status,ordered_qty,unit_cost,fill_rate,rejected_rate
RCL0000000002,RCV00000002,POL0000000710,SKU0000277,50.0,0.0,,True,PO00000277,WH0018,2026-02-09,Received,Passed,50.0,138.96,1.0,0.0
RCL0000000004,RCV00000003,POL0000001058,SKU0000246,25.0,0.0,,True,PO00000414,WH0009,2026-04-11,Rejected,Passed,50.0,22.56,0.5,0.0
RCL0000000005,RCV00000003,POL0000001060,SKU0000581,55.0,0.0,,True,PO00000414,WH0009,2026-04-11,Rejected,Passed,50.0,24.6,1.1,0.0
RCL0000000006,RCV00000003,POL0000001059,SKU0000426,1000.0,0.0,Temperature breach,True,PO00000414,WH0009,2026-04-11,Rejected,Passed,1000.0,3.77,1.0,0.0
RCL0000000009,RCV00000005,POL0000000966,SKU0000003,275.0,2.0,Incorrect item,True,PO00000380,WH0005,,Partial,Passed,250.0,65.98,1.1,0.007272727272727273
RCL0000000011,RCV00000006,POL0000000005,SKU0000219,500.0,0.0,Incorrect item,True,PO00000002,WH0002,2026-01-25,Partial,Passed,500.0,116.78,1.0,0.0
RCL0000000014,RCV00000007,POL0000001656,SKU0000148,250.0,1.0,Temperature breach,True,PO00000654,WH0006,2026-03-22,Received,Pending,250.0,36.75,1.0,0.004
RCL0000000016,RCV00000008,POL0000000703,SKU0000124,75.0,0.0,Incorrect item,True,PO00000275,WH0018,,Received,Passed,100.0,44.0,0.75,0.0
RCL0000000017,RCV00000009,POL0000001781,SKU0000644,375.0,0.0,Damaged packaging,True,PO00000704,WH0004,,Received,Passed,500.0,85.52,0.75,0.0
RCL0000000018,RCV00000009,POL0000001782,SKU0000511,110.0,2.0,Damaged packaging,True,PO00000704,WH0004,,Received,Passed,100.0,118.6,1.1,0.01818181818181818
RCL0000000019,RCV00000010,POL0000001292,SKU0000431,500.0,1.0,,True,PO00000509,WH0019,2026-02-12,Received,Pending,500.0,101.72,1.0,0.002
RCL0000000020,RCV00000010,POL0000001295,SKU0000434,500.0,2.0,Incorrect item,True,PO00000509,WH0019,2026-02-12,Received,Pending,1000.0,34.39,0.5,0.004
RCL0000000022,RCV00000011,POL0000001234,SKU0000386,375.0,0.0,Damaged packaging,True,PO00000486,WH0005,2026-03-06,Rejected,Passed,500.0,285.34,0.75,0.0
RCL0000000024,RCV00000011,POL0000001235,SKU0000498,110.0,0.0,Incorrect item,True,PO00000486,WH0005,2026-03-06,Rejected,Passed,100.0,295.03,1.1,0.0
RCL0000000025,RCV00000012,POL0000001651,SKU0000611,250.0,2.0,,True,PO00000652,WH0015,2026-06-22,Received,Passed,250.0,185.61,1.0,0.008
RCL0000000027,RCV00000013,POL0000001668,SKU0000468,1000.0,2.0,Temperature breach,True,PO00000657,WH0011,2026-06-13,Received,Passed,1000.0,112.39,1.0,0.002
RCL0000000028,RCV00000013,POL0000001665,SKU0000155,110.0,1.0,Incorrect item,True,PO00000657,WH0011,2026-06-13,Received,Passed,100.0,119.97,1.1,0.00909090909090909
RCL0000000030,RCV00000014,POL0000000952,SKU0000072,250.0,5.0,,True,PO00000374,WH0021,,Rejected,Pending,250.0,156.32,1.0,0.02
RCL0000000031,RCV00000014,POL0000000950,SKU0000348,25.0,0.0,Temperature breach,True,PO00000374,WH0021,,Rejected,Pending,50.0,277.03,0.5,0.0
RCL0000000034,RCV00000016,POL0000000925,SKU0000301,50.0,1.0,Incorrect item,True,PO00000362,WH0021,2026-05-16,Received,Passed,50.0,199.35,1.0,0.02
RCL0000000036,RCV00000018,POL0000001703,SKU0000009,1000.0,5.0,,True,PO00000672,WH0002,2026-05-18,Rejected,Passed,1000.0,27.56,1.0,0.005
RCL0000000037,RCV00000018,POL0000001705,SKU0000528,55.0,5.0,Damaged packaging,True,PO00000672,WH0002,2026-05-18,Rejected,Passed,50.0,112.12,1.1,0.09090909090909091
RCL0000000039,RCV00000020,POL0000001872,SKU0000635,75.0,1.0,Damaged packaging,True,PO00000743,WH0018,,Received,Pending,100.0,64.74,0.75,0.013333333333333334
RCL0000000040,RCV00000021,POL0000000445,SKU0000343,550.0,0.0,,True,PO00000174,WH0022,,Received,Failed,500.0,239.23,1.1,0.0
RCL0000000042,RCV00000022,POL0000001437,SKU0000500,1100.0,1.0,Temperature breach,True,PO00000567,WH0019,2026-03-01,Received,Passed,1000.0,21.62,1.1,0.0009090909090909091
RCL0000000044,RCV00000022,POL0000001435,SKU0000002,55.0,0.0,Temperature breach,True,PO00000567,WH0019,2026-03-01,Received,Passed,50.0,191.37,1.1,0.0
RCL0000000045,RCV00000022,POL0000001434,SKU0000399,25.0,0.0,Temperature breach,True,PO00000567,WH0019,2026-03-01,Received,Passed,50.0,29.14,0.5,0.0
RCL0000000046,RCV00000023,POL0000001082,SKU0000415,500.0,5.0,Damaged packaging,True,PO00000426,WH0022,,Rejected,Pending,1000.0,220.81,0.5,0.01
RCL0000000047,RCV00000024,POL0000001846,SKU0000482,1100.0,0.0,,True,PO00000733,WH0013,2026-03-12,Rejected,Passed,1000.0,146.9,1.1,0.0
RCL0000000048,RCV00000024,POL0000001847,SKU0000176,500.0,5.0,Temperature breach,True,PO00000733,WH0013,2026-03-12,Rejected,Passed,500.0,49.13,1.0,0.01
RCL0000000049,RCV00000025,POL0000000015,SKU0000330,375.0,0.0,Temperature breach,True,PO00000006,WH0002,2026-01-11,Rejected,Passed,500.0,238.69,0.75,0.0
RCL0000000050,RCV00000026,POL0000001875,SKU0000091,50.0,5.0,Temperature breach,True,PO00000744,WH0016,2026-01-04,Received,Failed,50.0,82.29,1.0,0.1
RCL0000000052,RCV00000026,POL0000001873,SKU0000107,375.0,5.0,,True,PO00000744,WH0016,2026-01-04,Received,Failed,500.0,183.41,0.75,0.013333333333333334
RCL0000000053,RCV00000027,POL0000000561,SKU0000417,275.0,0.0,Damaged packaging,True,PO00000224,WH0021,2025-12-27,Partial,Passed,250.0,107.86,1.1,0.0
RCL0000000054,RCV00000027,POL0000000560,SKU0000572,25.0,0.0,,True,PO00000224,WH0021,2025-12-27,Partial,Passed,50.0,284.13,0.5,0.0
RCL0000000055,RCV00000028,POL0000000165,SKU0000460,500.0,0.0,,True,PO00000059,WH0006,,Partial,Passed,500.0,163.81,1.0,0.0
RCL0000000058,RCV00000029,POL0000001359,SKU0000502,550.0,0.0,Incorrect item,True,PO00000533,WH0019,,Partial,Passed,500.0,297.05,1.1,0.0
RCL0000000060,RCV00000031,POL0000001377,SKU0000020,375.0,1.0,,True,PO00000541,WH0016,2026-03-14,Rejected,Passed,500.0,92.34,0.75,0.0026666666666666666
RCL0000000063,RCV00000032,POL0000000527,SKU0000668,550.0,1.0,Damaged packaging,True,PO00000209,WH0011,2026-04-05,Received,Passed,500.0,156.75,1.1,0.0018181818181818182
RCL0000000064,RCV00000032,POL0000000528,SKU0000059,100.0,0.0,Damaged packaging,True,PO00000209,WH0011,2026-04-05,Received,Passed,100.0,145.09,1.0,0.0
RCL0000000065,RCV00000033,POL0000001249,SKU0000014,550.0,1.0,Damaged packaging,True,PO00000493,WH0008,,Partial,Pending,500.0,187.4,1.1,0.0018181818181818182
RCL0000000066,RCV00000033,POL0000001248,SKU0000283,1000.0,2.0,Damaged packaging,True,PO00000493,WH0008,,Partial,Pending,1000.0,31.39,1.0,0.002
RCL0000000067,RCV00000034,POL0000001178,SKU0000650,375.0,1.0,Incorrect item,True,PO00000464,WH0005,,Partial,Passed,500.0,14.28,0.75,0.0026666666666666666
RCL0000000069,RCV00000036,POL0000001510,SKU0000395,50.0,2.0,Incorrect item,True,PO00000592,WH0012,,Partial,Passed,100.0,239.1,0.5,0.04
RCL0000000071,RCV00000036,POL0000001511,SKU0000680,110.0,0.0,Damaged packaging,True,PO00000592,WH0012,,Partial,Passed,100.0,199.06,1.1,0.0
RCL0000000073,RCV00000038,POL0000001267,SKU0000630,250.0,0.0,,True,PO00000500,WH0015,2026-01-30,Partial,Passed,250.0,262.31,1.0,0.0
RCL0000000074,RCV00000039,POL0000001730,SKU0000292,250.0,0.0,Incorrect item,True,PO00000682,WH0011,2026-02-24,Partial,Passed,500.0,65.65,0.5,0.0
