order_line_id,order_id,line_number,product_id,ordered_qty,unit_price,discount_pct,line_status,valid_quantity,valid_unit_price,valid_discount,gross_sales,discount_amount,net_sales,customer_id,order_date,promised_delivery_date,sales_channel,order_status,order_priority,currency,ship_from_warehouse_id,category,subcategory,brand,supplier_id,standard_cost,unit_weight_lbs,rate_date,usd_rate,net_sales_usd,gross_sales_usd,discount_amount_usd,estimated_cost_usd,gross_margin_usd,is_large_order_line
SOL0000000001,SO00000001,1,SKU0000598,15.0,99.61,25.0,Backordered,True,True,True,1494.15,373.5375,1120.6125000000002,CUST000239,2026-01-24,2026-02-08,Marketplace,Created,Normal,USD,WH0015,Apparel,Basics,Cobalt,SUP00041,41.64,27.971,2026-01-24,1.0,1120.6125000000002,1494.15,373.5375,624.6,496.01250000000016,False
SOL0000000002,SO00000001,2,SKU0000591,1.0,94.97,5.0,Open,True,True,True,94.97,4.7485,90.22149999999999,CUST000239,2026-01-24,2026-02-08,Marketplace,Created,Normal,USD,WH0015,Home,Lighting,Solace,SUP00021,65.08,69.472,2026-01-24,1.0,90.22149999999999,94.97,4.7485,65.08,25.141499999999994,False
SOL0000000003,SO00000001,3,SKU0000289,25.0,424.52,2.5,Backordered,True,True,True,10613.0,265.325,10347.675,CUST000239,2026-01-24,2026-02-08,Marketplace,Created,Normal,USD,WH0015,Home,Storage,Solace,SUP00003,191.42,67.611,2026-01-24,1.0,10347.675,10613.0,265.325,4785.5,5562.174999999999,False
SOL0000000004,SO00000001,4,SKU0000410,3.0,76.12,25.0,Open,True,True,True,228.36,57.09,171.27,CUST000239,2026-01-24,2026-02-08,Marketplace,Created,Normal,USD,WH0015,Apparel,Basics,Solace,SUP00004,59.8,55.218,2026-01-24,1.0,171.27,228.36,57.09,179.39999999999998,-8.129999999999967,False
SOL0000000010,SO00000004,1,SKU0000240,1.0,558.94,2.5,Allocated,True,True,True,558.94,13.973500000000001,544.9665,CUST000323,2026-03-29,2026-04-06,Marketplace,Cancelled,Critical,EUR,WH0003,Apparel,Basics,Nimbus,SUP00116,276.39,62.008,2026-03-29,1.075984,586.375234536,601.41049696,15.035262424000003,297.39121776,288.984016776,False
SOL0000000012,SO00000004,3,SKU0000081,50.0,509.8,0.0,Open,True,True,True,25490.0,0.0,25490.0,CUST000323,2026-03-29,2026-04-06,Marketplace,Cancelled,Critical,EUR,WH0003,Home,Storage,Nimbus,SUP00008,227.93,0.786,2026-03-29,1.075984,27426.83216,27426.83216,0.0,12262.451656000001,15164.380504,True
SOL0000000028,SO00000008,1,SKU0000128,10.0,287.67,2.5,Allocated,True,True,True,2876.7000000000003,71.9175,2804.7825000000003,CUST000332,2026-01-08,2026-01-23,B2B Portal,Partially Shipped,Critical,USD,WH0018,Electronics,Smart Home,Northline,SUP00023,219.71,39.798,2026-01-08,1.0,2804.7825000000003,2876.7000000000003,71.9175,2197.1,607.6825000000003,False
SOL0000000029,SO00000008,2,SKU0000287,5.0,271.01,15.0,Allocated,True,True,True,1355.05,203.2575,1151.7925,CUST000332,2026-01-08,2026-01-23,B2B Portal,Partially Shipped,Critical,USD,WH0018,Office,Printing,Everpeak,SUP00070,153.33,11.312,2026-01-08,1.0,1151.7925,1355.05,203.2575,766.6500000000001,385.1424999999999,False
SOL0000000030,SO00000008,3,SKU0000001,2.0,216.79,0.0,Cancelled,True,True,True,433.58,0.0,433.58,CUST000332,2026-01-08,2026-01-23,B2B Portal,Partially Shipped,Critical,USD,WH0018,Home,Kitchen,Solace,SUP00004,117.06,66.426,2026-01-08,1.0,433.58,433.58,0.0,234.12,199.45999999999998,False
SOL0000000034,SO00000010,1,SKU0000500,50.0,32.85,5.0,Allocated,True,True,True,1642.5,82.125,1560.375,CUST000189,2026-03-23,2026-03-26,Retail Store,Created,High,EUR,WH0025,Electronics,Computing,Aster,SUP00014,21.62,35.873,2026-03-23,1.073962,1675.78345575,1763.9825850000002,88.19912925000001,1160.9529220000002,514.8305337499999,False
