snapshot_date,warehouse_id,product_id,on_hand_qty,allocated_qty,available_qty,reorder_point,safety_stock_qty,inventory_status,valid_inventory_qty,stockout_flag,below_reorder_point_flag,overstock_flag
2026-01-31,WH0017,SKU0000497,5.0,3,2,500,200,Low,True,False,True,False
2026-01-31,WH0016,SKU0000273,1210.0,110,1100,100,100,Healthy,True,False,False,True
2026-01-31,WH0016,SKU0000668,290.0,18,272,50,25,Healthy,True,False,False,True
2026-01-31,WH0017,SKU0000331,353.0,185,168,50,100,Stockout,True,False,False,False
2026-01-31,WH0017,SKU0000676,862.0,147,715,100,100,Healthy,True,False,False,True
2026-01-31,WH0017,SKU0000239,1442.0,163,1279,250,100,Low,True,False,False,True
2026-01-31,WH0017,SKU0000040,1157.0,246,911,100,100,Low,True,False,False,True
2026-01-31,WH0017,SKU0000181,1028.0,443,585,500,25,Low,True,False,False,False
2026-01-31,WH0019,SKU0000524,1871.0,21,1850,50,25,Low,True,False,False,True
2026-01-31,WH0019,SKU0000545,380.0,218,162,50,100,Healthy,True,False,False,False
2026-01-31,WH0019,SKU0000256,345.0,309,36,250,200,Healthy,True,False,True,False
2026-01-31,WH0019,SKU0000150,1977.0,216,1761,500,50,Healthy,True,False,False,False
2026-01-31,WH0018,SKU0000463,1147.0,317,830,250,200,Healthy,True,False,False,False
2026-01-31,WH0018,SKU0000363,74.0,45,29,250,25,Overstock,True,False,True,False
2026-01-31,WH0018,SKU0000473,829.0,112,717,100,200,Healthy,True,False,False,True
2026-01-31,WH0018,SKU0000181,40.0,26,14,50,200,Healthy,True,False,True,False
2026-01-31,WH0016,SKU0000159,509.0,64,445,250,200,Healthy,True,False,False,False
2026-01-31,WH0014,SKU0000216,921.0,198,723,50,100,Overstock,True,False,False,True
2026-01-31,WH0013,SKU0000168,749.0,392,357,50,100,Overstock,True,False,False,True
2026-01-31,WH0013,SKU0000091,1777.0,99,1678,100,25,Healthy,True,False,False,True
2026-01-31,WH0014,SKU0000289,662.0,58,604,250,50,Overstock,True,False,False,False
2026-01-31,WH0014,SKU0000373,1696.0,243,1453,50,200,Overstock,True,False,False,True
2026-01-31,WH0013,SKU0000666,618.0,445,173,500,100,Stockout,True,False,True,False
2026-01-31,WH0013,SKU0000602,1311.0,444,867,50,100,Healthy,True,False,False,True
2026-01-31,WH0014,SKU0000285,1524.0,486,1038,50,25,Stockout,True,False,False,True
2026-01-31,WH0014,SKU0000191,1590.0,58,1532,100,200,Healthy,True,False,False,True
2026-01-31,WH0016,SKU0000077,560.0,470,90,100,50,Stockout,True,False,True,False
