order_date,sales_channel,order_count,line_count,units_ordered,net_sales_usd,gross_margin_usd
2026-01-01,B2B Portal,1,1,25.0,3856.525,1783.775
2026-01-01,EDI,1,4,51.0,14474.9100019875,4895.8623323675
2026-01-01,Marketplace,1,4,13.0,1607.2545,588.8745000000001
2026-01-01,Phone,1,3,56.0,3120.3365,1766.0964999999999
2026-01-02,B2B Portal,4,12,65.0,8245.958552119,2586.622883939
2026-01-02,EDI,2,4,56.0,14748.57930725,8649.394652250001
2026-01-02,Phone,1,2,51.0,1004.7860693,390.79389986
2026-01-02,Retail Store,2,5,53.0,16609.250500000002,5494.0005
2026-01-03,B2B Portal,3,11,152.0,23985.051292525,12900.711988075
2026-01-03,EDI,2,8,207.0,53849.3825,19597.0025
2026-01-03,Marketplace,4,12,153.0,51687.131106882494,23025.4826736125
2026-01-03,Phone,2,4,79.0,10923.701843574001,5576.429120354001
2026-01-03,Retail Store,1,1,5.0,1727.55,663.3499999999999
2026-01-04,B2B Portal,2,7,134.0,35239.020878534,19520.406320934002
2026-01-04,EDI,1,3,35.0,456.27503126,197.15882965999998
2026-01-05,B2B Portal,1,5,105.0,603.5971797775,118.85859367749994
2026-01-05,EDI,2,7,110.0,24512.9279029775,9585.8819388775
2026-01-05,Marketplace,1,4,100.0,14273.9874468,6167.193571650001
2026-01-05,Phone,1,2,20.0,5472.486451225,1503.035385225
2026-01-05,Retail Store,1,2,27.0,8656.367,2613.9269999999997
2026-01-06,B2B Portal,2,8,113.0,27983.198750000003,13902.698750000001
2026-01-06,EDI,2,5,76.0,14903.393542374997,5741.761462734999
2026-01-06,Phone,1,2,60.0,878.5549086999999,339.1733330999999
2026-01-06,Retail Store,1,1,50.0,968.575,399.57500000000005
2026-01-07,B2B Portal,1,2,12.0,2598.745359056,1487.886086096
2026-01-07,EDI,1,3,31.0,16891.815,9678.764999999998
2026-01-07,Marketplace,1,4,92.0,27313.5295,13271.1295
2026-01-08,B2B Portal,1,3,17.0,4390.155000000001,1192.2850000000003
2026-01-08,Marketplace,2,5,127.0,25334.6687086985,12128.694466108498
2026-01-08,Phone,1,1,3.0,68.5485873225,27.3770432325
2026-01-08,Retail Store,2,6,18.0,3101.89,1133.17
2026-01-09,B2B Portal,2,4,26.0,3498.5349782050002,1804.496874005
2026-01-09,EDI,2,4,39.0,13099.448689115,6288.884079295
2026-01-09,Marketplace,1,3,41.0,14313.539999999999,8726.17
2026-01-09,Phone,1,3,52.0,21811.17375,10057.453749999999
2026-01-09,Retail Store,1,4,93.0,1944.6135809375003,782.9489878375002
2026-01-10,B2B Portal,3,9,173.0,22920.030756868,8081.254820597999
2026-01-10,EDI,1,5,31.0,3219.863,1941.993
2026-01-10,Phone,1,1,2.0,278.46000000000004,107.42000000000004
2026-01-10,Retail Store,2,5,65.0,19803.2005,9341.5805
2026-01-11,Phone,2,2,13.0,4583.898328162501,2319.3910154325004
2026-01-11,Retail Store,1,1,1.0,248.74125412499998,33.10559570500001
2026-01-12,B2B Portal,3,12,103.0,27960.94060617,14335.68717492
2026-01-13,B2B Portal,2,6,46.0,18035.188203987498,9572.5747976375
2026-01-13,EDI,1,1,1.0,65.12,37.88000000000001
2026-01-13,Marketplace,3,6,66.0,11208.67622003875,5476.637572438749
2026-01-13,Phone,1,5,137.0,31615.487499999996,13456.257499999998
2026-01-14,B2B Portal,3,7,61.0,19171.03798625,8542.8216335
2026-01-14,EDI,1,2,26.0,9912.5375,5864.477500000001
2026-01-14,Marketplace,1,5,41.0,10882.3835,5790.0935
2026-01-14,Phone,2,4,63.0,12990.74461266,6061.179309360001
2026-01-14,Retail Store,1,3,12.0,4970.20073902,2640.24376447
2026-01-15,B2B Portal,4,11,274.0,64175.297705862504,26938.252019562504
2026-01-15,Marketplace,1,1,50.0,1883.066472,1137.858677
2026-01-15,Retail Store,1,1,25.0,3761.0,2204.0
2026-01-16,B2B Portal,1,4,35.0,13129.2175,6465.7675
2026-01-16,Marketplace,1,1,1.0,352.0041837435,187.1538922535
2026-01-16,Phone,1,5,70.0,525.4249699124999,253.16855996249998
2026-01-17,B2B Portal,2,5,64.0,4940.4618629985,1937.8684678984994
2026-01-17,EDI,1,2,25.0,4243.56868605,1043.6886617000002
2026-01-17,Marketplace,2,8,87.0,16381.417654582,7348.305869741999
2026-01-17,Phone,2,8,146.0,25002.490250000003,8181.51025
2026-01-18,Marketplace,1,1,1.0,31.106026159999995,16.974913559999997
2026-01-18,Phone,2,3,101.0,2461.7780687239997,1042.759845104
2026-01-18,Retail Store,2,5,36.0,4925.6817866375,2016.3383746475
2026-01-19,B2B Portal,2,3,65.0,1023.508774325,385.16406242500005
2026-01-19,Marketplace,1,3,5.0,2478.656862844,949.6304212839998
2026-01-20,EDI,1,1,50.0,11524.0125,4140.012500000001
2026-01-20,Marketplace,1,4,50.0,15307.0125,6566.062500000001
2026-01-20,Retail Store,2,8,74.0,6181.59545921,1382.8374545899999
2026-01-21,EDI,1,5,161.0,54143.954,27607.834000000003
2026-01-21,Retail Store,2,6,110.0,28296.04125,9613.64125
2026-01-22,B2B Portal,1,3,77.0,38015.2235,19538.323500000002
2026-01-22,EDI,1,3,5.0,1530.151315269,721.1263735890001
2026-01-22,Marketplace,1,5,76.0,22603.38,9465.500000000002
2026-01-22,Phone,2,3,22.0,7384.800278425,1153.3121059249993
2026-01-22,Retail Store,4,13,140.0,31648.0795,11880.4395
2026-01-23,B2B Portal,1,4,22.0,1525.8982580000002,792.1012757000001
2026-01-23,Marketplace,3,10,128.0,28736.796,20598.126
2026-01-23,Phone,1,1,50.0,12734.625,4981.625
2026-01-23,Retail Store,1,2,6.0,1339.9839411800003,-55.523136819999905
2026-01-24,B2B Portal,1,4,34.0,14270.52233996,8348.05237028
2026-01-24,EDI,1,3,12.0,166.78617036499998,51.37146972499998
2026-01-24,Marketplace,2,7,52.0,12613.7119887785,6457.202411438499
2026-01-24,Phone,1,3,60.0,8715.57,3698.27
2026-01-24,Retail Store,1,2,50.0,582.67386301875,309.89381076875003
2026-01-25,B2B Portal,1,1,50.0,35447.5,22133.0
2026-01-25,Retail Store,2,5,66.0,12416.767197738,3200.8438764380003
2026-01-26,B2B Portal,3,5,83.0,23415.64358625,9440.0502225
2026-01-26,EDI,3,3,31.0,9096.5125344285,3384.3473648985
2026-01-26,Marketplace,2,5,145.0,15733.69638225,4631.701689300001
2026-01-26,Phone,1,2,6.0,1784.46,731.07
2026-01-27,B2B Portal,1,1,5.0,933.6125,283.86249999999995
2026-01-28,EDI,1,1,50.0,9372.0,4222.0
2026-01-28,Phone,1,5,67.0,10179.586120486249,3499.4871130862493
2026-01-29,EDI,2,5,71.0,28621.75590271575,11444.41638473575
2026-01-29,Retail Store,1,5,29.0,451.26463027200003,192.570757632
2026-01-30,B2B Portal,1,3,66.0,504.34696771875,214.33520671875004
2026-01-30,EDI,4,7,177.0,53097.85148816,19316.850217760002
2026-01-30,Retail Store,1,4,33.0,9899.0535,3685.2034999999996
2026-01-31,B2B Portal,1,3,56.0,702.4429341125001,271.7611269625001
2026-01-31,Phone,1,3,41.0,16417.042445705996,8483.111209566
2026-01-31,Retail Store,2,5,68.0,23742.948,8414.408000000001
2026-02-01,B2B Portal,2,6,23.0,4594.3088749,1398.27454214
2026-02-01,Marketplace,1,2,13.0,2447.022309862,1041.910738102
2026-02-01,Retail Store,2,5,41.0,17416.587902784002,9639.601280084002
2026-02-02,EDI,1,3,35.0,379.17144460000003,194.9988826
2026-02-02,Marketplace,1,3,115.0,13583.385,7019.885
2026-02-02,Retail Store,2,4,39.0,4042.723224762,1800.6397696019997
2026-02-03,B2B Portal,1,1,25.0,11283.62873625,4427.8454025
2026-02-03,EDI,2,2,13.0,4679.35087542,2165.52020767
2026-02-03,Retail Store,2,6,82.0,12840.36726065475,4366.40394188475
2026-02-04,B2B Portal,2,6,75.0,9105.5848577095,2876.3966474395
2026-02-04,EDI,1,3,42.0,15903.155,6857.174999999999
2026-02-04,Phone,1,2,12.0,1411.844,520.6840000000001
2026-02-05,B2B Portal,2,7,73.0,18118.9291486675,8214.032292217498
2026-02-05,EDI,2,2,20.0,8726.17201456,4409.009476959999
2026-02-05,Marketplace,1,2,28.0,325.48429059,72.30583777
