product_id,category,subcategory,brand,units_ordered,net_sales_usd,gross_margin_usd,order_count,returned_qty,refund_amount,return_count,return_rate
SKU0000083,Health,Wellness,Nimbus,161.0,80122.14382821199,45830.432789962,10,0.0,0.0,0.0,0.0
SKU0000089,Office,Organization,Solace,129.0,64405.45723112,31103.206087219995,6,0.0,0.0,0.0,0.0
SKU0000542,Electronics,Computing,Solace,137.0,62192.245359500004,28302.675817000003,5,5.0,392.14,1.0,0.0364963503649635
SKU0000214,Health,Medical Supplies,Cobalt,80.0,54287.2671583825,32821.4356003925,4,1.0,394.06,1.0,0.0125
SKU0000177,Home,Storage,Aster,105.0,50351.907507460004,27347.554875460002,6,0.0,0.0,0.0,0.0
SKU0000570,Grocery,Frozen,Everpeak,78.0,49892.13563845,27348.133594479998,5,0.0,0.0,0.0,0.0
SKU0000238,Electronics,Accessories,Aster,128.0,49295.722871570004,19415.17599381,4,0.0,0.0,0.0,0.0
SKU0000655,Office,Desk Setup,Solace,90.0,48435.592218000005,29322.708795450002,5,0.0,0.0,0.0,0.0
SKU0000237,Electronics,Computing,Aster,61.0,47049.339870715005,29018.757499365,3,0.0,0.0,0.0,0.0
SKU0000282,Apparel,Footwear,Cobalt,91.0,46555.917091875,26763.945566875,5,0.0,0.0,0.0,0.0
SKU0000141,Apparel,Outerwear,Everpeak,100.0,45865.836580799994,16793.4553608,2,0.0,0.0,0.0,0.0
SKU0000535,Health,Personal Care,Aster,100.0,44203.6312096875,19967.830223437497,6,0.0,0.0,0.0,0.0
SKU0000512,Office,Printing,Cobalt,71.0,44112.32910545,22947.832020349997,4,3.0,81.08,1.0,0.04225352112676056
SKU0000096,Home,Storage,Everpeak,63.0,40575.3893828,22131.7160178,3,0.0,0.0,0.0,0.0
SKU0000619,Apparel,Outerwear,Cobalt,96.0,39142.436252715,18724.749210154998,5,0.0,0.0,0.0,0.0
SKU0000326,Office,Stationery,Aster,75.0,38785.5,21228.0,2,0.0,0.0,0.0,0.0
SKU0000149,Home,Furniture,Nimbus,86.0,38605.8118011535,15862.7166437035,7,5.0,71.29,1.0,0.05813953488372093
SKU0000280,Grocery,Pantry,Solace,153.0,38219.8438750875,18865.6162745875,4,1.0,596.79,1.0,0.006535947712418301
SKU0000498,Electronics,Accessories,Everpeak,93.0,36034.216348760005,8824.846835600003,4,0.0,0.0,0.0,0.0
SKU0000118,Health,Pharmacy,Everpeak,88.0,35169.906710056006,11369.856912176001,7,0.0,0.0,0.0,0.0
SKU0000194,Grocery,Beverage,Cobalt,63.0,34825.91387147,19203.23384459,6,0.0,0.0,0.0,0.0
SKU0000642,Apparel,Basics,Solace,66.0,34288.6498965075,16522.2869358475,3,0.0,0.0,0.0,0.0
SKU0000179,Office,Organization,Everpeak,90.0,33516.394742385,18344.735015985,4,1.0,42.28,1.0,0.011111111111111112
SKU0000573,Apparel,Fitness,Solace,130.0,33150.012210425004,6279.901934824999,5,0.0,0.0,0.0,0.0
SKU0000242,Home,Kitchen,Everpeak,88.0,32972.8734933,16967.449724550002,5,2.0,131.9,1.0,0.022727272727272728
SKU0000127,Apparel,Outerwear,Nimbus,75.0,31872.91172176,18582.49049876,3,0.0,0.0,0.0,0.0
SKU0000444,Health,Medical Supplies,Everpeak,107.0,31825.85768553,10771.70638628,5,0.0,0.0,0.0,0.0
SKU0000066,Grocery,Beverage,Solace,52.0,31787.982550899997,20231.145009899996,2,0.0,0.0,0.0,0.0
SKU0000072,Grocery,Snack,Cobalt,93.0,31227.293020210003,16628.35109173,4,0.0,0.0,0.0,0.0
SKU0000156,Home,Storage,Cobalt,130.0,30715.524254000004,13089.769733000001,4,0.0,0.0,0.0,0.0
SKU0000201,Home,Lighting,Everpeak,70.0,30401.541250000002,16270.64125,3,0.0,0.0,0.0,0.0
SKU0000502,Office,Organization,Everpeak,38.0,30247.359430049997,18050.4879153,4,0.0,0.0,0.0,0.0
SKU0000525,Apparel,Fitness,Everpeak,89.0,29605.6295168305,29605.6295168305,5,1.0,908.6800000000001,2.0,0.011235955056179775
SKU0000346,Apparel,Basics,Cobalt,80.0,29498.69574035,11119.819936389998,5,0.0,195.31,1.0,0.0
SKU0000588,Apparel,Fitness,Cobalt,97.0,29435.892924400996,14904.797835960997,6,4.0,1014.24,2.0,0.041237113402061855
SKU0000162,Electronics,Smart Home,Nimbus,66.0,29356.168250000002,15404.42825,4,0.0,0.0,0.0,0.0
SKU0000081,Home,Storage,Nimbus,53.0,29008.61816,16062.376504,3,0.0,0.0,0.0,0.0
SKU0000483,Electronics,Audio,Aster,86.0,28957.086683870002,17780.24144867,4,0.0,0.0,0.0,0.0
SKU0000264,Grocery,Beverage,Nimbus,55.0,28745.454181040997,14237.969330890995,4,0.0,0.0,0.0,0.0
SKU0000612,Health,Medical Supplies,Aster,76.0,28148.679909391998,16490.533287812,6,0.0,0.0,0.0,0.0
SKU0000268,Office,Desk Setup,Everpeak,95.0,27998.88311001,6906.35294126,6,2.0,450.31,1.0,0.021052631578947368
SKU0000204,Home,Storage,Solace,63.0,27885.5173874275,13027.0267648375,4,0.0,0.0,0.0,0.0
SKU0000038,Electronics,Computing,Nimbus,51.0,27873.06,15617.76,2,0.0,0.0,0.0,0.0
SKU0000611,Electronics,Accessories,Aster,62.0,27522.927969750002,15855.16040835,3,0.0,0.0,0.0,0.0
SKU0000022,Apparel,Footwear,Solace,67.0,27431.84240771,11778.34025496,3,0.0,0.0,0.0,0.0
SKU0000424,Grocery,Beverage,Everpeak,52.0,27253.487537547502,14435.6847835275,5,0.0,0.0,0.0,0.0
SKU0000191,Apparel,Fitness,Everpeak,66.0,26983.426599,9853.243425,4,0.0,0.0,0.0,0.0
SKU0000330,Apparel,Basics,Aster,52.0,26816.878329026,14529.415968906,2,0.0,0.0,0.0,0.0
SKU0000240,Apparel,Basics,Nimbus,47.0,26585.553143936002,13236.496839326,5,0.0,0.0,0.0,0.0
SKU0000554,Home,Storage,Cobalt,72.0,26295.520600321997,14426.166258661999,6,0.0,0.0,0.0,0.0
SKU0000125,Office,Stationery,Aster,108.0,25775.539770835,14125.175182735002,6,2.0,275.98,1.0,0.018518518518518517
SKU0000008,Apparel,Basics,Solace,56.0,25641.668,9112.148000000001,3,5.0,524.5,1.0,0.08928571428571429
SKU0000084,Home,Storage,Everpeak,75.0,25321.0444869375,10489.0127239375,2,0.0,0.0,0.0,0.0
SKU0000093,Apparel,Outerwear,Aster,53.0,25144.58950416,11332.575311820001,3,3.0,147.65,1.0,0.05660377358490566
SKU0000478,Apparel,Footwear,Solace,113.0,25102.709205831252,14974.975044081251,7,1.0,132.84,1.0,0.008849557522123894
SKU0000355,Electronics,Computing,Aster,133.0,24950.5065708,9575.2700484,5,0.0,0.0,0.0,0.0
SKU0000432,Electronics,Computing,Northline,70.0,24938.362667253,10710.953672653002,4,0.0,0.0,0.0,0.0
SKU0000187,Apparel,Footwear,Everpeak,50.0,24103.5,13377.0,1,1.0,165.0,1.0,0.02
SKU0000178,Apparel,Fitness,Solace,51.0,23645.53719375,12126.95300625,2,0.0,0.0,0.0,0.0
SKU0000063,Home,Storage,Aster,101.0,23355.873084890503,8579.7446300105,3,0.0,0.0,0.0,0.0
SKU0000387,Grocery,Pantry,Nimbus,75.0,23350.4350862125,12341.8254002125,3,0.0,0.0,0.0,0.0
SKU0000681,Grocery,Pantry,Cobalt,78.0,23277.56873735,7983.570288089999,4,3.0,393.06,1.0,0.038461538461538464
SKU0000376,Electronics,Audio,Nimbus,80.0,23131.4753145,7290.6054970000005,3,0.0,0.0,0.0,0.0
SKU0000028,Health,Pharmacy,Solace,125.0,22846.37672774,7690.448270839999,4,0.0,0.0,0.0,0.0
SKU0000520,Home,Furniture,Everpeak,150.0,22335.4226,5205.210861500001,3,1.0,505.89,1.0,0.006666666666666667
SKU0000464,Electronics,Accessories,Aster,134.0,22253.815274958,9914.029333957998,6,3.0,197.2,1.0,0.022388059701492536
SKU0000012,Health,Wellness,Aster,77.0,21920.723947500002,9140.526976500001,3,1.0,17.26,1.0,0.012987012987012988
SKU0000350,Office,Desk Setup,Aster,63.0,21673.9889896375,7529.3204698975,5,1.0,148.8,1.0,0.015873015873015872
SKU0000414,Electronics,Computing,Cobalt,119.0,21099.601356976,4713.809023716001,6,0.0,41.5,1.0,0.0
SKU0000319,Apparel,Outerwear,Nimbus,32.0,21082.5408248625,12837.0247082525,4,3.0,806.27,2.0,0.09375
SKU0000497,Office,Desk Setup,Solace,117.0,20962.1029323,5291.2765785599995,5,0.0,0.0,0.0,0.0
SKU0000154,Grocery,Pantry,Nimbus,48.0,20883.84475,7163.044749999999,4,0.0,0.0,0.0,0.0
SKU0000110,Health,Pharmacy,Northline,50.0,20855.5,12341.0,1,0.0,0.0,0.0,0.0
SKU0000005,Health,Wellness,Everpeak,136.0,20600.196067039,2365.6408395190006,7,6.0,410.77,2.0,0.04411764705882353
SKU0000563,Office,Organization,Northline,103.0,20587.830072,10549.925555999998,4,0.0,0.0,0.0,0.0
SKU0000272,Apparel,Fitness,Solace,42.0,20321.735988744003,9538.810610904004,5,0.0,0.0,0.0,0.0
SKU0000559,Apparel,Basics,Solace,39.0,20231.142477319998,11932.66530307,4,0.0,0.0,0.0,0.0
SKU0000250,Home,Lighting,Nimbus,81.0,20209.834234,11986.136835999998,4,0.0,0.0,0.0,0.0
SKU0000289,Home,Storage,Solace,55.0,20127.42415125,9187.302172249998,3,3.0,98.68,1.0,0.05454545454545454
SKU0000293,Health,Wellness,Nimbus,119.0,20106.6939808125,2505.2527748124976,5,0.0,0.0,0.0,0.0
SKU0000030,Apparel,Basics,Nimbus,51.0,19887.281888815,11307.358965515,2,5.0,398.75,1.0,0.09803921568627451
SKU0000290,Apparel,Outerwear,Everpeak,55.0,19844.6878063,7107.77375925,2,5.0,39.2,1.0,0.09090909090909091
SKU0000043,Health,Medical Supplies,Cobalt,51.0,19697.4997815585,8819.8662899385,5,0.0,0.0,0.0,0.0
SKU0000245,Home,Lighting,Everpeak,55.0,19622.949999999997,8107.049999999998,2,5.0,503.83,1.0,0.09090909090909091
SKU0000486,Apparel,Basics,Everpeak,55.0,19267.95495,9940.225031999998,3,2.0,322.38,1.0,0.03636363636363636
SKU0000606,Health,Pharmacy,Cobalt,78.0,19182.773595,11000.807529000002,4,0.0,0.0,0.0,0.0
SKU0000439,Apparel,Footwear,Northline,85.0,18859.6538680625,1737.1600391624997,6,2.0,344.67,1.0,0.023529411764705882
SKU0000615,Electronics,Accessories,Aster,60.0,18777.46756038,2573.7684799800013,2,0.0,0.0,0.0,0.0
SKU0000332,Health,Medical Supplies,Aster,44.0,18679.66,7178.500000000001,4,3.0,330.08,1.0,0.06818181818181818
SKU0000641,Grocery,Snack,Solace,40.0,18638.431199,11148.501215,5,0.0,0.0,0.0,0.0
SKU0000475,Office,Organization,Northline,36.0,18636.064300685,8628.764299084998,4,0.0,0.0,0.0,0.0
SKU0000515,Apparel,Outerwear,Northline,52.0,18511.692000000003,11025.252000000002,2,0.0,0.0,0.0,0.0
SKU0000108,Home,Storage,Aster,44.0,18431.061703201252,10273.82208345125,5,0.0,0.0,0.0,0.0
SKU0000104,Apparel,Basics,Cobalt,73.0,18398.974000000002,7079.594000000001,5,0.0,0.0,0.0,0.0
SKU0000235,Health,Wellness,Everpeak,75.0,18168.125,7827.125,2,0.0,0.0,0.0,0.0
SKU0000566,Home,Furniture,Northline,78.0,17986.033841063996,8235.050220743997,3,0.0,0.0,0.0,0.0
SKU0000649,Health,Personal Care,Cobalt,62.0,17985.394669562,10231.055031262,3,0.0,169.18,1.0,0.0
SKU0000032,Health,Wellness,Solace,105.0,17967.5360541985,6255.5379919384995,6,0.0,0.0,0.0,0.0
SKU0000269,Home,Kitchen,Solace,58.0,17748.80095744,1183.9446002800012,4,0.0,0.0,0.0,0.0
SKU0000625,Apparel,Footwear,Nimbus,47.0,17394.187858100002,6637.67944541,5,2.0,563.04,1.0,0.0425531914893617
SKU0000539,Home,Kitchen,Nimbus,55.0,17359.1925,5129.3925,2,0.0,0.0,0.0,0.0
SKU0000123,Electronics,Smart Home,Everpeak,40.0,17356.216233007497,8612.261706007497,3,0.0,0.0,0.0,0.0
SKU0000234,Electronics,Accessories,Solace,84.0,17072.838685125,9479.333637625,5,1.0,117.61,1.0,0.011904761904761904
SKU0000011,Health,Medical Supplies,Everpeak,57.0,16996.86993793125,4184.170699431249,5,0.0,0.0,0.0,0.0
SKU0000648,Grocery,Beverage,Everpeak,100.0,16896.574813295,6606.591586195,4,1.0,125.08,1.0,0.01
SKU0000334,Electronics,Computing,Solace,100.0,16747.277246999998,8060.460184999999,2,0.0,0.0,0.0,0.0
SKU0000454,Home,Kitchen,Aster,56.0,16730.88825249,6112.385163229999,3,0.0,0.0,0.0,0.0
SKU0000064,Health,Wellness,Everpeak,69.0,16555.15767884,9058.84211712,4,0.0,0.0,0.0,0.0
SKU0000534,Grocery,Beverage,Nimbus,55.0,16554.678423999998,5142.6905799999995,3,0.0,0.0,0.0,0.0
SKU0000115,Grocery,Beverage,Cobalt,90.0,16525.425195832497,3445.135422632498,3,1.0,245.9,1.0,0.011111111111111112
SKU0000385,Apparel,Outerwear,Northline,53.0,16500.40312245,10575.474168249999,4,0.0,0.0,0.0,0.0
SKU0000247,Home,Furniture,Everpeak,94.0,16374.103232185,7494.773161695,6,0.0,0.0,0.0,0.0
SKU0000281,Electronics,Accessories,Everpeak,151.0,16235.849229500001,1851.079397500001,4,0.0,0.0,0.0,0.0
SKU0000685,Health,Wellness,Everpeak,31.0,16150.65592453,7791.577603859999,4,5.0,566.66,1.0,0.16129032258064516
SKU0000652,Electronics,Audio,Everpeak,34.0,15964.7536561535,8862.004316223502,6,0.0,0.0,0.0,0.0
SKU0000007,Office,Desk Setup,Aster,79.0,15840.79973925,7531.2727149,4,0.0,0.0,0.0,0.0
SKU0000158,Apparel,Basics,Solace,126.0,15832.416881000001,7324.6777045,5,6.0,1039.87,3.0,0.047619047619047616
SKU0000616,Health,Wellness,Nimbus,98.0,15811.362535725,7473.697782125001,6,0.0,0.0,0.0,0.0
SKU0000220,Electronics,Accessories,Northline,53.0,15779.191055616002,2908.6180676160016,6,0.0,0.0,0.0,0.0
SKU0000288,Office,Organization,Nimbus,65.0,15476.273586250001,5521.6502225,5,0.0,0.0,0.0,0.0
SKU0000164,Apparel,Basics,Nimbus,50.0,15448.500000000002,8001.500000000002,1,0.0,0.0,0.0,0.0
SKU0000295,Health,Medical Supplies,Solace,70.0,15432.95965517,6811.11376221,4,2.0,76.8,1.0,0.02857142857142857
SKU0000195,Health,Personal Care,Aster,58.0,15346.603314582002,7485.307504242002,4,0.0,0.0,0.0,0.0
SKU0000638,Apparel,Basics,Solace,50.0,15325.0,4061.5,1,0.0,0.0,0.0,0.0
SKU0000262,Health,Wellness,Cobalt,74.0,15258.012827219998,6815.07189912,5,0.0,0.0,0.0,0.0
SKU0000010,Electronics,Computing,Everpeak,62.0,15064.673775275,9164.348506525,6,0.0,0.0,0.0,0.0
SKU0000495,Apparel,Footwear,Aster,52.0,14902.197793450001,8521.70137145,4,2.0,531.8,1.0,0.038461538461538464
SKU0000101,Health,Personal Care,Nimbus,81.0,14652.4644312325,8937.016792232502,6,0.0,0.0,0.0,0.0
SKU0000097,Health,Personal Care,Nimbus,82.0,14626.653677702,8467.052899422,6,5.0,579.23,1.0,0.06097560975609756
SKU0000099,Electronics,Computing,Everpeak,34.0,14536.31616,8032.8797933,4,1.0,228.12,1.0,0.029411764705882353
SKU0000647,Electronics,Computing,Northline,70.0,14535.744362229,1880.861724629,5,0.0,0.0,0.0,0.0
SKU0000020,Office,Desk Setup,Solace,62.0,14473.265230280002,8921.908904599999,3,0.0,0.0,0.0,0.0
SKU0000561,Home,Furniture,Solace,77.0,14266.630000000001,3122.420000000002,3,0.0,0.0,0.0,0.0
SKU0000460,Apparel,Basics,Cobalt,75.0,14243.426369325,984.0224913250004,2,0.0,0.0,0.0,0.0
SKU0000631,Office,Printing,Aster,42.0,14243.39799465,4737.965723050001,5,0.0,0.0,0.0,0.0
SKU0000587,Grocery,Snack,Everpeak,62.0,13753.680964855,3978.7423081550005,5,0.0,0.0,0.0,0.0
SKU0000494,Electronics,Smart Home,Aster,77.0,13685.123672767999,7292.219988047999,4,0.0,0.0,0.0,0.0
SKU0000348,Electronics,Computing,Aster,25.0,13643.630000000001,6717.880000000001,2,0.0,0.0,0.0,0.0
SKU0000427,Office,Printing,Northline,105.0,13431.7191966,4571.3021373500005,3,0.0,0.0,0.0,0.0
SKU0000298,Grocery,Snack,Aster,33.0,13423.02786557125,8418.04646897125,4,0.0,285.17,1.0,0.0
SKU0000608,Home,Furniture,Cobalt,51.0,13204.6427209875,4782.6130474875,2,0.0,0.0,0.0,0.0
SKU0000324,Electronics,Accessories,Everpeak,42.0,13157.03589393,2957.0055126,3,0.0,0.0,0.0,0.0
SKU0000664,Electronics,Accessories,Aster,22.0,13146.877461643999,8052.951167924,3,0.0,0.0,0.0,0.0
SKU0000236,Electronics,Audio,Solace,78.0,13130.29,6211.69,3,0.0,267.38,1.0,0.0
SKU0000484,Home,Lighting,Everpeak,61.0,12978.37400334,5452.35989409,4,0.0,0.0,0.0,0.0
SKU0000080,Grocery,Pantry,Solace,22.0,12941.504778755,6791.161702515001,3,0.0,0.0,0.0,0.0
SKU0000487,Electronics,Smart Home,Northline,82.0,12861.109461,7192.1570985,4,0.0,0.0,0.0,0.0
SKU0000467,Health,Wellness,Aster,26.0,12762.863749999999,6090.483749999999,2,2.0,363.38,1.0,0.07692307692307693
SKU0000231,Home,Furniture,Aster,55.0,12740.19664632,6249.98987802,2,0.0,0.0,0.0,0.0
SKU0000689,Home,Storage,Everpeak,72.0,12705.709543744,7573.189943704001,4,0.0,0.0,0.0,0.0
SKU0000466,Apparel,Fitness,Nimbus,56.0,12528.6386210625,7820.5687420625,3,0.0,0.0,0.0,0.0
SKU0000006,Home,Kitchen,Cobalt,52.0,12496.174381799998,4849.4321912999985,2,0.0,0.0,0.0,0.0
SKU0000390,Home,Furniture,Nimbus,50.0,12470.5,3070.5,1,0.0,0.0,0.0,0.0
SKU0000091,Grocery,Snack,Aster,65.0,12380.369201149999,6994.225373149999,5,0.0,0.0,0.0,0.0
SKU0000490,Electronics,Audio,Solace,80.0,12373.518020995,6520.529074395,3,0.0,0.0,0.0,0.0
SKU0000445,Health,Medical Supplies,Nimbus,25.0,12222.942181,5050.166738499999,1,0.0,0.0,0.0,0.0
SKU0000377,Electronics,Computing,Cobalt,27.0,12180.5663989375,6962.9886401875,2,0.0,0.0,0.0,0.0
SKU0000317,Health,Personal Care,Solace,35.0,12055.40422126,5561.83739381,4,0.0,0.0,0.0,0.0
SKU0000079,Office,Stationery,Cobalt,53.0,11986.16,2685.19,2,0.0,0.0,0.0,0.0
SKU0000405,Health,Medical Supplies,Nimbus,120.0,11939.774936015001,6816.667258815,4,1.0,462.91,1.0,0.008333333333333333
SKU0000116,Home,Lighting,Northline,75.0,11935.064218,7210.791058,3,0.0,0.0,0.0,0.0
SKU0000610,Electronics,Accessories,Aster,58.0,11860.58532442,5909.956051759999,6,1.0,95.08,1.0,0.017241379310344827
SKU0000482,Apparel,Outerwear,Northline,52.0,11860.49054336,5571.01728316,6,0.0,0.0,0.0,0.0
SKU0000676,Health,Medical Supplies,Nimbus,26.0,11855.40432042,5633.38904916,3,0.0,0.0,0.0,0.0
SKU0000147,Electronics,Smart Home,Northline,33.0,11777.96117526,4079.7346826400008,3,0.0,0.0,0.0,0.0
SKU0000441,Electronics,Smart Home,Cobalt,25.0,11712.428905399998,5888.0271693999985,1,0.0,0.0,0.0,0.0
SKU0000248,Home,Lighting,Cobalt,108.0,11712.125367062501,3707.4018677125,5,3.0,44.42,1.0,0.027777777777777776
SKU0000215,Office,Stationery,Nimbus,60.0,11673.1124312,3538.67354,2,0.0,0.0,0.0,0.0
SKU0000662,Home,Lighting,Cobalt,76.0,11489.74227778,4705.23396078,5,0.0,282.36,1.0,0.0
SKU0000100,Grocery,Snack,Solace,86.0,11485.50903962,3095.29309838,6,5.0,25.12,1.0,0.05813953488372093
SKU0000669,Electronics,Smart Home,Cobalt,120.0,11440.544186812502,6419.551174312501,4,0.0,0.0,0.0,0.0
SKU0000666,Grocery,Beverage,Everpeak,65.0,11428.391131875002,2203.585012125002,2,0.0,0.0,0.0,0.0
SKU0000155,Grocery,Frozen,Northline,61.0,11325.193,4007.023,2,0.0,0.0,0.0,0.0
SKU0000595,Electronics,Computing,Nimbus,45.0,11197.97521069,5988.026695989998,4,0.0,0.0,0.0,0.0
SKU0000090,Electronics,Computing,Nimbus,29.0,11090.823216012499,5986.184494012498,3,1.0,434.03,1.0,0.034482758620689655
SKU0000605,Grocery,Frozen,Nimbus,85.0,11030.350790299999,4978.11964655,3,0.0,0.0,0.0,0.0
SKU0000151,Office,Organization,Cobalt,40.0,10976.1852504375,4866.0817186875,2,0.0,0.0,0.0,0.0
SKU0000315,Grocery,Frozen,Everpeak,23.0,10916.609432356,6925.953524355999,4,1.0,149.38,1.0,0.043478260869565216
SKU0000552,Health,Pharmacy,Cobalt,85.0,10913.152425,5213.739915,3,0.0,131.88,1.0,0.0
SKU0000677,Office,Stationery,Aster,51.0,10882.59685855,5511.901017409999,2,0.0,0.0,0.0,0.0
SKU0000172,Electronics,Computing,Northline,25.0,10837.2470949,4640.9226241,3,0.0,0.0,0.0,0.0
SKU0000506,Apparel,Fitness,Everpeak,33.0,10790.673951480001,5271.08198264,3,0.0,0.0,0.0,0.0
SKU0000225,Grocery,Beverage,Nimbus,69.0,10771.355082747501,2059.1818175475005,5,0.0,0.0,0.0,0.0
SKU0000366,Health,Medical Supplies,Nimbus,101.0,10746.77,1502.2400000000007,3,0.0,0.0,0.0,0.0
SKU0000061,Grocery,Beverage,Cobalt,25.0,10733.575,4877.075000000001,1,0.0,0.0,0.0,0.0
SKU0000604,Health,Wellness,Everpeak,35.0,10703.318890845,2475.566905244999,2,0.0,0.0,0.0,0.0
SKU0000180,Apparel,Basics,Northline,27.0,10681.577259200001,4646.573902720001,2,0.0,0.0,0.0,0.0
SKU0000462,Home,Lighting,Cobalt,26.0,10553.49670538,2905.7733612499997,4,3.0,477.64,1.0,0.11538461538461539
SKU0000297,Office,Desk Setup,Cobalt,44.0,10551.723215802502,2883.2102198025013,5,3.0,457.15,1.0,0.06818181818181818
SKU0000165,Grocery,Snack,Cobalt,48.0,10541.586780875,3615.2361901749996,4,0.0,0.0,0.0,0.0
SKU0000470,Health,Pharmacy,Everpeak,51.0,10478.97941784,5194.62514776,4,0.0,0.0,0.0,0.0
SKU0000577,Grocery,Pantry,Northline,23.0,10458.0312264,4883.9051693,3,0.0,0.0,0.0,0.0
SKU0000536,Health,Medical Supplies,Nimbus,19.0,10411.231574283,5734.589999562999,3,0.0,0.0,0.0,0.0
SKU0000562,Office,Organization,Aster,18.0,10407.887499999999,6494.3275,3,0.0,0.0,0.0,0.0
SKU0000538,Electronics,Audio,Aster,79.0,10373.61242736,2971.4360882600004,5,0.0,0.0,0.0,0.0
SKU0000546,Apparel,Fitness,Nimbus,61.0,10358.211731250001,1807.173832500002,4,0.0,0.0,0.0,0.0
SKU0000474,Apparel,Basics,Aster,27.0,10294.6805575,4431.9483679,3,0.0,0.0,0.0,0.0
SKU0000555,Health,Pharmacy,Cobalt,27.0,10242.183785270001,3060.979370600001,3,0.0,0.0,0.0,0.0
SKU0000455,Office,Organization,Solace,40.0,10198.4067824,6194.306368,3,0.0,0.0,0.0,0.0
SKU0000228,Electronics,Computing,Northline,65.0,10181.975485147499,2248.0177473974995,3,0.0,0.0,0.0,0.0
SKU0000015,Apparel,Outerwear,Nimbus,39.0,10159.999276575,987.5946540749998,5,0.0,0.0,0.0,0.0
SKU0000217,Apparel,Basics,Nimbus,23.0,10158.1668998,5132.902099800001,4,0.0,0.0,0.0,0.0
SKU0000333,Home,Kitchen,Everpeak,25.0,10114.3625,5800.362499999999,1,0.0,0.0,0.0,0.0
SKU0000529,Home,Lighting,Nimbus,44.0,10067.911965824998,2718.6310142249986,4,0.0,0.0,0.0,0.0
SKU0000259,Health,Medical Supplies,Northline,44.0,9939.944737425,4533.992179175,4,0.0,0.0,0.0,0.0
SKU0000175,Office,Organization,Everpeak,25.0,9904.111464,3813.039871,1,0.0,0.0,0.0,0.0
SKU0000208,Apparel,Fitness,Aster,25.0,9848.8875,5827.637500000001,1,0.0,0.0,0.0,0.0
SKU0000087,Health,Personal Care,Nimbus,31.0,9827.4166515325,5604.5540206725,6,0.0,0.0,0.0,0.0
SKU0000389,Health,Wellness,Solace,55.0,9777.228134045,3112.387996645001,4,0.0,0.0,0.0,0.0
SKU0000122,Office,Organization,Cobalt,60.0,9756.388282500002,3366.522840000001,2,1.0,498.86,1.0,0.016666666666666666
