supplier_id,po_count,ordered_units,po_spend_usd,supplier_name,supplier_tier,country,quality_score,on_time_delivery_rate,received_units,avg_fill_rate,late_receipt_count,receipt_count,computed_on_time_rate
SUP00060,1,600.0,7357.06335,Global Supplier 60,Strategic,DEU,90.06,0.898,0.0,0.0,0.0,0.0,1.0
SUP00110,3,600.0,76172.5,Pioneer Supplier 110,Preferred,CHN,88.38,0.7862,387.0,0.685,0.0,2.0,1.0
SUP00009,4,4200.0,405110.53923,Quantum Supplier 9,Backup,VNM,70.53,0.936,1550.0,0.7142857142857143,0.0,3.0,1.0
SUP00076,6,4000.0,634392.888702,Evergreen Supplier 76,Preferred,VNM,70.48,0.8722,2125.0,0.72,0.0,4.0,1.0
SUP00031,7,1950.0,236503.046125,Atlas Supplier 31,Standard,IND,98.65,0.7205,835.0,0.725,3.0,5.0,0.4
SUP00027,5,7000.0,786408.87682,Quantum Supplier 27,Standard,CHN,92.38,0.9086,3525.0,0.7428571428571429,0.0,3.0,1.0
SUP00116,7,1750.0,287316.421365,Atlas Supplier 116,Strategic,MEX,90.67,0.9565,699.0,0.7476,2.0,4.0,0.5
SUP00038,4,1650.0,304629.362094,Quantum Supplier 38,Strategic,DEU,89.53,0.6854,975.0,0.75,0.0,3.0,1.0
SUP00067,9,5250.0,1020359.6081275,Atlas Supplier 67,Backup,VNM,87.42,0.7047,2299.0,0.7567692307692309,4.0,9.0,0.5555555555555556
SUP00001,6,4500.0,614553.2242125,Evergreen Supplier 1,Backup,MEX,91.51,0.742,3229.0,0.7572727272727273,5.0,6.0,0.16666666666666663
SUP00026,6,3600.0,580065.778878,Global Supplier 26,Preferred,IND,76.13,0.8038,1900.0,0.7625,2.0,5.0,0.6
SUP00065,8,5300.0,535084.5934665,Evergreen Supplier 65,Strategic,CAN,95.84,0.8786,1775.0,0.7642857142857142,3.0,5.0,0.4
SUP00046,5,3750.0,531046.3798025,Global Supplier 46,Backup,DEU,97.73,0.9717,1485.0,0.7666666666666666,2.0,5.0,0.6
SUP00114,5,2800.0,329985.14402,Evergreen Supplier 114,Strategic,MEX,82.47,0.7595,1637.0,0.7696,0.0,4.0,1.0
