warehouse_id,sku_count,on_hand_qty,available_qty,stockout_sku_count,below_reorder_sku_count,overstock_sku_count,warehouse_name,region,capacity_units,shipment_count,late_delivery_count,avg_transit_days,shipping_cost,capacity_utilization_estimate
WH0025,345,334926.0,260485,4,77,158,Denver Hub,West,150000,27,16,8.197916666666666,4262.73,2.23284
WH0017,345,330589.0,254021,3,85,151,Boston Crossdock,Northeast,150000,24,13,8.170833333333333,2859.44,2.203926666666667
WH0019,349,355938.0,277044,3,64,167,Atlanta Crossdock,Southeast,100000,28,15,7.90530303030303,4996.86,3.55938
WH0021,344,341474.0,268049,2,72,147,Atlanta Dc,Southeast,75000,20,6,5.064814814814814,2541.7799999999997,4.5529866666666665
WH0018,345,351765.0,275140,2,71,177,Monterrey Fulfillment,Southwest,100000,21,5,5.962121212121212,1155.9899999999998,3.51765
WH0011,345,340827.0,266105,2,86,146,Denver Hub,West,75000,20,9,6.927083333333333,288.64,4.54436
WH0023,346,346706.0,270688,2,77,166,Vancouver Dc,West,75000,25,12,6.5984848484848495,4684.379999999999,4.622746666666667
WH0020,344,352362.0,279722,2,68,166,Atlanta Dc,Southeast,25000,23,14,6.041666666666667,4391.49,14.09448
WH0009,342,340224.0,267468,2,71,171,Miami Fulfillment,Southeast,75000,30,14,7.6875,5108.94,4.53632
WH0024,338,343512.0,267956,2,66,164,Seattle Fulfillment,West,75000,23,9,7.991666666666667,4715.2,4.58016
WH0012,348,341989.0,262490,1,70,162,Miami Dc,Southeast,25000,20,6,5.291666666666666,2552.4599999999996,13.67956
WH0010,348,346398.0,267398,1,62,155,Guadalajara Hub,Southwest,75000,25,8,5.8809523809523805,3977.9,4.61864
WH0015,346,333828.0,258781,1,82,149,Vancouver Crossdock,West,100000,16,7,7.401041666666666,2882.7200000000003,3.33828
WH0003,348,345506.0,272121,1,77,159,Guadalajara Crossdock,Southwest,150000,30,15,8.19607843137255,4375.29,2.3033733333333335
WH0006,349,344570.0,265988,1,74,158,Guadalajara Dc,Southwest,100000,26,9,7.045138888888889,3719.4399999999996,3.4457
WH0002,344,337938.0,263146,1,71,148,Boston Hub,Northeast,75000,31,16,7.517543859649123,3382.71,4.50584
WH0001,343,328370.0,254972,1,80,157,Vancouver Hub,West,100000,25,11,6.657407407407408,2202.95,3.2837
WH0008,346,354064.0,277967,0,66,152,Phoenix Dc,Southwest,150000,35,15,6.660714285714286,9036.68,2.3604266666666667
WH0007,344,353690.0,282459,0,72,162,Chicago Dc,Midwest,50000,28,9,6.965277777777778,4939.17,7.0738
WH0004,342,338107.0,262888,0,68,166,Guadalajara Dc,Southwest,50000,31,11,5.865384615384615,2794.57,6.76214
WH0005,345,354004.0,282527,0,68,161,Guadalajara Fulfillment,Southwest,25000,31,18,7.930555555555555,3061.39,14.16016
WH0016,345,326637.0,253325,0,86,158,Chicago Dc,Midwest,50000,29,14,5.7138888888888895,4847.87,6.53274
WH0014,350,336626.0,261969,0,77,160,Denver Crossdock,West,75000,22,13,8.755952380952381,3605.48,4.488346666666667
WH0013,344,332176.0,261717,0,84,154,Seattle Crossdock,West,150000,31,17,9.255208333333334,4794.389999999999,2.214506666666667
WH0022,346,361134.0,285128,0,57,162,Phoenix Dc,Southwest,75000,30,10,6.497395833333333,790.79,4.81512
