snapshot_date,warehouse_id,product_id,on_hand_qty,allocated_qty,available_qty,reorder_point,safety_stock_qty,inventory_status,valid_inventory_qty,quarantine_reason
2026-01-31,WH0005,SKU0000675,,187,1361,250,100,Low,False,Inventory bad qty
2026-01-31,WH0009,SKU0000168,,194,772,100,100,Low,False,Inventory bad qty
2026-01-31,WH0011,SKU0000537,,268,1662,50,100,Healthy,False,Inventory bad qty
2026-01-31,WH0015,SKU0000076,,443,1430,500,100,Stockout,False,Inventory bad qty
2026-01-31,WH0017,SKU0000383,,310,1281,250,200,Low,False,Inventory bad qty
2026-01-31,WH0025,SKU0000148,,169,402,250,200,Healthy,False,Inventory bad qty
2026-02-28,WH0001,SKU0000545,,66,26,250,50,Healthy,False,Inventory bad qty
2026-02-28,WH0002,SKU0000675,,6,525,100,200,Healthy,False,Inventory bad qty
2026-02-28,WH0002,SKU0000081,,418,221,250,100,Low,False,Inventory bad qty
2026-02-28,WH0006,SKU0000517,,185,88,500,200,Low,False,Inventory bad qty
2026-02-28,WH0009,SKU0000348,,491,231,100,50,Overstock,False,Inventory bad qty
2026-02-28,WH0012,SKU0000642,,180,1234,100,100,Stockout,False,Inventory bad qty
2026-02-28,WH0015,SKU0000132,,103,1824,50,200,Stockout,False,Inventory bad qty
2026-02-28,WH0016,SKU0000045,,131,1837,500,200,Healthy,False,Inventory bad qty
2026-02-28,WH0021,SKU0000500,,6,3,50,50,Stockout,False,Inventory bad qty
2026-03-31,WH0004,SKU0000217,,26,22,250,50,Healthy,False,Inventory bad qty
2026-03-31,WH0005,SKU0000415,,468,414,50,50,Healthy,False,Inventory bad qty
2026-03-31,WH0005,SKU0000579,,355,657,100,25,Stockout,False,Inventory bad qty
2026-03-31,WH0007,SKU0000291,,111,478,500,100,Stockout,False,Inventory bad qty
2026-03-31,WH0009,SKU0000553,,210,510,50,100,Stockout,False,Inventory bad qty
2026-03-31,WH0009,SKU0000540,,220,980,100,100,Low,False,Inventory bad qty
2026-03-31,WH0012,SKU0000205,,55,11,50,50,Healthy,False,Inventory bad qty
2026-03-31,WH0012,SKU0000114,,79,15,100,25,Stockout,False,Inventory bad qty
2026-03-31,WH0012,SKU0000411,,211,1617,250,100,Healthy,False,Inventory bad qty
2026-03-31,WH0013,SKU0000171,,0,394,250,50,Healthy,False,Inventory bad qty
2026-03-31,WH0014,SKU0000234,,317,782,100,200,Healthy,False,Inventory bad qty
2026-03-31,WH0015,SKU0000223,,400,1082,50,200,Overstock,False,Inventory bad qty
2026-03-31,WH0020,SKU0000515,,339,1022,100,25,Healthy,False,Inventory bad qty
2026-03-31,WH0020,SKU0000382,,59,174,100,50,Low,False,Inventory bad qty
2026-03-31,WH0023,SKU0000417,,234,1710,50,50,Overstock,False,Inventory bad qty
2026-03-31,WH0025,SKU0000086,,196,225,250,25,Stockout,False,Inventory bad qty
2026-04-30,WH0004,SKU0000515,,13,22,500,100,Healthy,False,Inventory bad qty
2026-04-30,WH0004,SKU0000330,,99,1122,250,25,Stockout,False,Inventory bad qty
2026-04-30,WH0011,SKU0000007,,458,1448,500,100,Overstock,False,Inventory bad qty
2026-04-30,WH0013,SKU0000523,,90,111,50,50,Overstock,False,Inventory bad qty
2026-04-30,WH0016,SKU0000274,,223,629,50,25,Stockout,False,Inventory bad qty
2026-04-30,WH0018,SKU0000443,,228,1221,100,25,Overstock,False,Inventory bad qty
2026-04-30,WH0025,SKU0000017,,432,1404,50,25,Overstock,False,Inventory bad qty
2026-05-31,WH0001,SKU0000273,,18,291,50,100,Healthy,False,Inventory bad qty
2026-05-31,WH0002,SKU0000296,,138,309,250,100,Healthy,False,Inventory bad qty
2026-05-31,WH0003,SKU0000201,,471,1368,100,100,Stockout,False,Inventory bad qty
2026-05-31,WH0003,SKU0000110,,166,552,50,200,Stockout,False,Inventory bad qty
2026-05-31,WH0013,SKU0000445,,59,120,100,50,Stockout,False,Inventory bad qty
2026-05-31,WH0015,SKU0000304,,141,128,100,25,Healthy,False,Inventory bad qty
2026-05-31,WH0020,SKU0000657,,369,146,100,100,Healthy,False,Inventory bad qty
2026-05-31,WH0022,SKU0000305,,158,302,100,200,Stockout,False,Inventory bad qty
2026-05-31,WH0025,SKU0000326,,118,1080,50,50,Healthy,False,Inventory bad qty
