po_line_id,po_id,line_number,product_id,ordered_qty,unit_cost,line_status,valid_quantity,valid_unit_cost,quarantine_reason
POL0000000003,PO00000002,1,SKU0000234,-5.0,86.53,Open,False,True,PO line has invalid values
POL0000000004,PO00000002,2,SKU0000230,-5.0,150.83,Partial,False,True,PO line has invalid values
POL0000000008,PO00000003,2,SKU0000027,,144.08,Open,False,True,PO line has invalid values
POL0000000021,PO00000010,1,SKU0000326,-5.0,234.1,Partial,False,True,PO line has invalid values
POL0000000025,PO00000011,2,SKU0000081,,227.93,Partial,False,True,PO line has invalid values
POL0000000027,PO00000011,4,SKU0000158,,82.91,Open,False,True,PO line has invalid values
POL0000000033,PO00000013,4,SKU0000544,-5.0,59.49,Received,False,True,PO line has invalid values
POL0000000034,PO00000014,1,SKU0000226,,4.13,Cancelled,False,True,PO line has invalid values
POL0000000036,PO00000014,3,SKU0000093,-5.0,263.13,Partial,False,True,PO line has invalid values
POL0000000037,PO00000015,1,SKU0000580,,64.94,Partial,False,True,PO line has invalid values
POL0000000041,PO00000016,1,SKU0000430,,14.34,Received,False,True,PO line has invalid values
POL0000000045,PO00000017,2,SKU0000077,,83.37,Cancelled,False,True,PO line has invalid values
POL0000000050,PO00000019,1,SKU0000244,-5.0,61.2,Received,False,True,PO line has invalid values
POL0000000061,PO00000021,4,SKU0000199,,237.35,Received,False,True,PO line has invalid values
POL0000000062,PO00000022,1,SKU0000432,-5.0,208.9,Received,False,True,PO line has invalid values
POL0000000066,PO00000023,1,SKU0000378,100.0,,Open,True,False,PO line has invalid values
POL0000000073,PO00000026,1,SKU0000222,,5.74,Open,False,True,PO line has invalid values
POL0000000077,PO00000028,3,SKU0000488,-5.0,159.38,Received,False,True,PO line has invalid values
POL0000000081,PO00000029,4,SKU0000021,,247.69,Cancelled,False,True,PO line has invalid values
POL0000000083,PO00000030,2,SKU0000352,,76.87,Open,False,True,PO line has invalid values
POL0000000086,PO00000031,1,SKU0000212,-5.0,184.32,Open,False,True,PO line has invalid values
POL0000000089,PO00000031,4,SKU0000491,-5.0,159.01,Open,False,True,PO line has invalid values
POL0000000091,PO00000033,1,SKU0000143,-5.0,167.94,Cancelled,False,True,PO line has invalid values
POL0000000094,PO00000034,1,SKU0000651,,114.63,Open,False,True,PO line has invalid values
