order_line_id,order_id,line_number,product_id,ordered_qty,unit_price,discount_pct,line_status,valid_quantity,valid_unit_price,valid_discount,quarantine_reason
SOL0000000011,SO00000004,2,SKU0000153,,31.03,0.0,Shipped,False,True,True,"Line has invalid quantity, price, or discount"
SOL0000000016,SO00000005,4,SKU0000578,,30.71,2.5,Allocated,False,True,True,"Line has invalid quantity, price, or discount"
SOL0000000018,SO00000006,1,SKU0000524,15.0,,10.0,Open,True,False,True,"Line has invalid quantity, price, or discount"
SOL0000000019,SO00000006,2,SKU0000559,-1.0,564.26,0.0,Shipped,False,True,True,"Line has invalid quantity, price, or discount"
SOL0000000031,SO00000008,4,SKU0000303,-1.0,62.08,15.0,Open,False,True,True,"Line has invalid quantity, price, or discount"
SOL0000000032,SO00000009,1,SKU0000335,-1.0,110.12,0.0,Open,False,True,True,"Line has invalid quantity, price, or discount"
SOL0000000050,SO00000014,1,SKU0000470,,228.59,5.0,Backordered,False,True,True,"Line has invalid quantity, price, or discount"
SOL0000000053,SO00000015,1,SKU0000576,,750.86,15.0,Shipped,False,True,True,"Line has invalid quantity, price, or discount"
SOL0000000057,SO00000016,1,SKU0000457,,135.8,25.0,Open,False,True,True,"Line has invalid quantity, price, or discount"
SOL0000000058,SO00000016,2,SKU0000460,,210.3,5.0,Cancelled,False,True,True,"Line has invalid quantity, price, or discount"
SOL0000000060,SO00000017,1,SKU0000610,-1.0,225.39,10.0,Open,False,True,True,"Line has invalid quantity, price, or discount"
SOL0000000063,SO00000018,3,SKU0000473,,165.69,0.0,Open,False,True,True,"Line has invalid quantity, price, or discount"
SOL0000000066,SO00000019,3,SKU0000245,,409.02,0.0,Allocated,False,True,True,"Line has invalid quantity, price, or discount"
SOL0000000070,SO00000021,2,SKU0000436,-1.0,288.76,0.0,Cancelled,False,True,True,"Line has invalid quantity, price, or discount"
SOL0000000071,SO00000021,3,SKU0000420,50.0,,0.0,Open,True,False,True,"Line has invalid quantity, price, or discount"
SOL0000000072,SO00000022,1,SKU0000447,,155.41,0.0,Open,False,True,True,"Line has invalid quantity, price, or discount"
SOL0000000073,SO00000022,2,SKU0000558,,92.32,2.5,Cancelled,False,True,True,"Line has invalid quantity, price, or discount"
SOL0000000075,SO00000022,4,SKU0000590,-1.0,333.04,2.5,Open,False,True,True,"Line has invalid quantity, price, or discount"
SOL0000000081,SO00000025,1,SKU0000323,-1.0,479.29,10.0,Allocated,False,True,True,"Line has invalid quantity, price, or discount"
SOL0000000087,SO00000028,1,SKU0000125,,393.34,25.0,Backordered,False,True,True,"Line has invalid quantity, price, or discount"
SOL0000000092,SO00000029,2,SKU0000312,-1.0,40.75,10.0,Cancelled,False,True,True,"Line has invalid quantity, price, or discount"
SOL0000000108,SO00000034,5,SKU0000064,,262.5,15.0,Shipped,False,True,True,"Line has invalid quantity, price, or discount"
SOL0000000124,SO00000039,1,SKU0000573,,279.28,2.5,Cancelled,False,True,True,"Line has invalid quantity, price, or discount"
SOL0000000127,SO00000040,2,SKU0000092,,41.77,10.0,Open,False,True,True,"Line has invalid quantity, price, or discount"
SOL0000000133,SO00000042,1,SKU0000115,,,15.0,Allocated,False,False,True,"Line has invalid quantity, price, or discount"
SOL0000000142,SO00000045,2,SKU0000070,-1.0,41.81,25.0,Cancelled,False,True,True,"Line has invalid quantity, price, or discount"
SOL0000000143,SO00000045,3,SKU0000420,,293.68,25.0,Open,False,True,True,"Line has invalid quantity, price, or discount"
SOL0000000144,SO00000046,1,SKU0000106,,83.84,0.0,Cancelled,False,True,True,"Line has invalid quantity, price, or discount"
SOL0000000154,SO00000049,2,SKU0000428,-1.0,185.22,2.5,Shipped,False,True,True,"Line has invalid quantity, price, or discount"
SOL0000000156,SO00000050,2,SKU0000647,,342.49,5.0,Open,False,True,True,"Line has invalid quantity, price, or discount"
SOL0000000158,SO00000051,2,SKU0000147,-1.0,552.02,0.0,Shipped,False,True,True,"Line has invalid quantity, price, or discount"
SOL0000000162,SO00000052,3,SKU0000571,-1.0,107.12,10.0,Shipped,False,True,True,"Line has invalid quantity, price, or discount"
SOL0000000164,SO00000053,2,SKU0000212,-1.0,364.63,0.0,Cancelled,False,True,True,"Line has invalid quantity, price, or discount"
SOL0000000167,SO00000054,1,SKU0000628,-1.0,367.74,0.0,Shipped,False,True,True,"Line has invalid quantity, price, or discount"
SOL0000000170,SO00000055,2,SKU0000033,,25.52,5.0,Cancelled,False,True,True,"Line has invalid quantity, price, or discount"
SOL0000000176,SO00000056,3,SKU0000587,-1.0,254.67,25.0,Backordered,False,True,True,"Line has invalid quantity, price, or discount"
SOL0000000179,SO00000058,1,SKU0000618,,48.07,0.0,Shipped,False,True,True,"Line has invalid quantity, price, or discount"
SOL0000000184,SO00000059,1,SKU0000098,,77.61,0.0,Allocated,False,True,True,"Line has invalid quantity, price, or discount"
