supplier_id,supplier_name,supplier_tier,country,lead_time_days,quality_score,on_time_delivery_rate,is_active
SUP00001,Evergreen Supplier 1,Backup,MEX,10,91.51,0.7420,Yes
SUP00002,Evergreen Supplier 2,preferred ,CAN,14,99.67,0.8339,N
SUP00003,Global Supplier 3,Strategic,CHN,30,71.38,0.9028,Yes
SUP00004,Quantum Supplier 4,preferred ,MEX,,97.23,0.6919,No
SUP00005,Quantum Supplier 5,preferred ,VNM,7,96.92,0.6537,Y
SUP00006,Global Supplier 6,Preferred,MEX,30,82.51,0.9288,Yes
SUP00007,Evergreen Supplier 7,preferred ,DEU,21,85.85,0.9660,Y
SUP00008,Pioneer Supplier 8,Standard,CAN,7,81.72,0.9475,1
SUP00009,Quantum Supplier 9,Backup,VNM,,70.53,0.9360,Yes
SUP00010,Pioneer Supplier 10,Preferred,VNM,unknown,70.34,0.8240,N
SUP00011,Sterling Supplier 11,preferred ,CAN,unknown,77.32,0.7948,Yes
SUP00012,Atlas Supplier 12,preferred ,USA,14,89.52,0.9377,1
SUP00013,Sterling Supplier 13,Strategic,VNM,5,96.26,0.9752,1
SUP00014,Evergreen Supplier 14,Strategic,IND,10,87.03,0.9578,No
SUP00015,Quantum Supplier 15,Standard,DEU,14,81.71,0.8997,Y
SUP00016,Sterling Supplier 16,Preferred,CHN,5,90.79,0.7655,No
SUP00017,Atlas Supplier 17,Backup,VNM,30,96.40,0.6738,1
SUP00018,Sterling Supplier 18,Strategic,MEX,14,89.90,0.7734,1
SUP00019,Atlas Supplier 19,Preferred,USA,14,81.98,0.7405,1
SUP00020,Atlas Supplier 20,Strategic,IND,5,98.85,0.8258,1
SUP00021,Pioneer Supplier 21,Preferred,DEU,21,74.17,0.8471,No
SUP00022,Evergreen Supplier 22,Strategic,USA,unknown,76.43,0.9501,1
SUP00023,Global Supplier 23,Backup,IND,,84.28,0.8268,No
SUP00024,Evergreen Supplier 24,Strategic,CHN,5,93.84,0.6917,No
SUP00025,Sterling Supplier 25,preferred ,IND,21,98.07,0.7405,1
SUP00026,Global Supplier 26,Preferred,IND,unknown,76.13,0.8038,N
SUP00027,Quantum Supplier 27,Standard,CHN,21,92.38,0.9086,No
SUP00028,Evergreen Supplier 28,preferred ,DEU,10,75.50,0.7002,No
SUP00029,Evergreen Supplier 29,Standard,MEX,14,95.80,0.8389,Yes
SUP00030,Evergreen Supplier 30,Backup,CAN,30,93.01,0.7430,1
SUP00031,Atlas Supplier 31,Standard,IND,,98.65,0.7205,Yes
SUP00032,Sterling Supplier 32,Strategic,CHN,10,70.43,0.9038,N
SUP00033,Evergreen Supplier 33,Backup,USA,7,78.60,0.9349,No
SUP00034,Pioneer Supplier 34,Backup,MEX,14,78.56,0.7595,Y
SUP00035,Pioneer Supplier 35,Preferred,CHN,5,99.22,0.7845,N
SUP00036,Pioneer Supplier 36,Standard,MEX,30,75.82,0.7984,No
SUP00037,Quantum Supplier 37,Standard,CAN,10,83.76,0.8938,No
SUP00038,Quantum Supplier 38,Strategic,DEU,7,89.53,0.6854,Yes
SUP00039,Global Supplier 39,Standard,CAN,21,96.00,0.9336,Y
SUP00040,Evergreen Supplier 40,Preferred,VNM,7,88.67,0.8600,Yes
SUP00041,Evergreen Supplier 41,Preferred,CAN,5,87.19,0.7649,N
SUP00042,Sterling Supplier 42,Preferred,IND,,79.95,0.7450,Yes
SUP00043,Atlas Supplier 43,preferred ,MEX,10,83.67,0.8080,Y
SUP00044,Sterling Supplier 44,Preferred,VNM,21,91.31,0.9835,N
SUP00045,Evergreen Supplier 45,Backup,IND,21,95.34,0.7210,1
SUP00046,Global Supplier 46,Backup,DEU,unknown,97.73,0.9717,Y
SUP00047,Evergreen Supplier 47,Strategic,MEX,10,79.45,0.7836,N
SUP00048,Evergreen Supplier 48,preferred ,DEU,7,79.57,0.7311,1
SUP00049,Global Supplier 49,Strategic,MEX,21,90.58,0.7917,1
SUP00050,Atlas Supplier 50,Backup,MEX,30,99.12,0.6560,Y
SUP00051,Global Supplier 51,Strategic,MEX,21,73.22,0.9190,Yes
SUP00052,Global Supplier 52,Preferred,MEX,unknown,74.88,0.6556,No
SUP00053,Pioneer Supplier 53,Strategic,IND,30,98.49,0.7140,Y
SUP00054,Evergreen Supplier 54,Backup,USA,30,88.57,0.8194,1
SUP00055,Sterling Supplier 55,Backup,IND,10,90.75,0.7682,1
SUP00056,Atlas Supplier 56,Preferred,CAN,10,89.12,0.9325,No
SUP00057,Sterling Supplier 57,preferred ,IND,unknown,82.69,0.7662,1
SUP00058,Pioneer Supplier 58,Backup,DEU,unknown,82.67,0.9715,No
SUP00059,Global Supplier 59,preferred ,CAN,,96.00,0.9639,Yes
SUP00060,Global Supplier 60,Strategic,DEU,10,90.06,0.8980,1
SUP00061,Global Supplier 61,Preferred,CHN,5,91.90,0.9381,No
SUP00062,Pioneer Supplier 62,Preferred,VNM,unknown,93.23,0.7195,Y
SUP00063,Global Supplier 63,Preferred,MEX,unknown,95.87,0.7727,N
SUP00064,Global Supplier 64,Backup,MEX,21,95.46,0.9305,N
SUP00065,Evergreen Supplier 65,Strategic,CAN,7,95.84,0.8786,No
SUP00066,Global Supplier 66,Strategic,CAN,30,83.71,0.9425,Yes
SUP00067,Atlas Supplier 67,Backup,VNM,5,87.42,0.7047,No
SUP00068,Atlas Supplier 68,Preferred,CAN,21,90.34,0.7922,No
SUP00069,Atlas Supplier 69,preferred ,MEX,21,75.23,0.9750,Yes
SUP00070,Quantum Supplier 70,Standard,MEX,7,74.02,0.8603,Y
SUP00071,Sterling Supplier 71,preferred ,IND,5,99.05,0.6578,No
SUP00072,Sterling Supplier 72,Standard,MEX,21,79.88,0.9808,Yes
SUP00073,Evergreen Supplier 73,preferred ,USA,unknown,75.62,0.6979,N
SUP00074,Global Supplier 74,Preferred,MEX,10,86.66,0.6838,No
SUP00075,Quantum Supplier 75,Standard,CHN,14,99.62,0.9559,N
SUP00076,Evergreen Supplier 76,Preferred,VNM,10,70.48,0.8722,Yes
SUP00077,Atlas Supplier 77,Standard,DEU,14,89.07,0.8060,No
