snapshot_date,warehouse_id,product_id,on_hand_qty,allocated_qty,available_qty,reorder_point,safety_stock_qty,inventory_status
2026-01-31,WH0001,SKU0000159,1806,5,1801,50,100,healthy 
2026-01-31,WH0001,SKU0000464,960,47,913,50,100,Healthy
2026-01-31,WH0001,SKU0000075,927,411,516,50,50,Stockout
2026-01-31,WH0001,SKU0000205,1479,143,1336,50,50,Stockout
2026-01-31,WH0001,SKU0000214,202,95,107,250,100,healthy 
2026-01-31,WH0001,SKU0000085,1313,378,935,250,25,Stockout
2026-01-31,WH0001,SKU0000010,46,45,1,50,200,Healthy
2026-01-31,WH0001,SKU0000555,1784,500,1284,50,50,healthy 
2026-01-31,WH0001,SKU0000627,1355,29,1326,250,25,healthy 
2026-01-31,WH0001,SKU0000130,954,212,742,100,50,Low
2026-01-31,WH0001,SKU0000397,2000,280,1720,250,25,Overstock
2026-01-31,WH0001,SKU0000303,1779,276,1503,100,200,Low
2026-01-31,WH0001,SKU0000681,1369,356,1013,250,200,Low
2026-01-31,WH0001,SKU0000039,1728,233,1495,250,100,Stockout
2026-01-31,WH0001,SKU0000535,648,370,278,250,200,Overstock
2026-01-31,WH0001,SKU0000168,1700,221,1479,50,50,Healthy
2026-01-31,WH0001,SKU0000173,1100,297,803,500,50,Stockout
2026-01-31,WH0001,SKU0000274,261,68,193,500,200,Low
2026-01-31,WH0001,SKU0000321,1320,240,1080,500,100,Healthy
2026-01-31,WH0001,SKU0000639,1145,51,1094,50,200,healthy 
2026-01-31,WH0001,SKU0000144,457,88,369,250,200,Overstock
2026-01-31,WH0001,SKU0000080,279,172,107,500,25,healthy 
2026-01-31,WH0001,SKU0000164,861,15,846,500,200,Stockout
2026-01-31,WH0001,SKU0000682,1059,354,705,100,200,healthy 
2026-01-31,WH0001,SKU0000157,1052,398,654,250,100,Stockout
2026-01-31,WH0001,SKU0000324,1455,432,1023,100,50,Low
2026-01-31,WH0001,SKU0000036,1901,119,1782,250,200,Healthy
2026-01-31,WH0001,SKU0000509,1093,439,654,50,50,Overstock
2026-01-31,WH0001,SKU0000326,1991,333,1658,100,100,healthy 
2026-01-31,WH0001,SKU0000323,389,344,45,500,100,Low
2026-01-31,WH0001,SKU0000231,1619,354,1265,50,100,Stockout
2026-01-31,WH0001,SKU0000198,1898,381,1517,100,200,Healthy
2026-01-31,WH0001,SKU0000240,957,53,904,50,200,healthy 
2026-01-31,WH0001,SKU0000637,655,266,389,500,200,Overstock
2026-01-31,WH0001,SKU0000654,848,329,519,500,25,Low
2026-01-31,WH0001,SKU0000588,379,41,338,250,25,healthy 
2026-01-31,WH0001,SKU0000199,348,290,58,500,100,healthy 
2026-01-31,WH0001,SKU0000074,1662,435,1227,250,200,Healthy
2026-01-31,WH0001,SKU0000194,1333,312,1021,50,25,Stockout
2026-01-31,WH0001,SKU0000040,1114,249,865,100,100,healthy 
2026-01-31,WH0001,SKU0000602,27,11,16,500,25,Low
2026-01-31,WH0001,SKU0000500,724,399,325,50,50,Low
2026-01-31,WH0001,SKU0000553,1396,353,1043,500,25,Overstock
2026-01-31,WH0001,SKU0000224,271,182,89,50,25,Overstock
2026-01-31,WH0001,SKU0000504,319,137,182,250,25,healthy 
2026-01-31,WH0001,SKU0000163,1116,39,1077,100,200,healthy 
2026-01-31,WH0001,SKU0000308,1713,344,1369,500,25,healthy 
2026-01-31,WH0001,SKU0000234,1347,179,1168,250,200,healthy 
2026-01-31,WH0001,SKU0000389,696,402,294,250,200,Stockout
2026-01-31,WH0001,SKU0000286,1611,394,1217,250,25,Overstock
2026-01-31,WH0001,SKU0000677,54,33,21,250,100,Overstock
2026-01-31,WH0001,SKU0000623,502,481,21,500,50,Overstock
2026-01-31,WH0001,SKU0000215,1430,182,1248,50,100,Overstock
2026-01-31,WH0001,SKU0000538,69,42,27,250,50,Stockout
2026-01-31,WH0001,SKU0000605,1727,73,1654,100,25,Low
2026-01-31,WH0001,SKU0000355,1248,220,1028,100,100,Overstock
2026-01-31,WH0001,SKU0000593,876,131,745,50,200,healthy 
2026-01-31,WH0001,SKU0000092,590,108,482,50,100,Healthy
2026-01-31,WH0001,SKU0000478,477,366,111,500,25,Stockout
2026-01-31,WH0001,SKU0000185,870,358,512,50,100,Healthy
2026-01-31,WH0001,SKU0000405,139,67,72,500,100,Low
2026-01-31,WH0001,SKU0000592,293,218,75,500,200,Overstock
2026-01-31,WH0001,SKU0000665,683,319,364,250,200,Overstock
2026-01-31,WH0001,SKU0000121,1890,410,1480,50,100,Low
2026-01-31,WH0001,SKU0000432,1731,290,1441,500,25,Stockout
2026-01-31,WH0001,SKU0000690,434,78,356,500,100,Healthy
2026-01-31,WH0001,SKU0000110,573,47,526,500,50,Low
2026-01-31,WH0001,SKU0000031,1894,465,1429,250,25,Stockout
2026-01-31,WH0001,SKU0000291,835,442,393,500,25,Low
2026-01-31,WH0001,SKU0000235,1083,465,618,100,100,Overstock
2026-01-31,WH0001,SKU0000330,294,61,233,500,50,Stockout
2026-01-31,WH0001,SKU0000153,1639,136,1503,500,200,Overstock
2026-01-31,WH0001,SKU0000102,1751,123,1628,500,100,Healthy
2026-01-31,WH0001,SKU0000073,865,14,851,50,25,Healthy
2026-01-31,WH0001,SKU0000180,83,56,27,100,50,Stockout
2026-01-31,WH0001,SKU0000255,1261,161,1100,100,100,Healthy
2026-01-31,WH0001,SKU0000603,495,108,387,500,25,Healthy
2026-01-31,WH0001,SKU0000106,1209,57,1152,100,200,Low
2026-01-31,WH0001,SKU0000289,248,217,31,100,100,Overstock
2026-01-31,WH0001,SKU0000281,1656,292,1364,500,25,Healthy
2026-01-31,WH0001,SKU0000411,1752,153,1599,100,100,Stockout
2026-01-31,WH0001,SKU0000156,291,193,98,100,50,healthy 
2026-01-31,WH0001,SKU0000543,1234,394,840,100,50,Stockout
2026-01-31,WH0001,SKU0000077,1739,379,1360,100,25,Low
2026-01-31,WH0001,SKU0000167,459,242,217,250,50,Healthy
2026-01-31,WH0001,SKU0000410,231,194,37,100,50,Stockout
2026-01-31,WH0001,SKU0000675,260,248,12,100,200,healthy 
2026-01-31,WH0001,SKU0000322,1953,433,1520,100,25,Stockout
