invoice_id,order_id,customer_id,invoice_date,due_date,invoice_amount,currency,invoice_status
INV00000001,SO00001427,CUST000191,01/24/2026,2026-03-10,34132.71,EUR,Cancelled
INV00000002,SO00001034,CUST000043,2026-05-02,2026-06-16,29459.79,USD,Cancelled
INV00000003,SO00000957,CUST000449,2026-02-17,2026-03-19,20888.02,CAD,Paid
INV00000004,SO00001033,CUST000394,02/15/2026,2026-03-02,14169.04,USD,open 
INV00000005,SO00001950,CUST000022,2026-03-24,2026-04-08,37134.95,EUR,Cancelled
INV00000006,SO00000441,CUST000243,02/27/2026,2026-03-29,19078.23,USD,Open
INV00000007,SO00000225,CUST000160,2026-02-12,2026-02-27,29641.89,MXN,Cancelled
INV00000008,SO00001919,CUST000405,2026-03-26,2026-04-10,29513.28,USD,Paid
INV00000009,SO00000785,CUST000061,03/19/2026,2026-04-18,28914.69,USD,Cancelled
INV00000010,SO00001551,CUST000037,2026-01-22,2026-03-23,33677.73,EUR,Open
INV00000011,SO00001766,CUST000343,2026-02-18,2026-04-04,13642.69,USD,Paid
INV00000012,SO00000085,CUST000196,01/26/2026,2026-02-10,2399.29,USD,Paid
INV00000013,SO00000111,CUST000295,2026-01-27,2026-02-26,27828.10,CAD,Open
INV00000014,SO00001508,CUST000429,2026-04-07,2026-05-07,40700.12,CAD,Paid
INV00000015,SO00001533,CUST000346,05/27/2026,2026-06-11,2751.28,EUR,Cancelled
INV00000016,SO00000423,CUST000104,05/14/2026,2026-06-28,34847.07,EUR,Partially Paid
INV00000017,SO00002141,CUST000306,2026-03-14,2026-03-29,3910.78,USD,Open
INV00000018,SO00001726,CUST000287,02/14/2026,2026-03-01,36254.81,USD,Open
INV00000019,SO00001673,CUST000317,04/26/2026,2026-06-25,40679.75,CAD,Paid
INV00000020,SO00000310,CUST000005,03/04/2026,2026-04-03,35074.86,CAD,Paid
INV00000021,SO00000374,CUST000205,06/05/2026,2026-07-05,42002.86,EUR,Open
INV00000022,SO00001266,CUST000274,04/12/2026,2026-04-27,22598.96,EUR,Cancelled
INV00000023,SO00001621,CUST000109,02/03/2026,2026-03-20,44680.65,USD,Cancelled
INV00000024,SO00001302,CUST000102,01/28/2026,2026-03-29,904.95,EUR,Cancelled
INV00000025,SO00002493,CUST000174,2026-04-13,2026-05-28,13871.65,USD,Open
INV00000026,SO00001531,CUST000120,05/26/2026,2026-07-10,43676.35,USD,Cancelled
INV00000027,SO00000482,CUST000278,2026-01-27,2026-03-13,33439.47,CAD,Paid
INV00000028,SO00001255,CUST000303,2026-03-15,2026-05-14,8589.87,CAD,Open
INV00000029,SO00000581,CUST000122,03/29/2026,2026-05-13,19015.47,USD,Paid
INV00000030,SO00001494,CUST000265,2026-02-19,2026-04-05,41344.41,USD,Paid
INV00000031,SO00001530,CUST000170,2026-04-03,2026-06-02,18556.46,USD,Partially Paid
INV00000032,SO00001318,CUST000064,06/10/2026,2026-06-25,42189.92,MXN,Cancelled
INV00000033,SO00001600,CUST000370,05/28/2026,2026-07-27,37830.11,USD,Cancelled
INV00000034,SO00002299,CUST000433,02/21/2026,2026-04-22,7792.03,USD,Partially Paid
INV00000035,SO00000672,CUST000446,03/29/2026,2026-05-13,24191.64,EUR,Open
INV00000036,SO00000081,CUST000048,01/09/2026,2026-01-24,5923.17,MXN,open 
INV00000037,SO00000590,CUST000233,2026-02-23,2026-04-09,29468.62,EUR,Paid
INV00000038,SO00000256,CUST000321,2026-02-11,2026-02-26,33023.23,MXN,open 
INV00000039,SO00002485,CUST000262,2026-03-25,2026-05-24,1402.55,EUR,Open
INV00000040,SO00000838,CUST000025,2026-04-17,2026-06-01,41526.58,MXN,Cancelled
INV00000041,SO00000859,CUST000029,2026-01-19,2026-02-03,18413.87,MXN,Cancelled
INV00000042,SO00002313,CUST000062,02/12/2026,2026-03-14,30869.66,USD,Open
INV00000043,SO00000028,CUST000098,02/08/2026,2026-04-09,18479.22,USD,open 
INV00000044,SO00001499,CUST000054,2026-03-13,2026-04-12,38973.00,CAD,Open
INV00000045,SO00001486,CUST000375,2026-02-03,2026-03-20,207.56,CAD,Partially Paid
INV00000046,SO00000652,CUST000059,05/15/2026,2026-06-29,25734.38,EUR,Paid
INV00000047,SO00001252,CUST000288,03/06/2026,2026-04-20,33693.00,USD,Open
INV00000048,SO00001902,CUST000164,2026-05-10,2026-06-09,4322.63,EUR,Paid
INV00000049,SO00002017,CUST000402,05/04/2026,2026-06-03,43580.91,MXN,Cancelled
INV00000050,SO00001881,CUST000078,2026-03-17,2026-04-16,31781.33,CAD,open 
INV00000051,SO00001657,CUST000369,2026-03-23,2026-04-07,7167.30,CAD,Cancelled
INV00000052,SO00000258,CUST000198,03/27/2026,2026-04-11,10767.77,USD,Partially Paid
INV00000053,SO00001757,CUST000100,01/15/2026,2026-01-30,8570.49,USD,Open
INV00000054,SO00001701,CUST000446,2026-05-14,2026-06-28,11272.74,EUR,Open
INV00000055,SO00001091,CUST000347,04/18/2026,2026-05-18,21299.06,CAD,Open
INV00000056,SO00000308,CUST000319,03/30/2026,2026-04-14,14928.24,USD,Open
INV00000057,SO00000052,CUST000329,2026-04-08,2026-05-08,10123.22,EUR,open 
INV00000058,SO00002049,CUST000073,01/12/2026,2026-01-27,38036.44,MXN,Paid
INV00000059,SO00002122,CUST000227,01/18/2026,2026-03-04,35746.04,EUR,Cancelled
INV00000060,SO00002219,CUST000302,2026-05-14,2026-06-13,26254.19,CAD,Partially Paid
INV00000061,SO00000113,CUST000003,04/09/2026,2026-06-08,17544.99,USD,Partially Paid
INV00000062,SO00000648,CUST000194,2026-05-11,2026-07-10,22404.20,CAD,Paid
INV00000063,SO00001413,CUST000277,01/18/2026,2026-02-02,22610.38,EUR,Cancelled
INV00000064,SO00000782,CUST000033,2026-05-18,2026-06-02,5263.87,EUR,Partially Paid
INV00000065,SO00000549,CUST000448,05/18/2026,2026-06-17,23958.04,USD,Open
INV00000066,SO00002129,CUST000011,04/30/2026,2026-05-30,7502.22,USD,Cancelled
INV00000067,SO00000602,CUST000432,2026-05-12,2026-05-27,18285.34,MXN,Partially Paid
INV00000068,SO00002484,CUST000248,2026-01-17,2026-03-03,40252.25,EUR,Partially Paid
INV00000069,SO00002064,CUST000188,2026-02-11,2026-03-28,27384.49,CAD,open 
INV00000070,SO00001874,CUST000079,2026-02-21,2026-04-22,1741.99,EUR,Partially Paid
INV00000071,SO00002199,CUST000015,03/03/2026,2026-04-17,11546.87,EUR,Paid
INV00000072,SO00001546,CUST000354,2026-03-11,2026-03-26,20057.53,USD,Paid
INV00000073,SO00000014,CUST000125,2026-03-05,2026-04-19,28039.00,CAD,Paid
INV00000074,SO00000347,CUST000131,05/14/2026,2026-06-28,22711.33,CAD,Partially Paid
INV00000075,SO00000980,CUST000077,03/24/2026,2026-05-23,17484.83,MXN,Cancelled
INV00000076,SO00001346,CUST000155,03/22/2026,2026-04-21,9169.52,USD,open 
INV00000077,SO00001178,CUST000338,2026-05-11,2026-06-25,bad,CAD,Cancelled
INV00000078,SO00001825,CUST000255,03/27/2026,2026-05-11,30169.43,USD,Partially Paid
INV00000079,SO00000046,CUST000141,03/09/2026,2026-05-08,3998.25,MXN,Open
INV00000080,SO00000976,CUST000375,2026-02-07,2026-04-08,20172.12,EUR,Partially Paid
INV00000081,SO00000541,CUST000087,2026-01-09,2026-03-10,38154.19,CAD,Paid
INV00000082,SO00001811,CUST000347,2026-03-14,2026-05-13,22627.53,USD,Partially Paid
INV00000083,SO00001664,CUST000261,04/15/2026,2026-05-30,17237.37,USD,Paid
INV00000084,SO00002287,CUST000417,04/21/2026,2026-05-06,18432.99,USD,open 
INV00000085,SO00000617,CUST000357,2026-05-01,2026-06-30,31128.85,USD,Partially Paid
INV00000086,SO00000400,CUST000015,2026-01-03,2026-03-04,4575.20,MXN,Cancelled
INV00000087,SO00000434,CUST000307,2026-06-05,2026-07-20,31579.48,USD,open 
INV00000088,SO00000316,CUST000438,05/20/2026,2026-06-19,5173.33,MXN,open 
INV00000089,SO00000701,CUST000365,01/11/2026,2026-02-25,40522.45,USD,Paid
INV00000090,SO00001963,CUST000074,03/03/2026,2026-04-02,21586.92,USD,open 
INV00000091,SO00002208,CUST000351,2026-05-07,2026-07-06,2899.26,EUR,open 
INV00000092,SO00001527,CUST000079,2026-05-14,2026-06-13,8842.55,USD,open 
INV00000093,SO00001258,CUST000007,2026-01-27,2026-02-11,21595.46,MXN,Cancelled
INV00000094,SO00001420,CUST000449,2026-05-23,2026-07-07,39037.36,MXN,Cancelled
INV00000095,SO00002374,CUST000202,2026-02-21,2026-03-08,38501.81,EUR,Partially Paid
INV00000096,SO00002290,CUST000407,01/07/2026,2026-03-08,22368.57,USD,open 
INV00000097,SO00001828,CUST000313,04/25/2026,2026-06-24,32581.79,MXN,Paid
INV00000098,SO00001633,CUST000289,05/05/2026,2026-06-04,15217.43,MXN,Open
INV00000099,SO00002478,CUST000270,2026-01-31,2026-03-02,40401.68,USD,Cancelled
INV00000100,SO00002091,CUST000181,2026-04-03,2026-05-18,21060.62,USD,Partially Paid
INV00000101,SO_UNKNOWN,CUST000094,04/10/2026,2026-06-09,30749.55,USD,Open
INV00000102,SO00001239,CUST000337,02/16/2026,2026-04-17,41571.07,USD,Paid
INV00000103,SO00000771,CUST000262,2026-05-12,2026-05-27,35494.23,USD,Partially Paid
INV00000104,SO00001019,CUST000240,2026-01-26,2026-02-25,7618.30,USD,Open
INV00000105,SO00001606,CUST000129,03/14/2026,2026-04-28,31461.87,USD,Cancelled
INV00000106,SO00000486,CUST000084,03/11/2026,2026-04-25,32043.06,MXN,Cancelled
INV00000107,SO00001403,CUST000280,2026-03-04,2026-05-03,7029.38,USD,Paid
INV00000108,SO00000740,CUST000021,03/16/2026,2026-04-30,17148.63,USD,Open
INV00000109,SO00000259,CUST000228,04/14/2026,2026-05-29,15914.35,USD,Partially Paid
INV00000110,SO00002235,CUST000298,04/13/2026,2026-05-13,7620.14,USD,Open
INV00000111,SO00000542,CUST000016,03/31/2026,2026-04-30,36263.28,CAD,Partially Paid
INV00000112,SO00000578,CUST000009,2026-01-18,2026-03-19,14045.04,MXN,Partially Paid
INV00000113,SO00001105,CUST000099,2026-04-09,2026-05-09,5269.54,USD,Open
INV00000114,SO00002133,CUST000438,2026-05-27,2026-06-26,41121.84,USD,Cancelled
INV00000115,SO00000822,CUST000176,06/06/2026,2026-07-21,23731.25,EUR,Paid
INV00000116,SO00001112,CUST000325,2026-03-09,2026-05-08,7067.04,USD,open 
INV00000117,SO00000644,CUST000304,03/15/2026,2026-04-14,27954.30,USD,Cancelled
INV00000118,SO00001821,CUST000365,03/28/2026,2026-04-12,12271.89,USD,Paid
INV00000119,SO00000457,CUST000211,2026-01-23,2026-02-07,17048.21,USD,Paid
INV00000120,SO00001197,CUST_UNKNOWN,2026-03-08,2026-04-22,31224.73,USD,Cancelled
INV00000121,SO00001851,CUST000017,04/17/2026,2026-06-01,41316.15,USD,Cancelled
INV00000122,SO00001256,CUST000183,2026-02-21,2026-03-23,19144.03,MXN,Open
INV00000123,SO00000010,CUST000189,2026-04-01,2026-04-16,8397.13,EUR,Open
INV00000124,SO00001898,CUST000450,2026-02-08,2026-03-25,26021.96,USD,Open
INV00000125,SO00001731,CUST000226,2026-05-03,2026-06-02,32015.52,USD,Open
INV00000126,SO00001292,CUST000062,2026-02-18,2026-04-19,35726.27,USD,Partially Paid
INV00000127,SO00000871,CUST000022,01/30/2026,2026-03-01,8002.35,USD,open 
INV00000128,SO00000927,CUST000381,01/28/2026,2026-03-29,37369.49,USD,open 
INV00000129,SO00001477,CUST000371,01/16/2026,2026-03-17,15292.43,CAD,Paid
INV00000130,SO00001595,CUST000208,2026-05-08,2026-06-22,36832.46,USD,open 
INV00000131,SO00002217,CUST000440,03/09/2026,2026-04-08,9875.89,MXN,Cancelled
INV00000132,SO00001185,CUST000181,03/25/2026,2026-05-24,38466.50,USD,open 
INV00000133,SO00000679,CUST000230,02/15/2026,2026-03-02,24594.35,USD,Partially Paid
INV00000134,SO00001435,CUST000119,04/29/2026,2026-06-13,18212.58,USD,Partially Paid
INV00000135,SO00002497,CUST000246,2026-05-24,2026-07-08,8820.54,USD,Paid
INV00000136,SO00000934,CUST000286,03/04/2026,2026-04-03,17243.14,CAD,Open
INV00000137,SO00000727,CUST000410,05/31/2026,2026-06-15,44205.26,EUR,open 
INV00000138,SO00001644,CUST000054,2026-04-16,2026-05-31,27939.74,USD,open 
INV00000139,SO00002195,CUST000166,2026-03-12,2026-04-26,12347.31,USD,open 
INV00000140,SO00001160,CUST000066,2026-01-20,2026-02-04,7399.09,MXN,Open
INV00000141,SO00001698,CUST000228,03/14/2026,2026-05-13,15463.23,USD,Open
INV00000142,SO00000252,CUST000084,04/27/2026,2026-05-12,34322.83,USD,Paid
INV00000143,SO00000395,CUST000290,2026-04-02,2026-04-17,19369.89,USD,Paid
INV00000144,SO00001419,CUST000368,2026-01-15,2026-02-14,17537.21,USD,Open
INV00000145,SO00002111,CUST000364,2026-05-08,2026-07-07,44317.14,USD,Open
INV00000146,SO00000077,CUST000175,04/15/2026,2026-05-15,3950.33,USD,Paid
INV00000147,SO00002399,CUST000172,02/16/2026,2026-03-18,9565.87,USD,Partially Paid
INV00000148,SO00000520,CUST000165,02/26/2026,2026-03-13,28133.54,CAD,Cancelled
INV00000149,SO00000501,CUST000116,2026-05-30,2026-07-14,19529.39,EUR,Cancelled
INV00000150,SO00001654,CUST000303,03/23/2026,2026-05-07,40179.28,EUR,Paid
INV00000151,SO00000197,CUST000170,02/08/2026,2026-03-10,13288.33,USD,Partially Paid
INV00000152,SO00001423,CUST000108,2026-05-11,2026-05-26,32175.45,EUR,Paid
INV00000153,SO00002324,CUST000434,03/25/2026,2026-04-09,19011.09,USD,Partially Paid
INV00000154,SO00000749,CUST000324,02/18/2026,2026-04-19,14284.43,EUR,Paid
INV00000155,SO00000908,CUST000211,2026-04-18,2026-06-02,bad,MXN,Paid
INV00000156,SO00001850,CUST000293,01/20/2026,2026-02-19,35736.27,USD,open 
INV00000157,SO00000297,CUST000143,02/14/2026,2026-04-15,25955.13,CAD,Open
INV00000158,SO00000734,CUST000302,01/27/2026,2026-03-13,6621.33,USD,Paid
INV00000159,SO00000458,CUST000274,2026-03-04,2026-03-19,15090.64,MXN,Cancelled
INV00000160,SO00002349,CUST000179,2026-04-07,2026-05-07,36345.59,MXN,open 
INV00000161,SO00001433,CUST000142,04/11/2026,2026-05-11,24680.26,EUR,open 
INV00000162,SO00001738,CUST000346,04/28/2026,2026-05-13,42886.01,USD,Paid
INV00000163,SO00001565,CUST000041,2026-05-22,2026-06-21,39697.49,MXN,Open
INV00000164,SO00001014,CUST000416,01/23/2026,2026-03-09,9880.96,MXN,Open
INV00000165,SO00000720,CUST000199,05/24/2026,2026-06-08,31127.84,CAD,Open
INV00000166,SO00000251,CUST000369,2026-06-05,2026-07-05,36251.99,MXN,Cancelled
INV00000167,SO00000806,CUST000211,2026-06-06,2026-07-21,30647.33,EUR,Partially Paid
INV00000168,SO00000341,CUST000105,06/04/2026,2026-06-19,9620.86,USD,Paid
INV00000169,SO00000126,CUST000356,2026-03-30,2026-04-14,32577.37,CAD,Cancelled
INV00000170,SO00001086,CUST000317,05/24/2026,2026-07-08,5557.08,EUR,Open
INV00000171,SO00000336,CUST000091,2026-02-02,2026-02-17,30503.07,EUR,Paid
INV00000172,SO00002281,CUST000017,2026-03-14,2026-04-13,3364.61,CAD,open 
INV00000173,SO00001797,CUST000202,03/11/2026,2026-03-26,26936.36,CAD,open 
INV00000174,SO00001041,CUST000003,2026-04-27,2026-06-26,34032.49,USD,Paid
INV00000175,SO00000305,CUST000361,02/23/2026,2026-03-10,9183.21,USD,Paid
INV00000176,SO00000725,CUST000161,2026-02-28,2026-04-29,35477.88,USD,Open
INV00000177,SO00002476,CUST000131,2026-01-20,2026-02-04,6212.02,USD,Partially Paid
INV00000178,SO00000440,CUST000164,04/22/2026,2026-06-06,20886.62,MXN,open 
INV00000179,SO00002116,CUST000034,06/04/2026,2026-07-19,20837.68,MXN,Paid
INV00000180,SO00001115,CUST000377,2026-01-02,2026-03-03,43753.74,USD,Open
INV00000181,SO00001170,CUST000276,2026-03-28,2026-05-27,19436.64,EUR,Cancelled
INV00000182,SO00000438,CUST000247,2026-05-21,2026-06-05,20154.28,USD,open 
INV00000183,SO00000947,CUST000323,2026-05-18,2026-06-02,22376.65,CAD,Paid
INV00000184,SO00002419,CUST000075,05/04/2026,2026-05-19,22737.10,USD,Open
INV00000185,SO00001659,CUST000018,02/26/2026,2026-03-13,2667.18,EUR,Partially Paid
INV00000186,SO00001939,CUST000014,2026-04-20,2026-06-04,36933.41,USD,Partially Paid
INV00000187,SO00002223,CUST000220,02/07/2026,2026-03-24,17296.60,USD,Paid
INV00000188,SO00000226,CUST000066,04/29/2026,2026-06-28,42829.70,USD,Paid
INV00000189,SO00001358,CUST000440,02/11/2026,2026-04-12,16872.72,USD,Cancelled
INV00000190,SO00000245,CUST000405,03/16/2026,2026-04-30,16939.76,USD,Partially Paid
INV00000191,SO00000346,CUST000280,2026-04-26,2026-06-10,20102.93,EUR,open 
INV00000192,SO00001759,CUST000075,03/02/2026,2026-03-17,20337.24,USD,Paid
INV00000193,SO00001138,CUST000018,2026-04-26,2026-05-26,42894.90,CAD,Open
INV00000194,SO00002008,CUST000093,06/01/2026,2026-07-31,10769.74,EUR,Open
INV00000195,SO00000758,CUST000288,2026-06-07,2026-07-22,24418.51,CAD,Paid
INV00000196,SO00000660,CUST000376,01/20/2026,2026-03-21,28080.11,EUR,Open
INV00000197,SO00001181,CUST000330,2026-03-17,2026-04-01,35574.25,MXN,Partially Paid
INV00000198,SO00001592,CUST000087,2026-04-21,2026-05-06,14963.69,EUR,Cancelled
INV00000199,SO00001330,CUST000245,05/16/2026,2026-06-15,16551.60,CAD,Open
INV00000200,SO00002483,CUST000267,2026-06-07,2026-07-07,42490.72,EUR,Paid
INV00000201,SO00001485,CUST000343,2026-04-08,2026-04-23,5788.35,USD,Open
INV00000202,SO00002192,CUST000257,01/16/2026,2026-03-02,16013.42,USD,Partially Paid
INV00000203,SO00000435,CUST000100,2026-04-05,2026-06-04,34186.47,USD,Partially Paid
INV00000204,SO00000200,CUST000275,2026-04-02,2026-05-17,16242.82,EUR,Partially Paid
INV00000205,SO00000784,CUST000383,05/17/2026,2026-06-16,37219.52,USD,Open
INV00000206,SO00000999,CUST000386,02/22/2026,2026-04-08,37066.71,EUR,Cancelled
INV00000207,SO00001548,CUST000326,2026-01-24,2026-02-08,43204.81,USD,Paid
INV00000208,SO00000062,CUST000163,05/08/2026,2026-07-07,36380.27,USD,open 
INV00000209,SO00002125,CUST000005,04/17/2026,2026-06-01,19378.72,USD,open 
INV00000210,SO00001196,CUST000236,01/27/2026,2026-03-13,7121.54,USD,Paid
INV00000211,SO00001274,CUST000114,2026-02-06,2026-03-08,440.92,EUR,open 
INV00000212,SO00001218,CUST000262,2026-02-07,2026-03-09,385.35,CAD,open 
INV00000213,SO00001002,CUST000053,2026-01-29,2026-03-30,44264.08,EUR,Cancelled
INV00000214,SO00002045,CUST000009,2026-05-03,2026-07-02,43109.27,EUR,open 
INV00000215,SO00001777,CUST000242,02/18/2026,2026-04-04,44829.29,MXN,Partially Paid
INV00000216,SO00000684,CUST000413,05/24/2026,2026-07-23,6621.49,MXN,open 
INV00000217,SO00001676,CUST000230,03/05/2026,2026-04-19,42028.57,USD,Partially Paid
INV00000218,SO00001482,CUST000158,04/27/2026,2026-06-26,34186.25,USD,Partially Paid
INV00000219,SO00000043,CUST000231,2026-05-11,2026-05-26,22210.78,EUR,open 
INV00000220,SO00001854,CUST000002,02/07/2026,2026-04-08,35311.16,MXN,Open
INV00000221,SO00000922,CUST000339,03/12/2026,2026-04-11,43553.59,USD,Open
INV00000222,SO00000668,CUST000091,2026-05-27,2026-06-26,14047.43,USD,Partially Paid
INV00000223,SO00000642,CUST000093,02/14/2026,2026-03-16,29410.51,EUR,Paid
INV00000224,SO00000376,CUST000341,04/10/2026,2026-05-25,32878.87,MXN,Cancelled
INV00000225,SO00001852,CUST000345,2026-02-05,2026-04-06,704.35,CAD,open 
INV00000226,SO00002087,CUST000028,2026-02-11,2026-04-12,17506.10,USD,Cancelled
INV00000227,SO00000095,CUST000281,2026-05-29,2026-06-13,12519.92,EUR,Open
INV00000228,SO00000186,CUST000106,05/22/2026,2026-07-21,13819.67,USD,open 
INV00000229,SO00001404,CUST000151,2026-05-05,2026-07-04,10447.42,MXN,Partially Paid
INV00000230,SO00001708,CUST000257,2026-06-02,2026-07-17,23891.36,CAD,Open
INV00000231,SO00001975,CUST000162,2026-04-30,2026-06-14,1974.94,USD,Partially Paid
INV00000232,SO00001465,CUST000195,02/05/2026,2026-03-07,21899.24,USD,Open
INV00000233,SO00001245,CUST000181,2026-02-04,2026-03-21,7935.08,USD,Cancelled
INV00000234,SO00002136,CUST000296,01/22/2026,2026-03-23,2105.85,USD,Cancelled
INV00000235,SO00002000,CUST000080,02/20/2026,2026-03-22,6794.95,USD,open 
INV00000236,SO00000874,CUST000098,2026-05-31,2026-07-15,25695.28,MXN,Cancelled
INV00000237,SO00000584,CUST000182,2026-05-14,2026-06-28,24573.89,USD,open 
INV00000238,SO00000683,CUST000162,06/03/2026,2026-07-18,40605.08,EUR,open 
INV00000239,SO00001901,CUST000005,05/14/2026,2026-06-28,18004.39,EUR,Partially Paid
INV00000240,SO00001905,CUST000399,2026-03-04,2026-05-03,35701.41,USD,Open
INV00000241,SO00000714,CUST000340,2026-05-19,2026-07-03,3572.84,EUR,Open
INV00000242,SO00000216,CUST000243,2026-02-08,2026-04-09,38859.00,USD,Cancelled
