po_id,supplier_id,warehouse_id,po_date,expected_receipt_date,po_status,currency,created_by,source_system
PO00000001,SUP00079,WH0010,01/13/2026,2026-02-06,Partially Received,USD,buyer_2,erp
PO00000002,SUP00025,WH0002,2025-12-22,2026-01-26,approved ,USD,planner_b,erp
PO00000003,SUP00093,WH0010,04/15/2026,2026-05-12,approved ,CAD,planner_c,erp
PO00000004,SUP00100,WH0010,03/23/2026,2026-05-04,Cancelled,MXN,buyer_1,erp
PO00000005,SUP00072,WH0010,12/28/2025,2026-01-07,Created,MXN,planner_c,erp
PO00000006,SUP00066,WH0002,2025-12-21,2026-01-10,approved ,USD,planner_c,erp
PO00000007,SUP00112,WH0025,2025-12-18,2025-12-28,Received,EUR,planner_b,erp
PO00000008,SUP00102,WH0003,02/03/2026,2026-03-05,Approved,USD,planner_a,erp
PO00000009,SUP00062,WH0001,12/30/2025,2026-01-27,Partially Received,CAD,buyer_1,erp
PO00000010,SUP00010,WH0014,04/20/2026,2026-05-11,Received,USD,planner_a,erp
PO00000011,SUP00013,WH0015,12/31/2025,2026-01-15,Received,USD,planner_c,erp
PO00000012,SUP00052,WH0024,2026-02-11,2026-02-23,Partially Received,USD,buyer_2,erp
PO00000013,SUP00018,WH0019,12/24/2025,2026-02-07,Partially Received,EUR,buyer_2,erp
PO00000014,SUP00117,WH0021,12/23/2025,2026-02-01,Partially Received,EUR,planner_c,erp
PO00000015,SUP00065,WH0006,12/24/2025,2026-02-04,Approved,MXN,planner_b,erp
PO00000016,SUP00065,WH0010,04/08/2026,2026-05-15,Approved,CAD,planner_c,erp
PO00000017,SUP00072,WH0008,03/21/2026,2026-05-03,Partially Received,CNY,buyer_2,erp
PO00000018,SUP00084,WH0015,2026-02-07,2026-02-25,Partially Received,CNY,buyer_2,erp
PO00000019,SUP00015,WH0011,2026-02-24,2026-03-07,Created,EUR,buyer_1,erp
PO00000020,SUP00002,WH0003,2026-01-16,2026-02-13,Created,CAD,planner_a,erp
PO00000021,SUP00107,WH0017,2026-01-11,2026-01-30,Cancelled,CNY,buyer_2,erp
PO00000022,SUP00065,WH0019,2026-04-29,2026-06-05,approved ,USD,buyer_2,erp
PO00000023,SUP00045,WH0025,2026-02-10,2026-03-10,Created,USD,planner_b,erp
PO00000024,SUP00005,WH0019,02/10/2026,2026-03-19,Partially Received,USD,planner_b,erp
PO00000025,SUP00027,WH0008,03/17/2026,2026-04-27,approved ,USD,planner_c,erp
PO00000026,SUP00008,WH0013,03/05/2026,2026-04-17,Created,EUR,planner_c,erp
PO00000027,SUP00082,WH0013,2026-03-28,2026-04-13,Approved,USD,planner_b,erp
PO00000028,SUP00049,WH0021,05/08/2026,2026-06-21,Cancelled,CAD,planner_a,erp
PO00000029,SUP00073,WH0018,2026-01-03,2026-01-18,Partially Received,MXN,buyer_2,erp
PO00000030,SUP00077,WH0003,2026-04-02,2026-04-28,Created,CNY,buyer_2,erp
PO00000031,SUP00036,WH0020,2026-01-14,2026-02-09,approved ,CAD,planner_b,erp
PO00000032,SUP00098,WH0001,04/18/2026,2026-05-19,Partially Received,USD,planner_c,erp
PO00000033,SUP00041,WH0009,2026-03-16,2026-04-12,Partially Received,USD,buyer_2,erp
PO00000034,SUP00062,WH0003,03/02/2026,2026-03-17,Approved,MXN,buyer_2,erp
PO00000035,SUP00086,WH0013,01/22/2026,2026-02-10,Partially Received,CNY,buyer_2,erp
PO00000036,SUP00071,WH0004,01/14/2026,2026-02-01,Cancelled,EUR,planner_c,erp
PO00000037,SUP00095,WH0022,2026-03-07,2026-03-28,Received,CNY,buyer_1,erp
PO00000038,SUP00112,WH0011,2026-01-05,2026-01-29,Received,EUR,buyer_2,erp
PO00000039,SUP00036,WH0016,02/09/2026,2026-03-08,approved ,MXN,planner_a,erp
PO00000040,SUP00003,WH0020,2025-12-01,2026-01-11,approved ,EUR,planner_b,erp
PO00000041,SUP00038,WH0011,03/03/2026,2026-04-02,Received,MXN,buyer_2,erp
PO00000042,SUP00100,WH0004,2025-12-08,2026-01-07,approved ,CNY,planner_a,erp
PO00000043,SUP00031,WH0010,12/22/2025,2026-01-14,Partially Received,CAD,planner_a,erp
PO00000044,SUP00082,WH0004,2026-04-05,2026-04-29,Partially Received,USD,planner_c,erp
PO00000045,SUP00106,WH0011,02/08/2026,2026-03-12,approved ,EUR,buyer_1,erp
PO00000046,SUP00072,WH0019,2025-12-31,2026-01-10,Received,USD,buyer_1,erp
PO00000047,SUP00116,WH0003,2025-12-09,2025-12-18,Created,MXN,buyer_2,erp
PO00000048,SUP00028,WH0017,2026-01-15,2026-01-27,approved ,EUR,planner_a,erp
PO00000049,SUP00079,WH0017,04/28/2026,2026-05-17,approved ,EUR,planner_a,erp
PO00000050,SUP00021,WH0011,02/17/2026,2026-03-21,Partially Received,CNY,planner_a,erp
PO00000051,SUP00041,WH0001,2025-12-25,2026-01-16,Approved,USD,planner_a,erp
PO00000052,SUP00057,WH0022,2026-05-13,2026-05-29,Partially Received,EUR,buyer_2,erp
PO00000053,SUP00001,WH0025,03/16/2026,2026-04-22,Partially Received,MXN,planner_b,erp
PO00000054,SUP00117,WH0005,2025-12-02,2025-12-14,approved ,USD,buyer_1,erp
PO00000055,SUP00114,WH0016,12/13/2025,2026-01-17,Partially Received,CNY,buyer_2,erp
PO00000056,SUP00073,WH0004,03/27/2026,2026-05-03,Partially Received,USD,planner_c,erp
PO00000057,SUP00109,WH0024,05/01/2026,2026-06-12,Received,USD,buyer_2,erp
PO00000058,SUP00066,WH0016,2026-03-21,2026-04-25,Partially Received,CNY,planner_c,erp
PO00000059,SUP00098,WH0006,2025-12-11,2026-01-07,Created,USD,planner_a,erp
PO00000060,SUP00071,WH0004,2026-03-15,2026-03-30,Approved,CNY,planner_a,erp
PO00000061,SUP00088,WH0025,01/11/2026,2026-02-16,approved ,USD,planner_a,erp
PO00000062,SUP00003,WH0019,2026-05-10,2026-05-30,Received,CAD,buyer_1,erp
PO00000063,SUP00048,WH0016,01/27/2026,2026-02-13,Approved,CAD,planner_a,erp
PO00000064,SUP00119,WH0023,2025-12-12,2025-12-19,Created,USD,buyer_1,erp
PO00000065,SUP00073,WH0003,2026-05-02,2026-05-08,Cancelled,USD,planner_a,erp
PO00000066,SUP00081,WH0007,2026-04-12,2026-04-23,Received,CNY,planner_c,erp
PO00000067,SUP00067,WH0023,2026-01-22,2026-02-03,Partially Received,EUR,buyer_1,erp
PO00000068,SUP00042,WH0001,2026-03-22,2026-04-02,Approved,USD,buyer_2,erp
PO00000069,SUP00072,WH0020,2025-12-27,2026-01-18,approved ,MXN,planner_b,erp
PO00000070,SUP00022,WH0007,03/24/2026,2026-04-13,Created,EUR,buyer_2,erp
PO00000071,SUP00073,WH0008,2026-02-10,2026-03-15,Received,USD,planner_b,erp
PO00000072,SUP00063,WH0010,2026-02-14,2026-03-28,Partially Received,CNY,planner_b,erp
PO00000073,SUP00037,WH0023,2026-03-02,2026-04-12,Created,MXN,planner_a,erp
PO00000074,SUP00025,WH0006,02/13/2026,2026-03-01,approved ,CNY,planner_c,erp
PO00000075,SUP00044,WH0002,12/12/2025,2026-01-03,approved ,EUR,buyer_1,erp
PO00000076,SUP00074,WH0021,02/08/2026,2026-02-26,Received,USD,planner_b,erp
PO00000077,SUP00020,WH0010,04/30/2026,2026-05-05,Created,EUR,planner_a,erp
PO00000078,SUP00089,WH0013,04/11/2026,2026-05-02,approved ,EUR,buyer_2,erp
PO00000079,SUP00095,WH0019,2026-05-01,2026-06-09,Cancelled,EUR,planner_a,erp
PO00000080,SUP00104,WH0005,2026-04-15,2026-05-04,Partially Received,CAD,planner_b,erp
PO00000081,SUP00099,WH0001,02/01/2026,2026-02-24,Approved,USD,planner_c,erp
PO00000082,SUP00078,WH0023,02/13/2026,2026-03-09,Created,USD,planner_a,erp
PO00000083,SUP00066,WH0004,05/08/2026,2026-05-17,Approved,USD,planner_a,erp
PO00000084,SUP00008,WH0025,03/23/2026,2026-04-04,Partially Received,CNY,buyer_1,erp
PO00000085,SUP00034,WH0016,02/11/2026,2026-03-19,Cancelled,MXN,planner_c,erp
PO00000086,SUP00019,WH0024,02/05/2026,2026-02-15,approved ,EUR,planner_c,erp
PO00000087,SUP00064,WH0006,2025-12-03,2025-12-29,Partially Received,EUR,buyer_1,erp
PO00000088,SUP00062,WH0015,05/02/2026,2026-05-25,Received,CNY,buyer_1,erp
PO00000089,SUP00102,WH0022,01/15/2026,2026-01-20,Partially Received,CNY,planner_b,erp
PO00000090,SUP00015,WH0011,2026-02-11,2026-03-25,Approved,MXN,buyer_2,erp
PO00000091,SUP00024,WH0001,2026-02-20,2026-03-16,Partially Received,USD,planner_b,erp
PO00000092,SUP00049,WH0016,03/18/2026,2026-03-25,approved ,MXN,planner_c,erp
PO00000093,SUP00023,WH0019,2026-02-07,2026-03-15,Received,CAD,planner_a,erp
PO00000094,SUP00033,WH0001,2026-04-05,2026-05-07,Received,CAD,planner_b,erp
PO00000095,SUP00116,WH0006,2026-05-03,2026-06-13,Cancelled,USD,planner_b,erp
PO00000096,SUP00083,WH0004,2026-04-24,2026-06-06,Created,USD,buyer_2,erp
PO00000097,SUP00058,WH0023,02/08/2026,2026-02-23,Created,CAD,planner_c,erp
PO00000098,SUP00050,WH0020,05/06/2026,2026-06-14,Approved,MXN,planner_b,erp
PO00000099,SUP00056,WH0015,2026-03-03,2026-03-20,Partially Received,EUR,planner_c,erp
PO00000100,SUP00115,WH0023,2025-12-05,2025-12-25,Partially Received,MXN,planner_a,erp
PO00000101,SUP00093,WH0003,2026-04-02,2026-05-06,Cancelled,USD,buyer_2,erp
PO00000102,SUP00083,WH0020,2026-03-17,2026-04-28,Cancelled,CNY,planner_b,erp
PO00000103,SUP00083,WH0003,2026-02-04,2026-02-26,Received,CAD,planner_a,erp
PO00000104,SUP00073,WH0001,02/13/2026,2026-03-16,Partially Received,USD,buyer_1,erp
PO00000105,SUP00116,WH0017,2026-03-13,2026-04-23,Received,CNY,planner_b,erp
PO00000106,SUP00052,WH0023,04/07/2026,2026-05-07,Cancelled,CNY,buyer_2,erp
PO00000107,SUP00078,WH0005,2026-02-11,2026-02-27,Received,EUR,planner_a,erp
PO00000108,SUP00103,WH0001,2026-01-21,2026-02-07,approved ,USD,planner_a,erp
PO00000109,SUP00045,WH0008,03/08/2026,2026-03-23,Partially Received,USD,planner_a,erp
PO00000110,SUP00096,WH0019,2026-01-10,2026-01-27,Created,MXN,planner_c,erp
PO00000111,SUP00099,WH0020,04/24/2026,2026-05-17,Partially Received,EUR,planner_a,erp
PO00000112,SUP00067,WH0006,02/21/2026,2026-03-23,Approved,EUR,buyer_2,erp
PO00000113,SUP00086,WH0015,2026-04-13,2026-04-24,Approved,CAD,planner_a,erp
PO00000114,SUP00092,WH0024,2025-12-27,2026-01-28,Created,EUR,planner_b,erp
PO00000115,SUP00053,WH0020,12/29/2025,2026-02-05,Approved,USD,planner_c,erp
PO00000116,SUP00046,WH0006,01/15/2026,2026-02-06,Received,USD,planner_b,erp
PO00000117,SUP00017,WH0024,01/28/2026,2026-02-21,Received,EUR,planner_a,erp
PO00000118,SUP00001,WH0011,2025-12-12,2026-01-14,Received,CAD,planner_b,erp
PO00000119,SUP00030,WH0023,03/19/2026,2026-03-30,Received,USD,planner_c,erp
PO00000120,SUP00009,WH0025,2026-03-31,2026-04-18,Received,MXN,planner_c,erp
PO00000121,SUP00072,WH0009,2026-04-02,2026-04-19,approved ,CNY,planner_b,erp
PO00000122,SUP00072,WH0005,2026-01-25,2026-03-02,Approved,CAD,buyer_2,erp
PO00000123,SUP00074,WH0005,2026-01-08,2026-02-22,Partially Received,USD,buyer_1,erp
PO00000124,SUP00049,WH0019,2026-03-26,2026-04-19,Cancelled,USD,planner_a,erp
PO00000125,SUP00023,WH0022,2025-12-01,2025-12-14,Cancelled,USD,planner_c,erp
PO00000126,SUP00013,WH0021,2026-02-03,2026-03-18,Created,USD,buyer_1,erp
PO00000127,SUP00071,WH0014,04/02/2026,2026-04-10,Approved,EUR,buyer_2,erp
PO00000128,SUP00053,WH0014,04/07/2026,2026-05-08,Approved,USD,planner_c,erp
PO00000129,SUP00038,WH0009,2026-03-06,2026-03-19,Received,USD,buyer_1,erp
PO00000130,SUP00042,WH0015,01/20/2026,2026-02-10,Cancelled,MXN,planner_b,erp
PO00000131,SUP00037,WH0022,12/11/2025,2026-01-24,Partially Received,USD,planner_c,erp
PO00000132,SUP00054,WH0007,2026-04-21,2026-04-29,Partially Received,USD,planner_a,erp
PO00000133,SUP00102,WH0003,03/19/2026,2026-04-14,Partially Received,EUR,planner_a,erp
PO00000134,SUP00094,WH0008,02/18/2026,2026-03-22,Approved,CNY,buyer_2,erp
PO00000135,SUP00030,WH0002,2026-01-07,2026-02-09,Cancelled,USD,planner_a,erp
PO00000136,SUP00081,WH0016,2026-04-01,2026-05-09,Received,USD,planner_c,erp
PO00000137,SUP00082,WH0005,12/21/2025,2026-01-27,approved ,USD,buyer_1,erp
PO00000138,SUP00035,WH0017,2026-02-12,2026-03-11,Cancelled,EUR,planner_b,erp
PO00000139,SUP00069,WH0014,04/06/2026,2026-04-22,Created,USD,planner_b,erp
PO00000140,SUP00075,WH0009,2026-03-21,2026-04-06,Cancelled,CNY,buyer_2,erp
PO00000141,SUP00108,WH0001,04/28/2026,2026-06-03,Received,USD,planner_c,erp
PO00000142,SUP00091,WH0022,03/18/2026,2026-04-11,Approved,CNY,buyer_1,erp
PO00000143,SUP00030,WH0008,2026-04-04,2026-05-15,Partially Received,USD,buyer_2,erp
PO00000144,SUP00027,WH0008,2026-02-11,2026-02-19,Cancelled,USD,planner_c,erp
PO00000145,SUP00102,WH0004,2026-04-02,2026-04-25,Cancelled,EUR,buyer_2,erp
PO00000146,SUP00047,WH0010,05/02/2026,2026-06-05,Cancelled,MXN,planner_c,erp
PO00000147,SUP00026,WH0020,12/19/2025,2026-01-18,Received,USD,planner_a,erp
PO00000148,SUP00008,WH0013,2026-02-28,2026-04-05,Partially Received,CNY,buyer_1,erp
PO00000149,SUP00043,WH0015,03/29/2026,2026-04-28,approved ,CNY,planner_c,erp
PO00000150,SUP00003,WH0023,2026-01-10,2026-01-21,Cancelled,CNY,planner_b,erp
PO00000151,SUP00056,WH0022,2026-03-15,2026-04-16,Approved,CNY,planner_a,erp
PO00000152,SUP00072,WH0013,12/18/2025,2026-01-26,approved ,MXN,planner_a,erp
PO00000153,SUP00084,WH0009,12/29/2025,2026-02-09,Partially Received,USD,planner_a,erp
PO00000154,SUP00082,WH0025,12/20/2025,2026-01-06,Approved,CNY,planner_a,erp
PO00000155,SUP00107,WH0023,02/01/2026,2026-03-17,approved ,CNY,planner_c,erp
PO00000156,SUP00062,WH0022,2026-02-11,2026-03-07,Received,MXN,buyer_1,erp
PO00000157,SUP00016,WH0002,04/25/2026,2026-05-01,Cancelled,CAD,planner_b,erp
PO00000158,SUP00053,WH0019,2025-12-27,2026-01-25,Created,EUR,planner_c,erp
PO00000159,SUP00011,WH0003,2026-01-06,2026-01-12,Created,USD,planner_c,erp
PO00000160,SUP00071,WH0015,2025-12-24,2026-01-13,Created,USD,buyer_2,erp
PO00000161,SUP00035,WH0001,2026-01-28,2026-03-12,Partially Received,CNY,planner_c,erp
PO00000162,SUP00069,WH0012,2026-02-28,2026-03-25,approved ,USD,buyer_2,erp
PO00000163,SUP00074,WH0025,2026-01-06,2026-01-17,approved ,USD,buyer_1,erp
PO00000164,SUP00052,WH0016,2026-01-31,2026-02-19,Cancelled,USD,buyer_2,erp
PO00000165,SUP00102,WH0011,04/20/2026,2026-05-16,approved ,CAD,planner_a,erp
PO00000166,SUP00014,WH0017,03/15/2026,2026-04-20,approved ,CNY,planner_b,erp
PO00000167,SUP00030,WH0003,2025-12-10,2026-01-09,Cancelled,USD,planner_c,erp
PO00000168,SUP00031,WH0016,05/08/2026,2026-05-26,approved ,MXN,buyer_1,erp
PO00000169,SUP00092,WH0013,2026-02-27,2026-03-21,approved ,CAD,buyer_2,erp
PO00000170,SUP00073,WH0005,03/12/2026,2026-04-01,Created,CNY,buyer_2,erp
PO00000171,SUP00089,WH0024,12/12/2025,2026-01-26,Created,MXN,buyer_1,erp
PO00000172,SUP00065,WH0003,12/02/2025,2025-12-23,Created,USD,planner_c,erp
PO00000173,SUP00046,WH0002,2025-12-15,2026-01-28,Partially Received,CAD,buyer_2,erp
PO00000174,SUP00105,WH0022,2026-04-28,2026-05-20,Cancelled,EUR,planner_b,erp
PO00000175,SUP00102,WH0021,01/31/2026,2026-02-17,Partially Received,MXN,planner_b,erp
PO00000176,SUP00044,WH0011,04/23/2026,2026-06-03,approved ,CNY,planner_a,erp
PO00000177,SUP00010,WH0007,2026-02-17,2026-03-22,Cancelled,MXN,buyer_2,erp
PO00000178,SUP00102,WH0005,04/04/2026,2026-04-11,Created,USD,planner_c,erp
PO00000179,SUP00095,WH0018,2026-02-18,2026-03-02,Approved,USD,buyer_2,erp
PO00000180,SUP00003,WH0021,05/04/2026,2026-05-13,Cancelled,CNY,buyer_2,erp
PO00000181,SUP00028,WH0021,2026-01-25,2026-03-02,Approved,USD,buyer_1,erp
PO00000182,SUP00059,WH0007,03/15/2026,2026-03-29,Created,EUR,planner_b,erp
PO00000183,SUP00055,WH0007,02/20/2026,2026-04-03,Created,USD,planner_a,erp
PO00000184,SUP00021,WH0015,02/07/2026,2026-03-06,Partially Received,CNY,planner_a,erp
PO00000185,SUP00035,WH0015,2026-02-13,2026-02-19,Partially Received,USD,planner_c,erp
