receipt_line_id,receipt_id,po_line_id,product_id,received_qty,rejected_qty,damage_reason
RCL0000000001,RCV00000001,POL0000000189,SKU0000685,125,5,Damaged packaging
RCL0000000002,RCV00000002,POL0000000710,SKU0000277,50,0,
RCL0000000003,RCV00000002,POL0000000709,SKU0000326,125,0,Temperature breach
RCL0000000004,RCV00000003,POL0000001058,SKU0000246,25,0,
RCL0000000005,RCV00000003,POL0000001060,SKU0000581,55,0,
RCL0000000006,RCV00000003,POL0000001059,SKU0000426,1000,0,Temperature breach
RCL0000000007,RCV00000004,POL0000001628,SKU0000164,0,0,Incorrect item
RCL0000000008,RCV00000004,POL0000001626,SKU0000436,375,0,Temperature breach
RCL0000000009,RCV00000005,POL0000000966,SKU0000003,275,2,Incorrect item
RCL0000000010,RCV00000005,POL0000000968,SKU0000642,0,0,Incorrect item
RCL0000000011,RCV00000006,POL0000000005,SKU0000219,500,0,Incorrect item
RCL0000000012,RCV00000006,POL0000000003,SKU0000234,0,2,Damaged packaging
RCL0000000013,RCV00000006,POL0000000004,SKU0000230,0,5,Temperature breach
RCL0000000014,RCV00000007,POL0000001656,SKU0000148,250,1,Temperature breach
RCL0000000015,RCV00000008,POL0000000704,SKU0000631,110,0,
RCL0000000016,RCV00000008,POL0000000703,SKU0000124,75,0,Incorrect item
RCL0000000017,RCV00000009,POL0000001781,SKU0000644,375,0,Damaged packaging
RCL0000000018,RCV00000009,POL0000001782,SKU0000511,110,2,Damaged packaging
RCL0000000019,RCV00000010,POL0000001292,SKU0000431,500,1,
RCL0000000020,RCV00000010,POL0000001295,SKU0000434,500,2,Incorrect item
RCL0000000021,RCV00000011,POL0000001232,SKU0000645,0,,Temperature breach
RCL0000000022,RCV00000011,POL0000001234,SKU0000386,375,0,Damaged packaging
RCL0000000023,RCV00000011,POL0000001233,SKU0000504,275,0,
RCL0000000024,RCV00000011,POL0000001235,SKU0000498,110,0,Incorrect item
RCL0000000025,RCV00000012,POL0000001651,SKU0000611,250,2,
RCL0000000026,RCV00000012,POL0000001650,SKU0000652,50,,Damaged packaging
RCL0000000027,RCV00000013,POL0000001668,SKU0000468,1000,2,Temperature breach
RCL0000000028,RCV00000013,POL0000001665,SKU0000155,110,1,Incorrect item
RCL0000000029,RCV00000014,POL0000000951,SKU0000272,100,0,Incorrect item
RCL0000000030,RCV00000014,POL0000000952,SKU0000072,250,5,
RCL0000000031,RCV00000014,POL0000000950,SKU0000348,25,,Temperature breach
RCL0000000032,RCV00000015,POL0000000894,SKU0000444,187,5,Temperature breach
RCL0000000033,RCV00000016,POL0000000924,SKU0000367,250,1,Temperature breach
RCL0000000034,RCV00000016,POL0000000925,SKU0000301,50,1,Incorrect item
RCL0000000035,RCV00000017,POL0000001558,SKU0000031,55,0,Damaged packaging
RCL0000000036,RCV00000018,POL0000001703,SKU0000009,1000,5,
RCL0000000037,RCV00000018,POL0000001705,SKU0000528,55,5,Damaged packaging
RCL0000000038,RCV00000019,POL0000001053,SKU0000293,0,1,Temperature breach
RCL0000000039,RCV00000020,POL0000001872,SKU0000635,75,1,Damaged packaging
RCL0000000040,RCV00000021,POL0000000445,SKU0000343,550,,
RCL0000000041,RCV00000021,POL0000000443,SKU0000676,0,5,Damaged packaging
RCL0000000042,RCV00000022,POL0000001437,SKU0000500,1100,1,Temperature breach
RCL0000000043,RCV00000022,POL0000001436,SKU0000088,0,0,Damaged packaging
RCL0000000044,RCV00000022,POL0000001435,SKU0000002,55,0,Temperature breach
RCL0000000045,RCV00000022,POL0000001434,SKU0000399,25,0,Temperature breach
RCL0000000046,RCV00000023,POL0000001082,SKU0000415,500,5,Damaged packaging
RCL0000000047,RCV00000024,POL0000001846,SKU0000482,1100,0,
RCL0000000048,RCV00000024,POL0000001847,SKU0000176,500,5,Temperature breach
RCL0000000049,RCV00000025,POL0000000015,SKU0000330,375,0,Temperature breach
RCL0000000050,RCV00000026,POL0000001875,SKU0000091,50,5,Temperature breach
RCL0000000051,RCV00000026,POL0000001874,SKU0000512,0,1,Damaged packaging
RCL0000000052,RCV00000026,POL0000001873,SKU0000107,375,5,
RCL0000000053,RCV00000027,POL0000000561,SKU0000417,275,0,Damaged packaging
RCL0000000054,RCV00000027,POL0000000560,SKU0000572,25,0,
RCL0000000055,RCV00000028,POL0000000165,SKU0000460,500,0,
RCL0000000056,RCV00000028,POL0000000166,SKU0000459,25,0,Incorrect item
