cdc_id,customer_id,effective_ts,operation,new_customer_segment,new_risk_tier,new_payment_terms,change_reason,effective_date
CCDC000001,CUST000143,2026-03-07 15:56:41,UPDATE,Retail,Medium,NET60,customer_growth,2026-03-07
CCDC000002,CUST000176,2026-05-09 16:53:20,UPDATE,Small Business,Medium,NET60,credit_review,2026-05-09
CCDC000003,CUST000119,2026-04-16 18:16:02,UPDATE,Wholesale,High,NET45,credit_review,2026-04-16
CCDC000004,CUST000070,2026-04-06 19:05:39,UPDATE,Mid Market,Low,NET30,customer_growth,2026-04-06
CCDC000005,CUST000209,2026-01-26 00:49:13,UPDATE,Small Business,Medium,PREPAID,credit_review,2026-01-26
CCDC000006,CUST000306,2026-04-01 01:39:55,UPDATE,Small Business,Medium,NET30,credit_review,2026-04-01
CCDC000007,CUST000424,2026-01-28 13:41:44,UPDATE,Enterprise,High,NET30,risk_event,2026-01-28
CCDC000008,CUST000148,2026-05-24 19:52:40,UPDATE,Small Business,Medium,PREPAID,risk_event,2026-05-24
CCDC000009,CUST000215,2026-05-27 08:08:31,UPDATE,Mid Market,Low,NET60,customer_growth,2026-05-27
CCDC000010,CUST000100,2026-05-01 18:19:48,UPDATE,Small Business,Medium,NET45,customer_growth,2026-05-01
CCDC000011,CUST000309,2026-03-04 11:59:39,UPDATE,Wholesale,High,NET60,risk_event,2026-03-04
CCDC000012,CUST000237,2026-01-31 16:07:47,UPDATE,Mid Market,High,NET45,customer_growth,2026-01-31
CCDC000013,CUST000196,2026-02-06 19:49:31,UPDATE,Wholesale,Medium,PREPAID,risk_event,2026-02-06
CCDC000014,CUST000101,2026-02-22 16:39:06,UPDATE,Mid Market,Medium,NET60,credit_review,2026-02-22
CCDC000015,CUST000448,2026-05-31 00:10:07,UPDATE,Mid Market,Low,NET45,risk_event,2026-05-31
CCDC000016,CUST000077,2026-04-04 16:38:40,UPDATE,Small Business,Medium,NET30,customer_growth,2026-04-04
CCDC000017,CUST000211,2026-05-06 19:45:00,UPDATE,Small Business,High,PREPAID,annual_review,2026-05-06
CCDC000018,CUST000121,2026-02-04 11:14:50,UPDATE,Mid Market,High,NET60,credit_review,2026-02-04
CCDC000019,CUST000330,2026-05-19 11:34:46,UPDATE,Mid Market,Medium,NET60,credit_review,2026-05-19
CCDC000020,CUST000006,2026-05-16 05:31:16,UPDATE,Enterprise,High,NET60,risk_event,2026-05-16
CCDC000021,CUST000372,2026-04-21 14:58:27,UPDATE,Enterprise,Low,NET45,annual_review,2026-04-21
