customer_id,customer_name,customer_segment,industry,city,state,country,region,signup_date,credit_limit,payment_terms,risk_tier,is_active,customer_nk_hash
CUST000001,Northstar Group 1,Small Business,Technology,Seattle,WA,USA,West,2024-01-07,291225.33,NET30,Medium,False,4a34394b21c68a13f93a
CUST000002,Clearpath Trading 2,Enterprise,Food Service,Vancouver,BC,CAN,West,,28367.9,NET30,High,True,4c58ab047a17da972894
CUST000003,Clearpath Trading 3,Unknown,Food Service,Vancouver,BC,CAN,West,2023-10-24,258676.05,NET30,High,True,e40f9ea2a52dd55ba4aa
CUST000004,Nova Partners 4,Wholesale,Food Service,Atlanta,GA,USA,Southeast,,216805.08,PREPAID,High,False,2f2616098c59b01e50b3
CUST000005,Prime Trading 5,Retail,Retail,Monterrey,NL,MEX,Southwest,2025-03-07,478726.34,NET30,High,True,fa2652baa5041242fba2
CUST000006,Nova Supply 6,Enterprise,Technology,Seattle,WA,USA,West,,576475.0,NET60,Low,False,57d2eb617ee36e3222f5
CUST000007,Nova Logistics 7,Retail,Education,Guadalajara,JA,MEX,Southwest,,239898.96,NET60,Medium,True,3c5455f51f3f55594597
CUST000008,Urban Logistics 8,Wholesale,Technology,Monterrey,NL,MEX,Southwest,,115997.12,NET30,Low,False,0c5f0e5b2aaa9e338628
CUST000009,Clearpath Logistics 9,Unknown,Education,Monterrey,NL,MEX,Southwest,,235819.93,PREPAID,Medium,False,d213ea8c5a55e76a5a4c
CUST000010,Nova Markets 10,Small Business,Manufacturing,Denver,CO,USA,West,2024-03-10,24615.16,NET30,High,True,0a5e2eb79d7f94bc5655
CUST000011,Blueriver Partners 11,Mid Market,Food Service,Phoenix,AZ,USA,Southwest,,486545.78,PREPAID,Low,True,e24d4d94b119a6aa1c50
CUST000012,Urban Supply 12,Mid Market,Education,Seattle,WA,USA,West,,1118138.37,PREPAID,Low,True,e759457abafae7b24960
CUST000013,Urban Trading 13,Unknown,Manufacturing,Dallas,TX,USA,Southwest,,27922.24,NET30,Medium,True,7235800efa4a288c872d
CUST000014,Northstar Markets 14,Mid Market,Manufacturing,Vancouver,BC,CAN,West,2026-02-18,224909.38,NET30,Low,True,82e28f4247645913d26f
CUST000015,Blueriver Trading 15,Small Business,Education,Monterrey,NL,MEX,Southwest,,97132.52,NET45,Low,True,7556a5c69a2bfffa5ea2
