rate_date,currency,usd_rate,source
2025-01-01,USD,1.0,daily_fx_feed
2025-01-01,CAD,0.745345,daily_fx_feed
2025-01-01,MXN,0.056999,daily_fx_feed
2025-01-01,EUR,1.080002,daily_fx_feed
2025-01-01,CNY,0.133662,daily_fx_feed
2025-01-02,USD,1.0,daily_fx_feed
2025-01-02,CAD,0.739454,daily_fx_feed
2025-01-02,MXN,0.054106,daily_fx_feed
2025-01-02,EUR,1.073958,daily_fx_feed
2025-01-02,CNY,0.146723,daily_fx_feed
2025-01-03,USD,1.0,daily_fx_feed
2025-01-03,CAD,0.735049,daily_fx_feed
2025-01-03,MXN,0.061011,daily_fx_feed
2025-01-03,EUR,1.080709,daily_fx_feed
2025-01-03,CNY,0.142283,daily_fx_feed
2025-01-04,USD,1.0,daily_fx_feed
2025-01-04,CAD,0.73958,daily_fx_feed
2025-01-04,MXN,0.056199,daily_fx_feed
2025-01-04,EUR,1.074625,daily_fx_feed
2025-01-04,CNY,0.131601,daily_fx_feed
2025-01-05,USD,1.0,daily_fx_feed
2025-01-05,CAD,0.74765,daily_fx_feed
2025-01-05,MXN,0.057596,daily_fx_feed
2025-01-05,EUR,1.074247,daily_fx_feed
2025-01-05,CNY,0.13091,daily_fx_feed
2025-01-06,USD,1.0,daily_fx_feed
2025-01-06,CAD,0.731373,daily_fx_feed
2025-01-06,MXN,0.065106,daily_fx_feed
2025-01-06,EUR,1.073959,daily_fx_feed
2025-01-06,CNY,0.145364,daily_fx_feed
2025-01-07,USD,1.0,daily_fx_feed
2025-01-07,CAD,0.742416,daily_fx_feed
2025-01-07,MXN,0.051282,daily_fx_feed
2025-01-07,EUR,1.086115,daily_fx_feed
2025-01-07,CNY,0.144763,daily_fx_feed
2025-01-08,USD,1.0,daily_fx_feed
2025-01-08,CAD,0.732112,daily_fx_feed
2025-01-08,MXN,0.057699,daily_fx_feed
2025-01-08,EUR,1.072669,daily_fx_feed
2025-01-08,CNY,0.145888,daily_fx_feed
2025-01-09,USD,1.0,daily_fx_feed
2025-01-09,CAD,0.740327,daily_fx_feed
2025-01-09,MXN,0.050134,daily_fx_feed
2025-01-09,EUR,1.078502,daily_fx_feed
2025-01-09,CNY,0.144462,daily_fx_feed
2025-01-10,USD,1.0,daily_fx_feed
2025-01-10,CAD,0.746304,daily_fx_feed
2025-01-10,MXN,0.062766,daily_fx_feed
2025-01-10,EUR,1.085139,daily_fx_feed
2025-01-10,CNY,0.131085,daily_fx_feed
2025-01-11,USD,1.0,daily_fx_feed
2025-01-11,CAD,0.733741,daily_fx_feed
2025-01-11,MXN,0.065143,daily_fx_feed
2025-01-11,EUR,1.07703,daily_fx_feed
2025-01-11,CNY,0.131863,daily_fx_feed
2025-01-12,USD,1.0,daily_fx_feed
2025-01-12,CAD,0.730805,daily_fx_feed
2025-01-12,MXN,0.060743,daily_fx_feed
2025-01-12,EUR,1.089737,daily_fx_feed
2025-01-12,CNY,0.135801,daily_fx_feed
2025-01-13,USD,1.0,daily_fx_feed
2025-01-13,CAD,0.739281,daily_fx_feed
2025-01-13,MXN,0.04842,daily_fx_feed
2025-01-13,EUR,1.085844,daily_fx_feed
2025-01-13,CNY,0.139235,daily_fx_feed
2025-01-14,USD,1.0,daily_fx_feed
2025-01-14,CAD,0.738452,daily_fx_feed
2025-01-14,MXN,0.051537,daily_fx_feed
2025-01-14,EUR,1.070128,daily_fx_feed
2025-01-14,CNY,0.146545,daily_fx_feed
2025-01-15,USD,1.0,daily_fx_feed
2025-01-15,CAD,0.748544,daily_fx_feed
2025-01-15,MXN,0.065149,daily_fx_feed
2025-01-15,EUR,1.079018,daily_fx_feed
2025-01-15,CNY,0.138687,daily_fx_feed
2025-01-16,USD,1.0,daily_fx_feed
2025-01-16,CAD,0.735728,daily_fx_feed
2025-01-16,MXN,0.051157,daily_fx_feed
2025-01-16,EUR,1.073848,daily_fx_feed
2025-01-16,CNY,0.140104,daily_fx_feed
2025-01-17,USD,1.0,daily_fx_feed
2025-01-17,CAD,0.746916,daily_fx_feed
2025-01-17,MXN,0.049472,daily_fx_feed
2025-01-17,EUR,1.088203,daily_fx_feed
2025-01-17,CNY,0.133356,daily_fx_feed
2025-01-18,USD,1.0,daily_fx_feed
2025-01-18,CAD,0.749028,daily_fx_feed
2025-01-18,MXN,0.06336,daily_fx_feed
2025-01-18,EUR,1.078659,daily_fx_feed
2025-01-18,CNY,0.140737,daily_fx_feed
2025-01-19,USD,1.0,daily_fx_feed
2025-01-19,CAD,0.746012,daily_fx_feed
2025-01-19,MXN,0.064482,daily_fx_feed
2025-01-19,EUR,1.083092,daily_fx_feed
2025-01-19,CNY,0.14153,daily_fx_feed
2025-01-20,USD,1.0,daily_fx_feed
2025-01-20,CAD,0.731101,daily_fx_feed
2025-01-20,MXN,0.051988,daily_fx_feed
2025-01-20,EUR,1.073296,daily_fx_feed
2025-01-20,CNY,0.145705,daily_fx_feed
2025-01-21,USD,1.0,daily_fx_feed
2025-01-21,CAD,0.74791,daily_fx_feed
2025-01-21,MXN,0.065646,daily_fx_feed
2025-01-21,EUR,1.076142,daily_fx_feed
2025-01-21,CNY,0.145061,daily_fx_feed
2025-01-22,USD,1.0,daily_fx_feed
2025-01-22,CAD,0.736573,daily_fx_feed
2025-01-22,MXN,0.048642,daily_fx_feed
2025-01-22,EUR,1.075341,daily_fx_feed
2025-01-22,CNY,0.1302,daily_fx_feed
2025-01-23,USD,1.0,daily_fx_feed
2025-01-23,CAD,0.733853,daily_fx_feed
2025-01-23,MXN,0.062346,daily_fx_feed
2025-01-23,EUR,1.076439,daily_fx_feed
2025-01-23,CNY,0.148124,daily_fx_feed
2025-01-24,USD,1.0,daily_fx_feed
2025-01-24,CAD,0.735251,daily_fx_feed
2025-01-24,MXN,0.066643,daily_fx_feed
2025-01-24,EUR,1.070799,daily_fx_feed
2025-01-24,CNY,0.144318,daily_fx_feed
2025-01-25,USD,1.0,daily_fx_feed
2025-01-25,CAD,0.730676,daily_fx_feed
2025-01-25,MXN,0.067377,daily_fx_feed
2025-01-25,EUR,1.088228,daily_fx_feed
2025-01-25,CNY,0.147719,daily_fx_feed
2025-01-26,USD,1.0,daily_fx_feed
2025-01-26,CAD,0.746213,daily_fx_feed
2025-01-26,MXN,0.053701,daily_fx_feed
