adjustment_id,warehouse_id,product_id,adjustment_ts,adjustment_qty,adjustment_reason,approved_by,adjustment_date,requires_review
ADJ00000001,WH0001,SKU0000050,2026-04-09 18:32:00,-50.0,Damage,mgr_2,2026-04-09,True
ADJ00000002,WH0012,SKU0000025,,-25.0,Shrinkage,mgr_1,,True
ADJ00000003,WH0018,SKU0000672,,-10.0,System Correction,mgr_1,,False
ADJ00000004,WH0016,SKU0000256,2026-05-08 14:59:00,-50.0,Shrinkage,controller,2026-05-08,True
ADJ00000005,WH0020,SKU0000243,,-25.0,Cycle Count,ops_lead,,True
ADJ00000006,WH0010,SKU0000110,2026-05-05 09:05:00,-10.0,Shrinkage,controller,2026-05-05,False
ADJ00000007,WH0005,SKU0000023,2026-03-03 07:45:00,50.0,Found Inventory,mgr_1,2026-03-03,True
ADJ00000008,WH0005,SKU0000572,2026-01-12 04:05:00,-10.0,Cycle Count,controller,2026-01-12,False
ADJ00000009,WH0002,SKU0000645,2026-04-06 04:28:00,5.0,Found Inventory,unapproved,2026-04-06,False
ADJ00000010,WH0010,SKU0000266,,-10.0,Shrinkage,ops_lead,,False
ADJ00000011,WH0002,SKU0000261,2026-03-18 04:48:00,-5.0,Found Inventory,ops_lead,2026-03-18,False
ADJ00000012,WH0018,SKU0000152,2026-02-01 07:20:00,-10.0,Shrinkage,ops_lead,2026-02-01,False
ADJ00000013,WH0005,SKU0000177,,-10.0,System Correction,controller,,False
ADJ00000014,WH0001,SKU0000511,,-25.0,Shrinkage,mgr_1,,True
ADJ00000015,WH0013,SKU0000569,2026-04-20 13:01:00,-5.0,Shrinkage,mgr_2,2026-04-20,False
ADJ00000016,WH0024,SKU0000114,,-50.0,Damage,ops_lead,,True
ADJ00000017,WH0015,SKU0000637,2026-05-31 12:21:00,-25.0,Shrinkage,controller,2026-05-31,True
ADJ00000018,WH0005,SKU0000139,,-10.0,Damage,ops_lead,,False
ADJ00000019,WH0018,SKU0000201,2026-02-06 05:44:00,-10.0,Shrinkage,mgr_2,2026-02-06,False
ADJ00000020,WH0020,SKU0000141,,25.0,Found Inventory,unapproved,,True
ADJ00000021,WH0016,SKU0000027,,10.0,Cycle Count,controller,,False
ADJ00000022,WH0001,SKU0000469,,-10.0,Damage,mgr_1,,False
ADJ00000023,WH0020,SKU0000093,2026-01-25 20:11:00,25.0,System Correction,unapproved,2026-01-25,True
ADJ00000024,WH0008,SKU0000179,,-50.0,Shrinkage,mgr_1,,True
ADJ00000025,WH0019,SKU0000461,,-25.0,Found Inventory,ops_lead,,True
ADJ00000026,WH0020,SKU0000161,,-5.0,Damage,mgr_1,,False
ADJ00000027,WH0011,SKU0000187,2026-01-08 13:30:00,10.0,Shrinkage,ops_lead,2026-01-08,False
ADJ00000028,WH0009,SKU0000424,2026-01-19 18:50:00,-25.0,Shrinkage,controller,2026-01-19,True
ADJ00000029,WH0006,SKU0000323,,-10.0,Found Inventory,controller,,False
ADJ00000030,WH0010,SKU0000508,2026-04-25 22:44:00,25.0,Shrinkage,unapproved,2026-04-25,True
ADJ00000031,WH0008,SKU0000105,,-10.0,System Correction,controller,,False
ADJ00000032,WH0008,SKU0000107,,-5.0,Cycle Count,mgr_2,,False
ADJ00000033,WH0011,SKU0000620,2026-02-12 12:37:00,-50.0,Found Inventory,mgr_2,2026-02-12,True
ADJ00000034,WH0014,SKU0000001,2026-02-07 20:46:00,25.0,Cycle Count,mgr_2,2026-02-07,True
ADJ00000035,WH0023,SKU0000663,,-25.0,Cycle Count,unapproved,,True
ADJ00000036,WH0008,SKU0000011,,-5.0,System Correction,controller,,False
ADJ00000037,WH0021,SKU0000121,,50.0,System Correction,ops_lead,,True
ADJ00000038,WH0001,SKU0000219,2026-04-24 20:20:00,-25.0,System Correction,unapproved,2026-04-24,True
ADJ00000039,WH0022,SKU0000305,,-5.0,System Correction,unapproved,,False
ADJ00000040,WH0024,SKU0000372,2026-05-05 03:58:00,25.0,Shrinkage,unapproved,2026-05-05,True
ADJ00000041,WH0025,SKU0000384,2026-03-12 01:19:00,5.0,Damage,controller,2026-03-12,False
ADJ00000042,WH0020,SKU0000200,2026-05-31 16:37:00,-5.0,Shrinkage,unapproved,2026-05-31,False
ADJ00000043,WH0006,SKU0000188,,5.0,Shrinkage,ops_lead,,False
ADJ00000044,WH0002,SKU0000568,,5.0,Shrinkage,ops_lead,,False
ADJ00000045,WH0020,SKU0000428,,,Damage,mgr_2,,False
ADJ00000046,WH0017,SKU0000550,,,Shrinkage,mgr_1,,False
ADJ00000047,WH0008,SKU0000345,2026-01-10 05:37:00,-10.0,Found Inventory,mgr_1,2026-01-10,False
ADJ00000048,WH0009,SKU0000497,,-10.0,Found Inventory,mgr_1,,False
ADJ00000049,WH0014,SKU0000093,2026-04-02 21:32:00,50.0,System Correction,ops_lead,2026-04-02,True
ADJ00000050,WH0024,SKU0000563,2026-01-31 23:05:00,25.0,Damage,ops_lead,2026-01-31,True
ADJ00000051,WH0002,SKU0000305,2026-01-25 16:31:00,-5.0,Found Inventory,ops_lead,2026-01-25,False
ADJ00000052,WH0016,SKU0000541,2026-01-25 13:06:00,50.0,Cycle Count,ops_lead,2026-01-25,True
ADJ00000053,WH0013,SKU0000171,,-10.0,Cycle Count,unapproved,,False
