snapshot_date,warehouse_id,product_id,on_hand_qty,allocated_qty,available_qty,reorder_point,safety_stock_qty,inventory_status,valid_inventory_qty
2026-01-31,WH0001,SKU0000159,1806.0,5,1801,50,100,Healthy,True
2026-01-31,WH0001,SKU0000464,960.0,47,913,50,100,Healthy,True
2026-01-31,WH0001,SKU0000075,927.0,411,516,50,50,Stockout,True
2026-01-31,WH0001,SKU0000205,1479.0,143,1336,50,50,Stockout,True
2026-01-31,WH0001,SKU0000214,202.0,95,107,250,100,Healthy,True
2026-01-31,WH0001,SKU0000085,1313.0,378,935,250,25,Stockout,True
2026-01-31,WH0001,SKU0000010,46.0,45,1,50,200,Healthy,True
2026-01-31,WH0001,SKU0000555,1784.0,500,1284,50,50,Healthy,True
2026-01-31,WH0001,SKU0000627,1355.0,29,1326,250,25,Healthy,True
2026-01-31,WH0001,SKU0000130,954.0,212,742,100,50,Low,True
2026-01-31,WH0001,SKU0000397,2000.0,280,1720,250,25,Overstock,True
2026-01-31,WH0001,SKU0000303,1779.0,276,1503,100,200,Low,True
2026-01-31,WH0001,SKU0000681,1369.0,356,1013,250,200,Low,True
2026-01-31,WH0001,SKU0000039,1728.0,233,1495,250,100,Stockout,True
2026-01-31,WH0001,SKU0000535,648.0,370,278,250,200,Overstock,True
2026-01-31,WH0001,SKU0000168,1700.0,221,1479,50,50,Healthy,True
2026-01-31,WH0001,SKU0000173,1100.0,297,803,500,50,Stockout,True
2026-01-31,WH0001,SKU0000274,261.0,68,193,500,200,Low,True
2026-01-31,WH0001,SKU0000321,1320.0,240,1080,500,100,Healthy,True
2026-01-31,WH0001,SKU0000639,1145.0,51,1094,50,200,Healthy,True
2026-01-31,WH0001,SKU0000144,457.0,88,369,250,200,Overstock,True
2026-01-31,WH0001,SKU0000080,279.0,172,107,500,25,Healthy,True
2026-01-31,WH0001,SKU0000164,861.0,15,846,500,200,Stockout,True
2026-01-31,WH0001,SKU0000682,1059.0,354,705,100,200,Healthy,True
2026-01-31,WH0001,SKU0000157,1052.0,398,654,250,100,Stockout,True
2026-01-31,WH0001,SKU0000324,1455.0,432,1023,100,50,Low,True
2026-01-31,WH0001,SKU0000036,1901.0,119,1782,250,200,Healthy,True
2026-01-31,WH0001,SKU0000509,1093.0,439,654,50,50,Overstock,True
2026-01-31,WH0001,SKU0000326,1991.0,333,1658,100,100,Healthy,True
2026-01-31,WH0001,SKU0000323,389.0,344,45,500,100,Low,True
2026-01-31,WH0001,SKU0000231,1619.0,354,1265,50,100,Stockout,True
2026-01-31,WH0001,SKU0000198,1898.0,381,1517,100,200,Healthy,True
2026-01-31,WH0001,SKU0000240,957.0,53,904,50,200,Healthy,True
2026-01-31,WH0001,SKU0000637,655.0,266,389,500,200,Overstock,True
2026-01-31,WH0001,SKU0000654,848.0,329,519,500,25,Low,True
2026-01-31,WH0001,SKU0000588,379.0,41,338,250,25,Healthy,True
2026-01-31,WH0001,SKU0000199,348.0,290,58,500,100,Healthy,True
2026-01-31,WH0001,SKU0000074,1662.0,435,1227,250,200,Healthy,True
2026-01-31,WH0001,SKU0000194,1333.0,312,1021,50,25,Stockout,True
2026-01-31,WH0001,SKU0000040,1114.0,249,865,100,100,Healthy,True
2026-01-31,WH0001,SKU0000602,27.0,11,16,500,25,Low,True
2026-01-31,WH0001,SKU0000500,724.0,399,325,50,50,Low,True
2026-01-31,WH0001,SKU0000553,1396.0,353,1043,500,25,Overstock,True
2026-01-31,WH0001,SKU0000224,271.0,182,89,50,25,Overstock,True
2026-01-31,WH0001,SKU0000504,319.0,137,182,250,25,Healthy,True
2026-01-31,WH0001,SKU0000163,1116.0,39,1077,100,200,Healthy,True
2026-01-31,WH0001,SKU0000308,1713.0,344,1369,500,25,Healthy,True
2026-01-31,WH0001,SKU0000234,1347.0,179,1168,250,200,Healthy,True
2026-01-31,WH0001,SKU0000389,696.0,402,294,250,200,Stockout,True
2026-01-31,WH0001,SKU0000286,1611.0,394,1217,250,25,Overstock,True
2026-01-31,WH0001,SKU0000677,54.0,33,21,250,100,Overstock,True
2026-01-31,WH0001,SKU0000623,502.0,481,21,500,50,Overstock,True
2026-01-31,WH0001,SKU0000215,1430.0,182,1248,50,100,Overstock,True
2026-01-31,WH0001,SKU0000538,69.0,42,27,250,50,Stockout,True
2026-01-31,WH0001,SKU0000605,1727.0,73,1654,100,25,Low,True
2026-01-31,WH0001,SKU0000355,1248.0,220,1028,100,100,Overstock,True
2026-01-31,WH0001,SKU0000593,876.0,131,745,50,200,Healthy,True
2026-01-31,WH0001,SKU0000092,590.0,108,482,50,100,Healthy,True
2026-01-31,WH0001,SKU0000478,477.0,366,111,500,25,Stockout,True
2026-01-31,WH0001,SKU0000185,870.0,358,512,50,100,Healthy,True
2026-01-31,WH0001,SKU0000405,139.0,67,72,500,100,Low,True
2026-01-31,WH0001,SKU0000592,293.0,218,75,500,200,Overstock,True
2026-01-31,WH0001,SKU0000665,683.0,319,364,250,200,Overstock,True
2026-01-31,WH0001,SKU0000121,1890.0,410,1480,50,100,Low,True
2026-01-31,WH0001,SKU0000432,1731.0,290,1441,500,25,Stockout,True
2026-01-31,WH0001,SKU0000690,434.0,78,356,500,100,Healthy,True
2026-01-31,WH0001,SKU0000110,573.0,47,526,500,50,Low,True
