po_line_id,po_id,line_number,product_id,ordered_qty,unit_cost,line_status,valid_quantity,valid_unit_cost
POL0000000001,PO00000001,1,SKU0000213,1000.0,92.2,Partial,True,True
POL0000000002,PO00000001,2,SKU0000301,250.0,199.35,Received,True,True
POL0000000003,PO00000002,1,SKU0000234,-5.0,86.53,Open,False,True
POL0000000004,PO00000002,2,SKU0000230,-5.0,150.83,Partial,False,True
POL0000000005,PO00000002,3,SKU0000219,500.0,116.78,Received,True,True
POL0000000006,PO00000002,4,SKU0000682,500.0,63.61,Open,True,True
POL0000000007,PO00000003,1,SKU0000537,250.0,81.91,Partial,True,True
POL0000000008,PO00000003,2,SKU0000027,,144.08,Open,False,True
POL0000000009,PO00000003,3,SKU0000046,50.0,3.14,Open,True,True
POL0000000010,PO00000004,1,SKU0000159,50.0,49.49,Open,True,True
POL0000000011,PO00000004,2,SKU0000028,250.0,209.57,Open,True,True
POL0000000012,PO00000005,1,SKU0000071,50.0,92.75,Open,True,True
POL0000000013,PO00000005,2,SKU0000321,500.0,128.78,Partial,True,True
POL0000000014,PO00000005,3,SKU0000151,1000.0,236.85,Partial,True,True
POL0000000015,PO00000006,1,SKU0000330,500.0,238.69,Open,True,True
POL0000000016,PO00000007,1,SKU0000004,100.0,11.66,Partial,True,True
POL0000000017,PO00000007,2,SKU0000501,50.0,233.5,Open,True,True
POL0000000018,PO00000008,1,SKU0000373,50.0,233.11,Received,True,True
POL0000000019,PO00000008,2,SKU0000574,50.0,237.19,Open,True,True
POL0000000020,PO00000009,1,SKU0000392,50.0,57.28,Cancelled,True,True
POL0000000021,PO00000010,1,SKU0000326,-5.0,234.1,Partial,False,True
POL0000000022,PO00000010,2,SKU0000097,250.0,95.66,Cancelled,True,True
POL0000000023,PO00000010,3,SKU0000395,50.0,239.1,Received,True,True
POL0000000024,PO00000011,1,SKU0000462,1000.0,299.19,Received,True,True
POL0000000025,PO00000011,2,SKU0000081,,227.93,Partial,False,True
POL0000000026,PO00000011,3,SKU0000554,50.0,197.11,Open,True,True
POL0000000027,PO00000011,4,SKU0000158,,82.91,Open,False,True
POL0000000028,PO00000012,1,SKU0000528,100.0,112.12,Received,True,True
POL0000000029,PO00000012,2,SKU0000317,1000.0,220.93,Open,True,True
POL0000000030,PO00000013,1,SKU0000139,250.0,82.17,Open,True,True
POL0000000031,PO00000013,2,SKU0000028,500.0,209.57,Received,True,True
POL0000000032,PO00000013,3,SKU0000353,500.0,74.7,Cancelled,True,True
POL0000000033,PO00000013,4,SKU0000544,-5.0,59.49,Received,False,True
POL0000000034,PO00000014,1,SKU0000226,,4.13,Cancelled,False,True
POL0000000035,PO00000014,2,SKU0000656,500.0,49.5,Open,True,True
POL0000000036,PO00000014,3,SKU0000093,-5.0,263.13,Partial,False,True
POL0000000037,PO00000015,1,SKU0000580,,64.94,Partial,False,True
POL0000000038,PO00000015,2,SKU0000420,500.0,158.76,Cancelled,True,True
POL0000000039,PO00000015,3,SKU0000040,100.0,287.52,Received,True,True
POL0000000040,PO00000015,4,SKU0000062,100.0,242.15,Cancelled,True,True
POL0000000041,PO00000016,1,SKU0000430,,14.34,Received,False,True
