receipt_id,po_id,warehouse_id,receipt_date,receipt_status,inspection_status,source_system
RCV00000001,PO00000068,WH0001,2026-04-05,Rejected,Passed,wms
RCV00000002,PO00000277,WH0018,2026-02-09,Received,Passed,wms
RCV00000003,PO00000414,WH0009,2026-04-11,Rejected,Passed,wms
RCV00000004,PO00000640,WH0002,2026-02-15,Rejected,Passed,wms
RCV00000005,PO00000380,WH0005,,Partial,Passed,wms
RCV00000006,PO00000002,WH0002,2026-01-25,Partial,Passed,wms
RCV00000007,PO00000654,WH0006,2026-03-22,Received,Pending,wms
RCV00000008,PO00000275,WH0018,,Received,Passed,wms
RCV00000009,PO00000704,WH0004,,Received,Passed,wms
RCV00000010,PO00000509,WH0019,2026-02-12,Received,Pending,wms
RCV00000011,PO00000486,WH0005,2026-03-06,Rejected,Passed,wms
RCV00000012,PO00000652,WH0015,2026-06-22,Received,Passed,wms
RCV00000013,PO00000657,WH0011,2026-06-13,Received,Passed,wms
RCV00000014,PO00000374,WH0021,,Rejected,Pending,wms
RCV00000015,PO00000349,WH0016,,Rejected,Passed,wms
RCV00000016,PO00000362,WH0021,2026-05-16,Received,Passed,wms
RCV00000017,PO00000612,WH0015,,Partial,Passed,wms
RCV00000018,PO00000672,WH0002,2026-05-18,Rejected,Passed,wms
RCV00000019,PO00000411,WH0010,2026-03-10,Received,Pending,wms
RCV00000020,PO00000743,WH0018,,Received,Pending,wms
RCV00000021,PO00000174,WH0022,,Received,Failed,wms
RCV00000022,PO00000567,WH0019,2026-03-01,Received,Passed,wms
RCV00000023,PO00000426,WH0022,,Rejected,Pending,wms
RCV00000024,PO00000733,WH0013,2026-03-12,Rejected,Passed,wms
RCV00000025,PO00000006,WH0002,2026-01-11,Rejected,Passed,wms
RCV00000026,PO00000744,WH0016,2026-01-04,Received,Failed,wms
RCV00000027,PO00000224,WH0021,2025-12-27,Partial,Passed,wms
RCV00000028,PO00000059,WH0006,,Partial,Passed,wms
RCV00000029,PO00000533,WH0019,,Partial,Passed,wms
RCV00000030,PO00000373,WH0013,2026-03-15,Received,Pending,wms
RCV00000031,PO00000541,WH0016,2026-03-14,Rejected,Passed,wms
RCV00000032,PO00000209,WH0011,2026-04-05,Received,Passed,wms
RCV00000033,PO00000493,WH0008,,Partial,Pending,wms
RCV00000034,PO00000464,WH0005,,Partial,Passed,wms
RCV00000035,PO00000260,WH0025,2026-05-10,Received,Pending,wms
RCV00000036,PO00000592,WH0012,,Partial,Passed,wms
RCV00000037,PO00000228,WH0014,,Received,Failed,wms
RCV00000038,PO00000500,WH0015,2026-01-30,Partial,Passed,wms
RCV00000039,PO00000682,WH0011,2026-02-24,Partial,Passed,wms
RCV00000040,PO00000745,WH0019,2026-06-12,Received,Passed,wms
RCV00000041,PO00000734,WH0006,,Received,Failed,wms
RCV00000042,PO00000561,WH0008,2026-04-07,Rejected,Passed,wms
RCV00000043,PO00000336,WH0025,,Partial,Passed,wms
RCV00000044,PO00000154,WH0025,,Rejected,Failed,wms
RCV00000045,PO00000066,WH0007,2026-04-26,Rejected,Failed,wms
RCV00000046,PO00000207,WH0024,,Received,Passed,wms
RCV00000047,PO00000633,WH0020,2026-05-18,Partial,Passed,wms
RCV00000048,PO00000311,WH0003,2026-05-05,Received,Passed,wms
RCV00000049,PO00000085,WH0016,,Partial,Passed,wms
RCV00000050,PO00000645,WH0001,2026-02-22,Received,Passed,wms
RCV00000051,PO00000053,WH0025,2026-04-22,Partial,Passed,wms
RCV00000052,PO00000700,WH0020,,Rejected,Passed,wms
RCV00000053,PO00000114,WH0024,,Rejected,Failed,wms
RCV00000054,PO00000557,WH0011,,Received,Passed,wms
RCV00000055,PO00000151,WH0022,2026-04-19,Received,Failed,wms
RCV00000056,PO00000133,WH0003,,Received,Pending,wms
RCV00000057,PO00000225,WH0005,2026-04-22,Received,Passed,wms
RCV00000058,PO00000465,WH0018,2026-04-26,Received,Passed,wms
RCV00000059,PO00000604,WH0012,2026-04-08,Received,Passed,wms
RCV00000060,PO00000699,WH0015,2026-03-30,Rejected,Passed,wms
RCV00000061,PO00000781,WH0025,,Received,Passed,wms
RCV00000062,PO00000172,WH0003,,Received,Pending,wms
RCV00000063,PO00000203,WH0017,2026-04-18,Rejected,Passed,wms
RCV00000064,PO00000179,WH0018,,Received,Passed,wms
RCV00000065,PO00000351,WH0007,,Received,Passed,wms
RCV00000066,PO00000524,WH0009,,Received,Passed,wms
RCV00000067,PO00000214,WH0020,2026-04-22,Partial,Passed,wms
RCV00000068,PO00000325,WH0008,2026-06-02,Received,Pending,wms
RCV00000069,PO00000279,WH0001,,Received,Pending,wms
RCV00000070,PO00000764,WH0021,,Received,Passed,wms
RCV00000071,PO00000488,WH0015,2026-03-30,Rejected,Failed,wms
RCV00000072,PO00000193,WH0016,,Received,Failed,wms
RCV00000073,PO00000515,WH0001,,Rejected,Failed,wms
RCV00000074,PO00000236,WH0002,2026-05-12,Received,Passed,wms
RCV00000075,PO00000698,WH0009,2026-01-27,Received,Failed,wms
RCV00000076,PO00000461,WH0012,,Received,Pending,wms
RCV00000077,PO00000732,WH0021,2026-04-04,Partial,Failed,wms
RCV00000078,PO00000521,WH0011,,Rejected,Pending,wms
RCV00000079,PO00000090,WH0011,,Partial,Passed,wms
RCV00000080,PO00000487,WH0001,,Partial,Failed,wms
RCV00000081,PO00000039,WH0016,2026-03-07,Partial,Passed,wms
RCV00000082,PO00000609,WH0013,,Rejected,Passed,wms
