return_id,order_id,order_line_id,product_id,return_date,return_reason,return_qty,refund_amount,return_status
RET00000001,SO00001598,SOL0000004842,SKU0000493,2026-04-18,Late Delivery,1.0,396.69,Approved
RET00000002,SO00002099,SOL0000006306,SKU0000312,2026-03-04,Wrong Item,3.0,468.96,Requested
RET00000003,SO00000236,SOL0000000713,SKU0000346,2026-05-20,Damaged,,195.31,Approved
RET00000004,SO00000317,SOL0000000940,SKU0000280,2026-05-24,Damaged,1.0,596.79,Rejected
RET00000005,SO00002306,SOL0000006925,SKU0000090,2026-03-25,Quality Issue,5.0,433.63,Approved
RET00000006,SO00001936,SOL0000005838,SKU0000467,2026-07-20,Late Delivery,2.0,363.38,Approved
RET00000007,SO00000453,SOL0000001385,SKU0000345,2026-02-14,Wrong Item,,135.31,Approved
RET00000008,SO00000320,SOL0000000948,SKU0000210,2026-04-09,Damaged,2.0,373.55,Received
RET00000009,SO00002010,SOL0000006049,SKU0000147,2026-03-31,Damaged,3.0,166.33,Rejected
RET00000010,SO00001756,SOL0000005296,SKU0000022,2026-02-20,Quality Issue,5.0,174.2,Approved
RET00000011,SO00001818,SOL0000005487,SKU0000127,2026-04-12,Wrong Item,1.0,114.04,Rejected
RET00000012,SO00000737,SOL0000002258,SKU0000368,2026-02-09,Late Delivery,,507.73,Received
RET00000013,SO00002230,SOL0000006693,SKU0000642,2026-06-27,Damaged,1.0,360.98,Approved
RET00000014,SO00000430,SOL0000001306,SKU0000450,2026-06-19,Quality Issue,,187.52,Requested
RET00000015,SO00000146,SOL0000000455,SKU0000575,2026-07-18,Wrong Item,5.0,448.24,Approved
RET00000016,SO00002495,SOL0000007467,SKU0000611,2026-06-14,Customer Cancelled,5.0,438.09,Requested
RET00000017,SO00001352,SOL0000004133,SKU0000555,2026-05-27,Wrong Item,2.0,218.2,Received
RET00000018,SO00002025,SOL0000006095,SKU0000522,2026-03-09,Late Delivery,3.0,91.88,Requested
RET00000019,SO00000803,SOL0000002456,SKU0000130,2026-05-13,Customer Cancelled,3.0,452.22,Received
RET00000020,SO00000273,SOL0000000812,SKU0000661,2026-05-21,Customer Cancelled,5.0,406.75,Received
RET00000021,SO00000422,SOL0000001285,SKU0000354,2026-04-19,Damaged,5.0,468.55,Approved
RET00000022,SO00000882,SOL0000002688,SKU0000469,2026-02-01,Damaged,,564.73,Requested
RET00000023,SO00001096,SOL0000003329,SKU0000669,2026-07-12,Wrong Item,,23.49,Rejected
RET00000024,SO00002438,SOL0000007308,SKU0000369,2026-03-21,Wrong Item,3.0,587.97,Approved
RET00000025,SO00000567,SOL0000001731,SKU0000337,2026-04-13,Late Delivery,2.0,285.89,Approved
RET00000026,SO00000067,SOL0000000209,SKU0000173,2026-01-16,Customer Cancelled,1.0,574.48,Rejected
RET00000027,SO00002118,SOL0000006364,SKU0000674,2026-05-19,Customer Cancelled,1.0,581.4,Received
RET00000028,SO00001637,SOL0000004960,SKU0000248,2026-01-29,Late Delivery,3.0,44.42,Requested
RET00000029,SO00002492,SOL0000007456,SKU0000216,2026-06-06,Late Delivery,1.0,310.79,Approved
RET00000030,SO00002350,SOL0000007054,SKU0000580,2026-03-03,Damaged,1.0,190.37,Approved
RET00000031,SO00000919,SOL0000002801,SKU0000417,2026-03-21,Wrong Item,1.0,321.27,Approved
RET00000032,SO00000712,SOL0000002182,SKU0000299,2026-06-11,Damaged,3.0,197.79,Approved
RET00000033,SO_UNKNOWN,SOL0000000374,SKU0000362,2026-03-19,Quality Issue,2.0,525.01,Approved
RET00000034,SO00002293,SOL0000006886,SKU0000518,2026-05-01,Damaged,3.0,247.62,Rejected
RET00000035,SO00002326,SOL0000006992,SKU0000214,2026-03-09,Customer Cancelled,1.0,394.06,Approved
RET00000036,SO00000497,SOL0000001508,SKU0000130,2026-07-16,Quality Issue,1.0,270.43,Approved
RET00000037,SO00000973,SOL0000002965,SKU0000262,2026-05-02,Quality Issue,5.0,387.06,Rejected
RET00000038,SO00001496,SOL0000004556,SKU0000364,2026-02-21,Damaged,3.0,270.01,Approved
RET00000039,SO00000971,SOL0000002959,SKU0000016,2026-04-25,Late Delivery,,454.18,Approved
