order_line_id,order_id,line_number,product_id,ordered_qty,unit_price,discount_pct,line_status,valid_quantity,valid_unit_price,valid_discount
SOL0000000001,SO00000001,1,SKU0000598,15.0,99.61,25.0,Backordered,True,True,True
SOL0000000002,SO00000001,2,SKU0000591,1.0,94.97,5.0,Open,True,True,True
SOL0000000003,SO00000001,3,SKU0000289,25.0,424.52,2.5,Backordered,True,True,True
SOL0000000004,SO00000001,4,SKU0000410,3.0,76.12,25.0,Open,True,True,True
SOL0000000005,SO00000002,1,SKU0000349,3.0,156.81,15.0,Open,True,True,True
SOL0000000006,SO00000002,2,SKU0000139,15.0,184.16,0.0,Backordered,True,True,True
SOL0000000007,SO00000002,3,SKU0000579,1.0,566.29,0.0,Cancelled,True,True,True
SOL0000000008,SO00000003,1,SKU0000274,25.0,211.78,0.0,Shipped,True,True,True
SOL0000000009,SO00000003,2,SKU0000190,3.0,360.82,0.0,Backordered,True,True,True
SOL0000000010,SO00000004,1,SKU0000240,1.0,558.94,2.5,Allocated,True,True,True
SOL0000000011,SO00000004,2,SKU0000153,,31.03,0.0,Shipped,False,True,True
SOL0000000012,SO00000004,3,SKU0000081,50.0,509.8,0.0,Open,True,True,True
SOL0000000013,SO00000005,1,SKU0000634,2.0,407.52,0.0,Shipped,True,True,True
SOL0000000014,SO00000005,2,SKU0000085,10.0,380.93,25.0,Allocated,True,True,True
SOL0000000015,SO00000005,3,SKU0000054,50.0,64.94,10.0,Backordered,True,True,True
SOL0000000016,SO00000005,4,SKU0000578,,30.71,2.5,Allocated,False,True,True
SOL0000000017,SO00000005,5,SKU0000335,5.0,115.92,0.0,Shipped,True,True,True
SOL0000000018,SO00000006,1,SKU0000524,15.0,,10.0,Open,True,False,True
SOL0000000019,SO00000006,2,SKU0000559,-1.0,564.26,0.0,Shipped,False,True,True
SOL0000000020,SO00000006,3,SKU0000507,15.0,14.95,5.0,Shipped,True,True,True
SOL0000000021,SO00000006,4,SKU0000394,15.0,101.11,25.0,Open,True,True,True
SOL0000000022,SO00000006,5,SKU0000514,25.0,331.36,10.0,Open,True,True,True
SOL0000000023,SO00000007,1,SKU0000162,15.0,439.93,15.0,Backordered,True,True,True
SOL0000000024,SO00000007,2,SKU0000388,3.0,299.4,0.0,Open,True,True,True
SOL0000000025,SO00000007,3,SKU0000570,50.0,672.22,10.0,Shipped,True,True,True
SOL0000000026,SO00000007,4,SKU0000613,50.0,39.33,5.0,Open,True,True,True
SOL0000000027,SO00000007,5,SKU0000654,5.0,329.62,10.0,Allocated,True,True,True
SOL0000000028,SO00000008,1,SKU0000128,10.0,287.67,2.5,Allocated,True,True,True
SOL0000000029,SO00000008,2,SKU0000287,5.0,271.01,15.0,Allocated,True,True,True
SOL0000000030,SO00000008,3,SKU0000001,2.0,216.79,0.0,Cancelled,True,True,True
SOL0000000031,SO00000008,4,SKU0000303,-1.0,62.08,15.0,Open,False,True,True
SOL0000000032,SO00000009,1,SKU0000335,-1.0,110.12,0.0,Open,False,True,True
SOL0000000033,SO00000009,2,SKU0000545,15.0,256.79,5.0,Shipped,True,True,True
SOL0000000034,SO00000010,1,SKU0000500,50.0,32.85,5.0,Allocated,True,True,True
SOL0000000035,SO00000010,2,SKU0000304,10.0,194.31,0.0,Open,True,True,True
SOL0000000036,SO00000011,1,SKU0000462,3.0,432.94,0.0,Backordered,True,True,True
SOL0000000037,SO00000011,2,SKU0000536,1.0,633.26,25.0,Allocated,True,True,True
SOL0000000038,SO00000011,3,SKU0000184,3.0,202.45,5.0,Backordered,True,True,True
SOL0000000039,SO00000011,4,SKU0000679,5.0,364.05,15.0,Cancelled,True,True,True
SOL0000000040,SO00000011,5,SKU0000247,25.0,398.57,0.0,Open,True,True,True
SOL0000000041,SO00000012,1,SKU0000166,3.0,240.5,10.0,Backordered,True,True,True
SOL0000000042,SO00000012,2,SKU0000011,15.0,351.58,25.0,Shipped,True,True,True
SOL0000000043,SO00000012,3,SKU0000573,10.0,279.28,25.0,Shipped,True,True,True
SOL0000000044,SO00000012,4,SKU0000543,5.0,27.79,15.0,Allocated,True,True,True
SOL0000000045,SO00000012,5,SKU0000108,1.0,542.93,0.0,Backordered,True,True,True
SOL0000000046,SO00000013,1,SKU0000522,2.0,48.48,10.0,Open,True,True,True
SOL0000000047,SO00000013,2,SKU0000320,5.0,16.34,2.5,Cancelled,True,True,True
SOL0000000048,SO00000013,3,SKU0000665,1.0,173.98,15.0,Backordered,True,True,True
SOL0000000049,SO00000013,4,SKU0000288,5.0,258.49,0.0,Cancelled,True,True,True
SOL0000000050,SO00000014,1,SKU0000470,,228.59,5.0,Backordered,False,True,True
SOL0000000051,SO00000014,2,SKU0000520,50.0,196.0,0.0,Allocated,True,True,True
SOL0000000052,SO00000014,3,SKU0000275,50.0,40.37,5.0,Open,True,True,True
SOL0000000053,SO00000015,1,SKU0000576,,750.86,15.0,Shipped,False,True,True
SOL0000000054,SO00000015,2,SKU0000391,10.0,286.2,0.0,Shipped,True,True,True
SOL0000000055,SO00000015,3,SKU0000177,5.0,650.96,25.0,Cancelled,True,True,True
SOL0000000056,SO00000015,4,SKU0000251,2.0,645.99,2.5,Open,True,True,True
SOL0000000057,SO00000016,1,SKU0000457,,135.8,25.0,Open,False,True,True
SOL0000000058,SO00000016,2,SKU0000460,,210.3,5.0,Cancelled,False,True,True
SOL0000000059,SO00000016,3,SKU0000091,10.0,210.47,0.0,Shipped,True,True,True
SOL0000000060,SO00000017,1,SKU0000610,-1.0,225.39,10.0,Open,False,True,True
SOL0000000061,SO00000018,1,SKU0000348,15.0,580.58,10.0,Open,True,True,True
