check_name,table_name,raw_count,silver_count,issue_count,severity
customers_raw_to_silver_row_delta,customers,452,451,1,info
suppliers_raw_to_silver_row_delta,suppliers,126,125,1,info
products_raw_to_silver_row_delta,products,701,700,1,info
warehouses_raw_to_silver_row_delta,warehouses,25,25,0,info
carriers_raw_to_silver_row_delta,carriers,20,20,0,info
calendar_raw_to_silver_row_delta,calendar,546,546,0,info
fx_rates_raw_to_silver_row_delta,fx_rates,2728,2728,0,info
sales_orders_raw_to_silver_row_delta,sales_orders,2502,2501,1,info
sales_order_lines_raw_to_silver_row_delta,sales_order_lines,7484,7483,1,info
purchase_orders_raw_to_silver_row_delta,purchase_orders,800,800,0,info
purchase_order_lines_raw_to_silver_row_delta,purchase_order_lines,2002,2002,0,info
shipments_raw_to_silver_row_delta,shipments,2000,2000,0,info
shipment_events_raw_to_silver_row_delta,shipment_events,8939,8939,0,info
receipts_raw_to_silver_row_delta,receipts,650,650,0,info
receipt_lines_raw_to_silver_row_delta,receipt_lines,1203,1203,0,info
inventory_snapshots_raw_to_silver_row_delta,inventory_snapshots,25000,24991,9,info
inventory_adjustments_raw_to_silver_row_delta,inventory_adjustments,900,900,0,info
returns_raw_to_silver_row_delta,returns,500,500,0,info
invoices_raw_to_silver_row_delta,invoices,1900,1900,0,info
payments_raw_to_silver_row_delta,payments,1571,1571,0,info
product_cdc_raw_to_silver_row_delta,product_cdc,150,150,0,info
customer_cdc_raw_to_silver_row_delta,customer_cdc,130,130,0,info
products_invalid_supplier_id,products,,,12,warning
sales_orders_invalid_customer_id,sales,,,14,warning
sales_orders_invalid_warehouse_id,sales,,,8,warning
sales_orders_bad_dates,sales,,,1679,warning
sales_order_lines_invalid_order_id,sales,,,0,pass
sales_order_lines_invalid_product_id,sales,,,35,warning
sales_order_lines_bad_values,sales,,,1575,warning
purchase_orders_invalid_supplier_id,purchase,,,2,warning
purchase_orders_invalid_warehouse_id,purchase,,,2,warning
purchase_order_lines_invalid_po_id,purchase,,,0,pass
purchase_order_lines_invalid_product_id,purchase,,,19,warning
purchase_order_lines_bad_values,purchase,,,586,warning
shipments_invalid_order_id,shipments,,,8,warning
shipments_invalid_carrier_id,shipments,,,9,warning
shipment_events_invalid_shipment_id,shipment,,,28,warning
receipts_invalid_po_id,receipts,,,1,warning
receipt_lines_invalid_receipt_id,receipt,,,3,warning
receipt_lines_invalid_po_line_id,receipt,,,0,pass
receipt_lines_bad_values,receipt,,,8,warning
inventory_snapshots_bad_values,inventory,,,47,warning
inventory_adjustments_invalid_product_id,inventory,,,5,warning
returns_invalid_order_id,returns,,,7,warning
invoices_invalid_order_id,invoices,,,7,warning
payments_invalid_invoice_id,payments,,,5,warning
