customer_id,score_date,credit_score,bureau
C00001,2026-01-28,626.0,Experian
C00001,2026-02-15,597.0,Experian
C00001,2026-03-01,600.0,Experian
C00001,2026-04-28,636.0,Equifax
C00001,2026-05-01,603.0,Experian
C00002,2026-01-01,749.0,Equifax
C00002,2026-02-15,741.0,Equifax
C00002,2026-03-01,798.0,Experian
C00002,2026-04-28,807.0,Equifax
C00002,2026-05-15,784.0,Transunion
C00003,2026-01-01,746.0,Transunion
C00003,2026-02-28,726.0,Equifax
C00003,2026-03-01,722.0,Equifax
C00003,2026-04-15,698.0,Experian
C00003,2026-05-01,744.0,Experian
C00004,2026-01-15,658.0,Equifax
C00004,2026-02-28,630.0,Experian
C00004,2026-03-01,668.0,Experian
C00004,2026-04-15,647.0,Experian
C00004,2026-05-15,672.0,Transunion
C00005,2026-01-15,785.0,Experian
C00005,2026-02-15,814.0,Experian
C00005,2026-03-01,788.0,Equifax
C00005,2026-04-28,751.0,Transunion
C00005,2026-05-15,798.0,Equifax
C00006,2026-01-28,676.0,Experian
C00006,2026-02-28,716.0,Experian
C00006,2026-03-15,677.0,Equifax
C00006,2026-04-15,702.0,Transunion
C00006,2026-05-01,656.0,Transunion
C00007,2026-01-15,698.0,Transunion
C00007,2026-02-15,718.0,Experian
C00007,2026-03-28,686.0,Equifax
C00007,2026-04-01,718.0,Transunion
C00007,2026-05-01,677.0,Equifax
C00008,2026-01-28,645.0,Transunion
C00008,2026-02-28,678.0,Equifax
C00008,2026-03-01,655.0,Experian
C00008,2026-04-01,645.0,Experian
C00008,2026-05-28,654.0,Equifax
C00009,2026-01-01,633.0,Transunion
C00009,2026-02-15,673.0,Equifax
C00009,2026-03-28,657.0,Equifax
C00009,2026-04-15,673.0,Experian
C00009,2026-05-28,649.0,Transunion
C00010,2026-01-15,782.0,Equifax
C00010,2026-02-15,777.0,Experian
C00010,2026-03-28,790.0,Experian
C00010,2026-04-28,758.0,Equifax
C00010,2026-05-01,753.0,Experian
C00011,2026-01-15,797.0,Transunion
C00011,2026-02-15,734.0,Experian
C00011,2026-03-01,801.0,Equifax
C00011,2026-04-28,752.0,Equifax
C00011,2026-05-01,754.0,Transunion
C00012,2026-01-01,733.0,Experian
C00012,2026-02-01,741.0,Equifax
C00012,2026-03-15,702.0,Transunion
C00012,2026-04-01,708.0,Experian
C00012,2026-05-01,756.0,Equifax
C00013,2026-01-01,608.0,Experian
C00013,2026-02-15,636.0,Equifax
C00013,2026-03-15,644.0,Equifax
C00013,2026-04-01,671.0,Transunion
C00013,2026-05-01,620.0,Experian
C00014,2026-01-01,571.0,Equifax
C00014,2026-02-15,612.0,Equifax
C00014,2026-03-15,609.0,Transunion
C00014,2026-04-01,608.0,Experian
C00014,2026-05-28,555.0,Experian
C00015,2026-01-15,684.0,Equifax
C00015,2026-02-01,695.0,Transunion
C00015,2026-03-28,651.0,Equifax
C00015,2026-04-01,642.0,Equifax
C00015,2026-05-01,663.0,Transunion
C00016,2026-01-28,692.0,Transunion
C00016,2026-02-01,665.0,Equifax
C00016,2026-03-15,724.0,Experian
C00016,2026-04-28,669.0,Experian
C00016,2026-05-15,704.0,Equifax
C00017,2026-01-28,800.0,Experian
C00017,2026-02-01,754.0,Equifax
C00017,2026-03-15,803.0,Equifax
C00017,2026-04-01,799.0,Transunion
C00017,2026-05-15,768.0,Equifax
C00018,2026-01-15,808.0,Equifax
C00018,2026-02-28,771.0,Equifax
C00018,2026-03-15,792.0,Transunion
C00018,2026-04-01,789.0,Transunion
C00018,2026-05-15,757.0,Experian
C00019,2026-01-01,739.0,Equifax
C00019,2026-02-01,755.0,Experian
C00019,2026-03-15,789.0,Equifax
C00019,2026-04-15,773.0,Equifax
C00019,2026-05-28,738.0,Transunion
C00020,2026-01-01,699.0,Transunion
C00020,2026-02-28,705.0,Transunion
C00020,2026-03-28,726.0,Transunion
C00020,2026-04-15,727.0,Experian
C00020,2026-05-01,721.0,Transunion
C00021,2026-01-15,619.0,Experian
C00021,2026-02-28,636.0,Experian
C00021,2026-03-28,636.0,Equifax
C00021,2026-04-15,652.0,Transunion
C00021,2026-05-15,634.0,Equifax
C00022,2026-01-15,786.0,Transunion
C00022,2026-02-28,792.0,Transunion
C00022,2026-03-15,757.0,Experian
C00022,2026-04-01,795.0,Transunion
C00022,2026-05-01,763.0,Experian
C00023,2026-01-01,662.0,Transunion
C00023,2026-02-28,649.0,Equifax
C00023,2026-03-01,662.0,Equifax
C00023,2026-04-15,611.0,Experian
C00023,2026-05-15,638.0,Transunion
C00024,2026-01-28,744.0,Experian
C00024,2026-02-28,735.0,Equifax
C00024,2026-03-01,737.0,Experian
C00024,2026-04-28,720.0,Equifax
C00024,2026-05-28,740.0,Equifax
C00025,2026-01-01,786.0,Equifax
C00025,2026-02-15,763.0,Experian
C00025,2026-03-15,801.0,Equifax
C00025,2026-04-15,752.0,Transunion
C00025,2026-05-01,749.0,Experian
C00026,2026-01-28,709.0,Transunion
C00026,2026-02-15,719.0,Transunion
C00026,2026-03-28,696.0,Equifax
C00026,2026-04-28,686.0,Transunion
C00026,2026-05-28,730.0,Transunion
C00027,2026-01-15,633.0,Equifax
C00027,2026-02-15,580.0,Equifax
C00027,2026-03-01,575.0,Experian
C00027,2026-04-01,599.0,Transunion
C00027,2026-05-01,589.0,Experian
