alert_id,transaction_id,alert_ts,rule_name,alert_severity,review_status,analyst_id
FA000001,T00004164,2026-02-28 03:00:00,card_not_present,High,Escalated,AN001
FA000002,T00001661,2026-03-13 12:54:00,foreign_merchant,Low,Escalated,UNASSIGNED
FA000003,T00003925,,velocity,Medium,False Positive,UNASSIGNED
FA000004,T00002394,,velocity,High,False Positive,AN003
FA000005,T00004687,,foreign_merchant,Medium,Escalated,AN001
FA000006,T00000089,,velocity,Low,False Positive,UNASSIGNED
FA000007,T00003881,2026-02-10 16:00:00,foreign_merchant,High,False Positive,UNASSIGNED
FA000008,T00002699,2026-02-10 10:15:00,high_amount,Critical,Open,AN002
FA000009,T00004297,2026-01-19 09:54:00,card_not_present,High,False Positive,AN001
FA000010,T00004933,2026-01-04 21:08:00,card_not_present,Medium,False Positive,AN002
FA000011,T00001811,2026-01-21 12:37:00,velocity,Medium,Closed,AN003
FA000012,T00002560,,foreign_merchant,High,Open,AN001
FA000013,T00000384,,card_not_present,Critical,Escalated,AN002
FA000014,T00003343,,foreign_merchant,High,Escalated,AN003
FA000015,T00001591,2026-05-28 02:56:00,high_amount,Medium,Closed,AN003
FA000016,T00001309,,high_amount,High,Escalated,AN002
FA000017,T00003087,2026-02-07 20:11:00,high_amount,Critical,Open,UNASSIGNED
FA000018,T00000048,2026-01-05 08:01:00,known_bad_merchant,High,False Positive,AN001
FA000019,T00000500,,card_not_present,Medium,Open,AN001
FA000020,T00003920,2026-02-26 18:51:00,card_not_present,Low,Open,AN001
FA000021,T00003573,,card_not_present,High,Open,AN004
FA000022,T00001335,,high_amount,High,Open,AN004
FA000023,T00004566,,foreign_merchant,Low,Escalated,AN002
FA000024,T00004699,,card_not_present,Critical,Open,UNASSIGNED
FA000025,T00002751,2026-01-17 16:40:00,account_takeover,High,Open,AN003
FA000026,T00002293,2026-03-07 11:49:00,account_takeover,High,Escalated,AN003
FA000027,T00000209,,account_takeover,Low,Open,UNASSIGNED
FA000028,T00000227,2026-03-08 03:59:00,known_bad_merchant,Critical,Open,AN002
FA000029,T00000482,,known_bad_merchant,High,False Positive,AN001
FA000030,T00002218,,account_takeover,Medium,Open,AN002
FA000031,T00002729,,foreign_merchant,Low,Open,UNASSIGNED
FA000032,T00004507,,high_amount,Medium,Closed,AN001
FA000033,T00001823,2026-02-12 22:51:00,high_amount,High,Closed,AN002
FA000034,T00003152,,card_not_present,High,Open,AN001
FA000035,T00004942,2026-02-18 20:12:00,foreign_merchant,Medium,Open,AN003
FA000036,T00001624,,card_not_present,Medium,Open,AN003
FA000037,T00003136,,foreign_merchant,High,Open,AN001
FA000038,T00003324,,known_bad_merchant,High,Closed,AN002
FA000039,T00000625,2026-01-17 02:38:00,velocity,High,Open,AN003
FA000040,T00003140,,card_not_present,Medium,Open,UNASSIGNED
FA000041,T00000186,,velocity,Critical,False Positive,AN002
FA000042,T00003122,,account_takeover,Medium,Escalated,AN002
FA000043,T00002543,2026-01-02 14:44:00,known_bad_merchant,High,Escalated,AN001
FA000044,T00000858,2026-05-25 05:39:00,foreign_merchant,Critical,False Positive,AN004
FA000045,T00002658,,high_amount,High,Closed,AN004
FA000046,T00002989,,card_not_present,High,Open,UNASSIGNED
FA000047,T00004241,2026-03-10 04:09:00,high_amount,Low,Escalated,AN001
FA000048,T00002087,2026-05-12 20:21:00,foreign_merchant,Critical,Closed,AN002
FA000049,T00002262,,foreign_merchant,Medium,Open,AN002
