merchant_id,merchant_name,merchant_category,category_group,country,high_risk_flag,onboard_date
M0001,Restaurant Merchant 1,Restaurant,Dining,USA,False,2021-05-04
M0002,Gaming Merchant 2,Gaming,Entertainment,USA,False,2023-02-11
M0003,Gaming Merchant 3,Gaming,Entertainment,CAN,True,2018-04-03
M0004,Travel Agency Merchant 4,Travel Agency,Travel,CAN,False,2022-10-06
M0005,Pharmacy Merchant 5,Pharmacy,Health,USA,False,2025-07-06
M0006,Rent Merchant 6,Rent,Housing,CAN,False,2024-03-01
M0007,Gas Merchant 7,Gas,Travel,IND,False,2018-11-30
M0008,Gaming Merchant 8,Gaming,Entertainment,CAN,True,2022-01-17
M0009,Gas Merchant 9,Gas,Travel,GBR,False,2022-05-24
M0010,Travel Agency Merchant 10,Travel Agency,Travel,GBR,False,2021-03-13
M0011,Grocery Merchant 11,Grocery,Essential,GBR,False,2018-01-02
M0012,Pharmacy Merchant 12,Pharmacy,Health,CAN,False,2023-01-18
M0013,Gaming Merchant 13,Gaming,Entertainment,GBR,False,2021-07-13
M0014,Atm Merchant 14,Atm,Cash,CAN,False,2018-04-04
M0015,Travel Agency Merchant 15,Travel Agency,Travel,DEU,False,2018-10-21
M0016,Travel Agency Merchant 16,Travel Agency,Travel,USA,False,2022-10-01
M0017,Payroll Merchant 17,Payroll,Income,GBR,False,2022-02-01
M0018,Online Marketplace Merchant 18,Online Marketplace,Retail,GBR,False,2021-04-25
M0019,Online Marketplace Merchant 19,Online Marketplace,Retail,USA,False,2025-04-01
M0020,Restaurant Merchant 20,Restaurant,Dining,IND,False,2021-08-18
M0021,Payroll Merchant 21,Payroll,Income,DEU,False,2024-12-14
M0022,Electronics Merchant 22,Electronics,Retail,CAN,False,2025-08-02
M0023,Atm Merchant 23,Atm,Cash,USA,False,2025-08-24
M0024,Gas Merchant 24,Gas,Travel,GBR,False,2024-05-12
M0025,Utility Merchant 25,Utility,Bills,USA,False,2020-11-14
M0026,Utility Merchant 26,Utility,Bills,USA,False,2025-12-25
M0027,Payroll Merchant 27,Payroll,Income,USA,False,2020-09-13
M0028,Rent Merchant 28,Rent,Housing,USA,False,2025-11-28
M0029,Restaurant Merchant 29,Restaurant,Dining,USA,False,2020-03-19
M0030,Utility Merchant 30,Utility,Bills,USA,False,2025-05-11
M0031,Rent Merchant 31,Rent,Housing,CAN,False,2021-01-18
M0032,Gaming Merchant 32,Gaming,Entertainment,USA,True,2021-10-26
M0033,Rent Merchant 33,Rent,Housing,CAN,False,2022-10-07
M0034,Crypto Exchange Merchant 34,Crypto Exchange,Financial,DEU,True,2020-04-24
M0035,Crypto Exchange Merchant 35,Crypto Exchange,Financial,GBR,True,2021-11-28
M0036,Travel Agency Merchant 36,Travel Agency,Travel,USA,False,2019-05-27
M0037,Electronics Merchant 37,Electronics,Retail,CAN,False,2020-08-22
M0038,Restaurant Merchant 38,Restaurant,Dining,CAN,False,2022-11-19
M0039,Electronics Merchant 39,Electronics,Retail,IND,False,2025-07-18
M0040,Payroll Merchant 40,Payroll,Income,USA,False,2018-10-03
M0041,Gaming Merchant 41,Gaming,Entertainment,USA,True,2022-09-09
M0042,Rent Merchant 42,Rent,Housing,CAN,False,2018-10-11
M0043,Gas Merchant 43,Gas,Travel,USA,False,2022-11-26
M0044,Crypto Exchange Merchant 44,Crypto Exchange,Financial,GBR,True,2020-08-04
M0045,Travel Agency Merchant 45,Travel Agency,Travel,CAN,False,2023-09-13
M0046,Pharmacy Merchant 46,Pharmacy,Health,GBR,False,2024-03-14
