transaction_id,account_id,card_id,merchant_id,transaction_ts,transaction_type,channel,direction,amount,currency,transaction_status,description,source_system,ingestion_batch_id,transaction_date
T00000001,A000144,,,2026-05-03 01:16:00,ATM,Branch,debit,123.4,GBP,Posted,Purchase,card_processor,BATCH_20260601_A,2026-05-03
T00000002,A000110,CRD000159,M0070,2026-01-29 22:00:00,POS,Atm,debit,530.2,CAD,Posted,Purchase,mobile_app,BATCH_20260602_A,2026-01-29
T00000003,A000043,,,,ATM,Api,debit,103.14,INR,Posted,Cash Withdrawal,branch_teller,BATCH_20260602_A,
T00000004,A000065,,,,ACH,Api,debit,454.45,GBP,Pending,Monthly Fee,card_processor,BATCH_20260601_A,
T00000005,A000141,,,,PAYROLL,Api,credit,209.65,INR,Failed,Direct Deposit,core_banking,BATCH_20260601_A,
T00000006,A000141,CRD000133,M0017,2026-04-07 01:31:00,POS,Online,debit,168.62,INR,Pending,Cash Withdrawal,core_banking,BATCH_20260601_A,2026-04-07
T00000007,A000017,,,,WIRE,Atm,debit,3560.05,GBP,Posted,Direct Deposit,card_processor,BATCH_20260601_B,
T00000008,A000166,CRD000086,M0041,,POS,Mobile,debit,41.79,GBP,Posted,Bill Pay,core_banking,BATCH_20260601_B,
T00000009,A000130,,M0019,2026-02-23 06:51:00,REFUND,Online,credit,458.37,USD,Posted,Monthly Fee,branch_teller,BATCH_20260602_A,2026-02-23
T00000010,A000057,,,,FEE,Online,debit,21.22,GBP,Reversed,Monthly Fee,branch_teller,BATCH_20260601_A,
T00000011,A000162,,,2026-02-22 15:12:00,ACH,Mobile,debit,95.76,CAD,Failed,Cash Withdrawal,core_banking,BATCH_20260601_A,2026-02-22
T00000012,A000162,,,2026-05-22 15:24:00,ACH,Online,debit,811.03,CAD,Pending,Cash Withdrawal,mobile_app,BATCH_20260602_A,2026-05-22
T00000013,A000141,,M0004,,POS,Branch,debit,127.02,INR,Posted,Bill Pay,card_processor,BATCH_20260601_B,
T00000014,A000160,,,,ATM,Branch,debit,142.49,INR,Pending,Transfer,core_banking,BATCH_20260602_A,
