account_id,balance_date,ledger_balance,available_balance,currency
A000001,2026-01-01,8716.66,8567.64,CAD
A000001,2026-01-04,8914.25,8791.11,CAD
A000001,2026-01-07,8790.26,8727.61,CAD
A000001,2026-01-10,8538.08,8401.15,CAD
A000001,2026-01-13,8543.92,8530.91,CAD
A000001,2026-01-16,8604.96,8488.93,CAD
A000001,2026-01-19,8856.10,8765.75,CAD
A000001,2026-01-22,8730.73,8619.44,CAD
A000001,2026-01-25,8565.10,8546.85,CAD
A000001,2026-01-28,8356.30,8241.18,CAD
A000001,2026-01-31,8109.62,8060.84,CAD
A000001,2026-02-03,8251.35,8125.85,CAD
A000001,2026-02-06,8452.70,8427.21,CAD
A000001,2026-02-09,8266.09,8187.38,CAD
A000001,2026-02-12,8037.91,7920.12,CAD
A000001,2026-02-15,8261.77,8247.84,CAD
A000001,2026-02-18,8480.84,8334.79,CAD
A000001,2026-02-21,8203.87,8183.70,CAD
A000001,2026-02-24,8472.63,8344.27,CAD
A000001,2026-02-27,8298.94,8250.01,CAD
A000001,2026-03-02,8023.10,7964.25,CAD
A000001,2026-03-05,8155.99,8066.95,CAD
A000001,2026-03-08,8305.13,8259.80,CAD
A000001,2026-03-11,8308.47,8258.27,CAD
A000001,2026-03-14,8379.31,8246.70,CAD
A000001,2026-03-17,8587.97,8522.18,CAD
A000001,2026-03-20,8649.69,8618.85,CAD
A000001,2026-03-23,8403.09,8255.93,CAD
A000001,2026-03-26,8285.30,8137.74,CAD
A000001,2026-03-29,8360.37,8216.42,CAD
A000001,2026-04-01,8398.76,8294.09,CAD
A000001,2026-04-04,8112.50,8053.63,CAD
A000001,2026-04-07,8059.85,8035.74,CAD
A000001,2026-04-10,7807.27,7798.91,CAD
A000001,2026-04-13,7627.73,7503.00,CAD
A000001,2026-04-16,7884.35,7830.79,CAD
A000001,2026-04-19,7615.20,7467.22,CAD
A000001,2026-04-22,7438.30,7339.26,CAD
A000001,2026-04-25,7655.41,7548.36,CAD
A000001,2026-04-28,7688.45,7569.12,CAD
A000001,2026-05-01,7782.74,7677.62,CAD
A000001,2026-05-04,8070.64,8035.31,CAD
A000001,2026-05-07,8075.28,8016.66,CAD
A000001,2026-05-10,7858.72,7807.33,CAD
A000001,2026-05-13,8153.81,8138.22,CAD
A000001,2026-05-16,8123.19,8032.03,CAD
A000001,2026-05-19,8407.46,8329.53,CAD
A000001,2026-05-22,8341.78,8253.19,CAD
A000001,2026-05-25,8238.18,8185.29,CAD
A000001,2026-05-28,7939.73,7808.32,CAD
A000001,2026-05-31,8196.87,8186.27,CAD
A000002,2026-01-01,19823.96,19724.22,EUR
A000002,2026-01-04,19863.94,19742.49,EUR
A000002,2026-01-07,19840.21,19783.58,EUR
A000002,2026-01-10,19826.11,19679.86,EUR
A000002,2026-01-13,19851.40,19767.56,EUR
A000002,2026-01-16,19702.29,19636.81,EUR
A000002,2026-01-19,19740.09,19615.14,EUR
A000002,2026-01-22,19825.25,19695.34,EUR
A000002,2026-01-25,19605.79,19525.50,EUR
A000002,2026-01-28,19669.45,19591.73,EUR
A000002,2026-01-31,19730.70,19729.32,EUR
A000002,2026-02-03,19434.48,19320.79,EUR
A000002,2026-02-06,19275.35,19140.56,EUR
A000002,2026-02-09,19007.22,18894.59,EUR
A000002,2026-02-12,19084.94,19053.97,EUR
A000002,2026-02-15,19306.61,19304.70,EUR
A000002,2026-02-18,19337.50,19229.08,EUR
A000002,2026-02-21,19297.13,19151.71,EUR
A000002,2026-02-24,19193.36,19185.86,EUR
A000002,2026-02-27,19107.36,19074.21,EUR
A000002,2026-03-02,19141.36,19129.40,EUR
A000002,2026-03-05,19370.85,19251.62,EUR
A000002,2026-03-08,19412.95,19380.74,EUR
A000002,2026-03-11,19234.20,19133.28,EUR
A000002,2026-03-14,19022.36,18876.49,EUR
A000002,2026-03-17,19192.39,19055.05,EUR
A000002,2026-03-20,19449.88,19439.24,EUR
A000002,2026-03-23,19738.19,19628.90,EUR
A000002,2026-03-26,19469.01,19411.58,EUR
A000002,2026-03-29,19479.71,19478.89,EUR
A000002,2026-04-01,19415.08,19411.44,EUR
A000002,2026-04-04,19331.54,19281.80,EUR
A000002,2026-04-07,19577.52,19436.08,EUR
A000002,2026-04-10,19794.94,19681.12,EUR
A000002,2026-04-13,19745.67,19616.89,EUR
A000002,2026-04-16,19615.27,19498.64,EUR
A000002,2026-04-19,19881.69,19863.49,EUR
A000002,2026-04-22,19611.89,19562.69,EUR
A000002,2026-04-25,19433.65,19326.03,EUR
A000002,2026-04-28,19430.91,19309.19,EUR
A000002,2026-05-01,19307.44,19297.80,EUR
A000002,2026-05-04,19496.69,19444.15,EUR
A000002,2026-05-07,19784.73,19665.40,EUR
A000002,2026-05-10,19733.83,19585.85,EUR
A000002,2026-05-13,19444.41,19380.59,EUR
A000002,2026-05-16,19290.00,19161.61,EUR
A000002,2026-05-19,19493.32,19473.24,EUR
A000002,2026-05-22,19262.35,19124.30,EUR
A000002,2026-05-25,19075.64,18970.90,EUR
A000002,2026-05-28,19067.79,18941.03,EUR
A000002,2026-05-31,18991.07,18928.90,EUR
A000003,2026-01-01,24852.80,24847.51,EUR
A000003,2026-01-04,24860.33,24750.44,EUR
A000003,2026-01-07,24971.24,24834.08,EUR
A000003,2026-01-10,24694.98,24677.17,EUR
A000003,2026-01-13,24613.48,24570.26,EUR
A000003,2026-01-16,24809.79,24693.48,EUR
A000003,2026-01-19,24925.87,24878.39,EUR
A000003,2026-01-22,25113.35,25094.78,EUR
A000003,2026-01-25,24962.25,24952.99,EUR
A000003,2026-01-28,24728.83,24627.24,EUR
A000003,2026-01-31,24472.94,24400.75,EUR
A000003,2026-02-03,24446.37,24313.40,EUR
A000003,2026-02-06,24549.12,24439.40,EUR
A000003,2026-02-09,24321.53,24282.94,EUR
A000003,2026-02-12,24431.95,24423.32,EUR
A000003,2026-02-15,24289.39,24153.48,EUR
A000003,2026-02-18,24473.91,24356.00,EUR
A000003,2026-02-21,24261.40,24112.81,EUR
A000003,2026-02-24,23977.00,23936.46,EUR
A000003,2026-02-27,24268.48,24166.11,EUR
A000003,2026-03-02,24035.05,23958.80,EUR
A000003,2026-03-05,23984.36,23983.52,EUR
A000003,2026-03-08,23794.83,23653.67,EUR
A000003,2026-03-11,24017.35,24015.00,EUR
A000003,2026-03-14,24092.52,24057.28,EUR
A000003,2026-03-17,24368.53,24289.40,EUR
A000003,2026-03-20,24393.66,24261.04,EUR
A000003,2026-03-23,24175.38,24026.63,EUR
A000003,2026-03-26,24380.60,24275.96,EUR
A000003,2026-03-29,24519.18,24418.62,EUR
A000003,2026-04-01,24328.80,24191.04,EUR
A000003,2026-04-04,24267.08,24264.19,EUR
A000003,2026-04-07,24153.51,24062.07,EUR
A000003,2026-04-10,24415.60,24414.96,EUR
A000003,2026-04-13,24210.80,24100.18,EUR
A000003,2026-04-16,23960.82,23870.29,EUR
A000003,2026-04-19,23995.61,23908.27,EUR
A000003,2026-04-22,24288.70,24237.20,EUR
A000003,2026-04-25,24157.59,24149.63,EUR
