customer_id,score_date,credit_score,bureau
C00001,2026-01-28,626,Experian
C00001,2026-02-15,597,Experian
C00001,2026-03-01,600,Experian
C00001,2026-04-28,636,Equifax
C00001,2026-05-01,603,Experian
C00002,2026-01-01,749,Equifax
C00002,2026-02-15,741,Equifax
C00002,2026-03-01,798,Experian
C00002,2026-04-28,807,Equifax
C00002,2026-05-15,784,TransUnion
C00003,2026-01-01,746,TransUnion
C00003,2026-02-28,726,Equifax
C00003,2026-03-01,722,Equifax
C00003,2026-04-15,698,Experian
C00003,2026-05-01,744,Experian
C00004,2026-01-15,658,Equifax
C00004,2026-02-28,630,Experian
C00004,2026-03-01,668,Experian
C00004,2026-04-15,647,Experian
C00004,2026-05-15,672,TransUnion
C00005,2026-01-15,785,Experian
C00005,2026-02-15,814,Experian
C00005,2026-03-01,788,Equifax
C00005,2026-04-28,751,TransUnion
C00005,2026-05-15,798,Equifax
C00006,2026-01-28,676,Experian
C00006,2026-02-28,716,Experian
C00006,2026-03-15,677,Equifax
C00006,2026-04-15,702,TransUnion
C00006,2026-05-01,656,TransUnion
C00007,2026-01-15,698,TransUnion
C00007,2026-02-15,718,Experian
C00007,2026-03-28,686,Equifax
C00007,2026-04-01,718,TransUnion
C00007,2026-05-01,677,Equifax
C00008,2026-01-28,645,TransUnion
C00008,2026-02-28,678,Equifax
C00008,2026-03-01,655,Experian
C00008,2026-04-01,645,Experian
C00008,2026-05-28,654,Equifax
C00009,2026-01-01,633,TransUnion
C00009,2026-02-15,673,Equifax
C00009,2026-03-28,657,Equifax
C00009,2026-04-15,673,Experian
C00009,2026-05-28,649,TransUnion
C00010,2026-01-15,782,Equifax
C00010,2026-02-15,777,Experian
C00010,2026-03-28,790,Experian
C00010,2026-04-28,758,Equifax
C00010,2026-05-01,753,Experian
C00011,2026-01-15,797,TransUnion
C00011,2026-02-15,734,Experian
C00011,2026-03-01,801,Equifax
C00011,2026-04-28,752,Equifax
C00011,2026-05-01,754,TransUnion
C00012,2026-01-01,733,Experian
C00012,2026-02-01,741,Equifax
C00012,2026-03-15,702,TransUnion
C00012,2026-04-01,708,Experian
C00012,2026-05-01,756,Equifax
C00013,2026-01-01,608,Experian
C00013,2026-02-15,636,Equifax
C00013,2026-03-15,644,Equifax
C00013,2026-04-01,671,TransUnion
C00013,2026-05-01,620,Experian
C00014,2026-01-01,571,Equifax
C00014,2026-02-15,612,Equifax
C00014,2026-03-15,609,TransUnion
C00014,2026-04-01,608,Experian
C00014,2026-05-28,555,Experian
C00015,2026-01-15,684,Equifax
C00015,2026-02-01,695,TransUnion
C00015,2026-03-28,651,Equifax
C00015,2026-04-01,642,Equifax
C00015,2026-05-01,663,TransUnion
C00016,2026-01-28,692,TransUnion
C00016,2026-02-01,665,Equifax
C00016,2026-03-15,724,Experian
C00016,2026-04-28,669,Experian
C00016,2026-05-15,704,Equifax
C00017,2026-01-28,800,Experian
C00017,2026-02-01,754,Equifax
C00017,2026-03-15,803,Equifax
C00017,2026-04-01,799,TransUnion
C00017,2026-05-15,768,Equifax
C00018,2026-01-15,808,Equifax
C00018,2026-02-28,771,Equifax
C00018,2026-03-15,792,TransUnion
C00018,2026-04-01,789,TransUnion
C00018,2026-05-15,757,Experian
C00019,2026-01-01,739,Equifax
C00019,2026-02-01,755,Experian
C00019,2026-03-15,789,Equifax
C00019,2026-04-15,773,Equifax
C00019,2026-05-28,738,TransUnion
C00020,2026-01-01,699,TransUnion
C00020,2026-02-28,705,TransUnion
C00020,2026-03-28,726,TransUnion
C00020,2026-04-15,727,Experian
C00020,2026-05-01,721,TransUnion
C00021,2026-01-15,619,Experian
C00021,2026-02-28,636,Experian
C00021,2026-03-28,636,Equifax
C00021,2026-04-15,652,TransUnion
C00021,2026-05-15,634,Equifax
C00022,2026-01-15,786,TransUnion
C00022,2026-02-28,792,TransUnion
C00022,2026-03-15,757,Experian
C00022,2026-04-01,795,TransUnion
C00022,2026-05-01,763,Experian
C00023,2026-01-01,662,TransUnion
C00023,2026-02-28,649,Equifax
C00023,2026-03-01,662,Equifax
C00023,2026-04-15,611,Experian
C00023,2026-05-15,638,TransUnion
C00024,2026-01-28,744,Experian
C00024,2026-02-28,735,Equifax
C00024,2026-03-01,737,Experian
C00024,2026-04-28,720,Equifax
C00024,2026-05-28,740,Equifax
C00025,2026-01-01,786,Equifax
C00025,2026-02-15,763,Experian
C00025,2026-03-15,801,Equifax
C00025,2026-04-15,752,TransUnion
C00025,2026-05-01,749,Experian
C00026,2026-01-28,709,TransUnion
C00026,2026-02-15,719,TransUnion
C00026,2026-03-28,696,Equifax
C00026,2026-04-28,686,TransUnion
C00026,2026-05-28,730,TransUnion
C00027,2026-01-15,633,Equifax
C00027,2026-02-15,580,Equifax
C00027,2026-03-01,575,Experian
C00027,2026-04-01,599,TransUnion
C00027,2026-05-01,589,Experian
C00028,2026-01-01,689,Equifax
C00028,2026-02-15,708,Experian
C00028,2026-03-01,713,Equifax
C00028,2026-04-15,718,TransUnion
C00028,2026-05-15,701,Experian
C00029,2026-01-28,674,Experian
C00029,2026-02-28,641,Experian
C00029,2026-03-01,651,TransUnion
C00029,2026-04-28,652,Equifax
C00029,2026-05-28,633,TransUnion
C00030,2026-01-28,730,Experian
C00030,2026-02-01,773,Experian
C00030,2026-03-28,751,Experian
C00030,2026-04-15,720,Experian
C00030,2026-05-01,772,Experian
C00031,2026-01-28,677,TransUnion
C00031,2026-02-15,697,Experian
C00031,2026-03-28,733,Experian
C00031,2026-04-15,736,Equifax
C00031,2026-05-28,735,Experian
C00032,2026-01-28,776,Equifax
C00032,2026-02-15,773,Experian
C00032,2026-03-28,794,Experian
C00032,2026-04-01,773,Equifax
C00032,2026-05-01,779,Experian
C00033,2026-01-15,722,Equifax
C00033,2026-02-28,752,Experian
C00033,2026-03-01,774,Experian
C00033,2026-04-28,746,TransUnion
C00033,2026-05-28,729,Experian
C00034,2026-01-01,586,Equifax
C00034,2026-02-01,606,TransUnion
C00034,2026-03-15,630,TransUnion
C00034,2026-04-28,584,Experian
C00034,2026-05-15,589,Equifax
C00035,2026-01-28,682,Equifax
C00035,2026-02-15,707,TransUnion
C00035,2026-03-01,703,Experian
C00035,2026-04-15,717,Experian
C00035,2026-05-15,738,Experian
C00036,2026-01-01,716,TransUnion
C00036,2026-02-28,726,Experian
C00036,2026-03-15,724,TransUnion
C00036,2026-04-01,713,Equifax
C00036,2026-05-28,713,Experian
C00037,2026-01-28,688,Equifax
C00037,2026-02-01,684,Experian
C00037,2026-03-01,659,Equifax
C00037,2026-04-28,676,TransUnion
C00037,2026-05-28,663,Experian
C00038,2026-01-15,610,Equifax
C00038,2026-02-28,592,TransUnion
C00038,2026-03-28,613,TransUnion
C00038,2026-04-28,575,Experian
C00038,2026-05-01,605,Equifax
C00039,2026-01-28,723,Experian
C00039,2026-02-01,759,Experian
C00039,2026-03-15,727,Equifax
C00039,2026-04-01,738,Experian
C00039,2026-05-28,736,TransUnion
C00040,2026-01-15,669,TransUnion
C00040,2026-02-01,658,TransUnion
C00040,2026-03-01,653,TransUnion
C00040,2026-04-28,695,Equifax
C00040,2026-05-28,678,TransUnion
C00041,2026-01-28,773,Equifax
C00041,2026-02-28,766,TransUnion
C00041,2026-03-15,766,Experian
C00041,2026-04-28,759,Experian
C00041,2026-05-15,741,Equifax
C00042,2026-01-28,713,Equifax
C00042,2026-02-01,696,Experian
C00042,2026-03-01,718,Equifax
C00042,2026-04-01,764,TransUnion
C00042,2026-05-15,719,Experian
C00043,2026-01-28,812,Equifax
C00043,2026-02-01,801,Experian
C00043,2026-03-15,802,Equifax
C00043,2026-04-01,762,Equifax
C00043,2026-05-15,766,TransUnion
C00044,2026-01-15,739,TransUnion
C00044,2026-02-15,743,Experian
C00044,2026-03-28,757,TransUnion
C00044,2026-04-15,760,Experian
C00044,2026-05-15,748,Equifax
C00045,2026-01-01,703,TransUnion
C00045,2026-02-01,722,Experian
C00045,2026-03-28,700,Experian
C00045,2026-04-28,725,TransUnion
C00045,2026-05-28,747,TransUnion
C00046,2026-01-15,726,Equifax
C00046,2026-02-28,763,Equifax
C00046,2026-03-01,745,TransUnion
C00046,2026-04-15,777,TransUnion
C00046,2026-05-28,742,TransUnion
C00047,2026-01-15,582,Equifax
C00047,2026-02-01,597,Experian
C00047,2026-03-15,583,TransUnion
C00047,2026-04-28,639,TransUnion
C00047,2026-05-01,599,Experian
C00048,2026-01-01,606,Equifax
C00048,2026-02-28,637,TransUnion
C00048,2026-03-28,590,TransUnion
C00048,2026-04-15,582,TransUnion
C00048,2026-05-15,611,TransUnion
C00049,2026-01-01,778,Experian
C00049,2026-02-01,790,Experian
C00049,2026-03-01,760,Equifax
C00049,2026-04-28,784,Equifax
C00049,2026-05-28,786,Equifax
C00050,2026-01-15,735,Experian
C00050,2026-02-15,698,Equifax
C00050,2026-03-15,690,TransUnion
C00050,2026-04-15,721,TransUnion
C00050,2026-05-28,725,Equifax
C00051,2026-01-15,759,Equifax
C00051,2026-02-28,747,Experian
C00051,2026-03-28,738,TransUnion
C00051,2026-04-01,775,Experian
C00051,2026-05-15,747,Equifax
C00052,2026-01-01,654,Equifax
C00052,2026-02-28,655,Experian
C00052,2026-03-01,664,Experian
C00052,2026-04-01,635,Equifax
C00052,2026-05-28,665,Equifax
C00053,2026-01-28,676,TransUnion
C00053,2026-02-15,709,Equifax
C00053,2026-03-28,646,TransUnion
C00053,2026-04-15,666,Equifax
C00053,2026-05-28,673,TransUnion
C00054,2026-01-01,751,Experian
C00054,2026-02-01,725,TransUnion
C00054,2026-03-01,721,Equifax
C00054,2026-04-01,732,Experian
C00054,2026-05-01,716,Equifax
C00055,2026-01-28,671,Equifax
C00055,2026-02-28,663,TransUnion
C00055,2026-03-28,680,TransUnion
C00055,2026-04-01,677,Equifax
C00055,2026-05-28,654,Equifax
C00056,2026-01-01,577,TransUnion
C00056,2026-02-15,615,TransUnion
C00056,2026-03-15,597,TransUnion
C00056,2026-04-01,598,TransUnion
C00056,2026-05-01,585,TransUnion
C00057,2026-01-15,738,Equifax
C00057,2026-02-28,750,TransUnion
C00057,2026-03-15,744,Experian
C00057,2026-04-01,767,Experian
C00057,2026-05-28,745,Equifax
C00058,2026-01-15,760,Equifax
C00058,2026-02-15,779,Equifax
C00058,2026-03-15,741,TransUnion
C00058,2026-04-01,781,TransUnion
C00058,2026-05-15,731,Equifax
C00059,2026-01-01,760,TransUnion
C00059,2026-02-15,751,Experian
C00059,2026-03-15,757,Experian
C00059,2026-04-28,755,Experian
C00059,2026-05-01,782,TransUnion
C00060,2026-01-28,718,TransUnion
C00060,2026-02-15,718,Equifax
C00060,2026-03-15,761,Experian
C00060,2026-04-15,758,Equifax
C00060,2026-05-01,744,Experian
C00061,2026-01-15,608,Experian
C00061,2026-02-15,652,Equifax
C00061,2026-03-28,611,Experian
C00061,2026-04-28,612,Equifax
C00061,2026-05-28,644,Experian
C00062,2026-01-28,639,Experian
C00062,2026-02-15,,Equifax
C00062,2026-03-15,602,Experian
C00062,2026-04-15,591,TransUnion
C00062,2026-05-15,630,Experian
C00063,2026-01-15,630,TransUnion
C00063,2026-02-15,574,Equifax
C00063,2026-03-15,589,TransUnion
C00063,2026-04-01,569,TransUnion
C00063,2026-05-15,578,Experian
C00064,2026-01-01,717,Equifax
C00064,2026-02-28,773,Equifax
C00064,2026-03-28,747,TransUnion
C00064,2026-04-15,713,Equifax
C00064,2026-05-01,772,Equifax
C00065,2026-01-15,566,TransUnion
C00065,2026-02-28,584,Experian
C00065,2026-03-15,556,TransUnion
C00065,2026-04-01,588,Experian
C00065,2026-05-01,557,Equifax
C00066,2026-01-15,662,Experian
C00066,2026-02-15,701,Equifax
C00066,2026-03-15,681,Experian
C00066,2026-04-01,700,TransUnion
C00066,2026-05-15,688,Equifax
C00067,2026-01-15,739,Experian
C00067,2026-02-01,735,Equifax
C00067,2026-03-28,764,Equifax
C00067,2026-04-15,760,Experian
C00067,2026-05-28,721,Equifax
C00068,2026-01-15,711,Experian
C00068,2026-02-15,673,Equifax
C00068,2026-03-15,701,TransUnion
C00068,2026-04-28,674,TransUnion
C00068,2026-05-15,720,TransUnion
C00069,2026-01-15,713,TransUnion
C00069,2026-02-28,679,Experian
C00069,2026-03-01,742,TransUnion
C00069,2026-04-15,679,TransUnion
C00069,2026-05-01,719,Equifax
C00070,2026-01-01,628,TransUnion
C00070,2026-02-15,622,Equifax
C00070,2026-03-28,643,Equifax
C00070,2026-04-15,624,Equifax
C00070,2026-05-15,639,Equifax
C00071,2026-01-01,815,Experian
C00071,2026-02-01,776,Equifax
C00071,2026-03-01,780,Experian
C00071,2026-04-01,786,TransUnion
C00071,2026-05-01,794,Experian
C00072,2026-01-01,588,Equifax
C00072,2026-02-28,578,Equifax
C00072,2026-03-28,595,Experian
