alert_id,transaction_id,alert_ts,rule_name,alert_severity,review_status,analyst_id
FA000001,T00004164,02/28/2026 03:00,card_not_present,High,Escalated,AN001
FA000002,T00001661,03/13/2026 12:54,foreign_merchant,Low,Escalated,
FA000003,T00003925,2026-03-01 08:07:45,velocity,Medium,False Positive,
FA000004,T00002394,2026-03-12 18:35:38,velocity,High,False Positive,AN003
FA000005,T00004687,2026-04-19 15:05:48,foreign_merchant,Medium,Escalated,AN001
FA000006,T00000089,2026-01-22 17:31:03,velocity,Low,False Positive,
FA000007,T00003881,02/10/2026 16:00,foreign_merchant,high ,False Positive,
FA000008,T00002699,02/10/2026 10:15,high_amount,Critical,open ,AN002
FA000009,T00004297,01/19/2026 09:54,card_not_present,High,False Positive,AN001
FA000010,T00004933,01/04/2026 21:08,card_not_present,Medium,False Positive,AN002
FA000011,T00001811,01/21/2026 12:37,velocity,Medium,Closed,AN003
FA000012,T00002560,2026-04-08 18:07:07,foreign_merchant,High,Open,AN001
FA000013,T00000384,2026-04-08 19:30:30,card_not_present,Critical,Escalated,AN002
FA000014,T00003343,2026-02-25 00:42:20,foreign_merchant,High,Escalated,AN003
FA000015,T00001591,05/28/2026 02:56,high_amount,Medium,Closed,AN003
FA000016,T00001309,2026-04-14 03:40:02,high_amount,High,Escalated,AN002
FA000017,T00003087,02/07/2026 20:11,high_amount,Critical,Open,
FA000018,T00000048,01/05/2026 08:01,known_bad_merchant,high ,False Positive,AN001
FA000019,T00000500,2026-02-17 11:47:49,card_not_present,Medium,Open,AN001
FA000020,T00003920,02/26/2026 18:51,card_not_present,Low,Open,AN001
FA000021,T00003573,2026-01-13 11:01:55,card_not_present,High,Open,AN004
FA000022,T00001335,2026-02-10 11:51:52,high_amount,High,open ,AN004
FA000023,T00004566,2026-01-23 17:40:31,foreign_merchant,Low,Escalated,AN002
FA000024,T00004699,2026-01-15 07:44:11,card_not_present,Critical,open ,
FA000025,T00002751,01/17/2026 16:40,account_takeover,high ,Open,AN003
FA000026,T00002293,03/07/2026 11:49,account_takeover,high ,Escalated,AN003
FA000027,T00000209,2026-01-26 14:42:46,account_takeover,Low,Open,
FA000028,T00000227,03/08/2026 03:59,known_bad_merchant,Critical,open ,AN002
FA000029,T00000482,2026-02-16 09:00:53,known_bad_merchant,High,False Positive,AN001
FA000030,T00002218,2026-02-04 00:32:14,account_takeover,Medium,Open,AN002
FA000031,T00002729,2026-01-19 08:38:45,foreign_merchant,Low,open ,
FA000032,T00004507,2026-01-11 13:51:58,high_amount,Medium,Closed,AN001
