loan_id,customer_id,branch_id,loan_type,origination_date,principal_amount,interest_rate,term_months,loan_status
L000001,C00117,B002,Personal,2025-09-09,4171.85,8.689,36,Active
L000002,C00034,B007,Auto,2023-01-21,4485.81,11.302,180,active 
L000003,C00061,B003,Personal,2025-03-02,172322.74,5.290,120,Paid Off
L000004,C00133,B010,Student,2023-09-21,40844.93,16.324,48,Delinquent
L000005,C00139,B005,Mortgage,2022-07-05,25213.33,15.593,48,Active
L000006,C00076,B009,Personal,2022-01-12,22107.83,8.918,120,active 
L000007,C00149,B005,Auto,2024-03-18,14287.31,12.896,180,Active
L000008,C00100,B007,Mortgage,2025-06-20,28805.02,6.887,360,Default
L000009,C00089,B010,Personal,2025-12-28,10938.91,15.012,120,Default
L000010,C00098,B001,Personal,2022-12-28,5416.35,6.767,36,Delinquent
L000011,C00139,B002,Auto,2022-07-16,159332.35,10.991,60,Paid Off
L000012,C00078,B001,Small Business,2023-04-19,47030.52,9.564,36,Delinquent
L000013,C00138,B004,Auto,2024-10-12,14247.98,17.206,360,active 
L000014,C00124,B009,Mortgage,2023-08-30,40745.50,7.370,24,Delinquent
L000015,C00124,B004,Mortgage,2025-11-03,10326.69,8.731,360,Default
L000016,C00013,B001,Mortgage,2022-06-28,166496.22,6.360,36,active 
L000017,C00033,B009,Auto,2022-07-07,23648.96,5.936,24,Paid Off
L000018,C00062,B002,Mortgage,2025-10-11,254287.08,16.367,120,Active
L000019,C00144,B010,Student,2023-09-08,4728.08,14.796,36,active 
L000020,C00102,B010,Small Business,2023-10-01,13175.42,16.113,48,Default
L000021,C00144,B001,Mortgage,2023-12-06,281668.81,12.712,48,Default
L000022,C00005,B009,Personal,2022-11-01,202765.61,17.600,360,Delinquent
L000023,C00030,B008,Mortgage,2025-04-18,22832.57,11.339,36,Default
L000024,C00140,B002,Student,2022-10-10,142614.68,6.032,24,Delinquent
L000025,C00145,B003,Student,2025-06-28,155277.82,4.889,24,Active
L000026,C00057,B001,Auto,2025-10-12,12414.71,14.041,48,Paid Off
L000027,C00053,B007,Mortgage,2024-11-25,175898.78,7.009,36,active 
L000028,C00004,B010,Small Business,2023-12-16,10229.83,18.304,180,Paid Off
L000029,C00096,B009,Small Business,2022-11-15,14862.81,14.270,180,active 
L000030,C00019,B005,Student,2023-11-08,5957.84,8.293,24,Paid Off
L000031,C00018,B010,Personal,2023-04-12,4080.27,9.595,180,Paid Off
