transaction_id,account_id,card_id,merchant_id,transaction_ts,transaction_type,channel,direction,amount,currency,transaction_status,description,source_system,ingestion_batch_id
T00000001,A000144,,,05/03/2026 01:16,ATM,Branch,debit,123.4,GBP,POSTED,Purchase,card_processor,BATCH_20260601_A
T00000002,A000110,CRD000159,M0070,01/29/2026 22:00,POS,ATM,debit,530.2,CAD,POSTED,Purchase,mobile_app,BATCH_20260602_A
T00000003,A000043,,,2026-01-21 20:22:56,ATM,API,debit,103.14,INR,posted ,Cash withdrawal,branch_teller,BATCH_20260602_A
T00000004,A000065,,,2026-05-07 18:31:32,ACH,API,debit,454.45,GBP,Pending,Monthly fee,card_processor,BATCH_20260601_A
T00000005,A000141,,,2026-01-16 19:03:02,PAYROLL,API,credit,209.65,INR,Failed,Direct deposit,core_banking,BATCH_20260601_A
T00000006,A000141,CRD000133,M0017,04/07/2026 01:31,POS,online ,debit,168.62,INR,Pending,Cash withdrawal,core_banking,BATCH_20260601_A
T00000007,A000017,,,2026-02-17 20:16:22,WIRE,ATM,debit,3560.05,GBP,posted ,Direct deposit,card_processor,BATCH_20260601_B
T00000008,A000166,CRD000086,M0041,2026-04-13 02:04:25,POS,Mobile,debit,41.79,GBP,POSTED,Bill pay,core_banking,BATCH_20260601_B
T00000009,A000130,,M0019,02/23/2026 06:51,REFUND,Online,credit,458.37,USD,posted ,Monthly fee,branch_teller,BATCH_20260602_A
T00000010,A000057,,,2026-04-09 05:19:22,FEE,online ,debit,21.22,GBP,Reversed,Monthly fee,branch_teller,BATCH_20260601_A
T00000011,A000162,,,02/22/2026 15:12,ACH,Mobile,debit,95.76,CAD,Failed,Cash withdrawal,core_banking,BATCH_20260601_A
T00000012,A000162,,,05/22/2026 15:24,ACH,Online,debit,811.03,CAD,Pending,Cash withdrawal,mobile_app,BATCH_20260602_A
T00000013,A000141,,M0004,2026-03-28 02:09:25,POS,Branch,debit,127.02,INR,POSTED,Bill pay,card_processor,BATCH_20260601_B
T00000014,A000160,,,2026-02-07 05:12:26,ATM,Branch,debit,142.49,INR,Pending,Transfer,core_banking,BATCH_20260602_A
T00000015,A000117,,M0062,2026-03-27 08:09:20,REFUND,online ,credit,133.2,EUR,Posted,Transfer,core_banking,BATCH_20260601_A
T00000016,A000100,,,01/15/2026 18:51,payroll,ATM,credit,162.83,CAD,Posted,Monthly fee,branch_teller,BATCH_20260601_A
T00000017,A000191,,,2026-01-29 05:43:34,WIRE,Branch,debit,338.6,GBP,Pending,Purchase,branch_teller,BATCH_20260602_A
T00000018,A000151,,,04/19/2026 13:47,ACH,API,debit,97.14,GBP,POSTED,Transfer,branch_teller,BATCH_20260602_A
T00000019,A000113,,,2026-05-20 04:12:48,PAYROLL,ATM,credit,88.13,EUR,Failed,Transfer,mobile_app,BATCH_20260601_B
T00000020,A000048,CRD000049,M0001,2026-01-27 05:48:24,POS,ATM,debit,28.0,GBP,Posted,Transfer,core_banking,BATCH_20260602_A
T00000021,A000100,,,02/23/2026 01:22,INTEREST,API,credit,255.95,CAD,POSTED,Transfer,mobile_app,BATCH_20260601_A
T00000022,A000186,,,02/11/2026 22:15,FEE,Mobile,debit,17.42,INR,Reversed,Direct deposit,branch_teller,BATCH_20260601_B
T00000023,A000027,,,2026-01-28 02:29:18,ACH,Branch,debit,451.62,INR,Posted,Bill pay,branch_teller,BATCH_20260602_A
T00000024,A000196,,,2026-04-04 14:42:01,INTEREST,ATM,credit,37.31,INR,POSTED,Bill pay,core_banking,BATCH_20260601_A
T00000025,A000151,,,01/10/2026 11:04,FEE,Card,debit,9.72,USD,POSTED,Bill pay,card_processor,BATCH_20260601_B
T00000026,A000058,CRD000018,M0015,2026-01-21 07:56:40,POS,Branch,debit,221.71,EUR,POSTED,Transfer,core_banking,BATCH_20260601_B
T00000027,A000210,,,02/11/2026 03:56,PAYROLL,ATM,credit,528.02,INR,Pending,Transfer,card_processor,BATCH_20260601_A
T00000028,A000057,CRD000118,M0004,2026-03-01 08:30:46,POS,ATM,debit,619.74,GBP,posted ,Direct deposit,core_banking,BATCH_20260602_A
T00000029,A000063,,,2026-05-02 12:05:10,ATM,ATM,debit,168.72,INR,Reversed,Monthly fee,mobile_app,BATCH_20260601_A
T00000030,A000003,,,2026-03-31 13:59:39,PAYROLL,ATM,credit,68.84,GBP,posted ,Purchase,card_processor,BATCH_20260601_A
T00000031,A000061,,,04/04/2026 22:43,ATM,Branch,debit,250.97,INR,Pending,Monthly fee,core_banking,BATCH_20260602_A
T00000032,A000170,,,05/26/2026 13:08,ACH,online ,debit,95.13,CAD,POSTED,Transfer,core_banking,BATCH_20260601_B
T00000033,A000173,CRD000041,M0069,2026-05-19 21:00:36,pos,online ,debit,111.52,CAD,Posted,Monthly fee,branch_teller,BATCH_20260602_A
T00000034,A000134,,,02/05/2026 15:03,ACH,ATM,debit,20.33,GBP,Failed,Direct deposit,branch_teller,BATCH_20260602_A
T00000035,A000004,CRD000088,M0015,2026-03-19 10:19:47,POS,Mobile,debit,133.88,USD,Failed,Bill pay,mobile_app,BATCH_20260601_B
T00000036,A000057,,,04/13/2026 10:38,WIRE,Mobile,debit,1168.35,GBP,Reversed,Monthly fee,mobile_app,BATCH_20260601_A
T00000037,A000100,,,2026-03-22 04:33:50,ATM,online ,debit,722.74,CAD,Posted,Direct deposit,core_banking,BATCH_20260602_A
T00000038,A000036,,,03/31/2026 03:34,ATM,online ,debit,119.25,CAD,posted ,Monthly fee,card_processor,BATCH_20260602_A
T00000039,A000168,,,2026-02-16 21:33:19,PAYROLL,Online,credit,199.59,INR,Pending,Purchase,branch_teller,BATCH_20260601_A
T00000040,A000217,,,2026-01-24 20:46:21,ACH,Branch,debit,355.36,CAD,POSTED,Bill pay,core_banking,BATCH_20260602_A
T00000041,A000033,,,2026-05-23 17:20:44,ACH,Online,debit,35.6,EUR,Posted,Monthly fee,branch_teller,BATCH_20260602_A
T00000042,A000021,,,03/13/2026 01:39,FEE,online ,debit,39.78,USD,POSTED,Transfer,core_banking,BATCH_20260601_B
T00000043,A000061,,,2026-05-09 14:44:44,ACH,ATM,debit,143.2,INR,Reversed,Transfer,card_processor,BATCH_20260601_B
T00000044,A000132,,,01/22/2026 01:10,FEE,Branch,debit,10.32,GBP,Failed,Direct deposit,card_processor,BATCH_20260601_A
T00000045,A000217,,,03/11/2026 08:00,WIRE,Branch,debit,470.09999999999997,CAD,Pending,Direct deposit,branch_teller,BATCH_20260601_A
T00000046,A000101,CRD000045,M0078,05/11/2026 04:05,POS,online ,debit,38.7,INR,Pending,Purchase,branch_teller,BATCH_20260602_A
T00000047,A000160,,,2026-01-31 12:17:19,ATM,ATM,debit,172.45,INR,Failed,Transfer,mobile_app,BATCH_20260602_A
T00000048,A000108,,,01/05/2026 08:01,FEE,API,debit,21.61,INR,Reversed,Monthly fee,core_banking,BATCH_20260601_B
T00000049,A000114,CRD000032,M0014,2026-02-15 21:36:50,POS,API,debit,33.4,INR,POSTED,Transfer,core_banking,BATCH_20260601_B
T00000050,A000065,,,2026-01-24 21:57:41,ACH,Online,debit,80.51,GBP,Pending,Purchase,branch_teller,BATCH_20260602_A
T00000051,A000045,CRD000028,M0072,2026-01-29 06:58:54,POS,online ,debit,387.92,INR,POSTED,Cash withdrawal,card_processor,BATCH_20260601_B
T00000052,A000112,,,05/09/2026 17:51,INTEREST,Card,credit,73.73,GBP,Failed,Purchase,card_processor,BATCH_20260601_A
T00000053,A000100,CRD000123,M0046,04/17/2026 18:31,POS,online ,debit,207.98,CAD,Posted,Bill pay,mobile_app,BATCH_20260601_B
T00000054,A000210,,,2026-01-14 13:13:33,ACH,online ,debit,80.25,INR,POSTED,Cash withdrawal,mobile_app,BATCH_20260601_B
T00000055,A000091,,,01/14/2026 15:41,ACH,Online,debit,152.2,EUR,posted ,Monthly fee,card_processor,BATCH_20260601_A
T00000056,A000036,CRD000058,M0027,2026-03-05 08:04:02,POS,Mobile,debit,34.26,CAD,Posted,Transfer,branch_teller,BATCH_20260601_A
T00000057,A000009,CRD000001,M0004,2026-04-10 13:11:50,POS,ATM,debit,442.2,USD,posted ,Direct deposit,card_processor,BATCH_20260601_B
T00000058,A000097,,,04/03/2026 04:48,ATM,Online,debit,174.97,EUR,POSTED,Bill pay,branch_teller,BATCH_20260601_B
T00000059,A000112,,M0052,02/21/2026 17:21,POS,online ,debit,81.95,GBP,Failed,Bill pay,mobile_app,BATCH_20260601_B
T00000060,A000196,,,02/28/2026 02:45,ACH,Mobile,debit,111.24,USD,Failed,Transfer,mobile_app,BATCH_20260601_B
T00000061,A000132,CRD000016,M0045,2026-03-10 05:26:46,POS,ATM,debit,117.33,GBP,posted ,Monthly fee,card_processor,BATCH_20260602_A
T00000062,A000042,CRD000164,M0055,2026-05-26 13:57:27,POS,Online,debit,504.82,INR,Pending,Cash withdrawal,mobile_app,BATCH_20260601_A
T00000063,A000046,CRD000047,M0073,02/16/2026 17:45,POS,ATM,debit,477.42,USD,Posted,Transfer,branch_teller,BATCH_20260601_B
T00000064,A000054,,,2026-03-18 05:46:04,ATM,API,debit,318.84,GBP,posted ,Cash withdrawal,core_banking,BATCH_20260601_B
T00000065,A000053,CRD000007,M0066,05/04/2026 14:02,POS,online ,debit,220.54,INR,Failed,Direct deposit,mobile_app,BATCH_20260601_B
T00000066,A000008,CRD000121,M0029,2026-01-06 10:15:35,POS,Online,debit,377.94,EUR,Pending,Transfer,card_processor,BATCH_20260601_B
T00000067,A000072,CRD000134,M0025,2026-05-23 00:07:24,POS,Card,debit,-113.63,INR,Posted,Transfer,card_processor,BATCH_20260601_A
T00000068,A000118,,,2026-04-18 00:01:54,FEE,ATM,debit,30.8,CAD,Posted,Monthly fee,branch_teller,BATCH_20260602_A
T00000069,A000174,,,2026-01-31 10:40:30,PAYROLL,Online,credit,130.05,EUR,Reversed,Bill pay,core_banking,BATCH_20260601_B
T00000070,A000151,CRD000059,M0031,2026-04-08 01:05:02,POS,ATM,debit,300.99,GBP,Pending,Transfer,mobile_app,BATCH_20260601_A
T00000071,A000121,CRD000065,M0004,2026-02-08 01:41:06,POS,Mobile,debit,156.51,EUR,Failed,Transfer,mobile_app,BATCH_20260602_A
T00000072,A000015,,,2026-02-24 15:14:09,PAYROLL,API,credit,38.45,CAD,POSTED,Monthly fee,mobile_app,BATCH_20260601_B
T00000073,A000219,,,02/13/2026 11:36,PAYROLL,ATM,credit,277.93,INR,POSTED,Direct deposit,branch_teller,BATCH_20260601_A
T00000074,A000146,,,2026-04-02 05:00:37,ACH,Branch,debit,131.95,EUR,Pending,Direct deposit,card_processor,BATCH_20260602_A
T00000075,A000115,CRD000140,M0080,2026-04-10 03:39:44,POS,ATM,debit,375.64,INR,posted ,Bill pay,mobile_app,BATCH_20260601_A
T00000076,A000209,CRD000030,M0041,04/12/2026 17:03,POS,ATM,debit,86.27,USD,Reversed,Direct deposit,branch_teller,BATCH_20260602_A
T00000077,A000136,,M0070,03/04/2026 23:22,REFUND,Mobile,credit,388.07,CAD,POSTED,Transfer,mobile_app,BATCH_20260601_B
T00000078,A000049,,M0046,2026-02-11 23:49:34,REFUND,Card,credit,74.01,USD,Failed,Direct deposit,mobile_app,BATCH_20260601_A
T00000079,A000109,,,03/19/2026 17:09,ACH,Branch,debit,223.31,INR,posted ,Direct deposit,mobile_app,BATCH_20260601_A
T00000080,A000031,,M0032,02/07/2026 16:37,POS,API,debit,914.05,INR,Posted,Purchase,card_processor,BATCH_20260602_A
T00000081,A000106,,,01/23/2026 07:12,FEE,Online,debit,32.07,USD,Posted,Transfer,core_banking,BATCH_20260601_A
T00000082,A000186,,,2026-01-15 19:43:11,FEE,API,debit,4.86,INR,posted ,Monthly fee,core_banking,BATCH_20260601_B
T00000083,A000184,CRD000157,M0049,2026-03-24 14:41:16,POS,Mobile,debit,265.92,CAD,Failed,Transfer,mobile_app,BATCH_20260601_A
T00000084,A000165,CRD000026,M0010,2026-02-14 06:29:59,POS,API,debit,177.75,INR,Reversed,Purchase,branch_teller,BATCH_20260601_B
T00000085,A000091,,,2026-05-15 07:11:36,ATM,API,debit,193.1,EUR,Failed,Transfer,branch_teller,BATCH_20260601_A
T00000086,A000131,,,2026-01-14 13:40:18,ATM,Branch,debit,56.39,INR,Reversed,Bill pay,branch_teller,BATCH_20260602_A
T00000087,A000140,,,2026-05-16 09:55:44,INTEREST,ATM,credit,959.31,USD,Failed,Bill pay,branch_teller,BATCH_20260602_A
T00000088,A000009,,,2026-01-18 14:29:01,PAYROLL,API,credit,310.78,USD,posted ,Bill pay,branch_teller,BATCH_20260602_A
T00000089,A000204,CRD000157,M0003,2026-01-22 17:31:03,POS,ATM,debit,320.14,USD,Reversed,Cash withdrawal,card_processor,BATCH_20260601_A
T00000090,A000107,,,2026-01-09 16:13:42,PAYROLL,Mobile,credit,37.48,INR,Reversed,Cash withdrawal,mobile_app,BATCH_20260601_B
T00000091,A000061,,,03/09/2026 13:41,PAYROLL,online ,credit,163.1,INR,Failed,Direct deposit,card_processor,BATCH_20260602_A
T00000092,A000108,,,04/27/2026 07:37,ACH,Branch,debit,448.86,INR,Failed,Cash withdrawal,branch_teller,BATCH_20260602_A
T00000093,A000119,CRD000069,M0079,05/29/2026 23:03,POS,online ,debit,302.07,USD,POSTED,Monthly fee,mobile_app,BATCH_20260601_A
T00000094,A000162,CRD000167,M0004,03/01/2026 10:30,POS,ATM,debit,126.02,CAD,posted ,Cash withdrawal,branch_teller,BATCH_20260601_A
T00000095,A000182,CRD000012,M0048,04/13/2026 06:26,POS,Card,debit,103.79,CAD,posted ,Monthly fee,card_processor,BATCH_20260601_A
T00000096,A000022,,,2026-05-31 11:58:47,FEE,Card,debit,14.14,USD,Posted,Bill pay,mobile_app,BATCH_20260601_A
T00000097,A000041,,,02/21/2026 03:12,ACH,ATM,debit,94.44,EUR,POSTED,Bill pay,core_banking,BATCH_20260601_B
T00000098,A000044,,,02/22/2026 04:19,ACH,ATM,debit,268.41,CAD,Failed,Transfer,card_processor,BATCH_20260601_B
T00000099,A000179,,,2026-04-23 13:38:30,INTEREST,Card,credit,399.14,GBP,Pending,Direct deposit,mobile_app,BATCH_20260602_A
T00000100,A000132,,M0047,01/30/2026 07:38,REFUND,Mobile,credit,123.33,GBP,POSTED,Bill pay,card_processor,BATCH_20260601_A
