check_name,table_name,raw_count,clean_count,issue_count
branches_raw_to_clean_row_difference,branches,10.0,10.0,0
customers_raw_to_clean_row_difference,customers,152.0,151.0,1
customer_profile_updates_raw_to_clean_row_difference,customer_profile_updates,91.0,90.0,1
accounts_raw_to_clean_row_difference,accounts,241.0,240.0,1
merchants_raw_to_clean_row_difference,merchants,80.0,80.0,0
cards_raw_to_clean_row_difference,cards,180.0,180.0,0
exchange_rates_raw_to_clean_row_difference,exchange_rates,764.0,764.0,0
transactions_raw_to_clean_row_difference,transactions,5002.0,5001.0,1
loans_raw_to_clean_row_difference,loans,120.0,120.0,0
loan_payments_raw_to_clean_row_difference,loan_payments,1362.0,1362.0,0
credit_scores_raw_to_clean_row_difference,credit_scores,750.0,750.0,0
fraud_alerts_raw_to_clean_row_difference,fraud_alerts,180.0,180.0,0
chargebacks_raw_to_clean_row_difference,chargebacks,95.0,95.0,0
account_daily_balances_raw_to_clean_row_difference,account_daily_balances,11220.0,11220.0,0
accounts_invalid_customer_id,accounts,,,2
accounts_invalid_branch_id,accounts,,,3
cards_invalid_account_id,cards,,,1
transactions_invalid_account_id,transactions,,,50
transactions_invalid_card_id,transactions,,,0
transactions_invalid_merchant_id,transactions,,,0
transactions_bad_amount_or_date,transactions,,,2485
loans_invalid_customer_id,loans,,,0
loan_payments_invalid_loan_id,loan,,,4
fraud_alerts_invalid_transaction_id,fraud,,,1
chargebacks_invalid_transaction_id,chargebacks,,,4
balances_invalid_account_id,balances,,,0
transactions_missing_exchange_rate,transactions,,,2
