department_id,facility_id,department_name,cost_center,service_line,active_flag,_loaded_at_utc,_source_file
DEP0001,FAC001,Emergency,CC3873,Medical,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0002,FAC001,Internal Medicine,CC4497,Medical,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0003,FAC001,Cardiology,CC3343,Medical,N,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0004,FAC001,Oncology,CC8977,Surgical,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0005,FAC001,Orthopedics,CC9781,Critical Care,N,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0006,FAC001,Pediatrics,CC3006,Ancillary,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0007,FAC001,Neurology,CC9838,Medical,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0008,FAC001,Surgery,CC9671,Diagnostic,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0009,FAC001,ICU,CC9823,Diagnostic,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0010,FAC001,Radiology,CC9808,Surgical,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0011,FAC001,Laboratory,CC6714,Ancillary,N,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0012,FAC001,Pharmacy,CC8602,Diagnostic,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0013,FAC002,Emergency,CC5244,Surgical,N,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0014,FAC002,Internal Medicine,CC3730,Surgical,N,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0015,FAC002,Cardiology,CC7737,Diagnostic,N,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0016,FAC002,Oncology,CC8499,Medical,N,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0017,FAC002,Orthopedics,CC2309,Surgical,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0018,FAC002,Pediatrics,CC7936,Surgical,N,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0019,FAC002,Neurology,CC9568,Medical,N,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0020,FAC002,Surgery,CC9296,Critical Care,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0021,FAC002,ICU,CC1095,Surgical,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0022,FAC002,Radiology,CC4588,Critical Care,N,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0023,FAC002,Laboratory,CC3739,Ancillary,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0024,FAC002,Pharmacy,CC1377,Critical Care,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0025,FAC003,Emergency,CC3034,Diagnostic,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0026,FAC003,Internal Medicine,CC9436,Surgical,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0027,FAC003,Cardiology,CC3571,Diagnostic,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0028,FAC003,Oncology,CC8610,Surgical,N,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0029,FAC003,Orthopedics,CC5685,Surgical,N,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0030,FAC003,Pediatrics,CC1477,Diagnostic,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0031,FAC003,Neurology,CC9442,Diagnostic,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0032,FAC003,Surgery,CC5229,Medical,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0033,FAC003,ICU,CC7400,Critical Care,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0034,FAC003,Radiology,CC1007,Medical,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0035,FAC003,Laboratory,CC9133,Surgical,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0036,FAC003,Pharmacy,CC9771,Medical,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0037,FAC004,Emergency,CC6093,Diagnostic,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0038,FAC004,Internal Medicine,CC8205,Diagnostic,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
