facility_id,department_id,appointment_type,appointment_count,completed,no_shows,cancelled,no_show_rate,completion_rate
FAC001,DEP0001,Follow-Up,10,8,1,1,0.1,0.8
FAC001,DEP0001,Imaging,13,7,4,1,0.3076923076923077,0.5384615384615384
FAC001,DEP0001,New Patient,9,6,3,0,0.3333333333333333,0.6666666666666666
FAC001,DEP0001,Procedure,18,6,5,2,0.2777777777777778,0.3333333333333333
FAC001,DEP0001,Telehealth,6,2,2,0,0.3333333333333333,0.3333333333333333
FAC001,DEP0002,Follow-Up,5,2,1,0,0.2,0.4
FAC001,DEP0002,Imaging,6,3,1,2,0.16666666666666666,0.5
FAC001,DEP0002,New Patient,5,3,1,1,0.2,0.6
FAC001,DEP0002,Procedure,4,2,0,1,0.0,0.5
FAC001,DEP0002,Telehealth,6,4,0,1,0.0,0.6666666666666666
FAC001,DEP0003,Follow-Up,18,6,4,2,0.2222222222222222,0.3333333333333333
FAC001,DEP0003,Imaging,22,10,0,6,0.0,0.45454545454545453
FAC001,DEP0003,New Patient,20,10,1,8,0.05,0.5
FAC001,DEP0003,Procedure,19,12,2,5,0.10526315789473684,0.631578947368421
FAC001,DEP0003,Telehealth,17,7,4,4,0.23529411764705882,0.4117647058823529
FAC001,DEP0004,Follow-Up,15,10,3,1,0.2,0.6666666666666666
FAC001,DEP0004,Imaging,12,6,2,3,0.16666666666666666,0.5
FAC001,DEP0004,New Patient,11,2,2,3,0.18181818181818182,0.18181818181818182
FAC001,DEP0004,Procedure,14,6,1,3,0.07142857142857142,0.42857142857142855
FAC001,DEP0004,Telehealth,11,6,2,2,0.18181818181818182,0.5454545454545454
FAC001,DEP0005,Follow-Up,14,7,2,1,0.14285714285714285,0.5
FAC001,DEP0005,Imaging,19,10,4,4,0.21052631578947367,0.5263157894736842
FAC001,DEP0005,New Patient,19,11,4,0,0.21052631578947367,0.5789473684210527
FAC001,DEP0005,Procedure,8,6,0,0,0.0,0.75
FAC001,DEP0005,Telehealth,20,10,0,6,0.0,0.5
FAC001,DEP0006,Follow-Up,6,1,2,2,0.3333333333333333,0.16666666666666666
FAC001,DEP0006,Imaging,14,5,1,5,0.07142857142857142,0.35714285714285715
FAC001,DEP0006,New Patient,16,8,2,3,0.125,0.5
FAC001,DEP0006,Procedure,10,4,0,4,0.0,0.4
FAC001,DEP0006,Telehealth,15,9,0,3,0.0,0.6
FAC001,DEP0007,Follow-Up,8,6,2,0,0.25,0.75
FAC001,DEP0007,Imaging,7,2,3,0,0.42857142857142855,0.2857142857142857
FAC001,DEP0007,New Patient,13,10,1,1,0.07692307692307693,0.7692307692307693
FAC001,DEP0007,Procedure,8,2,1,2,0.125,0.25
FAC001,DEP0007,Telehealth,9,4,0,0,0.0,0.4444444444444444
FAC001,DEP0008,Follow-Up,14,8,2,2,0.14285714285714285,0.5714285714285714
FAC001,DEP0008,Imaging,17,6,3,4,0.17647058823529413,0.35294117647058826
FAC001,DEP0008,New Patient,13,7,1,2,0.07692307692307693,0.5384615384615384
FAC001,DEP0008,Procedure,11,8,0,1,0.0,0.7272727272727273
FAC001,DEP0008,Telehealth,12,5,3,1,0.25,0.4166666666666667
FAC001,DEP0009,Follow-Up,8,5,1,1,0.125,0.625
FAC001,DEP0009,Imaging,4,2,0,0,0.0,0.5
FAC001,DEP0009,New Patient,9,1,3,4,0.3333333333333333,0.1111111111111111
FAC001,DEP0009,Procedure,7,4,0,2,0.0,0.5714285714285714
FAC001,DEP0009,Telehealth,8,7,0,0,0.0,0.875
FAC001,DEP0010,Follow-Up,12,4,1,5,0.08333333333333333,0.3333333333333333
FAC001,DEP0010,Imaging,12,9,2,1,0.16666666666666666,0.75
FAC001,DEP0010,New Patient,10,6,2,2,0.2,0.6
FAC001,DEP0010,Procedure,10,5,2,2,0.2,0.5
FAC001,DEP0010,Telehealth,9,5,0,2,0.0,0.5555555555555556
FAC001,DEP0011,Follow-Up,13,7,1,2,0.07692307692307693,0.5384615384615384
FAC001,DEP0011,Imaging,9,5,1,3,0.1111111111111111,0.5555555555555556
FAC001,DEP0011,New Patient,9,5,3,0,0.3333333333333333,0.5555555555555556
FAC001,DEP0011,Procedure,10,4,0,4,0.0,0.4
FAC001,DEP0011,Telehealth,14,7,3,1,0.21428571428571427,0.5
FAC001,DEP0012,Follow-Up,2,1,0,1,0.0,0.5
FAC001,DEP0012,Imaging,3,2,0,1,0.0,0.6666666666666666
FAC001,DEP0012,New Patient,4,3,0,0,0.0,0.75
FAC001,DEP0012,Procedure,1,1,0,0,0.0,1.0
FAC001,DEP0012,Telehealth,7,4,1,2,0.14285714285714285,0.5714285714285714
FAC002,DEP0013,Follow-Up,2,0,0,1,0.0,0.0
FAC002,DEP0013,Imaging,4,1,1,2,0.25,0.25
FAC002,DEP0013,New Patient,8,6,1,0,0.125,0.75
FAC002,DEP0013,Procedure,5,4,0,1,0.0,0.8
FAC002,DEP0013,Telehealth,6,4,1,0,0.16666666666666666,0.6666666666666666
FAC002,DEP0014,Follow-Up,13,7,2,4,0.15384615384615385,0.5384615384615384
FAC002,DEP0014,Imaging,17,8,4,2,0.23529411764705882,0.47058823529411764
FAC002,DEP0014,New Patient,10,7,3,0,0.3,0.7
FAC002,DEP0014,Procedure,15,7,3,3,0.2,0.4666666666666667
FAC002,DEP0014,Telehealth,14,2,4,6,0.2857142857142857,0.14285714285714285
FAC002,DEP0015,Follow-Up,5,2,3,0,0.6,0.4
FAC002,DEP0015,Imaging,15,6,2,6,0.13333333333333333,0.4
FAC002,DEP0015,New Patient,5,3,1,0,0.2,0.6
FAC002,DEP0015,Procedure,14,7,3,4,0.21428571428571427,0.5
FAC002,DEP0015,Telehealth,10,6,1,2,0.1,0.6
FAC002,DEP0016,Follow-Up,9,5,2,1,0.2222222222222222,0.5555555555555556
FAC002,DEP0016,Imaging,11,4,4,1,0.36363636363636365,0.36363636363636365
FAC002,DEP0016,New Patient,14,8,3,0,0.21428571428571427,0.5714285714285714
FAC002,DEP0016,Procedure,9,4,1,2,0.1111111111111111,0.4444444444444444
FAC002,DEP0016,Telehealth,5,3,0,1,0.0,0.6
FAC002,DEP0017,Follow-Up,22,13,3,2,0.13636363636363635,0.5909090909090909
FAC002,DEP0017,Imaging,17,10,4,1,0.23529411764705882,0.5882352941176471
FAC002,DEP0017,New Patient,13,5,0,1,0.0,0.38461538461538464
FAC002,DEP0017,Procedure,16,7,3,4,0.1875,0.4375
FAC002,DEP0017,Telehealth,18,11,1,2,0.05555555555555555,0.6111111111111112
FAC002,DEP0018,Follow-Up,1,0,1,0,1.0,0.0
FAC002,DEP0018,Imaging,1,1,0,0,0.0,1.0
FAC002,DEP0018,New Patient,2,2,0,0,0.0,1.0
FAC002,DEP0018,Procedure,6,2,3,1,0.5,0.3333333333333333
FAC002,DEP0018,Telehealth,2,1,1,0,0.5,0.5
FAC002,DEP0019,Follow-Up,21,11,5,2,0.23809523809523808,0.5238095238095238
FAC002,DEP0019,Imaging,27,17,3,2,0.1111111111111111,0.6296296296296297
