check_name,table_name,issue_count,severity
facilities_raw_to_silver_delta,facilities,0,info
departments_raw_to_silver_delta,departments,0,info
providers_raw_to_silver_delta,providers,0,info
payers_raw_to_silver_delta,payers,0,info
diagnosis_codes_raw_to_silver_delta,diagnosis_codes,0,info
procedure_codes_raw_to_silver_delta,procedure_codes,0,info
medications_raw_to_silver_delta,medications,0,info
lab_test_reference_raw_to_silver_delta,lab_test_reference,0,info
patients_raw_to_silver_delta,patients,1,info
calendar_raw_to_silver_delta,calendar,0,info
appointments_raw_to_silver_delta,appointments,0,info
encounters_raw_to_silver_delta,encounters,1,info
encounter_diagnoses_raw_to_silver_delta,encounter_diagnoses,0,info
encounter_procedures_raw_to_silver_delta,encounter_procedures,0,info
lab_orders_raw_to_silver_delta,lab_orders,0,info
lab_results_raw_to_silver_delta,lab_results,0,info
med_orders_raw_to_silver_delta,med_orders,0,info
med_admin_raw_to_silver_delta,med_admin,0,info
claims_raw_to_silver_delta,claims,0,info
claim_lines_raw_to_silver_delta,claim_lines,0,info
claim_payments_raw_to_silver_delta,claim_payments,0,info
bed_occupancy_raw_to_silver_delta,bed_occupancy,0,info
patient_satisfaction_raw_to_silver_delta,patient_satisfaction,0,info
patient_cdc_raw_to_silver_delta,patient_cdc,0,info
provider_cdc_raw_to_silver_delta,provider_cdc,0,info
patients_invalid_payer,patients,14,warning
providers_invalid_facility,providers,0,pass
providers_invalid_department,providers,0,pass
appointments_invalid_patient,appointments,23,warning
appointments_invalid_provider,appointments,32,warning
encounters_invalid_patient,encounters,17,warning
encounters_invalid_provider,encounters,16,warning
encounters_bad_timestamps,encounters,0,pass
diagnoses_invalid_encounter,diagnoses,30,warning
diagnoses_invalid_code,diagnoses,31,warning
procedures_invalid_encounter,procedures,9,warning
procedures_invalid_code,procedures,7,warning
lab_orders_invalid_encounter,lab,15,warning
lab_orders_invalid_test,lab,15,warning
lab_results_invalid_order,lab,11,warning
lab_results_bad_value,lab,17,warning
med_orders_invalid_medication,med,9,warning
med_admin_invalid_order,med,11,warning
claims_invalid_encounter,claims,9,warning
claims_invalid_payer,claims,13,warning
claims_bad_charge,claims,7,warning
claim_lines_invalid_claim,claim,21,warning
claim_lines_invalid_procedure,claim,31,warning
claim_payments_invalid_claim,claim,6,warning
satisfaction_invalid_encounter,satisfaction,6,warning
