table_name,relative_path,row_count,column_count,duplicate_full_rows
patient_cdc,data/raw/cdc/patient_cdc.csv,350,7,0
provider_cdc,data/raw/cdc/provider_cdc.csv,120,7,0
appointments,data/raw/clinical/appointments.csv,8000,9,0
encounter_diagnoses,data/raw/clinical/encounter_diagnoses.csv,12080,5,0
encounter_procedures,data/raw/clinical/encounter_procedures.csv,5690,6,0
encounters,data/raw/clinical/encounters.csv,6001,11,1
lab_orders,data/raw/clinical/lab_orders.csv,6314,7,0
lab_results,data/raw/clinical/lab_results.csv,5778,7,0
med_admin,data/raw/clinical/med_admin.csv,4779,5,0
med_orders,data/raw/clinical/med_orders.csv,5408,9,0
departments,data/raw/master/departments.csv,72,6,0
diagnosis_codes,data/raw/master/diagnosis_codes.csv,15,3,0
facilities,data/raw/master/facilities.csv,6,9,0
lab_test_reference,data/raw/master/lab_test_reference.csv,8,5,0
medications,data/raw/master/medications.csv,10,4,0
patients,data/raw/master/patients.csv,3501,12,1
payers,data/raw/master/payers.csv,5,4,0
procedure_codes,data/raw/master/procedure_codes.csv,10,4,0
providers,data/raw/master/providers.csv,350,8,0
bed_occupancy,data/raw/operations/bed_occupancy.csv,2196,7,0
patient_satisfaction,data/raw/operations/patient_satisfaction.csv,3000,7,0
calendar,data/raw/reference/calendar.csv,181,8,0
claim_lines,data/raw/revenue/claim_lines.csv,12386,8,0
claim_payments,data/raw/revenue/claim_payments.csv,3072,7,0
claims,data/raw/revenue/claims.csv,5000,10,0
