order_item_id,order_id,product_id,quantity,unit_price,discount_pct
OI00001,O0001,P002,2,85.49,5
OI00002,O0001,P008,2,26.99,
OI00003,O0001,P404,-1,26.99,10
OI00004,O0002,P003,,44.99,
OI00005,O0003,P005,,12.99,10
OI00006,O0003,P004,-1,33.24,15
OI00007,O0004,P001,3,,10
OI00008,O0004,P001,1,,abc
OI00009,O0004,P005,-1,12.34,abc
OI00010,O0005,P009,1,,abc
OI00011,O0005,P003,-1,42.74,
OI00012,O0005,P003,2,44.99,10
OI00013,O0005,P404,,9.99,5
OI00014,O0006,P006,-1,18.99,abc
OI00015,O0007,P004,3,34.99,0
OI00016,O0007,P003,3,42.74,abc
OI00017,O0008,P005,1,11.69,15
OI00018,O0008,P001,1,24.99,15
OI00019,O0009,P005,1,12.99,0
OI00020,O0009,P011,2,18.04,0
OI00021,O0009,P404,3,17.99,abc
OI00022,O0010,P001,2,,5
OI00023,O0010,P010,1,40.84,0
OI00024,O0010,P010,2,38.69,15
OI00025,O0011,P007,2,9.99,0
OI00026,O0012,P001,,22.49,abc
OI00027,O0012,P012,2,59.99,15
OI00028,O0012,P002,-1,85.49,10
OI00029,O0012,P011,2,17.09,
OI00030,O0013,P011,,18.04,10
OI00031,O0013,P009,,8.54,15
OI00032,O0013,P011,-1,18.99,
OI00033,O0014,P007,2,9.99,10
OI00034,O0014,P004,-1,31.49,abc
OI00035,O0014,P006,,18.99,5
OI00036,O0015,P404,2,29.99,
OI00037,O0015,P011,1,18.04,5
OI00038,O0015,P011,1,18.99,0
OI00039,O0015,P001,-1,23.74,0
OI00040,O0016,P007,1,8.99,abc
OI00041,O0016,P012,1,56.99,5
OI00042,O0016,P011,3,18.99,5
OI00043,O0016,P003,-1,40.49,15
OI00044,O0017,P009,3,8.99,5
OI00045,O0018,P011,-1,17.09,10
OI00046,O0018,P404,-1,17.99,15
OI00047,O0018,P009,,8.99,15
OI00048,O0018,P008,,29.99,10
OI00049,O0019,P011,1,18.04,abc
OI00050,O0019,P005,2,12.34,
OI00051,O0019,P002,3,89.99,abc
OI00052,O0019,P003,3,44.99,15
OI00053,O0020,P009,1,8.99,15
OI00054,O0020,P007,,8.99,0
OI00055,O0020,P404,2,29.99,10
OI00056,O0021,P007,-1,8.99,
OI00057,O0021,P004,3,33.24,15
OI00058,O0021,P001,,22.49,15
OI00059,O0021,P012,1,56.99,
OI00060,O0022,P007,1,8.99,0
OI00061,O0023,P003,1,44.99,10
OI00062,O0023,P007,2,9.49,10
OI00063,O0023,P404,2,18.99,0
OI00064,O0023,P008,-1,,0
OI00065,O0024,P004,1,31.49,0
OI00066,O0024,P004,-1,34.99,5
OI00067,O0024,P004,1,31.49,
OI00068,O0025,P008,1,28.49,
OI00069,O0025,P010,1,38.69,5
OI00070,O0026,P002,-1,85.49,abc
OI00071,O0026,P007,1,8.99,0
OI00072,O0026,P010,1,38.69,0
OI00073,O0027,P011,-1,18.99,0
OI00074,O0027,P006,2,17.99,0
OI00075,O0027,P009,3,8.99,15
OI00076,O0028,P007,3,8.99,abc
OI00077,O0029,P007,,8.99,10
OI00078,O0029,P010,3,38.69,15
OI00079,O0030,P012,1,56.99,0
OI00080,O0030,P005,3,12.99,
OI00081,O0030,P010,1,40.84,15
OI00082,O0030,P006,2,19.99,10
OI00083,O0031,P005,2,11.69,
OI00084,O0031,P001,1,24.99,5
OI00085,O0031,P012,1,53.99,abc
OI00086,O0032,P011,1,18.04,0
OI00087,O0032,P005,1,11.69,10
OI00088,O0032,P011,-1,18.04,
OI00089,O0032,P006,-1,17.99,10
OI00090,O0033,P012,2,56.99,5
OI00091,O0033,P002,1,85.49,abc
OI00092,O0033,P009,1,8.09,5
OI00093,O0034,P012,-1,53.99,
OI00094,O0034,P010,1,42.99,10
OI00095,O0035,P006,,19.99,
OI00096,O0035,P003,-1,44.99,10
OI00097,O0036,P011,1,18.04,0
OI00098,O0036,P010,3,40.84,10
OI00099,O0037,P001,1,23.74,0
OI00100,O0037,P007,,8.99,abc
OI00101,O0038,P003,2,40.49,0
OI00102,O0039,P002,-1,85.49,
OI00103,O0039,P404,3,26.99,15
OI00104,O0040,P005,2,12.34,
OI00105,O0040,P010,,,0
OI00106,O0040,P404,,9.49,0
OI00107,O0040,P003,1,40.49,5
OI00108,O0041,P007,3,8.99,10
OI00109,O0042,P004,,33.24,15
OI00110,O0043,P011,,18.04,
OI00111,O0044,P007,1,,abc
OI00112,O0044,P003,1,44.99,0
OI00113,O0045,P404,2,17.99,15
OI00114,O0045,P002,,85.49,15
OI00011,O0005,P003,-1,42.74,
