order_id,customer_id,store_id,order_date,order_status,sales_channel,currency,promo_code
O0001,C012,S003,2024-08-21,Completed,In Store,USD,BADCODE
O0002,C009,S001,2024/06/14,Shipped,online ,USD,WELCOME10
O0003,C009,S005,2024-06-12,Completed,WEB,USD,BADCODE
O0004,C007,S002,08/23/2024,Shipped,WEB,usd,UNKNOWN
O0005,C003,S004,06/01/2024,Shipped,Mobile App,USD,SPRING15
O0006,C007,S001,07/14/2024,Completed,Mobile App,US Dollar,FREESHIP
O0007,C009,S001,06/06/2024,Shipped,Online,US Dollar,FREESHIP
O0008,C006,S005,2024-08-20,Shipped,Online,USD,BADCODE
O0009,C002,S002,2024-06-30,Shipped,online ,usd,VIP20
O0010,C003,S003,08/21/2024,Cancelled,In Store,US Dollar,FREESHIP
O0011,C011,S001,2024/08/29,Pending,In Store,US Dollar,BADCODE
O0012,C007,S003,2024/07/02,Completed,WEB,USD,BADCODE
O0013,C999,S001,2024-07-12,Cancelled,Online,usd,VIP20
O0014,C010,S003,2024-07-05,Completed,online ,usd,BADCODE
O0015,C003,S002,2024/07/29,Completed,WEB,US Dollar,FREESHIP
O0016,C010,S004,08/14/2024,Completed,In Store,USD,
O0017,C001,S001,2024-08-03,Completed,In Store,US Dollar,VIP20
O0018,C007,S005,08/16/2024,Completed,WEB,usd,
O0019,C002,S005,06/02/2024,Shipped,Mobile App,USD,FREESHIP
O0020,C001,S003,2024/07/26,Completed,In Store,US Dollar,WELCOME10
O0021,C011,S005,2024/08/20,Completed,In Store,USD,FREESHIP
O0022,C999,S005,2024-06-21,completed ,WEB,usd,VIP20
O0023,C006,S003,2024-06-03,Completed,Online,USD,
O0024,C008,S001,2024/06/11,Completed,In Store,USD,BADCODE
O0025,C003,S003,2024/07/31,Pending,WEB,usd,SPRING15
O0026,C012,S002,2024/08/09,Shipped,Mobile App,usd,BADCODE
O0027,C009,S004,2024-08-23,Completed,In Store,USD,WELCOME10
O0028,C009,S002,2024/07/14,Completed,In Store,USD,WELCOME10
O0029,C002,S001,08/20/2024,Completed,Online,US Dollar,SPRING15
O0030,C004,S005,2024-07-06,Shipped,WEB,US Dollar,VIP20
O0031,C999,S004,2024-07-02,Shipped,Online,USD,BADCODE
O0032,C007,S004,2024/07/26,Completed,Online,US Dollar,BADCODE
O0033,C007,S003,2024-08-22,Completed,In Store,USD,SPRING15
O0034,C007,S002,08/08/2024,Completed,online ,USD,UNKNOWN
O0035,C009,S001,2024-06-10,Completed,WEB,USD,WELCOME10
O0036,C008,S004,2024-07-01,Completed,online ,USD,SPRING15
O0037,C007,S003,07/19/2024,Completed,Mobile App,usd,BADCODE
O0038,C008,S002,2024-08-11,Shipped,Mobile App,USD,WELCOME10
O0039,C001,S003,2024-08-14,Shipped,Online,US Dollar,VIP20
O0040,C009,S002,2024-08-04,Cancelled,WEB,USD,UNKNOWN
O0041,C002,S002,06/24/2024,Completed,Online,US Dollar,SPRING15
O0042,C010,S001,08/14/2024,completed ,WEB,US Dollar,
O0043,C004,S003,2024-07-11,Pending,Mobile App,usd,SPRING15
O0044,C008,S003,2024-08-25,Shipped,Online,usd,
O0045,C002,S005,2024-08-12,Pending,WEB,usd,SPRING15
O0008,C006,S005,2024-08-20, completed ,Online,usd,BADCODE
