return_id,order_id,product_id,return_date,return_reason,refund_amount
R0001,O0007,P004,2024-08-04,Damaged,104.97
R0002,O0015,P404,2024-08-09,Changed Mind,59.98
R0003,O0027,P006,2024-07-24,Wrong Item,35.98
R0004,O0012,P011,2024-08-21,Damaged,34.18
R0005,O0020,P404,2024-07-04,Damaged,59.98
R0006,O0026,P010,2024-07-28,Late Delivery,38.69
R0007,O0030,P005,2024-08-13,Wrong Item,38.97
R0008,O0030,P012,2024-08-11,Defective,56.99
R0009,O0032,P005,2024-07-07,Wrong Item,11.69
R0010,O0031,P005,2024-09-18,Damaged,23.38
R0011,O0002,P003,2024-08-26,Late Delivery,19.99
R0012,O0029,P010,2024-08-26,Late Delivery,116.07
R0013,O0031,P012,2024-09-04,Damaged,53.99
R0014,O0032,P006,2024-07-15,Changed Mind,17.99
R9999,O9999,P001,2024-09-01,Test Bad Order,12.99
