cell_id,site_id,technology,band,sector,max_capacity_mbps,active_flag,_ingested_at_utc,_source_file,_source_system
CELL000001,SITE00001,4G LTE,B12,3,601.45,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000002,SITE00001,5G NR,n77,3,598.19,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000003,SITE00001,4G LTE,n71,2,1253.23,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000004,SITE00001,5G NR,B2,3,846.65,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000005,SITE00001,5G NR,B2,1,650.98,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000006,SITE00001,4G LTE,n71,1,603.74,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000007,SITE00002,4G LTE,n77,3,746.92,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000008,SITE00002,4G LTE,n71,1,2058.95,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000009,SITE00002,4G LTE,B4,3,1437.49,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000010,SITE00002,4G LTE,B4,3,781.17,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000011,SITE00002,5G NR,B4,3,543.50,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000012,SITE00003,5G NR,n77,3,1659.16,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000013,SITE00003,4G LTE,n71,3,1415.42,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000014,SITE00003,4G LTE,B2,1,1186.59,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000015,SITE00004,5G NR,n77,3,2367.17,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000016,SITE00004,4G LTE,n71,3,1726.00,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000017,SITE00004,4G LTE,n77,2,405.27,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000018,SITE00004,5G NR,B2,1,681.06,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000019,SITE00004,4G LTE,B12,3,1445.57,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000020,SITE00004,4G LTE,n41,3,880.51,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000021,SITE00005,4G LTE,n71,2,1056.62,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000022,SITE00005,4G LTE,n41,1,1996.72,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000023,SITE00005,4G LTE,n77,3,2304.13,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000024,SITE00005,5G NR,n71,3,548.83,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000025,SITE00006,5G NR,B4,1,2309.36,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000026,SITE00006,5G NR,n77,3,645.70,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000027,SITE00006,4G LTE,n41,1,1275.97,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000028,SITE00006,5G NR,n41,2,1293.55,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000029,SITE00006,4G LTE,B12,3,2186.33,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000030,SITE00007,4G LTE,B2,1,793.25,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000031,SITE00007,4G LTE,B2,2,1829.92,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000032,SITE00007,4G LTE,n41,3,1473.80,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000033,SITE00007,5G NR,n41,3,1680.78,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000034,SITE00007,4G LTE,B2,1,1426.34,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000035,SITE00007,5G NR,B12,1,994.18,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000036,SITE00008,4G LTE,B12,3,1473.26,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000037,SITE00008,4G LTE,B2,2,1502.43,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000038,SITE00008,4G LTE,n71,3,979.03,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000039,SITE00008,4G LTE,B4,3,1436.12,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
