cdc_id,customer_id,effective_ts,operation,new_segment,new_credit_class,new_autopay_flag,change_reason,_ingested_at_utc,_source_file,_source_system
CCDC0000001,CUST00001686,2026-05-01 06:05:14,UPDATE,Small Business,A,N,segment_change,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000002,CUST00004084,2026-02-10 12:42:19,UPDATE,Small Business,B,Y,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000003,CUST00001902,2026-04-04 04:28:23,UPDATE,Enterprise,B,Y,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000004,CUST00000287,2026-02-19 03:10:40,UPDATE,Enterprise,B,N,credit_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000005,CUST00002290,2026-04-28 17:30:13,UPDATE,Government,C,N,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000006,CUST00001088,2026-02-28 16:51:44,UPDATE,Government,A,N,segment_change,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000007,CUST00001693,2026-04-26 22:46:12,UPDATE,Enterprise,D,N,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000008,CUST00003861,2026-02-16 07:00:17,UPDATE,Government,A,Y,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000009,CUST00000174,2026-03-07 04:25:08,UPDATE,Small Business,D,N,credit_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000010,CUST00003929,2026-02-28 04:32:08,UPDATE,Enterprise,D,Y,segment_change,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000011,CUST00002630,2026-04-12 02:03:11,UPDATE,Government,A,Y,segment_change,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000012,CUST00000470,2026-02-13 11:23:54,UPDATE,Government,D,N,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000013,CUST00001364,2026-03-05 05:33:26,UPDATE,Consumer,B,Y,customer_request,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000014,CUST00002952,2026-03-21 11:54:21,UPDATE,Small Business,A,N,credit_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000015,CUST00001323,2026-05-29 04:03:00,UPDATE,Small Business,C,Y,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000016,CUST00003020,2026-05-08 09:24:12,UPDATE,Government,D,Y,segment_change,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000017,CUST00000026,2026-05-07 00:57:58,UPDATE,Government,C,N,credit_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000018,CUST00004298,2026-04-13 17:47:22,UPDATE,Enterprise,C,N,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000019,CUST00002369,2026-02-25 03:32:16,UPDATE,Small Business,D,N,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000020,CUST00002969,2026-03-11 22:23:49,UPDATE,Government,B,N,credit_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000021,CUST00000290,2026-02-06 14:28:17,UPDATE,Government,A,Y,segment_change,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000022,CUST00002242,2026-05-05 05:04:34,UPDATE,Government,C,Y,customer_request,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000023,CUST00003296,2026-02-14 01:45:13,UPDATE,Government,A,N,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
