cell_id,site_id,technology,band,sector,max_capacity_mbps,active_flag
CELL000001,SITE00001,4G LTE,B12,3,601.45,True
CELL000002,SITE00001,5G NR,n77,3,598.19,True
CELL000003,SITE00001,4G LTE,n71,2,1253.23,True
CELL000004,SITE00001,5G NR,B2,3,846.65,True
CELL000005,SITE00001,5G NR,B2,1,650.98,False
CELL000006,SITE00001,4G LTE,n71,1,603.74,True
CELL000007,SITE00002,4G LTE,n77,3,746.92,True
CELL000008,SITE00002,4G LTE,n71,1,2058.95,True
CELL000009,SITE00002,4G LTE,B4,3,1437.49,True
CELL000010,SITE00002,4G LTE,B4,3,781.17,False
CELL000011,SITE00002,5G NR,B4,3,543.5,True
CELL000012,SITE00003,5G NR,n77,3,1659.16,True
CELL000013,SITE00003,4G LTE,n71,3,1415.42,True
CELL000014,SITE00003,4G LTE,B2,1,1186.59,False
CELL000015,SITE00004,5G NR,n77,3,2367.17,True
CELL000016,SITE00004,4G LTE,n71,3,1726.0,True
CELL000017,SITE00004,4G LTE,n77,2,405.27,True
CELL000018,SITE00004,5G NR,B2,1,681.06,False
CELL000019,SITE00004,4G LTE,B12,3,1445.57,True
CELL000020,SITE00004,4G LTE,n41,3,880.51,True
CELL000021,SITE00005,4G LTE,n71,2,1056.62,True
CELL000022,SITE00005,4G LTE,n41,1,1996.72,True
CELL000023,SITE00005,4G LTE,n77,3,2304.13,True
CELL000024,SITE00005,5G NR,n71,3,548.83,True
CELL000025,SITE00006,5G NR,B4,1,2309.36,True
CELL000026,SITE00006,5G NR,n77,3,645.7,True
CELL000027,SITE00006,4G LTE,n41,1,1275.97,True
CELL000028,SITE00006,5G NR,n41,2,1293.55,True
CELL000029,SITE00006,4G LTE,B12,3,2186.33,True
CELL000030,SITE00007,4G LTE,B2,1,793.25,True
CELL000031,SITE00007,4G LTE,B2,2,1829.92,False
CELL000032,SITE00007,4G LTE,n41,3,1473.8,True
CELL000033,SITE00007,5G NR,n41,3,1680.78,True
CELL000034,SITE00007,4G LTE,B2,1,1426.34,False
CELL000035,SITE00007,5G NR,B12,1,994.18,True
CELL000036,SITE00008,4G LTE,B12,3,1473.26,True
CELL000037,SITE00008,4G LTE,B2,2,1502.43,True
CELL000038,SITE00008,4G LTE,n71,3,979.03,True
CELL000039,SITE00008,4G LTE,B4,3,1436.12,True
CELL000040,SITE00009,5G NR,n71,2,977.54,True
CELL000041,SITE00009,5G NR,B12,1,882.45,True
CELL000042,SITE00009,4G LTE,B4,2,1843.57,False
CELL000043,SITE00009,5G NR,B12,3,1016.64,False
CELL000044,SITE00009,4G LTE,B2,3,891.21,True
CELL000045,SITE00010,5G NR,n77,3,1776.44,True
CELL000046,SITE00010,5G NR,n41,2,1085.51,True
CELL000047,SITE00010,4G LTE,n41,2,1249.57,False
CELL000048,SITE00010,5G NR,B4,3,1970.32,True
CELL000049,SITE00011,4G LTE,n41,3,1568.7,True
CELL000050,SITE00011,4G LTE,n77,2,456.65,True
CELL000051,SITE00011,5G NR,n71,2,1510.41,True
CELL000052,SITE00011,5G NR,B12,1,1132.28,True
CELL000053,SITE00012,5G NR,B12,2,1425.2,True
CELL000054,SITE00012,5G NR,B4,2,2357.43,True
CELL000055,SITE00012,5G NR,n71,3,800.06,True
CELL000056,SITE00012,5G NR,B12,3,1474.08,True
CELL000057,SITE00012,5G NR,B12,1,2187.53,False
CELL000058,SITE00013,5G NR,B12,2,324.95,True
CELL000059,SITE00013,4G LTE,B2,2,1369.64,True
CELL000060,SITE00013,4G LTE,n71,3,1691.22,True
CELL000061,SITE00014,5G NR,n77,3,2222.29,True
CELL000062,SITE00014,5G NR,n41,1,542.06,True
CELL000063,SITE00014,5G NR,B2,2,1624.85,True
CELL000064,SITE00014,4G LTE,B4,3,369.31,False
CELL000065,SITE00015,4G LTE,n41,3,1037.49,True
CELL000066,SITE00015,5G NR,n77,2,498.89,False
CELL000067,SITE00015,5G NR,B2,3,547.39,True
CELL000068,SITE00015,4G LTE,n71,2,1627.42,True
CELL000069,SITE00016,5G NR,B12,2,1449.76,True
CELL000070,SITE00016,5G NR,B4,1,1811.56,True
CELL000071,SITE00016,4G LTE,n77,1,1341.8,True
CELL000072,SITE00017,5G NR,B12,2,598.1,False
CELL000073,SITE00017,4G LTE,n77,2,366.56,True
CELL000074,SITE00017,5G NR,n77,1,1648.67,False
CELL000075,SITE00017,5G NR,B12,1,730.95,True
CELL000076,SITE00017,4G LTE,B2,1,308.42,True
CELL000077,SITE00018,4G LTE,B2,3,730.27,False
CELL000078,SITE00018,5G NR,B4,3,1214.5,True
CELL000079,SITE00018,5G NR,B4,1,963.69,True
CELL000080,SITE00018,5G NR,n41,1,849.08,False
CELL000081,SITE00018,4G LTE,B2,1,2079.18,True
CELL000082,SITE00019,5G NR,B12,3,2208.9,False
CELL000083,SITE00019,4G LTE,B2,3,1582.21,False
CELL000084,SITE00019,5G NR,n41,1,2277.2,False
CELL000085,SITE00020,5G NR,n71,2,1474.19,True
CELL000086,SITE00020,4G LTE,B4,2,1992.54,True
CELL000087,SITE00020,4G LTE,n41,2,333.41,False
