site_id,site_name,city,region,latitude,longitude,site_type,backhaul_type,active_flag
SITE00001,Atlanta Macro 1,Atlanta,Southeast,41.21616,-108.39450,Small Cell,Fiber,True
SITE00002,Atlanta Macro 2,Atlanta,Southeast,43.22002,-95.88055,Macro,Microwave,True
SITE00003,Atlanta Macro 3,Atlanta,Southeast,42.00836,-114.53086,Rooftop,Microwave,True
SITE00004,Birmingham Macro 4,Birmingham,Southeast,47.82204,-109.83231,Small Cell,Fiber,True
SITE00005,Birmingham Macro 5,Birmingham,Southeast,30.89042,-99.68452,Macro,Fiber,True
SITE00006,Birmingham Macro 6,Birmingham,Southeast,33.00580,-97.04092,Small Cell,Microwave,True
SITE00007,Nashville Macro 7,Nashville,Southeast,36.09083,-72.27131,Macro,Fiber,True
SITE00008,Nashville Macro 8,Nashville,Southeast,34.49869,-104.34355,Rooftop,Ethernet,False
SITE00009,Nashville Macro 9,Nashville,Southeast,45.74490,-96.02739,Rooftop,Microwave,True
SITE00010,Jacksonville Macro 10,Jacksonville,Southeast,40.27618,-108.33368,Small Cell,Fiber,True
SITE00011,Jacksonville Macro 11,Jacksonville,Southeast,34.85354,-113.74644,Macro,Microwave,True
SITE00012,Jacksonville Macro 12,Jacksonville,Southeast,44.20691,-93.95391,Small Cell,Ethernet,False
SITE00013,Chicago Macro 13,Chicago,Midwest,43.22777,-76.52596,Macro,Microwave,False
SITE00014,Chicago Macro 14,Chicago,Midwest,46.65337,-72.19069,Rooftop,Microwave,False
SITE00015,Chicago Macro 15,Chicago,Midwest,43.21374,-116.36125,Macro,Ethernet,True
SITE00016,Detroit Macro 16,Detroit,Midwest,42.32747,-120.71979,Small Cell,Fiber,False
SITE00017,Detroit Macro 17,Detroit,Midwest,45.29647,-83.17362,Rooftop,Microwave,False
SITE00018,Detroit Macro 18,Detroit,Midwest,30.71517,-98.29418,Macro,Microwave,True
SITE00019,Columbus Macro 19,Columbus,Midwest,45.74880,-115.18999,Rooftop,Microwave,True
SITE00020,Columbus Macro 20,Columbus,Midwest,47.49454,-121.06514,Small Cell,Fiber,True
SITE00021,Columbus Macro 21,Columbus,Midwest,26.26198,-105.54079,Rooftop,Fiber,True
SITE00022,Indianapolis Macro 22,Indianapolis,Midwest,47.59726,-74.77319,Small Cell,Fiber,False
SITE00023,Indianapolis Macro 23,Indianapolis,Midwest,29.16262,-84.49461,Rooftop,Fiber,False
SITE00024,Indianapolis Macro 24,Indianapolis,Midwest,29.33585,-110.03270,Small Cell,Microwave,True
SITE00025,Dallas Macro 25,Dallas,Southwest,47.69925,-81.78056,Macro,Ethernet,False
SITE00026,Dallas Macro 26,Dallas,Southwest,35.92885,-113.99146,Rooftop,Ethernet,True
SITE00027,Dallas Macro 27,Dallas,Southwest,26.66225,-92.87796,Rooftop,Microwave,True
SITE00028,Austin Macro 28,Austin,Southwest,36.36564,-122.19580,Rooftop,Fiber,True
SITE00029,Austin Macro 29,Austin,Southwest,30.44445,-71.54468,Rooftop,Microwave,False
SITE00030,Austin Macro 30,Austin,Southwest,43.84977,-120.13396,Macro,Ethernet,True
SITE00031,Phoenix Macro 31,Phoenix,Southwest,32.35574,-86.59109,Small Cell,Fiber,False
SITE00032,Phoenix Macro 32,Phoenix,Southwest,45.29302,-86.52265,Small Cell,Ethernet,False
SITE00033,Phoenix Macro 33,Phoenix,Southwest,32.49609,-107.39442,Macro,Microwave,True
SITE00034,Albuquerque Macro 34,Albuquerque,Southwest,43.16347,-90.10271,Macro,Microwave,False
SITE00035,Albuquerque Macro 35,Albuquerque,Southwest,33.91903,-72.05010,Small Cell,Microwave,False
