call_id,subscriber_id,cell_id,call_start_ts,duration_seconds,call_direction,call_status,roaming_flag,source_system,call_date,customer_id,plan_id,device_id,home_region,site_id,technology,duration_minutes,dropped_call_flag,month
CALL0000000004,SUB00003217,CELL000058,2026-05-24 15:56:00,87.0,MO,Dropped,False,switch,2026-05-24,CUST00000318,PLN015,DEV0001935,West,SITE00013,5G NR,1.45,True,2026-05
CALL0000000010,SUB00004021,CELL000089,2026-05-06 12:02:00,22.0,MO,Dropped,False,switch,2026-05-06,CUST00003447,PLN004,DEV0001574,Midwest,SITE00020,5G NR,0.36666666666666664,True,2026-05
CALL0000000014,SUB00004796,CELL000043,2026-04-09 09:10:00,571.0,MT,Dropped,False,switch,2026-04-09,CUST00003828,PLN004,DEV0001762,Northeast,SITE00009,5G NR,9.516666666666667,True,2026-04
CALL0000000024,SUB00000142,CELL000207,2026-05-16 22:48:00,200.0,MO,Dropped,False,switch,2026-05-16,CUST00003141,PLN009,DEV0002453,Southwest,SITE00049,5G NR,3.3333333333333335,True,2026-05
CALL0000000031,SUB00004595,CELL000219,2026-05-26 17:30:00,6.0,MT,Dropped,True,switch,2026-05-26,CUST00000543,PLN017,DEV0002071,Northeast,SITE00052,5G NR,0.1,True,2026-05
CALL0000000032,SUB00002140,CELL000014,2026-04-23 09:51:00,477.0,MO,Dropped,False,switch,2026-04-23,CUST00002459,PLN012,DEV0002498,West,SITE00003,4G LTE,7.95,True,2026-04
CALL0000000041,SUB00003092,CELL000232,2026-04-03 11:02:00,11.0,MO,Dropped,True,switch,2026-04-03,CUST00001720,PLN006,DEV0001092,Northeast,SITE00054,4G LTE,0.18333333333333332,True,2026-04
CALL0000000048,SUB00003888,CELL000217,2026-05-08 03:50:00,110.0,MT,Dropped,False,switch,2026-05-08,CUST00002541,PLN012,DEV0000769,Northeast,SITE00051,4G LTE,1.8333333333333333,True,2026-05
CALL0000000066,SUB00002730,CELL000082,2026-04-22 04:17:00,117.0,MO,Dropped,False,switch,2026-04-22,CUST00000737,PLN010,DEV0000882,West,SITE00019,5G NR,1.95,True,2026-04
CALL0000000070,SUB00000652,CELL000218,2026-04-26 01:49:00,358.0,MO,Dropped,True,switch,2026-04-26,CUST00001954,PLN013,DEV0000658,Midwest,SITE00051,4G LTE,5.966666666666667,True,2026-04
CALL0000000082,SUB00004970,CELL000032,2026-05-25 18:38:00,174.0,MT,Dropped,False,switch,2026-05-25,CUST00000110,PLN019,DEV0001073,Midwest,SITE00007,4G LTE,2.9,True,2026-05
CALL0000000086,SUB00000834,CELL000090,2026-05-12 14:17:00,72.0,MO,Dropped,False,switch,2026-05-12,CUST00001164,PLN009,DEV0000386,West,SITE00020,4G LTE,1.2,True,2026-05
CALL0000000089,SUB00003940,CELL000125,2026-04-22 20:09:00,71.0,MT,Dropped,False,switch,2026-04-22,CUST00000115,PLN004,DEV0001490,Southeast,SITE00030,5G NR,1.1833333333333333,True,2026-04
CALL0000000101,SUB00004014,CELL000004,2026-05-15 22:31:00,280.0,MO,Dropped,False,switch,2026-05-15,CUST00000106,PLN010,DEV0001474,Southwest,SITE00001,5G NR,4.666666666666667,True,2026-05
CALL0000000105,SUB00002915,CELL000194,2026-05-04 23:27:00,217.0,MO,Dropped,False,switch,2026-05-04,CUST00002692,PLN005,DEV0000112,Southwest,SITE00046,5G NR,3.6166666666666667,True,2026-05
CALL0000000118,SUB00001488,CELL000171,2026-04-25 17:36:00,55.0,MT,Dropped,False,switch,2026-04-25,CUST00000564,PLN004,DEV0001285,Southeast,SITE00040,5G NR,0.9166666666666666,True,2026-04
CALL0000000122,SUB00003468,CELL000021,2026-05-15 01:07:00,328.0,MO,Dropped,False,switch,2026-05-15,CUST00000155,PLN019,DEV0002152,Southwest,SITE00005,4G LTE,5.466666666666667,True,2026-05
CALL0000000136,SUB00002375,CELL000035,2026-04-04 20:42:00,75.0,MT,Dropped,True,switch,2026-04-04,CUST00002515,PLN001,DEV0001351,Northeast,SITE00007,5G NR,1.25,True,2026-04
CALL0000000140,SUB00004451,CELL000236,2026-05-03 05:29:00,133.0,MO,Dropped,False,switch,2026-05-03,CUST00000174,PLN011,DEV0001238,Southwest,SITE00055,5G NR,2.216666666666667,True,2026-05
CALL0000000177,SUB00002160,CELL000142,2026-05-08 03:36:00,480.0,MT,Dropped,False,switch,2026-05-08,CUST00000880,PLN017,DEV0002016,Northeast,SITE00034,4G LTE,8.0,True,2026-05
CALL0000000184,SUB00004683,CELL000170,2026-05-30 00:32:00,121.0,MO,Dropped,True,switch,2026-05-30,CUST00001903,PLN019,DEV0002458,Midwest,SITE00040,4G LTE,2.0166666666666666,True,2026-05
CALL0000000193,SUB00003024,CELL000222,2026-05-03 07:50:00,284.0,MT,Dropped,False,switch,2026-05-03,CUST00003564,PLN011,DEV0000257,West,SITE00052,4G LTE,4.733333333333333,True,2026-05
CALL0000000194,SUB00004663,CELL000143,2026-04-08 16:21:00,334.0,MT,Dropped,True,switch,2026-04-08,CUST00003537,PLN013,DEV0000883,Southeast,SITE00034,5G NR,5.566666666666666,True,2026-04
CALL0000000217,SUB00000154,CELL000230,2026-05-04 03:55:00,616.0,MO,Dropped,False,switch,2026-05-04,CUST00000499,PLN017,DEV0001731,Southwest,SITE00054,5G NR,10.266666666666667,True,2026-05
CALL0000000228,SUB00002566,CELL000044,2026-05-14 16:26:00,87.0,MO,Dropped,False,switch,2026-05-14,CUST00001629,PLN019,DEV0001649,Southwest,SITE00009,4G LTE,1.45,True,2026-05
CALL0000000242,SUB00002178,CELL000238,2026-05-09 23:06:00,127.0,MT,Dropped,True,switch,2026-05-09,CUST00001236,PLN019,DEV0001932,Midwest,SITE00056,5G NR,2.1166666666666667,True,2026-05
CALL0000000245,SUB00001576,CELL000231,2026-05-15 08:39:00,124.0,MO,Dropped,False,switch,2026-05-15,CUST00000125,PLN015,DEV0002057,Northeast,SITE00054,5G NR,2.066666666666667,True,2026-05
CALL0000000259,SUB00001383,CELL000110,2026-05-20 06:13:00,155.0,MT,Dropped,False,switch,2026-05-20,CUST00001263,PLN014,DEV0000999,Southwest,SITE00026,5G NR,2.5833333333333335,True,2026-05
CALL0000000262,SUB00000429,CELL000075,2026-05-10 22:57:00,98.0,MT,Dropped,False,switch,2026-05-10,CUST00002736,PLN019,DEV0002481,Northeast,SITE00017,5G NR,1.6333333333333333,True,2026-05
CALL0000000263,SUB00004978,CELL000130,2026-04-09 18:36:00,443.0,MO,Dropped,True,switch,2026-04-09,CUST00002628,PLN020,DEV0001859,Southeast,SITE00031,4G LTE,7.383333333333334,True,2026-04
CALL0000000269,SUB00003647,CELL000002,2026-04-26 09:59:00,47.0,MO,Dropped,False,switch,2026-04-26,CUST00004038,PLN005,DEV0002228,West,SITE00001,5G NR,0.7833333333333333,True,2026-04
CALL0000000271,SUB00002841,CELL000051,2026-04-14 11:01:00,596.0,MO,Dropped,False,switch,2026-04-14,CUST00002248,PLN014,DEV0001814,Southeast,SITE00011,5G NR,9.933333333333334,True,2026-04
CALL0000000297,SUB00004160,CELL000117,2026-04-03 13:37:00,80.0,MO,Dropped,False,switch,2026-04-03,CUST00002919,PLN011,DEV0002256,Northeast,SITE00027,4G LTE,1.3333333333333333,True,2026-04
CALL0000000299,SUB00001473,CELL000121,2026-04-03 10:48:00,70.0,MO,Dropped,False,switch,2026-04-03,CUST00004310,PLN009,DEV0000217,Southeast,SITE00028,4G LTE,1.1666666666666667,True,2026-04
CALL0000000314,SUB00002145,CELL000098,2026-05-27 09:54:00,607.0,MT,Dropped,False,switch,2026-05-27,CUST00003554,PLN017,DEV0000608,Midwest,SITE00023,5G NR,10.116666666666667,True,2026-05
CALL0000000323,SUB00003948,CELL000057,2026-04-25 12:51:00,41.0,MT,Dropped,False,switch,2026-04-25,CUST00001868,PLN019,DEV0000905,Southeast,SITE00012,5G NR,0.6833333333333333,True,2026-04
CALL0000000326,SUB00004197,CELL000196,2026-04-10 10:03:00,48.0,MT,Dropped,False,switch,2026-04-10,CUST00001363,PLN006,DEV0000601,Midwest,SITE00046,4G LTE,0.8,True,2026-04
CALL0000000327,SUB00002533,CELL000029,2026-05-13 19:53:00,748.0,MT,Dropped,False,switch,2026-05-13,CUST00003610,PLN019,DEV0000648,West,SITE00006,4G LTE,12.466666666666667,True,2026-05
CALL0000000330,SUB00004736,CELL000156,2026-04-15 00:59:00,105.0,MT,Dropped,False,switch,2026-04-15,CUST00001280,PLN012,DEV0002186,Southeast,SITE00037,4G LTE,1.75,True,2026-04
