session_id,subscriber_id,cell_id,session_start_ts,session_end_ts,data_mb,avg_downlink_mbps,avg_uplink_mbps,latency_ms,packet_loss_pct,roaming_flag,source_system,session_date,customer_id,plan_id,device_id,home_region,site_id,technology,data_gb,poor_qoe_flag
DATA0000000001,SUB00003793,CELL000014,2026-05-31 21:54:07,2026-06-01 00:10:07,584.884,96.308,35.04,57.265,0.7854,False,pgw,2026-05-31,CUST00004205,PLN010,DEV0002455,Southeast,SITE00003,4G LTE,0.57117578125,False
DATA0000000002,SUB00001422,CELL000122,2026-05-11 05:19:16,2026-05-11 06:50:16,134.873,120.28,12.349,35.885,0.7285,False,pgw,2026-05-11,CUST00004299,PLN012,DEV0001211,Northeast,SITE00029,5G NR,0.1317119140625,False
DATA0000000003,SUB00002829,CELL000206,2026-04-09 19:02:47,2026-04-09 21:00:47,1999.832,103.88,24.253,28.883,0.725,False,pgw,2026-04-09,CUST00002360,PLN009,DEV0000873,Northeast,SITE00048,4G LTE,1.9529609375,False
DATA0000000004,SUB00000172,CELL000044,2026-05-10 11:35:26,2026-05-10 11:46:26,282.445,50.977,40.993,31.145,1.7124,False,pgw,2026-05-10,CUST00000488,PLN014,DEV0000407,Midwest,SITE00009,4G LTE,0.2758251953125,False
DATA0000000005,SUB00004644,CELL000116,2026-05-20 01:46:00,2026-05-20 04:15:00,120.345,100.084,0.1,15.587,1.3296,False,pgw,2026-05-20,CUST00000061,PLN014,DEV0001761,Southwest,SITE00027,5G NR,0.1175244140625,False
DATA0000000006,SUB00003497,CELL000162,2026-05-20 07:20:00,2026-05-20 08:10:00,633.09,72.218,30.106,46.281,1.2807,True,pgw,2026-05-20,CUST00002568,PLN017,DEV0000564,Northeast,SITE00038,4G LTE,0.618251953125,False
DATA0000000007,SUB00004110,CELL000133,2026-05-17 11:52:07,2026-05-17 14:26:07,623.905,94.996,12.035,6.649,0.0,False,pgw,2026-05-17,CUST00000809,PLN008,DEV0000543,Midwest,SITE00031,4G LTE,0.6092822265625,False
DATA0000000008,SUB00004599,CELL000230,2026-04-17 13:46:24,2026-04-17 16:07:24,2183.784,69.355,26.369,56.244,1.8958,False,pgw,2026-04-17,CUST00003015,PLN015,DEV0002342,Midwest,SITE00054,5G NR,2.1326015625,False
DATA0000000009,SUB00002391,CELL000086,2026-05-23 12:46:06,2026-05-23 12:59:06,544.516,165.37,11.866,27.974,1.3369,False,pgw,2026-05-23,CUST00003520,PLN014,DEV0001295,West,SITE00020,4G LTE,0.53175390625,False
DATA0000000010,SUB00002172,CELL000227,2026-05-31 04:24:23,2026-05-31 06:23:23,352.801,117.659,29.731,47.194,1.7818,False,pgw,2026-05-31,CUST00000137,PLN019,DEV0001044,Southeast,SITE00053,4G LTE,0.3445322265625,False
DATA0000000011,SUB00000242,CELL000141,2026-04-11 04:45:02,2026-04-11 06:30:02,116.334,175.801,13.561,14.395,1.5288,True,pgw,2026-04-11,CUST00003714,PLN016,DEV0000245,Midwest,SITE00033,5G NR,0.113607421875,False
DATA0000000012,SUB00002874,CELL000254,2026-05-07 13:29:17,2026-05-07 15:15:17,3.848,38.889,38.865,38.594,1.2928,False,pgw,2026-05-07,CUST00000669,PLN017,DEV0001614,West,SITE00060,4G LTE,0.0037578125,False
DATA0000000013,SUB00000734,CELL000069,2026-05-23 23:26:35,2026-05-23 23:36:35,664.512,139.329,30.392,30.788,0.0575,False,pgw,2026-05-23,CUST00002379,PLN007,DEV0001042,Midwest,SITE00016,5G NR,0.6489375,False
DATA0000000014,SUB00002309,CELL000033,2026-04-03 13:28:12,2026-04-03 15:28:12,6.113,99.498,49.291,35.984,0.6701,True,pgw,2026-04-03,CUST00001583,PLN004,DEV0002065,Northeast,SITE00007,5G NR,0.0059697265625,False
DATA0000000015,SUB00004918,CELL000185,2026-04-21 11:55:14,2026-04-21 13:16:14,1045.156,104.294,35.387,33.702,0.1879,False,pgw,2026-04-21,CUST00002235,PLN016,DEV0000648,Southwest,SITE00043,4G LTE,1.02066015625,False
DATA0000000016,SUB00000013,CELL000030,2026-04-12 05:57:46,2026-04-12 07:29:46,497.031,64.832,8.499,71.554,0.5169,False,pgw,2026-04-12,CUST00001105,PLN010,DEV0001540,Southwest,SITE00007,4G LTE,0.4853818359375,False
