sms_id,subscriber_id,cell_id,sms_ts,direction,delivery_status,roaming_flag,sms_date,customer_id,plan_id,failed_sms_flag
SMS0000000001,SUB00003751,CELL000100,2026-05-03 00:04:33,MT,Expired,False,2026-05-03,CUST00004173,PLN005,True
SMS0000000002,SUB00002912,CELL000211,2026-04-21 15:05:09,MT,Expired,False,2026-04-21,CUST00000332,PLN018,True
SMS0000000003,SUB00004206,CELL000145,2026-04-13 12:01:51,MT,Failed,False,2026-04-13,CUST00001212,PLN017,True
SMS0000000004,SUB00000342,CELL000251,2026-05-20 14:51:29,MT,Delivered,False,2026-05-20,CUST00002699,PLN006,False
SMS0000000005,SUB00002633,CELL000077,2026-04-25 04:28:20,MO,Delivered,False,2026-04-25,CUST00000876,PLN005,False
SMS0000000006,SUB00001825,CELL000052,2026-04-27 08:22:41,MO,Delivered,False,2026-04-27,CUST00002855,PLN005,False
SMS0000000007,SUB00002619,CELL000088,2026-05-25 03:46:40,MO,Expired,False,2026-05-25,CUST00003550,PLN011,True
SMS0000000008,SUB00003097,CELL000027,2026-04-15 09:48:37,MO,Expired,False,2026-04-15,CUST00002211,PLN009,True
SMS0000000009,SUB00003349,CELL000229,2026-04-10 10:57:03,MO,Expired,False,2026-04-10,CUST00001646,PLN001,True
SMS0000000010,SUB00004573,CELL000060,2026-04-11 23:38:46,MO,Failed,True,2026-04-11,CUST00003604,PLN004,True
SMS0000000011,SUB00001560,CELL000104,2026-04-19 02:24:17,MT,Expired,False,2026-04-19,CUST00003566,PLN007,True
SMS0000000012,SUB00001770,CELL000059,2026-04-15 15:19:56,MT,Delivered,False,2026-04-15,CUST00000832,PLN011,False
SMS0000000013,SUB00002655,CELL000228,2026-04-20 21:33:52,MT,Delivered,True,2026-04-20,CUST00001180,PLN004,False
SMS0000000014,SUB00004649,CELL000007,2026-04-27 01:19:44,MT,Delivered,False,2026-04-27,CUST00003942,PLN004,False
SMS0000000015,SUB00002494,CELL000244,2026-04-20 05:25:05,MO,Expired,True,2026-04-20,CUST00003349,PLN016,True
SMS0000000016,SUB00002368,CELL000030,2026-04-17 23:04:39,MO,Delivered,False,2026-04-17,CUST00003779,PLN005,False
SMS0000000017,SUB00002702,CELL000013,2026-04-16 19:14:06,MO,Delivered,False,2026-04-16,CUST00001883,PLN019,False
SMS0000000018,SUB00001016,CELL000040,2026-05-17 21:20:29,MT,Failed,False,2026-05-17,CUST00003060,PLN018,True
SMS0000000019,SUB00002017,CELL000021,2026-05-03 14:54:28,MO,Delivered,True,2026-05-03,CUST00003102,PLN011,False
SMS0000000020,SUB00001208,CELL000009,2026-04-13 20:01:39,MO,Delivered,False,2026-04-13,CUST00003863,PLN015,False
SMS0000000021,SUB00003518,CELL000071,2026-04-09 18:51:16,MT,Delivered,False,2026-04-09,CUST00003337,PLN014,False
SMS0000000022,SUB00003569,CELL000028,2026-05-20 06:49:36,MT,Delivered,True,2026-05-20,CUST00003597,PLN017,False
SMS0000000023,SUB00003717,CELL000053,2026-04-04 19:16:43,MO,Expired,False,2026-04-04,CUST00001870,PLN018,True
SMS0000000024,SUB00003476,CELL000030,2026-04-11 07:50:33,MT,Delivered,False,2026-04-11,CUST00002204,PLN015,False
SMS0000000025,SUB00000696,CELL000251,2026-04-30 04:57:52,MO,Delivered,False,2026-04-30,CUST00003959,PLN007,False
SMS0000000026,SUB00004901,CELL000223,2026-04-20 18:47:20,MO,Delivered,False,2026-04-20,CUST00004011,PLN012,False
SMS0000000027,SUB00001880,CELL000174,2026-04-29 22:14:31,MT,Delivered,True,2026-04-29,CUST00004122,PLN007,False
SMS0000000028,SUB00003890,CELL000083,2026-05-24 23:23:00,MT,Delivered,False,2026-05-24,CUST00003083,PLN015,False
SMS0000000029,SUB00001704,CELL000025,2026-05-28 21:42:08,MT,Delivered,False,2026-05-28,CUST00000947,PLN014,False
SMS0000000030,SUB00002046,CELL000221,2026-04-13 02:51:36,MO,Failed,False,2026-04-13,CUST00003191,PLN001,True
SMS0000000031,SUB00004648,CELL000042,2026-05-24 20:14:58,MO,Delivered,False,2026-05-24,CUST00001952,PLN006,False
SMS0000000032,SUB00004456,CELL000220,2026-05-22 14:38:02,MT,Delivered,False,2026-05-22,CUST00004417,PLN017,False
SMS0000000033,SUB00002435,CELL000186,2026-05-12 21:29:34,MT,Delivered,False,2026-05-12,CUST00001710,PLN010,False
SMS0000000034,SUB00004746,CELL000123,2026-04-28 15:05:44,MT,Delivered,False,2026-04-28,CUST00002494,PLN007,False
SMS0000000035,SUB00002174,CELL000129,2026-05-12 17:13:51,MO,Failed,False,2026-05-12,CUST00004140,PLN011,True
SMS0000000036,SUB00001662,CELL000072,2026-04-28 07:25:22,MO,Expired,False,2026-04-28,CUST00002348,PLN007,True
SMS0000000037,SUB00002359,CELL000234,2026-04-27 07:06:08,MT,Expired,False,2026-04-27,CUST00001387,PLN001,True
SMS0000000038,SUB00004056,CELL000196,2026-05-17 11:12:19,MT,Expired,True,2026-05-17,CUST00004092,PLN019,True
SMS0000000039,SUB00000545,CELL000144,2026-04-18 09:45:47,MT,Failed,True,2026-04-18,CUST00000066,PLN012,True
SMS0000000040,SUB00003229,CELL000186,2026-04-19 05:58:44,MO,Expired,False,2026-04-19,CUST00001555,PLN019,True
SMS0000000041,SUB00000534,CELL000223,2026-04-07 19:10:26,MO,Delivered,True,2026-04-07,CUST00002858,PLN012,False
SMS0000000042,SUB00000347,CELL000219,2026-05-06 04:13:43,MO,Expired,True,2026-05-06,CUST00000845,PLN011,True
SMS0000000043,SUB00001146,CELL000057,2026-04-13 02:30:34,MT,Expired,False,2026-04-13,CUST00002751,PLN019,True
SMS0000000044,SUB00001000,CELL000183,2026-05-01 22:51:18,MO,Delivered,False,2026-05-01,CUST00001786,PLN002,False
SMS0000000045,SUB00004396,CELL000158,2026-05-31 15:17:48,MO,Delivered,False,2026-05-31,CUST00002781,PLN014,False
SMS0000000046,SUB00004354,CELL000140,2026-05-27 09:07:19,MT,Delivered,False,2026-05-27,CUST00003873,PLN006,False
SMS0000000047,SUB00003322,CELL000106,2026-05-08 19:12:26,MO,Delivered,False,2026-05-08,CUST00004035,PLN004,False
SMS0000000048,SUB00001972,CELL000236,2026-04-10 12:27:17,MT,Delivered,False,2026-04-10,CUST00000317,PLN001,False
SMS0000000049,SUB00000876,CELL000027,2026-04-23 10:36:23,MT,Failed,False,2026-04-23,CUST00003107,PLN005,True
SMS0000000050,SUB00001999,CELL000005,2026-04-20 00:16:32,MT,Expired,False,2026-04-20,CUST00002285,PLN019,True
SMS0000000051,SUB00000943,CELL000085,2026-05-10 07:52:06,MT,Delivered,False,2026-05-10,CUST00002465,PLN011,False
SMS0000000052,SUB00004565,CELL000161,2026-04-27 15:38:40,MT,Delivered,False,2026-04-27,CUST00002308,PLN018,False
SMS0000000053,SUB00003517,CELL000160,2026-04-19 05:08:35,MT,Expired,True,2026-04-19,CUST00003679,PLN010,True
SMS0000000054,SUB00003762,CELL000109,2026-05-05 12:02:17,MT,Delivered,True,2026-05-05,CUST00001510,PLN007,False
SMS0000000055,SUB00002237,CELL000171,2026-05-22 21:05:12,MO,Failed,False,2026-05-22,CUST00004303,PLN004,True
SMS0000000056,SUB00004002,CELL000044,2026-05-12 17:56:32,MO,Failed,True,2026-05-12,CUST00001269,PLN005,True
SMS0000000057,SUB00003878,CELL000118,2026-04-26 17:53:20,MT,Delivered,False,2026-04-26,CUST00001713,PLN017,False
SMS0000000058,SUB00001710,CELL000139,2026-04-30 15:25:45,MT,Delivered,True,2026-04-30,CUST00001815,PLN016,False
SMS0000000059,SUB00003358,CELL000195,2026-04-10 23:23:08,MT,Expired,False,2026-04-10,CUST00000656,PLN010,True
SMS0000000060,SUB00003411,CELL000004,2026-05-05 11:02:31,MT,Expired,False,2026-05-05,CUST00001340,PLN001,True
SMS0000000061,SUB00001340,CELL000149,2026-05-29 23:06:16,MT,Delivered,False,2026-05-29,CUST00003749,PLN020,False
SMS0000000062,SUB00001334,CELL000226,2026-05-06 09:51:25,MT,Expired,False,2026-05-06,CUST00000951,PLN019,True
SMS0000000063,SUB00004987,CELL000112,2026-04-02 10:52:12,MO,Delivered,False,2026-04-02,CUST00002839,PLN009,False
SMS0000000064,SUB00001396,CELL000170,2026-05-02 09:28:48,MT,Failed,True,2026-05-02,CUST00002586,PLN020,True
SMS0000000065,SUB00000147,CELL000132,2026-05-17 23:20:08,MT,Expired,False,2026-05-17,CUST00003748,PLN006,True
SMS0000000066,SUB00003218,CELL000141,2026-04-21 05:06:04,MT,Expired,False,2026-04-21,CUST00002621,PLN016,True
SMS0000000067,SUB00001076,CELL000070,2026-04-02 15:08:23,MO,Expired,False,2026-04-02,CUST00001657,PLN005,True
SMS0000000068,SUB00002981,CELL000192,2026-05-01 04:01:39,MT,Delivered,True,2026-05-01,CUST00000428,PLN017,False
SMS0000000069,SUB00003093,CELL000093,2026-04-22 14:11:53,MT,Expired,False,2026-04-22,CUST00002027,PLN013,True
SMS0000000070,SUB00003936,CELL000020,2026-05-12 07:28:21,MO,Expired,False,2026-05-12,CUST00000616,PLN006,True
SMS0000000071,SUB00000050,CELL000064,2026-04-06 09:56:35,MT,Delivered,False,2026-04-06,CUST00001528,PLN011,False
SMS0000000072,SUB00004356,CELL000216,2026-04-10 09:05:22,MO,Delivered,False,2026-04-10,CUST00000401,PLN007,False
SMS0000000073,SUB00004573,CELL000255,2026-05-13 10:56:42,MO,Failed,True,2026-05-13,CUST00003604,PLN004,True
SMS0000000074,SUB00000642,CELL000170,2026-05-09 06:37:20,MT,Failed,False,2026-05-09,CUST00002771,PLN020,True
SMS0000000075,SUB00002132,CELL000005,2026-05-22 10:32:58,MO,Expired,True,2026-05-22,CUST00003508,PLN019,True
SMS0000000076,SUB00003845,CELL000089,2026-04-25 05:00:01,MT,Failed,False,2026-04-25,CUST00001755,PLN008,True
SMS0000000077,SUB00001280,CELL000164,2026-04-15 02:47:24,MT,Delivered,False,2026-04-15,CUST00001463,PLN019,False
SMS0000000078,SUB00000930,CELL000203,2026-04-08 22:08:09,MO,Delivered,False,2026-04-08,CUST00000459,PLN009,False
SMS0000000079,SUB00001558,CELL000172,2026-04-03 05:51:55,MT,Expired,True,2026-04-03,CUST00002852,PLN012,True
SMS0000000080,SUB00004449,CELL000216,2026-05-11 13:30:14,MO,Expired,False,2026-05-11,CUST00000583,PLN010,True
SMS0000000081,SUB00004405,CELL000121,2026-04-11 12:10:32,MT,Expired,True,2026-04-11,CUST00000948,PLN005,True
SMS0000000082,SUB00002758,CELL000166,2026-05-31 18:32:26,MT,Delivered,False,2026-05-31,CUST00003783,PLN004,False
SMS0000000083,SUB00000197,CELL000162,2026-05-20 04:20:34,MT,Expired,False,2026-05-20,CUST00003042,PLN002,True
SMS0000000084,SUB00004819,CELL000196,2026-05-19 06:01:25,MO,Expired,False,2026-05-19,CUST00002574,PLN003,True
SMS0000000085,SUB00000007,CELL000143,2026-04-11 15:19:07,MT,Delivered,False,2026-04-11,CUST00003662,PLN013,False
SMS0000000086,SUB00004186,CELL000019,2026-04-26 12:33:37,MT,Expired,False,2026-04-26,CUST00000449,PLN011,True
SMS0000000087,SUB00002774,CELL000225,2026-04-10 07:57:27,MO,Failed,True,2026-04-10,CUST00001382,PLN010,True
SMS0000000088,SUB00002240,CELL000152,2026-05-13 14:22:43,MO,Expired,False,2026-05-13,CUST00002212,PLN017,True
SMS0000000089,SUB00002199,CELL000099,2026-04-28 00:30:27,MT,Expired,False,2026-04-28,CUST00004479,PLN017,True
SMS0000000090,SUB00003300,CELL000112,2026-05-03 19:17:02,MT,Failed,False,2026-05-03,CUST00001666,PLN008,True
SMS0000000091,SUB00002240,CELL000081,2026-04-14 23:53:18,MT,Delivered,False,2026-04-14,CUST00002212,PLN017,False
SMS0000000092,SUB00002844,CELL000195,2026-04-26 22:00:14,MT,Expired,True,2026-04-26,CUST00003561,PLN020,True
SMS0000000093,SUB00003564,CELL000065,2026-04-02 08:04:50,MO,Delivered,False,2026-04-02,CUST00001890,PLN015,False
SMS0000000094,SUB00001141,CELL000005,2026-04-20 09:44:40,MT,Failed,True,2026-04-20,CUST00001591,PLN012,True
SMS0000000095,SUB00002855,CELL000202,2026-05-08 07:38:13,MT,Failed,False,2026-05-08,CUST00000569,PLN009,True
SMS0000000096,SUB00000809,CELL000204,2026-04-15 14:11:49,MT,Delivered,False,2026-04-15,CUST00002744,PLN019,False
SMS0000000097,SUB00001614,CELL000071,2026-04-06 23:06:21,MT,Delivered,False,2026-04-06,CUST00002737,PLN004,False
SMS0000000098,SUB00003223,CELL000080,2026-05-02 07:44:24,MO,Delivered,False,2026-05-02,CUST00003540,PLN020,False
SMS0000000099,SUB00001617,CELL000207,2026-04-14 19:14:53,MT,Expired,False,2026-04-14,CUST00000417,PLN016,True
SMS0000000100,SUB00004695,CELL000234,2026-05-29 22:54:35,MO,Failed,False,2026-05-29,CUST00002531,PLN017,True
SMS0000000101,SUB00000614,CELL000159,2026-04-01 03:53:50,MT,Failed,False,2026-04-01,CUST00002136,PLN013,True
SMS0000000102,SUB00003315,CELL000237,2026-04-14 08:11:24,MT,Expired,False,2026-04-14,CUST00001986,PLN012,True
SMS0000000103,SUB00000354,CELL000068,2026-05-31 03:45:09,MO,Delivered,True,2026-05-31,CUST00001635,PLN003,False
SMS0000000104,SUB00001324,CELL000084,2026-04-21 14:15:00,MO,Delivered,False,2026-04-21,CUST00003557,PLN009,False
SMS0000000105,SUB00000653,CELL000132,2026-05-14 01:43:03,MT,Delivered,True,2026-05-14,CUST00001828,PLN014,False
SMS0000000106,SUB00002791,CELL000218,2026-05-31 09:06:03,MT,Expired,False,2026-05-31,CUST00003218,PLN001,True
SMS0000000107,SUB00001020,CELL000154,2026-04-23 16:30:37,MT,Failed,False,2026-04-23,CUST00003196,PLN019,True
SMS0000000108,SUB00003771,CELL000236,2026-05-11 05:24:31,MT,Expired,False,2026-05-11,CUST00000720,PLN018,True
SMS0000000109,SUB00000728,CELL000170,2026-05-23 21:11:39,MT,Delivered,False,2026-05-23,CUST00001850,PLN002,False
SMS0000000110,SUB00002682,CELL000016,2026-04-25 00:23:01,MO,Delivered,False,2026-04-25,CUST00002560,PLN014,False
SMS0000000111,SUB00002141,CELL000157,2026-05-02 15:03:01,MT,Failed,True,2026-05-02,CUST00002138,PLN006,True
SMS0000000112,SUB00001093,CELL000175,2026-04-25 01:54:49,MO,Delivered,False,2026-04-25,CUST00000323,PLN014,False
SMS0000000113,SUB00002492,CELL000056,2026-04-08 17:44:54,MO,Failed,True,2026-04-08,CUST00001563,PLN002,True
SMS0000000114,SUB00004770,CELL000239,2026-04-17 14:53:54,MT,Expired,False,2026-04-17,CUST00003846,PLN005,True
SMS0000000115,SUB00004050,CELL000070,2026-04-26 22:15:34,MT,Expired,False,2026-04-26,CUST00002350,PLN015,True
SMS0000000116,SUB00003889,CELL000030,2026-05-30 18:44:38,MT,Expired,False,2026-05-30,CUST00003797,PLN018,True
SMS0000000117,SUB00003186,CELL000216,2026-04-18 14:32:47,MO,Failed,False,2026-04-18,CUST00003488,PLN016,True
SMS0000000118,SUB00003040,CELL000071,2026-04-16 21:18:54,MT,Failed,False,2026-04-16,CUST00001745,PLN007,True
SMS0000000119,SUB00003489,CELL000054,2026-05-06 00:32:31,MT,Failed,True,2026-05-06,CUST00002008,PLN009,True
