call_id,subscriber_id,cell_id,call_start_ts,duration_seconds,call_direction,call_status,roaming_flag,source_system,call_date,customer_id,plan_id,device_id,home_region,site_id,technology,duration_minutes,dropped_call_flag
CALL0000000001,SUB00001402,CELL000190,2026-04-15 23:58:00,335.0,MO,Completed,True,switch,2026-04-15,CUST00001335,PLN015,DEV0000239,Midwest,SITE00045,4G LTE,5.583333333333333,False
CALL0000000004,SUB00003217,CELL000058,2026-05-24 15:56:00,87.0,MO,Dropped,False,switch,2026-05-24,CUST00000318,PLN015,DEV0001935,West,SITE00013,5G NR,1.45,True
CALL0000000005,SUB00004303,CELL000150,2026-04-20 07:08:00,291.0,MO,Completed,False,switch,2026-04-20,CUST00003722,PLN018,DEV0001209,Southwest,SITE00035,4G LTE,4.85,False
CALL0000000007,SUB00004390,CELL000254,2026-05-21 05:50:00,37.0,MO,Completed,False,switch,2026-05-21,CUST00002318,PLN019,DEV0000536,Southeast,SITE00060,4G LTE,0.6166666666666667,False
CALL0000000008,SUB00001029,CELL000091,2026-04-02 18:34:00,121.0,MT,Completed,False,switch,2026-04-02,CUST00002958,PLN008,DEV0001794,Southwest,SITE00021,5G NR,2.0166666666666666,False
CALL0000000010,SUB00004021,CELL000089,2026-05-06 12:02:00,22.0,MO,Dropped,False,switch,2026-05-06,CUST00003447,PLN004,DEV0001574,Midwest,SITE00020,5G NR,0.36666666666666664,True
CALL0000000011,SUB00001112,CELL000152,2026-04-05 02:58:00,113.0,MT,Completed,False,switch,2026-04-05,CUST00002012,PLN001,DEV0001930,Southwest,SITE00036,5G NR,1.8833333333333333,False
CALL0000000012,SUB00000040,CELL000185,2026-05-30 22:14:00,178.0,MO,Completed,False,switch,2026-05-30,CUST00000709,PLN016,DEV0001825,Midwest,SITE00043,4G LTE,2.966666666666667,False
CALL0000000013,SUB00003721,CELL000123,2026-04-22 10:04:00,312.0,MT,Failed,False,switch,2026-04-22,CUST00004226,PLN013,DEV0001264,Southeast,SITE00029,5G NR,5.2,False
CALL0000000014,SUB00004796,CELL000043,2026-04-09 09:10:00,571.0,MT,Dropped,False,switch,2026-04-09,CUST00003828,PLN004,DEV0001762,Northeast,SITE00009,5G NR,9.516666666666667,True
CALL0000000016,SUB00000162,CELL000100,2026-04-12 20:05:00,530.0,MO,Completed,False,switch,2026-04-12,CUST00002729,PLN009,DEV0001767,Midwest,SITE00023,4G LTE,8.833333333333334,False
CALL0000000017,SUB00002631,CELL000132,2026-04-16 07:26:00,116.0,MO,Completed,False,switch,2026-04-16,CUST00001947,PLN012,DEV0001782,West,SITE00031,4G LTE,1.9333333333333333,False
CALL0000000018,SUB00002163,CELL000043,2026-05-20 02:46:00,108.0,MT,Completed,False,switch,2026-05-20,CUST00001533,PLN020,DEV0000267,Midwest,SITE00009,5G NR,1.8,False
CALL0000000019,SUB00000902,CELL000126,2026-04-29 23:17:00,52.0,MT,Completed,False,switch,2026-04-29,CUST00004319,PLN009,DEV0001435,Midwest,SITE00030,4G LTE,0.8666666666666667,False
CALL0000000020,SUB00001161,CELL000146,2026-04-12 02:46:00,56.0,MO,Completed,False,switch,2026-04-12,CUST00003164,PLN003,DEV0002426,Northeast,SITE00035,5G NR,0.9333333333333333,False
CALL0000000021,SUB00002250,CELL000210,2026-04-06 17:06:00,134.0,MT,Completed,True,switch,2026-04-06,CUST00004293,PLN007,DEV0000562,Northeast,SITE00049,4G LTE,2.2333333333333334,False
CALL0000000022,SUB00003350,CELL000095,2026-05-25 14:56:00,66.0,MO,Completed,False,switch,2026-05-25,CUST00002690,PLN009,DEV0000080,Northeast,SITE00022,4G LTE,1.1,False
CALL0000000024,SUB00000142,CELL000207,2026-05-16 22:48:00,200.0,MO,Dropped,False,switch,2026-05-16,CUST00003141,PLN009,DEV0002453,Southwest,SITE00049,5G NR,3.3333333333333335,True
CALL0000000025,SUB00001796,CELL000126,2026-04-14 12:36:00,163.0,MT,Completed,False,switch,2026-04-14,CUST00004100,PLN004,DEV0000839,Northeast,SITE00030,4G LTE,2.716666666666667,False
CALL0000000027,SUB00001066,CELL000168,2026-04-25 14:51:00,67.0,MO,Completed,False,switch,2026-04-25,CUST00004070,PLN003,DEV0000177,West,SITE00039,4G LTE,1.1166666666666667,False
CALL0000000028,SUB00000389,CELL000059,2026-05-02 16:41:00,133.0,MO,Completed,False,switch,2026-05-02,CUST00003945,PLN004,DEV0001520,Southwest,SITE00013,4G LTE,2.216666666666667,False
CALL0000000029,SUB00001973,CELL000238,2026-05-05 06:32:00,490.0,MT,Completed,False,switch,2026-05-05,CUST00003433,PLN001,DEV0000906,Southeast,SITE00056,5G NR,8.166666666666666,False
CALL0000000030,SUB00004700,CELL000151,2026-04-25 10:39:00,136.0,MO,Completed,False,switch,2026-04-25,CUST00000811,PLN015,DEV0000291,Southeast,SITE00036,4G LTE,2.2666666666666666,False
CALL0000000031,SUB00004595,CELL000219,2026-05-26 17:30:00,6.0,MT,Dropped,True,switch,2026-05-26,CUST00000543,PLN017,DEV0002071,Northeast,SITE00052,5G NR,0.1,True
CALL0000000032,SUB00002140,CELL000014,2026-04-23 09:51:00,477.0,MO,Dropped,False,switch,2026-04-23,CUST00002459,PLN012,DEV0002498,West,SITE00003,4G LTE,7.95,True
CALL0000000033,SUB00002912,CELL000113,2026-04-15 11:05:00,138.0,MO,Failed,False,switch,2026-04-15,CUST00000332,PLN018,DEV0001258,Midwest,SITE00026,5G NR,2.3,False
CALL0000000035,SUB00004785,CELL000177,2026-05-26 19:56:00,245.0,MO,Completed,False,switch,2026-05-26,CUST00003780,PLN001,DEV0002075,Southeast,SITE00042,5G NR,4.083333333333333,False
CALL0000000039,SUB00001341,CELL000148,2026-04-21 13:12:00,185.0,MT,Completed,False,switch,2026-04-21,CUST00001897,PLN004,DEV0001178,Midwest,SITE00035,4G LTE,3.0833333333333335,False
CALL0000000040,SUB00000927,CELL000080,2026-05-17 09:35:00,143.0,MO,Completed,False,switch,2026-05-17,CUST00004423,PLN013,DEV0000566,Midwest,SITE00018,5G NR,2.3833333333333333,False
CALL0000000041,SUB00003092,CELL000232,2026-04-03 11:02:00,11.0,MO,Dropped,True,switch,2026-04-03,CUST00001720,PLN006,DEV0001092,Northeast,SITE00054,4G LTE,0.18333333333333332,True
CALL0000000044,SUB00003036,CELL000197,2026-04-04 03:03:00,159.0,MO,Completed,True,switch,2026-04-04,CUST00001047,PLN011,DEV0000196,Southwest,SITE00046,4G LTE,2.65,False
CALL0000000045,SUB00003905,CELL000002,2026-04-25 12:45:00,99.0,MO,Completed,False,switch,2026-04-25,CUST00002737,PLN010,DEV0000407,Northeast,SITE00001,5G NR,1.65,False
CALL0000000048,SUB00003888,CELL000217,2026-05-08 03:50:00,110.0,MT,Dropped,False,switch,2026-05-08,CUST00002541,PLN012,DEV0000769,Northeast,SITE00051,4G LTE,1.8333333333333333,True
CALL0000000050,SUB00004308,CELL000069,2026-04-27 11:28:00,96.0,MO,Completed,False,switch,2026-04-27,CUST00001652,PLN019,DEV0002338,Southwest,SITE00016,5G NR,1.6,False
CALL0000000051,SUB00001921,CELL000217,2026-05-26 05:37:00,657.0,MO,Completed,False,switch,2026-05-26,CUST00002916,PLN017,DEV0000628,Midwest,SITE00051,4G LTE,10.95,False
CALL0000000052,SUB00000076,CELL000137,2026-05-26 12:11:00,222.0,MT,Completed,False,switch,2026-05-26,CUST00001759,PLN003,DEV0002403,Midwest,SITE00032,5G NR,3.7,False
CALL0000000053,SUB00003515,CELL000227,2026-05-31 21:48:00,41.0,MO,Completed,False,switch,2026-05-31,CUST00002796,PLN016,DEV0000987,West,SITE00053,4G LTE,0.6833333333333333,False
CALL0000000054,SUB00001627,CELL000056,2026-04-10 20:36:00,82.0,MO,Completed,False,switch,2026-04-10,CUST00000417,PLN015,DEV0001150,West,SITE00012,5G NR,1.3666666666666667,False
CALL0000000055,SUB00002256,CELL000188,2026-04-05 22:35:00,353.0,MT,Completed,False,switch,2026-04-05,CUST00001757,PLN019,DEV0001995,Southeast,SITE00044,4G LTE,5.883333333333334,False
CALL0000000057,SUB00002466,CELL000231,2026-05-08 16:03:00,108.0,MO,Completed,False,switch,2026-05-08,CUST00000291,PLN005,DEV0001769,Southeast,SITE00054,5G NR,1.8,False
CALL0000000059,SUB00000489,CELL000083,2026-04-23 13:20:00,184.0,MT,Failed,False,switch,2026-04-23,CUST00000945,PLN012,DEV0000149,Southwest,SITE00019,4G LTE,3.066666666666667,False
CALL0000000060,SUB00004824,CELL000160,2026-05-11 09:03:00,130.0,MO,Completed,False,switch,2026-05-11,CUST00003046,PLN018,DEV0001192,Northeast,SITE00037,5G NR,2.1666666666666665,False
CALL0000000062,SUB00002171,CELL000124,2026-04-23 10:56:00,55.0,MT,Completed,False,switch,2026-04-23,CUST00001904,PLN010,DEV0001613,Midwest,SITE00029,4G LTE,0.9166666666666666,False
CALL0000000063,SUB00004676,CELL000156,2026-05-16 20:36:00,41.0,MO,Failed,False,switch,2026-05-16,CUST00002629,PLN002,DEV0000499,Midwest,SITE00037,4G LTE,0.6833333333333333,False
CALL0000000064,SUB00001674,CELL000028,2026-05-24 19:20:00,506.0,MO,Completed,False,switch,2026-05-24,CUST00002640,PLN018,DEV0002153,West,SITE00006,5G NR,8.433333333333334,False
CALL0000000066,SUB00002730,CELL000082,2026-04-22 04:17:00,117.0,MO,Dropped,False,switch,2026-04-22,CUST00000737,PLN010,DEV0000882,West,SITE00019,5G NR,1.95,True
CALL0000000067,SUB00000049,CELL000095,2026-05-15 19:33:00,321.0,MO,Completed,True,switch,2026-05-15,CUST00003193,PLN010,DEV0001773,West,SITE00022,4G LTE,5.35,False
CALL0000000070,SUB00000652,CELL000218,2026-04-26 01:49:00,358.0,MO,Dropped,True,switch,2026-04-26,CUST00001954,PLN013,DEV0000658,Midwest,SITE00051,4G LTE,5.966666666666667,True
CALL0000000071,SUB00002572,CELL000202,2026-05-19 12:29:00,534.0,MT,Failed,False,switch,2026-05-19,CUST00003257,PLN010,DEV0000814,Southeast,SITE00048,4G LTE,8.9,False
CALL0000000072,SUB00000141,CELL000047,2026-05-11 00:00:00,181.0,MT,Failed,False,switch,2026-05-11,CUST00003022,PLN011,DEV0000145,Southeast,SITE00010,4G LTE,3.0166666666666666,False
