invoice_id,subscriber_id,billing_month,invoice_date,due_date,monthly_charge,usage_charge,tax_amount,other_fees,total_amount,invoice_status,amount_paid,last_payment_date,open_amount,days_past_due,past_due_flag
INV400000001,SUB00000001,2026-04-01,2026-04-28,2026-05-16,38.5,10.19,5.1,2.83,56.62,Paid,0.0,,56.62,30,True
INV500000001,SUB00000001,2026-05-01,2026-05-28,2026-06-15,130.69,34.6,17.3,9.61,192.2,Paid,0.0,,192.2,0,False
INV400000002,SUB00000002,2026-04-01,2026-04-28,2026-05-16,54.87,14.52,7.26,4.03,80.69,Paid,40.35,2026-05-16,40.339999999999996,30,True
INV500000002,SUB00000002,2026-05-01,2026-05-28,2026-06-15,92.33,24.44,12.22,6.79,135.78,Paid,0.0,,135.78,0,False
INV400000003,SUB00000003,2026-04-01,2026-04-28,2026-05-16,68.62,18.16,9.08,5.05,100.91,Past Due,0.0,,100.91,30,True
INV500000003,SUB00000003,2026-05-01,2026-05-28,2026-06-15,71.68,18.97,9.49,5.27,105.41,Paid,0.0,,105.41,0,False
INV400000004,SUB00000004,2026-04-01,2026-04-28,2026-05-16,34.99,9.26,4.63,2.57,51.45,Open,51.45,2026-05-20,0.0,30,False
INV500000004,SUB00000004,2026-05-01,2026-05-28,2026-06-15,58.21,15.41,7.7,4.28,85.6,Paid,85.6,2026-07-02,0.0,0,False
INV400000005,SUB00000005,2026-04-01,2026-04-28,2026-05-16,86.99,23.03,11.51,6.4,127.92,Paid,0.0,,127.92,30,True
INV500000005,SUB00000005,2026-05-01,2026-05-28,2026-06-15,68.98,18.26,9.13,5.07,101.44,Paid,0.0,,101.44,0,False
INV400000006,SUB00000006,2026-04-01,2026-04-28,2026-05-16,88.09,23.32,11.66,6.48,129.54,Past Due,0.0,,129.54,30,True
INV500000006,SUB00000006,2026-05-01,2026-05-28,2026-06-15,173.47,45.92,22.96,12.76,255.1,Past Due,0.0,,255.1,0,False
INV400000007,SUB00000007,2026-04-01,2026-04-28,2026-05-16,96.46,25.53,12.77,7.09,141.85,Past Due,141.85,2026-05-20,0.0,30,False
INV500000007,SUB00000007,2026-05-01,2026-05-28,2026-06-15,39.96,10.58,5.29,2.94,58.77,Open,58.77,2026-06-02,0.0,0,False
INV400000008,SUB00000008,2026-04-01,2026-04-28,2026-05-16,54.14,14.33,7.17,3.98,79.62,Open,0.0,,79.62,30,True
INV500000008,SUB00000008,2026-05-01,2026-05-28,2026-06-15,128.77,34.09,17.04,9.47,189.37,Paid,189.37,2026-06-19,0.0,0,False
INV400000009,SUB00000009,2026-04-01,2026-04-28,2026-05-16,60.91,16.12,8.06,4.48,89.57,Open,89.57,2026-05-08,0.0,30,False
INV500000009,SUB00000009,2026-05-01,2026-05-28,2026-06-15,123.33,32.65,16.32,9.07,181.37,Cancelled,181.37,2026-06-19,0.0,0,False
INV400000010,SUB00000010,2026-04-01,2026-04-28,2026-05-16,155.94,41.28,20.64,11.47,229.33,Cancelled,0.0,,229.33,30,True
INV500000010,SUB00000010,2026-05-01,2026-05-28,2026-06-15,115.05,30.45,15.23,8.46,169.18,Paid,169.18,2026-06-07,0.0,0,False
INV400000011,SUB00000011,2026-04-01,2026-04-28,2026-05-16,114.6,30.34,15.17,8.43,168.53,Paid,168.53,2026-06-02,0.0,30,False
INV500000011,SUB00000011,2026-05-01,2026-05-28,2026-06-15,60.21,15.94,7.97,4.43,88.55,Cancelled,44.27,2026-06-07,44.279999999999994,0,False
INV400000012,SUB00000012,2026-04-01,2026-04-28,2026-05-16,71.73,18.99,9.49,5.27,105.49,Open,0.0,,105.49,30,True
INV500000012,SUB00000012,2026-05-01,2026-05-28,2026-06-15,41.33,10.94,5.47,3.04,60.79,Open,60.79,2026-07-02,0.0,0,False
INV400000013,SUB00000013,2026-04-01,2026-04-28,2026-05-16,130.05,34.43,17.21,9.56,191.25,Open,0.0,,191.25,30,True
INV500000013,SUB00000013,2026-05-01,2026-05-28,2026-06-15,132.24,35.0,17.5,9.72,194.47,Open,0.0,,194.47,0,False
INV400000014,SUB00000014,2026-04-01,2026-04-28,2026-05-16,56.38,14.92,7.46,4.15,82.91,Cancelled,62.19,2026-05-20,20.72,30,True
