cell_id,site_id,technology,avg_users,avg_throughput_mbps,avg_prb_utilization_pct,avg_drop_call_rate_pct,avg_availability_pct,high_util_hours,high_drop_hours,actual_calls,actual_dropped_calls,data_gb,poor_qoe_sessions,actual_drop_rate
CELL000197,SITE00046,4G LTE,179.56317204301075,417.54151478494623,59.60743951612903,1.2853446236559138,99.28968911290322,102,26,51,11,88.293951171875,8,0.21568627450980393
CELL000051,SITE00011,5G NR,181.33198924731184,418.99098387096774,58.43960215053763,1.2007575268817205,99.1601314516129,101,20,49,9,96.5779541015625,5,0.1836734693877551
CELL000211,SITE00050,4G LTE,176.89247311827958,416.6222607526882,59.20552553763441,1.2574264784946236,99.41750739247311,100,29,51,11,104.3727080078125,14,0.21568627450980393
CELL000137,SITE00032,5G NR,181.15322580645162,427.8618924731183,59.16162768817204,1.1905581989247311,99.0083130376344,98,19,60,6,116.9136298828125,12,0.1
CELL000012,SITE00003,5G NR,183.58602150537635,432.6225349462366,59.68229032258065,1.2928408602150538,99.27612325268818,97,27,54,12,95.38517578125,7,0.2222222222222222
CELL000104,SITE00024,5G NR,175.61424731182797,423.42760752688173,58.53417204301075,1.2389997311827956,99.16864865591398,97,27,47,11,106.3099912109375,12,0.23404255319148937
CELL000077,SITE00018,4G LTE,176.88306451612902,423.4531182795699,57.86748521505376,1.2206084677419355,99.15843682795698,97,22,68,15,87.80201171875,8,0.22058823529411764
CELL000135,SITE00031,4G LTE,182.7983870967742,420.51295161290324,59.254884408602145,1.2798790322580644,99.03108830645162,96,35,48,13,90.9145478515625,2,0.2708333333333333
CELL000092,SITE00021,5G NR,174.41532258064515,421.89558870967744,57.255291666666665,1.3273610215053764,99.55541693548388,96,30,56,7,95.8798447265625,10,0.125
CELL000206,SITE00048,4G LTE,180.21236559139786,406.68098387096774,58.579849462365594,1.2293853494623657,99.14210322580645,96,28,57,11,92.79817578125,8,0.19298245614035087
CELL000052,SITE00011,5G NR,180.91129032258064,419.6572379032258,58.26038978494624,1.268213575268817,99.55563252688172,96,27,67,12,98.2087763671875,10,0.1791044776119403
CELL000201,SITE00048,5G NR,183.88978494623655,409.73964650537636,58.674684139784944,1.2516704301075268,99.13154690860215,95,26,45,6,116.068671875,11,0.13333333333333333
CELL000169,SITE00040,4G LTE,182.4516129032258,407.7602190860215,58.329235215053764,1.296953629032258,99.56126021505376,95,24,46,11,99.31476171875,9,0.2391304347826087
CELL000187,SITE00044,4G LTE,180.25537634408602,417.9356357526882,58.701212365591395,1.2266266129032257,99.15374744623655,95,16,58,11,96.2737509765625,5,0.1896551724137931
CELL000006,SITE00001,4G LTE,180.90591397849462,419.68073521505374,59.07306854838709,1.3067502688172044,99.55193548387096,94,35,70,12,100.99468359375,12,0.17142857142857143
CELL000111,SITE00026,4G LTE,175.79569892473117,425.0173951612903,59.7942876344086,1.2393782258064516,99.15058225806452,94,25,55,9,103.0321611328125,4,0.16363636363636364
CELL000020,SITE00004,4G LTE,176.4986559139785,410.6297741935484,59.8609435483871,1.2471692204301075,99.40112876344085,94,24,55,14,110.46508984375,11,0.2545454545454545
CELL000070,SITE00016,5G NR,181.2258064516129,425.2412553763441,59.45423655913978,1.2247138440860215,99.68882607526882,94,23,50,8,103.7498544921875,8,0.16
CELL000066,SITE00015,5G NR,179.18951612903226,409.46167473118277,59.281571236559145,1.2127818548387097,99.55608844086022,94,20,65,14,101.9757978515625,9,0.2153846153846154
CELL000009,SITE00002,4G LTE,180.56989247311827,425.08316935483873,57.78955779569892,1.2736677419354838,99.68898817204301,94,19,52,12,99.4293466796875,14,0.23076923076923078
CELL000112,SITE00026,5G NR,182.44758064516128,428.02573521505377,57.80753494623656,1.3299232526881721,99.41126639784946,93,34,59,12,96.35426953125,8,0.2033898305084746
CELL000011,SITE00002,5G NR,178.2983870967742,420.0778239247312,58.167684139784946,1.2756556451612904,99.26964704301075,93,32,51,5,102.138466796875,10,0.09803921568627451
CELL000002,SITE00001,5G NR,180.71236559139786,411.6265430107527,57.29862096774193,1.2712904569892474,99.41472446236558,93,29,46,7,89.937169921875,8,0.15217391304347827
CELL000161,SITE00037,4G LTE,179.94086021505376,413.788563172043,59.10740725806452,1.2316967741935483,99.28278978494625,93,27,45,16,97.282083984375,7,0.35555555555555557
CELL000128,SITE00030,4G LTE,182.43951612903226,420.6472943548387,59.151087365591394,1.281636559139785,99.14984852150536,92,39,65,13,117.4047109375,13,0.2
CELL000056,SITE00012,5G NR,178.18548387096774,423.0007768817204,56.96165188172043,1.2745104838709678,99.42027002688172,92,27,49,12,93.1399287109375,7,0.24489795918367346
CELL000083,SITE00019,4G LTE,181.44892473118279,416.3612177419355,58.46448387096774,1.2182994623655914,99.28027163978494,92,25,59,15,104.21154296875,8,0.2542372881355932
CELL000190,SITE00045,4G LTE,184.3790322580645,430.69650940860214,57.934426075268824,1.2302310483870968,98.87792741935483,92,20,43,10,116.7842255859375,16,0.23255813953488372
CELL000040,SITE00009,5G NR,180.8965053763441,426.27131317204305,58.75551344086021,1.273859811827957,99.41582069892472,91,33,37,6,117.744986328125,8,0.16216216216216217
CELL000028,SITE00006,5G NR,178.16263440860214,423.78065994623654,58.272876344086015,1.2733146505376345,99.28517983870968,91,31,55,13,121.788455078125,8,0.23636363636363636
CELL000165,SITE00039,5G NR,179.28494623655914,419.52256048387096,58.42794086021505,1.2464301075268818,99.29022661290323,91,29,52,10,116.97155859375,9,0.19230769230769232
CELL000215,SITE00050,4G LTE,176.4959677419355,419.3061962365591,57.15152956989247,1.2434645161290323,99.02047956989247,91,26,56,6,98.1964296875,7,0.10714285714285714
CELL000090,SITE00020,4G LTE,182.3965053763441,418.50010080645166,58.457888440860216,1.234227688172043,99.1418245967742,91,24,45,6,97.56339453125,4,0.13333333333333333
CELL000091,SITE00021,5G NR,180.56854838709677,422.1925120967742,58.462479838709676,1.249121505376344,99.01831814516129,91,24,49,13,122.751310546875,10,0.2653061224489796
CELL000086,SITE00020,4G LTE,180.19354838709677,419.2454798387097,57.65479569892473,1.258663306451613,98.7494430107527,90,32,60,16,116.0863427734375,12,0.26666666666666666
CELL000019,SITE00004,4G LTE,175.43279569892474,421.14483064516133,58.21748790322581,1.2378454301075268,99.54634233870969,90,29,46,9,107.883998046875,8,0.1956521739130435
CELL000038,SITE00008,4G LTE,182.41935483870967,419.89293951612905,58.60656182795699,1.287321505376344,98.4689377688172,90,28,51,12,101.0955634765625,11,0.23529411764705882
CELL000079,SITE00018,5G NR,180.8965053763441,421.1458655913978,58.07726612903225,1.2608815860215055,99.15392163978494,90,27,45,5,104.186314453125,12,0.1111111111111111
CELL000130,SITE00031,4G LTE,178.95833333333334,411.2596182795699,58.138767473118286,1.2564012096774193,99.01266653225805,90,25,55,15,106.21733984375,8,0.2727272727272727
CELL000153,SITE00036,5G NR,181.85887096774192,411.77940994623657,58.05238172043011,1.2144774193548387,99.15861357526882,90,24,50,10,101.3980595703125,9,0.2
CELL000185,SITE00043,4G LTE,183.13440860215053,423.7374704301075,58.06780107526882,1.2448135752688172,99.26983803763441,90,20,63,16,106.8588662109375,10,0.25396825396825395
CELL000057,SITE00012,5G NR,176.4784946236559,408.58386290322585,57.835737903225805,1.2312256720430106,99.28315456989247,89,34,50,8,103.543828125,6,0.16
CELL000063,SITE00014,5G NR,182.21774193548387,424.31394623655916,58.005065860215055,1.261550940860215,99.54351626344085,89,34,42,11,92.9799091796875,8,0.2619047619047619
CELL000042,SITE00009,4G LTE,178.08333333333334,425.83230645161285,57.449033602150536,1.2575138440860214,99.52662634408601,89,27,54,13,89.3953251953125,8,0.24074074074074073
CELL000085,SITE00020,5G NR,181.66532258064515,421.49950940860214,58.40947446236559,1.277188306451613,98.47703091397848,89,25,55,6,79.2041103515625,10,0.10909090909090909
CELL000143,SITE00034,5G NR,178.97177419354838,420.9482231182796,57.46289919354838,1.2674514784946236,99.26875860215053,89,25,59,12,99.012640625,11,0.2033898305084746
