plan_id,subscriber_months,data_gb,voice_minutes,estimated_overage,high_usage_subscriber_months,plan_name,plan_type,monthly_fee,estimated_base_revenue,estimated_total_revenue
PLN003,356,877.334126953125,1772.6833333333334,501.70596679687503,0,Unlimited 3,Postpaid,150.0,53400.0,53901.70596679687
PLN002,406,1017.692978515625,2129.383333333333,0.0,0,Premium 2,Postpaid,110.0,44660.0,44660.0
PLN017,403,962.2957802734375,2180.85,0.0,0,Business 17,Prepaid,85.0,34255.0,34255.0
PLN016,394,999.9259599609375,1972.5833333333333,0.0,0,Unlimited 16,Prepaid,85.0,33490.0,33490.0
PLN011,393,958.9672841796875,1978.4333333333334,0.0,0,Unlimited 11,Prepaid,85.0,33405.0,33405.0
PLN007,409,1004.77871875,2212.016666666667,0.0,0,Starter 7,Business,70.0,28630.0,28630.0
PLN012,379,917.28498046875,1948.7333333333333,0.0,0,Unlimited 12,Prepaid,70.0,26530.0,26530.0
PLN013,411,1057.029421875,2096.016666666667,649.231162109375,0,Premium 13,Prepaid,45.0,18495.0,19144.231162109376
PLN020,394,949.3358974609375,2097.4,13.032587890625003,0,Premium 20,Postpaid,45.0,17730.0,17743.032587890626
PLN019,442,1047.8912880859375,2214.366666666667,0.0,0,Plus 19,Postpaid,35.0,15470.0,15470.0
PLN005,429,1052.5299345703124,2156.0,0.0,0,Business 5,Business,35.0,15015.0,15015.0
PLN009,417,983.65683203125,2156.6833333333334,0.0,0,Plus 9,Postpaid,35.0,14595.0,14595.0
PLN010,400,972.527859375,2043.5,0.0,0,Unlimited 10,Prepaid,35.0,14000.0,14000.0
PLN014,392,1001.1480048828125,2125.25,0.0,0,Starter 14,Postpaid,35.0,13720.0,13720.0
PLN018,390,939.700365234375,1981.0333333333333,0.0,0,Plus 18,Prepaid,35.0,13650.0,13650.0
PLN008,425,1021.5722734375,2113.65,307.7712255859375,0,Plus 8,Postpaid,25.0,10625.0,10932.771225585937
PLN004,395,1014.6998525390625,2007.45,291.551630859375,0,Premium 4,Postpaid,25.0,9875.0,10166.551630859374
PLN001,392,984.48393359375,2215.3166666666666,0.0,0,Plus 1,Postpaid,25.0,9800.0,9800.0
PLN015,387,933.7463623046875,1927.65,0.0,0,Plus 15,Business,25.0,9675.0,9675.0
PLN006,384,930.433779296875,2179.983333333333,0.0,0,Plus 6,Postpaid,25.0,9600.0,9600.0
