site_id,outage_count,outage_hours,customers_affected,site_name,city,region,availability_estimate_pct
SITE00056,9,126.0,37264,Buffalo Macro 56,Buffalo,Northeast,91.39344262295081
SITE00001,7,124.0,21574,Atlanta Macro 1,Atlanta,Southeast,91.53005464480874
SITE00023,12,118.0,49192,Indianapolis Macro 23,Indianapolis,Midwest,91.93989071038251
SITE00008,9,104.0,31791,Nashville Macro 8,Nashville,Southeast,92.89617486338798
SITE00039,12,99.0,47464,Seattle Macro 39,Seattle,West,93.23770491803278
SITE00035,7,96.0,20376,Albuquerque Macro 35,Albuquerque,Southwest,93.44262295081968
SITE00029,7,80.0,37201,Austin Macro 29,Austin,Southwest,94.53551912568307
SITE00009,5,76.0,27253,Nashville Macro 9,Nashville,Southeast,94.80874316939891
SITE00005,11,71.0,39964,Birmingham Macro 5,Birmingham,Southeast,95.15027322404372
SITE00030,8,71.0,23758,Austin Macro 30,Austin,Southwest,95.15027322404372
SITE00025,8,69.0,43052,Dallas Macro 25,Dallas,Southwest,95.28688524590164
SITE00034,8,68.0,33060,Albuquerque Macro 34,Albuquerque,Southwest,95.3551912568306
SITE00048,8,67.5,39585,San Diego Macro 48,San Diego,West,95.38934426229508
SITE00044,8,66.0,22302,Portland Macro 44,Portland,West,95.49180327868852
SITE00020,8,64.0,46100,Columbus Macro 20,Columbus,Midwest,95.62841530054644
SITE00050,6,63.0,34424,Boston Macro 50,Boston,Northeast,95.69672131147541
SITE00053,7,58.5,34449,Albany Macro 53,Albany,Northeast,96.00409836065573
SITE00055,11,57.5,50208,Buffalo Macro 55,Buffalo,Northeast,96.0724043715847
SITE00060,9,57.0,47899,Philadelphia Macro 60,Philadelphia,Northeast,96.10655737704919
SITE00012,5,56.0,14397,Jacksonville Macro 12,Jacksonville,Southeast,96.17486338797814
SITE00011,11,55.5,37336,Jacksonville Macro 11,Jacksonville,Southeast,96.20901639344262
SITE00047,8,52.0,43044,San Diego Macro 47,San Diego,West,96.44808743169399
SITE00013,7,51.5,33370,Chicago Macro 13,Chicago,Midwest,96.48224043715847
SITE00043,6,50.0,27123,Portland Macro 43,Portland,West,96.58469945355192
SITE00004,6,48.0,25294,Birmingham Macro 4,Birmingham,Southeast,96.72131147540983
SITE00045,7,46.5,9957,Portland Macro 45,Portland,West,96.82377049180327
SITE00054,10,45.5,40338,Albany Macro 54,Albany,Northeast,96.89207650273224
SITE00022,7,45.5,19338,Indianapolis Macro 22,Indianapolis,Midwest,96.89207650273224
SITE00019,7,45.5,27146,Columbus Macro 19,Columbus,Midwest,96.89207650273224
SITE00021,5,44.5,23695,Columbus Macro 21,Columbus,Midwest,96.9603825136612
SITE00049,6,44.0,18001,Boston Macro 49,Boston,Northeast,96.99453551912568
SITE00010,6,42.0,26719,Jacksonville Macro 10,Jacksonville,Southeast,97.1311475409836
SITE00031,6,39.5,22859,Phoenix Macro 31,Phoenix,Southwest,97.30191256830601
SITE00027,6,38.5,28369,Dallas Macro 27,Dallas,Southwest,97.37021857923497
SITE00042,8,38.5,35226,Denver Macro 42,Denver,West,97.37021857923497
SITE00037,5,37.0,13068,Seattle Macro 37,Seattle,West,97.47267759562841
SITE00003,4,36.5,14840,Atlanta Macro 3,Atlanta,Southeast,97.5068306010929
SITE00040,6,36.5,27130,Denver Macro 40,Denver,West,97.5068306010929
SITE00059,7,36.0,32428,Philadelphia Macro 59,Philadelphia,Northeast,97.54098360655738
SITE00036,8,34.5,27598,Albuquerque Macro 36,Albuquerque,Southwest,97.64344262295081
SITE00026,9,32.5,39060,Dallas Macro 26,Dallas,Southwest,97.78005464480874
SITE00014,4,32.0,6209,Chicago Macro 14,Chicago,Midwest,97.81420765027322
SITE00015,7,30.5,33233,Chicago Macro 15,Chicago,Midwest,97.91666666666666
SITE00016,6,30.0,28562,Detroit Macro 16,Detroit,Midwest,97.95081967213115
SITE00052,6,27.0,17558,Albany Macro 52,Albany,Northeast,98.15573770491804
SITE00041,4,27.0,17934,Denver Macro 41,Denver,West,98.15573770491804
SITE00038,5,27.0,27841,Seattle Macro 38,Seattle,West,98.15573770491804
SITE00007,6,23.0,11281,Nashville Macro 7,Nashville,Southeast,98.42896174863388
SITE00051,5,22.0,22346,Boston Macro 51,Boston,Northeast,98.49726775956285
SITE00017,4,21.5,14359,Detroit Macro 17,Detroit,Midwest,98.53142076502732
SITE00024,2,20.0,10131,Indianapolis Macro 24,Indianapolis,Midwest,98.63387978142076
SITE00018,5,19.5,22645,Detroit Macro 18,Detroit,Midwest,98.66803278688525
SITE00057,5,19.0,30485,Buffalo Macro 57,Buffalo,Northeast,98.70218579234972
SITE00006,6,19.0,27846,Birmingham Macro 6,Birmingham,Southeast,98.70218579234972
SITE00028,4,18.5,22881,Austin Macro 28,Austin,Southwest,98.7363387978142
SITE00032,6,16.5,27304,Phoenix Macro 32,Phoenix,Southwest,98.87295081967213
SITE00002,6,14.0,28936,Atlanta Macro 2,Atlanta,Southeast,99.04371584699454
SITE00033,4,13.0,14067,Phoenix Macro 33,Phoenix,Southwest,99.1120218579235
SITE00058,2,9.0,6426,Philadelphia Macro 58,Philadelphia,Northeast,99.38524590163934
SITE00046,3,5.0,15154,San Diego Macro 46,San Diego,West,99.6584699453552
