subscriber_id,customer_id,plan_id,device_id,home_region,month,voice_minutes,call_count,dropped_calls,roaming_calls,data_gb,data_sessions,poor_qoe_sessions,avg_latency_ms,avg_downlink_mbps,sms_count,failed_sms,monthly_fee,included_voice_minutes,included_sms,included_data_gb,overage_per_gb,data_overage_gb,estimated_data_overage_charge,high_usage_flag
SUB00000001,CUST00002628,PLN001,DEV0001380,Southeast,2026-04,4.983333333333333,1.0,0.0,False,2.63155859375,5.0,0.0,32.12,126.96020000000001,1.0,1.0,25.0,500.0,500.0,10.0,15.0,0.0,0.0,False
SUB00000001,CUST00002628,PLN001,DEV0001380,Southeast,2026-05,13.716666666666667,3.0,1.0,0,5.3193164062500005,5.0,0.0,25.8026,139.5688,3.0,1.0,25.0,500.0,500.0,10.0,15.0,0.0,0.0,False
SUB00000002,CUST00002217,PLN019,DEV0002484,Midwest,2026-04,9.2,2.0,0.0,0,0.5418203125000001,2.0,0.0,27.0255,56.451,1.0,0.0,35.0,500.0,99999.0,20.0,15.0,0.0,0.0,False
SUB00000002,CUST00002217,PLN019,DEV0002484,Midwest,2026-05,1.7833333333333334,1.0,1.0,True,1.4943447265625,3.0,0.0,32.358666666666664,134.569,6.0,5.0,35.0,500.0,99999.0,20.0,15.0,0.0,0.0,False
SUB00000003,CUST00002693,PLN019,DEV0000816,West,2026-04,11.466666666666667,3.0,2.0,2,0.2998427734375,3.0,0.0,29.383666666666667,172.821,0.0,0.0,35.0,500.0,99999.0,20.0,15.0,0.0,0.0,False
SUB00000003,,,,,2026-05,0.0,0.0,0.0,0,1.5631689453124997,3.0,0.0,38.135999999999996,77.25633333333333,3.0,2.0,,,,,,,,False
SUB00000004,CUST00004213,PLN011,DEV0000240,Northeast,2026-04,2.5,1.0,0.0,True,3.4280263671875,4.0,1.0,35.581,168.39125,1.0,1.0,85.0,99999.0,99999.0,20.0,10.0,0.0,0.0,False
SUB00000004,CUST00004213,PLN011,DEV0000240,Northeast,2026-05,4.5,2.0,0.0,0,0.3156875,1.0,0.0,2.0,222.644,2.0,1.0,85.0,99999.0,99999.0,20.0,10.0,0.0,0.0,False
SUB00000005,CUST00000289,PLN019,DEV0000873,Midwest,2026-04,4.383333333333333,3.0,1.0,1,4.0336611328125,4.0,0.0,25.80875,69.37875,1.0,1.0,35.0,500.0,99999.0,20.0,15.0,0.0,0.0,False
SUB00000005,CUST00000289,PLN019,DEV0000873,Midwest,2026-05,0.1,1.0,1.0,False,1.2398837890625,3.0,0.0,32.562666666666665,139.066,2.0,0.0,35.0,500.0,99999.0,20.0,15.0,0.0,0.0,False
SUB00000006,,,,,2026-04,0.0,0.0,0.0,0,0.8930869140625,3.0,0.0,33.99366666666666,155.393,0.0,0.0,,,,,,,,False
SUB00000006,CUST00004161,PLN008,DEV0001431,Midwest,2026-05,14.350000000000001,2.0,0.0,1,2.903611328125,4.0,0.0,43.1095,119.011,4.0,2.0,25.0,1000.0,500.0,5.0,5.0,0.0,0.0,False
SUB00000007,CUST00003662,PLN013,DEV0002007,Southwest,2026-04,18.9,1.0,1.0,False,1.6118447265625002,4.0,0.0,23.21275,98.41225,2.0,1.0,45.0,500.0,500.0,5.0,10.0,0.0,0.0,False
SUB00000007,CUST00003662,PLN013,DEV0002007,Southwest,2026-05,0.65,1.0,1.0,True,1.6729619140625003,4.0,1.0,49.44525,134.5695,3.0,2.0,45.0,500.0,500.0,5.0,10.0,0.0,0.0,False
SUB00000008,CUST00000361,PLN004,DEV0001118,West,2026-04,0.85,1.0,1.0,True,2.3007939453125,6.0,0.0,34.14133333333333,86.75883333333333,3.0,0.0,25.0,1000.0,1000.0,5.0,5.0,0.0,0.0,False
SUB00000008,CUST00000361,PLN004,DEV0001118,West,2026-05,8.866666666666667,3.0,0.0,0,2.7634394531249997,4.0,0.0,45.51,147.17675,1.0,1.0,25.0,1000.0,1000.0,5.0,5.0,0.0,0.0,False
SUB00000009,,,,,2026-04,0.0,0.0,0.0,0,3.7291376953124997,5.0,0.0,38.151599999999995,113.3596,0.0,0.0,,,,,,,,False
SUB00000009,,,,,2026-05,0.0,0.0,0.0,0,4.7296376953125,4.0,0.0,32.307500000000005,121.45400000000001,3.0,2.0,,,,,,,,False
SUB00000009,CUST00001381,PLN013,DEV0000110,Midwest,,0.0,0.0,0.0,0,0.0,0.0,0.0,,,0.0,0.0,45.0,500.0,500.0,5.0,10.0,0.0,0.0,False
SUB00000010,CUST00001193,PLN019,DEV0000528,Midwest,2026-04,13.6,3.0,2.0,2,3.40580078125,4.0,2.0,26.25425,96.4375,2.0,1.0,35.0,500.0,99999.0,20.0,15.0,0.0,0.0,False
SUB00000010,CUST00001193,PLN019,DEV0000528,Midwest,2026-05,2.783333333333333,1.0,0.0,True,2.284216796875,5.0,0.0,37.846000000000004,132.932,2.0,2.0,35.0,500.0,99999.0,20.0,15.0,0.0,0.0,False
SUB00000011,CUST00003014,PLN013,DEV0000470,Southwest,2026-04,1.1666666666666667,1.0,1.0,False,1.069060546875,3.0,0.0,29.157666666666668,111.608,2.0,0.0,45.0,500.0,500.0,5.0,10.0,0.0,0.0,False
SUB00000011,CUST00003014,PLN013,DEV0000470,Southwest,2026-05,2.933333333333333,1.0,0.0,False,2.098568359375,4.0,0.0,38.9575,106.144,1.0,0.0,45.0,500.0,500.0,5.0,10.0,0.0,0.0,False
SUB00000012,,,,,2026-04,0.0,0.0,0.0,0,1.478404296875,4.0,1.0,40.7035,163.837,0.0,0.0,,,,,,,,False
