session_id,subscriber_id,cell_id,session_start_ts,session_end_ts,data_mb,avg_downlink_mbps,avg_uplink_mbps,latency_ms,packet_loss_pct,roaming_flag,source_system,session_date,quarantine_reason
DATA0000000120,SUB00002785,CELL000178,2026-04-01 16:59:20,2026-04-01 18:12:20,,144.121,32.635,2.0,1.2677,True,pgw,2026-04-01,Bad timestamp/data volume
DATA0000000258,SUB00002695,CELL000057,2026-04-02 02:56:57,2026-04-02 04:43:57,,142.109,23.571,37.418,0.5915,True,pgw,2026-04-02,Bad timestamp/data volume
DATA0000000411,SUB00001997,CELL000129,2026-04-21 09:13:10,2026-04-21 11:51:10,,107.838,34.984,17.488,0.8834,False,pgw,2026-04-21,Bad timestamp/data volume
DATA0000000492,SUB00000649,CELL000149,2026-05-13 08:37:08,2026-05-13 09:34:08,,141.173,16.5,31.313,0.5493,False,pgw,2026-05-13,Bad timestamp/data volume
DATA0000000808,SUB00004960,CELL000222,2026-04-09 18:18:36,2026-04-09 19:40:36,,101.034,25.788,10.682,1.2349,False,pgw,2026-04-09,Bad timestamp/data volume
DATA0000000983,SUB00003598,CELL000201,2026-05-26 08:11:02,2026-05-26 08:20:02,,102.847,25.39,41.405,1.3438,False,pgw,2026-05-26,Bad timestamp/data volume
DATA0000002309,SUB00002701,CELL000019,2026-05-21 04:01:41,2026-05-21 04:22:41,,152.894,11.567,30.292,0.6941,False,pgw,2026-05-21,Bad timestamp/data volume
DATA0000002609,SUB00000276,CELL000174,2026-05-04 16:41:16,2026-05-04 17:10:16,,128.758,28.66,66.187,1.4991,False,pgw,2026-05-04,Bad timestamp/data volume
DATA0000002706,SUB00001895,CELL000069,2026-04-23 02:52:38,2026-04-23 04:54:38,,56.508,23.589,54.996,1.4836,False,pgw,2026-04-23,Bad timestamp/data volume
DATA0000003200,SUB00001598,CELL000050,2026-05-11 08:45:40,2026-05-11 09:58:40,,133.076,38.855,38.309,0.8999,False,pgw,2026-05-11,Bad timestamp/data volume
DATA0000003980,SUB00003392,CELL000121,2026-05-30 11:33:46,2026-05-30 12:05:46,,166.904,33.864,34.306,1.2265,False,pgw,2026-05-30,Bad timestamp/data volume
DATA0000004159,SUB00004695,CELL000227,2026-05-03 04:58:10,2026-05-03 06:31:10,,94.892,12.808,21.585,0.5898,True,pgw,2026-05-03,Bad timestamp/data volume
DATA0000004737,SUB00002102,CELL000120,2026-04-28 12:00:51,2026-04-28 13:17:51,,82.65,41.108,30.561,1.7737,False,pgw,2026-04-28,Bad timestamp/data volume
DATA0000004816,SUB00000828,CELL000036,2026-05-19 02:19:33,2026-05-19 04:59:33,,160.081,18.623,54.076,1.2729,True,pgw,2026-05-19,Bad timestamp/data volume
DATA0000005108,SUB00002611,CELL000005,2026-05-07 16:42:07,2026-05-07 18:53:07,,92.394,30.688,25.115,2.0438,False,pgw,2026-05-07,Bad timestamp/data volume
DATA0000007064,SUB00000499,CELL000124,2026-05-26 14:49:24,2026-05-26 16:15:24,,105.824,22.582,41.248,0.7758,False,pgw,2026-05-26,Bad timestamp/data volume
